,keff,burnup,Power (W/cm),Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/(GWe.y)),discharge step,discharge time,volume_Ueq,mass U
0.0,1.1087498436894685,0.0,76969.02001294993,22761.747082103375,8.496856723262454,1.6344278913199664e-08,0.22597203800446503,0.0010520171110771114,14544.933543300971,999.9999999999999,1547437950.0268836,0.33,21.8,13.825757575757574,301.4015151515151,56,1523.0,164.00239084657193,1595.8611021351617
0.125,1.1064088553310096,0.006028800055810796,76969.02001294993,604122830284.4827,225516306.53233248,0.05068889188263799,700812.3309531388,71.34724962745625,986429777.04627,58643912105116.09,9.07478151294976e+19,0.33,21.8,13.825757575757574,301.4015151515151,56,1523.0,164.00239084657193,1595.8611021351617
0.25,1.103692793668568,0.012057600111621592,76969.02001294993,666851577083.2323,248932662.5816384,0.059828285905597314,827171.3771039023,128.09186446216796,1770967065.4807312,316928664808482.75,4.904274433759959e+20,0.33,21.8,13.825757575757574,301.4015151515151,56,1523.0,164.00239084657193,1595.8611021351617
0.375,1.1024542987143484,0.018086400167432386,76969.02001294993,722797427225.5579,269816994.1404497,0.06725266635292339,929819.0613188271,179.44673232071744,2480987018.8281007,749903307738178.6,1.1604288372447466e+21,0.33,21.8,13.825757575757574,301.4015151515151,56,1523.0,164.00239084657193,1595.8611021351617
0.5,1.0976306438983785,0.024115200223243184,76969.02001294993,772904609020.6925,288521777.3446562,0.07336337419287649,1014304.2265303,226.5668387015141,3132458186.592903,1300273100766449.8,2.0120919415251345e+21,0.33,21.8,13.825757575757574,301.4015151515151,56,1523.0,164.00239084657193,1595.8611021351617
0.6666666666666666,1.0970158364063505,0.03215360029765758,76969.02001294993,828706706875.7755,309352446.8280594,0.07973129971014144,1102345.6209924857,284.15211234276796,3928618219.8905416,2145195563834402.0,3.319557025706672e+21,0.33,21.8,13.825757575757574,301.4015151515151,56,1523.0,164.00239084657193,1595.8611021351617
0.8333333333333334,1.0959352041167258,0.040192000372071976,76969.02001294993,876708338248.6737,327271237.6303287,0.08476996410121104,1172008.9733690163,337.1644309427472,4661553685.382678,3062582704604601.0,4.739156702201132e+21,0.33,21.8,13.825757575757574,301.4015151515151,56,1523.0,164.00239084657193,1595.8611021351617
1.0,1.0945113630709817,0.04823040044648637,76969.02001294993,920856237745.4885,343751447.84021926,0.08902879503405454,1230890.537402648,386.7555732263721,5347188796.5009775,4018926866512448.0,6.21903995162399e+21,0.33,21.8,13.825757575757574,301.4015151515151,56,1523.0,164.00239084657193,1595.8611021351617
1.25,1.0944767741321415,0.060288000558107964,76969.02001294993,984728173813.7395,367594551.2475152,0.09466761596548898,1308851.508613768,456.52089713896777,6311747252.110728,5489776688971700.0,8.495088785687741e+21,0.33,21.8,13.825757575757574,301.4015151515151,56,1523.0,164.00239084657193,1595.8611021351617
1.5,1.0918786070017417,0.07234560066972955,76969.02001294993,1040224701444.6454,388311152.75518864,0.09929042038458087,1372765.2818322734,521.6961232206506,7212844127.861268,6980751123044308.0,1.080227920749155e+22,0.33,21.8,13.825757575757574,301.4015151515151,56,1523.0,164.00239084657193,1595.8611021351617
