Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
C0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ac225,4.256702838624107e-09,1.368939912417754e-15,1.1567354486370023e-15,1.0262671478897276e-15,9.382237169944526e-16,8.601170131906681e-16,8.059771816798799e-16,7.645239885062195e-16,7.14853026797532e-16,6.775844071499759e-16,6.491074808607504e-16,6.23730293720849e-16,5.828482714507179e-16,5.497418803996222e-16,4.973682443489734e-16,3.988641491721639e-16,2.752694490588632e-16,1.9964541620103021e-16,1.468773136461193e-16,7.899382734174681e-17,4.2499730294986616e-17,2.3163954905382417e-17,1.3417145149443451e-17,9.186612034566448e-18,8.209908637815243e-18,1.225819489043682e-17,2.2078082066003258e-17,3.7587004315787035e-17,5.929000973727293e-17,8.815258119281379e-17,1.2520826738696e-16,1.7153556486407513e-16,2.2753655317576983e-16,2.9674205455074237e-16,3.856045083942168e-16,4.894299873110929e-16,6.09400599067401e-16,7.426034820955573e-16,8.98759067189213e-16,1.0690034712228218e-15,1.2629293268261275e-15,1.4788517242349732e-15,1.7091464629760857e-15,1.968742167201398e-15,2.53217089788912e-15,3.204766409967347e-15,3.977994364315136e-15,4.8748281127467e-15,5.852778938858191e-15,6.960650871578314e-15,8.149634426312364e-15,9.477283699595845e-15,1.0891384887589556e-14,1.2471869707942068e-14,1.4124642101907016e-14,1.58965491324444e-14,1.9748088650420977e-14,2.4577998444013035e-14,2.9636823745411e-14,4.075266811770746e-14,6.849320022135635e-14,9.234133452379672e-14,9.594532943347908e-14,4.160288480714175e-13,6.690432202484393e-13,8.389803774980562e-13,9.932818146659866e-13,1.1413351387763123e-12,1.1559439433453387e-12,1.2141378110388297e-12,1.2503500447654095e-12,1.2864714751132322e-12,1.5750027214306979e-12,1.871150319426967e-12,2.1053372413102734e-12,2.7185721288430333e-12,3.826664977077746e-12,4.656937259768507e-12,5.289690296961595e-12,7.182337983017879e-12,9.576093941205823e-12,1.2544297461918107e-11,1.6163119470836264e-11,2.051118539664217e-11,3.171653647941881e-11,4.6802760321668484e-11,6.638889021159869e-11,9.104375257382318e-11,1.212694920017645e-10,2.2387699023122246e-10,3.690621979302643e-10,5.610077254114014e-10,8.040981329615944e-10,1.1035100394363738e-09,1.4652862786689053e-09,2.4036165302050763e-09,3.6796629577372868e-09,5.360798389422693e-09,7.520436495826138e-09,1.0238154849417239e-08,1.7698423564381927e-08,2.8507616130376237e-08,4.3529398588604274e-08,6.370805758309968e-08,9.004206775467722e-08,1.8944083558135542e-07,3.48285360009512e-07,5.771919719064253e-07,8.810481729536103e-07,1.25963575077619e-06,1.7097309431912753e-06,2.808965537428802e-06,5.75018951603981e-06,9.702988537465001e-06,1.4751884683829405e-05,2.0976821181288828e-05,2.8444472106206343e-05,3.721349674398478e-05,4.733805273468272e-05,0.00023349683154677282,0.0021202523808943247,0.015692164535688884,0.1025159641897486,0.17873699706787327,0.20149744882528015
Ac226,2.4719615657919477e-09,7.4255138189926e-16,5.860916052241404e-16,4.857319705252329e-16,4.148227335796754e-16,3.4729332054988606e-16,2.972144240517512e-16,2.5749661387330785e-16,2.1018095337675953e-16,1.7393633593013437e-16,1.4549461671318139e-16,1.2209094334510065e-16,8.703912898064373e-17,6.266243854830483e-17,3.308442148556487e-17,5.385470237475043e-18,1.8981222731748084e-19,8.006711274505535e-20,6.058532568968429e-20,4.010546002019313e-20,3.157855264576112e-20,3.048750892136089e-20,3.347895180313347e-20,3.809747319204092e-20,4.587246389192093e-20,6.208202618415338e-20,8.37926705549317e-20,1.0753768838896574e-19,1.3453220269447481e-19,1.6778930755389663e-19,2.012585683067208e-19,2.3767022647874054e-19,2.8541715490843836e-19,3.3883947729231134e-19,3.992493631129823e-19,4.703649705259701e-19,5.437575558660318e-19,6.370589544113712e-19,7.312229122710997e-19,8.239516509289637e-19,9.355791411048822e-19,1.0517196965199957e-18,1.1940436472046896e-18,1.3377378108228075e-18,1.6266300822400874e-18,1.9787753037355312e-18,2.371365124899867e-18,2.816125346763164e-18,3.2802128690279664e-18,3.8353112400739445e-18,4.417216417693894e-18,5.086565670623198e-18,5.82379438724338e-18,6.605518699287944e-18,7.411983701379942e-18,8.284533653521873e-18,1.0177077632553594e-17,1.2578155118380256e-17,1.483526057399157e-17,1.1804853946716472e-17,1.1366135809484808e-18,5.030307980542913e-19,2.2616312270201645e-19,7.616196183889814e-24,5.796066917847289e-30,3.425150510227363e-36,1.9036435988199213e-42,1.023316442581381e-48,2.4124908352682423e-49,7.436954745008893e-52,2.001267730747691e-53,5.379531123677597e-55,1.4215675914567047e-67,3.6165661781618425e-80,1.276283022787062e-89,1.0939649227557441e-111,3.184836241632949e-143,3.7944715925243513e-162,9.177660498046278e-175,2.634223821971256e-206,7.541315061351985e-238,2.1539762498228125e-269,6.13831207461059e-301,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,7.74088467274838e-14,2.4964368073149575e-20,2.1174034785607674e-20,1.889062343508887e-20,1.741103928431784e-20,1.6218902792888967e-20,1.5552343673663947e-20,1.5217183323863172e-20,1.5145323156223976e-20,1.5572487032887272e-20,1.646165963824892e-20,1.7703194697105667e-20,2.1319366848732092e-20,2.6363960705306027e-20,4.0561604275581223e-20,1.1477325791591478e-19,4.535555427469431e-19,1.0024099962084825e-18,1.754750518621804e-18,3.8131161353724056e-18,6.606775156797039e-18,1.0095291529563072e-17,1.424986262994077e-17,1.9091377619722582e-17,2.4527096550746814e-17,3.735105229900726e-17,5.2551458306969745e-17,6.989715333743291e-17,8.938106673247632e-17,1.108186549105542e-16,1.343245047694206e-16,1.5999416418208764e-16,1.8715771897059318e-16,2.1676923277981472e-16,2.5070490472013337e-16,2.864453731163265e-16,3.2355118542349666e-16,3.606523873653645e-16,4.0046605673561473e-16,4.4060911482298137e-16,4.828646176414017e-16,5.261200956468435e-16,5.690391472214657e-16,6.138375354157189e-16,7.021521894688272e-16,7.952189050174847e-16,8.882768154693076e-16,9.856646691276467e-16,1.079342468588519e-15,1.1754626997928547e-15,1.2689811845040096e-15,1.359758965572809e-15,1.448982164963381e-15,1.5396034910117372e-15,1.6243315700827377e-15,1.704855155977433e-15,1.869444030461945e-15,2.0262807229192722e-15,2.443284841386e-15,3.361577233747113e-15,5.949376982332129e-15,1.3462497953645014e-14,2.075871775324684e-14,1.5204908847098205e-13,3.3751163752722075e-13,5.516542393872883e-13,8.152175785596635e-13,1.1303051772160679e-12,1.1646290995869904e-12,1.306964433521549e-12,1.3999769166589687e-12,1.4960651713271203e-12,2.3710472346740203e-12,3.423441805524659e-12,4.3232455887464296e-12,6.790078486033391e-12,1.1255916587466183e-11,1.4508519152322478e-11,1.6929917950007066e-11,2.3912467127255744e-11,3.2288609888798496e-11,4.21321545566273e-11,5.350706280587236e-11,6.646681705007658e-11,9.729484278807521e-11,1.3479019382650626e-10,1.7890520558534022e-10,2.2938402409054152e-10,2.8580307077005703e-10,4.492213773604784e-10,6.375765259234427e-10,8.440037784994708e-10,1.064656012573961e-09,1.2980626996872149e-09,1.5441192209570658e-09,2.076427222002557e-09,2.6670911746155464e-09,3.3212826076487265e-09,4.043415936298026e-09,4.8375301242959795e-09,6.657349964063225e-09,8.811422558033279e-09,1.1328186476158844e-08,1.423151856895249e-08,1.753863103512194e-08,2.760894364714031e-08,4.01186404882384e-08,5.462706706430468e-08,7.051080686025927e-08,8.7149657536166e-08,1.0406110866390144e-07,1.376678864736967e-07,2.0318628863699124e-07,2.6955049045266897e-07,3.396582008583951e-07,4.146739071626001e-07,4.950181550562193e-07,5.808711656407523e-07,6.723390133572166e-07,1.9106563852904216e-06,9.905820087638436e-06,5.023048168179684e-05,0.00021945969596410048,0.0002657798672205147,0.0003085738280388471
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,8.143949195500352e-11,6.604682551483266e-14,4.4316968093088553e-13,1.2963292204872388e-12,2.7520155953379593e-12,5.767052642987174e-12,1.0147872480873306e-11,1.6090646885815424e-11,2.7809303307247712e-11,4.330651987400001e-11,6.263267360210894e-11,8.558708281385199e-11,1.429149003548441e-10,2.1486599639202552e-10,4.006898587234383e-10,1.2662489116637333e-09,4.993946837592401e-09,1.1078698091703654e-08,1.963028705106806e-08,4.43618483005965e-08,8.049498902233277e-08,1.2863752707776972e-07,1.891026327344669e-07,2.640825486340047e-07,3.5359563640483573e-07,5.801613116455844e-07,8.740851164705932e-07,1.2406325605359556e-06,1.6837073019547747e-06,2.202964686106443e-06,2.8117448912164957e-06,3.515250819269936e-06,4.297631514026739e-06,5.199632064989612e-06,6.283160422468064e-06,7.482571984032534e-06,8.793045984727338e-06,1.0162565120369112e-05,1.171479886368036e-05,1.3334991603287975e-05,1.5111525515044725e-05,1.7017002558075384e-05,1.9001214054665523e-05,2.1122206448731742e-05,2.554272453086553e-05,3.0558516552225454e-05,3.6018406695195905e-05,4.2108575752232176e-05,4.845656391992551e-05,5.5366607003844444e-05,6.246582551210028e-05,7.014863109602809e-05,7.822284042200794e-05,8.690824961798281e-05,9.56015157650875e-05,0.00010483953469317734,0.00012476378703121183,0.00014835027967943621,0.0001788513596727787,0.0002450735850760741,0.00042158183897285953,0.0008449580774940073,0.0011548386848655016,0.002620757343339246,0.0014948773263020062,0.0006621178542941053,0.00027581936631012173,0.00011113031383346402,0.00010133666513274503,6.992129522419421e-05,5.536246098555317e-05,4.378753402260971e-05,6.5004066656866316e-06,9.290442060767336e-07,2.1274637423447812e-07,6.6475365505172126e-09,4.5778527420875504e-11,2.2965528373220907e-12,3.1204991875515046e-13,2.1186642234172492e-15,1.4347423570078765e-17,9.693600544942574e-20,6.534472696896904e-22,4.394782960561377e-24,1.9738882075110957e-28,8.780609409125199e-33,3.868266765909294e-37,1.6880217528275894e-41,7.299438791318825e-46,8.661890719688676e-57,9.863839405371604e-68,1.0907132616506362e-78,1.1823437567256032e-89,1.2649963732346779e-100,1.3418307078167128e-111,1.4866751148198597e-133,1.628056784576308e-155,1.7710394710451136e-177,1.9180210654994292e-199,2.0703023226621493e-221,2.3890216816648672e-265,2.734801594445505e-309,,,,,,,,,,,,,,,,,,,,,,,
Ag111,3.63462922943033e-10,2.6838807820179857e-06,5.073984357799869e-06,6.978772188737198e-06,8.631388594466705e-06,1.0646017627896915e-05,1.2517862150710177e-05,1.4267737951868564e-05,1.666857317285599e-05,1.892210377677337e-05,2.1089356842888687e-05,2.308523842847464e-05,2.6775189699238336e-05,3.0083427070214018e-05,3.577457344327827e-05,4.848276706799021e-05,6.487309071885384e-05,7.266763959220388e-05,7.705410307332652e-05,8.119272205970034e-05,8.417645362400566e-05,8.697239156878913e-05,8.98864771918509e-05,9.308960629930879e-05,9.612183824746213e-05,0.00010285207736347505,0.00010947235912319507,0.00011579738761480305,0.00012223608601719455,0.0001284654028214975,0.0001346786158024812,0.00014127250178330416,0.00014746413190732971,0.00015356928805411322,0.00016020941191676635,0.00016692838589010313,0.0001732011576815635,0.0001791856961488124,0.0001854603449876913,0.0001916278412834184,0.0001976890377927225,0.00020374989441321727,0.00020976221053205772,0.00021549285597820966,0.00022670886471132002,0.00023805370602131322,0.00024869018143797747,0.0002600383220847556,0.00027043187993230965,0.000281162291665166,0.0002919340429663931,0.0003015715085922423,0.000311195606708429,0.0003216555995105369,0.00033099380071026986,0.0003399777300329428,0.00035925286614924847,0.0003784576590955171,0.00045548460547115746,0.0005705155197295758,0.0005217269435222202,6.97193817010613e-05,6.35326077619403e-06,2.503064858580506e-17,7.016614211195671e-32,1.527334265750657e-46,3.1268014518485795e-61,6.191342673874925e-76,2.093469240724421e-77,2.7308644356423196e-83,5.724996853923862e-87,1.1988905609850822e-90,4.2985609075092665e-120,1.483790006083041e-149,1.1706130413628648e-171,1.29388316817844e-218,3.428708839346365e-266,2.03606846086315e-310,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,3.715562345523422e-09,1.1498632938298535e-15,9.350197047232067e-16,7.983365030140254e-16,7.023996630754219e-16,6.118694749320921e-16,5.448408081825619e-16,4.911397643758403e-16,4.2547117375226973e-16,3.736806001991076e-16,3.317263786876717e-16,2.9541161893293113e-16,2.371594347663867e-16,1.9224671677528364e-16,1.2864267735492325e-16,4.3195854285927465e-17,3.540618637750202e-17,1.9048381559036994e-16,6.520769727154245e-16,3.845679865224788e-15,1.203661539723358e-14,3.073070777072612e-14,6.437965975772607e-14,1.1480572618907013e-13,2.0495985309001828e-13,4.775703224581744e-13,9.975218417076715e-13,1.8043080173199528e-12,2.9953183250652815e-12,4.79595452235282e-12,7.003914792310055e-12,9.80044883293087e-12,1.3865957334538578e-11,1.9015178061288084e-11,2.5390661078322e-11,3.355308052233284e-11,4.270627566539319e-11,5.5648654068057695e-11,6.875917360570203e-11,8.226018213768263e-11,1.0033728311628589e-10,1.184070211545405e-10,1.444062391482037e-10,1.7045969553761095e-10,2.2135383082345297e-10,2.8994637610702693e-10,3.673748604262851e-10,4.5359969865423326e-10,5.406123182421717e-10,6.565880199083312e-10,7.809103476047325e-10,9.14067585092791e-10,1.111221978304058e-09,1.2775825882691653e-09,1.4425215930092386e-09,1.5976778795728335e-09,2.0078177059061414e-09,2.460505905554694e-09,2.9281123996732943e-09,2.8998690259212678e-09,5.138879628033598e-10,6.059170360141291e-14,4.873093166987751e-18,2.7403758544455524e-21,3.070293261922285e-21,3.188944459756077e-21,,,,2.5717687559974846e-20,4.96511928681946e-21,4.7037734884692855e-20,,,9.638277094324953e-21,3.3641385683752434e-21,7.891718631031272e-21,,,4.7965218131729184e-21,4.2070248996739204e-21,3.5975242719927405e-21,2.1233227084993773e-21,3.3435159689489742e-21,,,,,,1.993542761631498e-24,6.143084990788421e-24,3.359924006482034e-24,2.6125700429998524e-24,5.056174838662672e-25,1.6554947461719544e-25,,,,,,3.566546585369566e-31,1.273996303041247e-32,2.6889584022704414e-34,2.7428682482650693e-36,1.5269716242030942e-37,1.0096580145671268e-41,4.314073744963375e-46,8.146547651826801e-50,7.951312623561451e-54,5.162534769695574e-58,4.232261944121194e-62,,,,,,,,,,2.670741356754725e-22,1.0322965053568644e-23,4.626693616186944e-28,,2.0760383286151317e-29
