Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
C0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ac225,6.957273844508116e-17,6.939004721437146e-17,6.920549913819397e-17,6.901920208599414e-17,6.88312576264955e-17,6.85782473644968e-17,6.832265675739867e-17,6.806464947133813e-17,6.76734318126362e-17,6.727764063195812e-17,6.687774571800722e-17,6.647414835243229e-17,6.565731663786763e-17,6.482988523573786e-17,6.315185411756576e-17,5.804363251391439e-17,4.653818699366151e-17,3.64303557015963e-17,2.803677919250442e-17,1.6046296735142894e-17,8.952918840548498e-18,5.0086771100641744e-18,2.9604906182445634e-18,2.055771914171371e-18,1.8622186457489215e-18,2.8293050394405257e-18,5.163059461189086e-18,8.895296610343195e-18,1.4163169254609692e-17,2.1233368196552112e-17,3.0333013712759816e-17,4.167749549858438e-17,5.551647272462376e-17,7.276902686036126e-17,9.483301495971861e-17,1.2068437248351616e-16,1.5077898976846118e-16,1.8442814847554635e-16,2.2394802683838766e-16,2.6693487142407433e-16,3.163036069288761e-16,3.7148829931139193e-16,4.304194939749938e-16,4.973673157814641e-16,6.424202288394406e-16,8.170616782371245e-16,1.0208684536789095e-15,1.2565108661037243e-15,1.5186937319900288e-15,1.813556393962841e-15,2.132778346418208e-15,2.4971769818296964e-15,2.8887072158687103e-15,3.325342249334627e-15,3.790465335924274e-15,4.296800403397719e-15,5.368947542920514e-15,6.776753039787936e-15,6.777263155620254e-15,6.7821465826614106e-15,6.498829162204319e-15,4.022278095596276e-15,2.813554282506108e-15,2.3381172978262132e-15,2.393823379874936e-15,2.4611257396410365e-15,2.540029963879544e-15,2.6305440327099833e-15,2.6402343431152854e-15,2.680157753435447e-15,2.7060543760784177e-15,2.732677749819548e-15,2.9718519702138555e-15,3.25766439433605e-15,3.5027108618489838e-15,4.1771812037553624e-15,5.3917652867655974e-15,6.263510455214318e-15,6.904745986057518e-15,8.719958706629989e-15,1.084162537042296e-14,1.3274260689468505e-14,1.6022598697606552e-14,1.9091535179760254e-14,2.621133467241107e-14,3.4674575118448357e-14,4.4522724529986794e-14,5.579730786893845e-14,6.853960664772999e-14,1.0708341388996669e-13,1.5567715872246274e-13,2.1491929243942706e-13,2.853830853222814e-13,3.6761708638161166e-13,4.621459399590282e-13,6.900726348543476e-13,9.729160755449335e-13,1.3141024044962889e-12,1.7167563019750388e-12,2.183724355741507e-12,3.320726577212303e-12,4.743099104077717e-12,6.4656012240855e-12,8.500244823447831e-12,1.085670617880614e-11,1.8202202226230347e-11,2.768156316475931e-11,3.932913353591903e-11,5.314973510291658e-11,6.912883135707003e-11,8.723932882468825e-11,1.2970914612022922e-10,2.384442602367315e-10,3.765126772185035e-10,5.411389240206522e-10,7.297598771016042e-10,9.40036195577978e-10,1.1698383423542326e-09,1.4172289415024542e-09,4.5394510166126545e-09,1.5692102158811384e-08,3.206121465264848e-08,5.5020468960599786e-08,8.071507539088719e-08,7.834537726164048e-08
Ac226,4.040242929401337e-17,3.763910671439502e-17,3.506485612422035e-17,3.266677015068151e-17,3.043279542731764e-17,2.7690147828093174e-17,2.5194856057229068e-17,2.292461325848982e-17,1.9897329777531426e-17,1.7270211914656722e-17,1.4990355629517802e-17,1.3011860353928715e-17,9.804877068850553e-18,7.389647477330654e-18,4.200796055959064e-18,7.837060714215724e-19,3.2090437056439795e-20,1.4610269811379366e-20,1.156487245375572e-20,8.146764549074171e-21,6.6522826610228584e-21,6.59222868897122e-21,7.387124579624141e-21,8.525418848036796e-21,1.0405055811767451e-20,1.4329107271620854e-20,1.9595295424375495e-20,2.5449743932073185e-20,3.213698843026948e-20,4.041551703340077e-20,4.8756995361905e-20,5.774604119014247e-20,6.963871727182949e-20,8.309243211840965e-20,9.818874001868237e-20,1.1598329235611938e-19,1.345374702255255e-19,1.5821579923151775e-19,1.8220225459784674e-19,2.057443534292625e-19,2.3431798645660525e-19,2.641925184315695e-19,3.0069960272391798e-19,3.3795540892696704e-19,4.126814941838705e-19,5.044927659925149e-19,6.085609044298891e-19,7.258701264287832e-19,8.511578475502206e-19,9.992676476095828e-19,1.1559958440201393e-18,1.3402632137926878e-18,1.5446370726770731e-18,1.761212306084664e-18,1.9890675521415994e-18,2.2392902539937006e-18,2.766859968913759e-18,3.4681038461116428e-18,3.3924844901001567e-18,1.9645891557895886e-18,1.0784512129895033e-19,2.1911419960068586e-20,6.6321333845061044e-21,4.280366643741455e-26,2.073821253896021e-32,1.0047584316576847e-38,4.8680160153501576e-45,2.3585350789186867e-51,5.5102509013477225e-52,1.6416762364669213e-54,4.331218544092088e-56,1.1427012017380031e-57,2.682337236614524e-70,6.29642565112882e-83,2.1233892219222206e-92,1.6809153836384488e-114,4.487429548845155e-146,5.103507126263373e-165,1.1979796723011014e-177,3.198167923303255e-209,8.537939706678695e-241,2.2793179407513644e-272,6.084946116349506e-304,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,1.265191781263119e-21,1.2654161541782586e-21,1.2668062069283992e-21,1.2704447950787474e-21,1.2773325901022824e-21,1.2931541995494797e-21,1.3183716149061895e-21,1.3547674951358478e-21,1.4337716362266397e-21,1.5461987839288118e-21,1.696049914450714e-21,1.886720594549276e-21,2.4016068817052628e-21,3.1090455499625546e-21,5.150189110563034e-21,1.6702069661368786e-20,7.667996841834506e-20,1.8291505718287744e-19,3.3495678540980724e-19,7.745718248216974e-19,1.3917716975143595e-18,2.182876620598072e-18,3.1442295777029267e-18,4.2722515945801344e-18,5.563376955561275e-18,8.620969191836862e-18,1.2289396479274955e-17,1.6541778800231757e-17,2.1351306601216492e-17,2.6692959762751296e-17,3.254151766622759e-17,3.887331506316243e-17,4.566447129225562e-17,5.315756860461077e-17,6.165670126318421e-17,7.063212512840446e-17,8.005361489831288e-17,8.956927034247424e-17,9.978601217584147e-17,1.1002203508189772e-16,1.2093457406847847e-16,1.3216163349067328e-16,1.4330283981195135e-16,1.550750181521325e-16,1.781383597034098e-16,2.0274266825771392e-16,2.2795753236394995e-16,2.540599049749046e-16,2.8007048597598586e-16,3.0625985046579135e-16,3.3209533713365927e-16,3.5828396588041147e-16,3.843115709154913e-16,4.105004827483238e-16,4.3590290401870034e-16,4.608183990692382e-16,5.082490316733575e-16,5.586949677691009e-16,5.587233124728757e-16,5.594409053748337e-16,5.644937673341717e-16,5.864103102928558e-16,6.087402021426919e-16,8.545287316510395e-16,1.2076099487152985e-15,1.6182624580409796e-15,2.0846823590736767e-15,2.6051222275122305e-15,2.6600716785817164e-15,2.885068587864875e-15,3.029882453792813e-15,3.177889354760666e-15,4.473897917735218e-15,5.9601969762400434e-15,7.192709550284878e-15,1.0433193190998102e-14,1.585956980570976e-14,1.9513739681510396e-14,2.20989843350073e-14,2.903173401423569e-14,3.6555720348542e-14,4.458386009192518e-14,5.3041876994909414e-14,6.186641832051123e-14,8.040687821864561e-14,9.986147545454833e-14,1.1998012257576713e-13,1.4058088172516629e-13,1.6153139364192292e-13,2.1486870370389807e-13,2.6894139410792486e-13,3.2333368450191886e-13,3.778578822913228e-13,4.3242925804589083e-13,4.870095619992166e-13,5.961373564228003e-13,7.05188466588017e-13,8.141521362441895e-13,9.230261825890719e-13,1.0318101757036493e-12,1.249107802118542e-12,1.466045082462188e-12,1.6826222902628415e-12,1.8988397486102464e-12,2.1146978148657473e-12,2.6527732205975627e-12,3.1886114326743783e-12,3.722219503766675e-12,4.253604764824837e-12,4.78277468302379e-12,5.309736782120163e-12,6.357067669482743e-12,8.425566522485894e-12,1.0459579171306544e-11,1.2459579049501471e-11,1.4426036095409398e-11,1.635941709459765e-11,1.8260185711905388e-11,2.01288023732529e-11,3.7145390852409353e-11,7.331350842132397e-11,1.026276681998426e-10,1.177843420322911e-10,1.2002239252088093e-10,1.199783576006198e-10
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,1.331069771061858e-18,3.347840397712809e-15,2.6514082375425363e-14,8.718159654897355e-14,2.018971499054105e-13,4.598146027221734e-13,8.602347859072977e-13,1.4325309035626102e-12,2.6326404457583303e-12,4.299922563682668e-12,6.453063848911906e-12,9.121456015997468e-12,1.6099230836718205e-11,2.5338687816601452e-11,5.08764035339902e-11,1.842674671371118e-10,8.442972242610974e-10,2.021588673916559e-09,3.74714113346541e-09,9.011379819225061e-09,1.6956933580183197e-08,2.7814932294656385e-08,4.1725461255739545e-08,5.9096159113048163e-08,8.020459376802137e-08,1.3390661001872718e-07,2.0440876236379668e-07,2.9360665504757205e-07,4.0220319744384203e-07,5.306295025189027e-07,6.811746390393295e-07,8.540902308661758e-07,1.0485758854958174e-06,1.2750877726922383e-06,1.5452387961425666e-06,1.8450637024039123e-06,2.1755912163423634e-06,2.523908268815073e-06,2.9190315693109818e-06,3.329806090332922e-06,3.784716947399264e-06,4.274679628850063e-06,4.785132880934446e-06,5.336145738027944e-06,6.480274673396061e-06,7.790955603173797e-06,9.243365319154536e-06,1.0853692020541766e-05,1.2573630521114767e-05,1.4425441815196517e-05,1.634745229960321e-05,1.8483518319424628e-05,2.0746937685608712e-05,2.317212102419284e-05,2.5655462910487253e-05,2.8337883348673952e-05,3.3919749889942065e-05,4.0903786818161316e-05,4.089921175951237e-05,4.078567255335279e-05,4.0000880970929904e-05,3.680536332215818e-05,3.38651328479704e-05,1.4728877832084047e-05,5.348641441158111e-06,1.942304418058802e-06,7.053279791310448e-07,2.5613264147920026e-07,2.3145806078272368e-07,1.5434829540893007e-07,1.1981751066241205e-07,9.301194955179248e-08,1.2265532048772477e-08,1.617461835897416e-09,3.539523365797305e-10,1.0214172519275668e-11,6.450187735421104e-14,3.0888289674390123e-15,4.073254393006372e-16,2.572235473336777e-18,1.6243511428834577e-20,1.0257679319529333e-22,6.477662552192277e-25,4.0906048030117264e-27,1.6312703137233284e-31,6.505255212511625e-36,2.5941957318182904e-40,1.03452534379681e-44,4.125527824416831e-49,4.1431003161517675e-60,4.160747162225133e-71,4.178468706047704e-82,4.19626529865361e-93,4.2141372927550145e-104,4.232085038653153e-115,4.26820917881023e-137,4.304640495085728e-159,4.341381746327622e-181,4.3784356843442826e-203,4.415805066674571e-225,4.4824827267704764e-269,4.55016474654e-313,,,,,,,,,,,,,,,,,,,,,,,
Ag111,5.9405393871877314e-18,1.3604294278559958e-07,3.035677868389792e-07,4.693410375622037e-07,6.332277912599873e-07,8.488208222092975e-07,1.0611387251396102e-06,1.2702395177165082e-06,1.5779740838205838e-06,1.8787836385564937e-06,2.1728429973180246e-06,2.460312701650648e-06,3.016200260397457e-06,3.547674270408387e-06,4.542370102790248e-06,7.05532427718256e-06,1.0967711952971551e-05,1.3260048784058827e-05,1.4708526593483293e-05,1.6492966029706543e-05,1.7732464473305536e-05,1.8805796706024145e-05,1.983343471875362e-05,2.0831509746065038e-05,2.1802907601627086e-05,2.3739213106199605e-05,2.5600606874273693e-05,2.7404474719043234e-05,2.919969794159432e-05,3.094354313529288e-05,3.2627304771550835e-05,3.432456739693005e-05,3.597966279540787e-05,3.76592649270931e-05,3.940084004790201e-05,4.116144907980127e-05,4.2853741236748777e-05,4.450138865599189e-05,4.621202704152103e-05,4.7850315318199866e-05,4.951168238469907e-05,5.118207628259515e-05,5.282504833147683e-05,5.4440396072950866e-05,5.7516797491507005e-05,6.069227384167542e-05,6.382109619037237e-05,6.702615348600973e-05,7.017234125429008e-05,7.32551712761004e-05,7.63998202681075e-05,7.946131544677919e-05,8.253798795317692e-05,8.576219763635902e-05,8.882494288678045e-05,9.189519281076575e-05,9.767070763873863e-05,0.00010434999813141056,0.00010415890249001087,9.494641850966271e-05,4.950293261684579e-05,3.036892885519503e-06,1.8630655781042554e-07,1.406743611785148e-19,2.510530656014388e-34,4.4803928378925576e-49,7.99588723112603e-64,1.4269778412926204e-78,4.7815894684478036e-80,6.0282674867901e-86,1.2390252517248061e-89,2.546641432670902e-93,8.110898177027547e-123,2.5832718094870607e-152,1.947582997416563e-174,1.9880967632337864e-221,4.831045677934324e-269,2.73848140543e-313,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,6.072818729461718e-17,5.828529618075544e-17,5.59406262215472e-17,5.369025847456188e-17,5.153040931515255e-17,4.878514848929748e-17,4.6186135750510584e-17,4.372558141569055e-17,4.027834168116573e-17,3.710290388333189e-17,3.4177872010365465e-17,3.1483537002563036e-17,2.6715790137555503e-17,2.2671244505565242e-17,1.6334021493963846e-17,6.2859605143774194e-18,5.985915720041528e-18,3.475858995113078e-17,1.2447217100244212e-16,7.811866109334499e-16,2.5356123443221162e-15,6.64481489521213e-15,1.4205360126586322e-14,2.5691123843859747e-14,4.6490171437006576e-14,1.102276584843888e-13,2.332749994847671e-13,4.2700543133574704e-13,7.155202132251305e-13,1.1552046105637822e-12,1.6967716898562254e-12,2.3811864463340024e-12,3.383144516428765e-12,4.663026294642749e-12,6.244410761442663e-12,8.273568380992517e-12,1.0566463359989596e-11,1.3820536103556014e-11,1.7133046906767195e-11,2.0540729504952494e-11,2.5129707486390815e-11,2.9743903458599365e-11,3.636625750187183e-11,4.306357766440538e-11,5.6158207477478204e-11,7.392241503903984e-11,9.427901885639174e-11,1.1691754807315278e-10,1.4027943780688171e-10,1.7107012313550396e-10,2.0436606021098755e-10,2.4084839134104585e-10,2.9472789551460437e-10,3.406385295286052e-10,3.871126825851079e-10,4.318486295517493e-10,5.458689258277805e-10,6.784214309748086e-10,6.69592276564164e-10,4.826024334777711e-10,4.8759147885908336e-11,2.6393021438088316e-15,1.429012983746704e-19,1.5401143977218917e-23,1.0985448429972625e-23,9.354680398600317e-24,,,,5.67707051766404e-23,1.0745697039079957e-23,9.99159126400352e-23,,,1.603548220464262e-23,5.1691166276415986e-24,1.1119419866279881e-23,,,5.8233784382204184e-24,4.7630054765902336e-24,3.806867237331922e-24,2.1048627231386987e-24,3.1120996427505076e-24,,,,,,9.535386572360712e-28,2.5912651648415405e-27,1.2871703140876e-27,9.272292384833506e-28,1.684385457312695e-28,5.221369958243822e-29,,,,,,6.691853651156592e-35,2.1196759125413098e-36,3.994020891845318e-38,3.6596707721472794e-40,1.841126340247361e-41,9.701181534639416e-46,3.428806334707033e-50,5.550954899756761e-54,4.796674831593112e-58,2.833199956808034e-62,2.1595192675535318e-66,,,,,,,,,,1.976630074212211e-27,2.1091213878208538e-29,2.4831532777513957e-34,,8.071963541633288e-36
