Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
Ac225,1.6698966849063272e-09,2.4558014711863827e-14,1.3642449865598912e-14,9.711977960447164e-15,7.671188738008943e-15,6.094089122294291e-15,5.1167747796821865e-15,4.4438392435964636e-15,3.7430949766953525e-15,3.256315313602681e-15,2.8971164463566253e-15,2.6186924888767326e-15,2.2143275659263415e-15,1.933186155594799e-15,1.5645501114607706e-15,1.0466185340931282e-15,6.180577882081442e-16,4.2275105608719175e-16,3.0171582912373544e-16,1.5853821782806931e-16,8.443475415046972e-17,4.576606593733749e-17,2.6404210681378892e-17,1.7995748707763196e-17,1.6032334070195228e-17,2.3750231469584637e-17,4.247851233694669e-17,7.192463289098302e-17,1.1285099706936117e-16,1.6698621034945702e-16,2.3592182365729535e-16,3.211982250312967e-16,4.2391784191726913e-16,5.504554726495868e-16,7.11284580370977e-16,8.979054326218341e-16,1.1127612121039318e-15,1.3505333627991947e-15,1.6276042958353071e-15,1.9271033514244934e-15,2.267528573133665e-15,2.6449761982309263e-15,3.0450029828858333e-15,3.495505770896654e-15,4.464718027900025e-15,5.612081701310339e-15,6.927076331923031e-15,8.43229147660747e-15,1.0073481318876619e-14,1.1904330017914201e-14,1.3857623012164886e-14,1.6043617345151592e-14,1.8355979141012558e-14,2.0909368497072458e-14,2.357724320061693e-14,2.6431984489191826e-14,3.2475179909636584e-14,4.0053730720757793e-14,4.037645585976802e-14,4.4938011850596056e-14,6.410596487644923e-14,6.7243441123927e-14,5.533082252752879e-14,7.490370241798262e-14,9.805685372225404e-14,1.1700058080029215e-13,1.3278728700321168e-13,1.466274976291778e-13,1.479471302695303e-13,1.5315344434281138e-13,1.5636386712724901e-13,1.5955333836701856e-13,1.852334390657635e-13,2.129763932055849e-13,2.360350250480153e-13,2.9947990684853984e-13,4.186390454684633e-13,5.090559010136698e-13,5.781870053144485e-13,7.854290362535128e-13,1.0478962076442782e-12,1.3734515304985824e-12,1.7702509593771749e-12,2.2466568174304987e-12,3.472143950592205e-12,5.116956456678729e-12,7.244941292530816e-12,9.914364647259726e-12,1.3176619634412438e-11,2.4201998047060755e-11,3.974503936350646e-11,6.025952888338719e-11,8.621837582675998e-11,1.181671997990914e-10,1.5673062826756518e-10,2.565180500697707e-10,3.9167327808641767e-10,5.688683750369993e-10,7.952664245625855e-10,1.0785168590744186e-09,1.8486298427349593e-09,2.9499693622463036e-09,4.459685208381636e-09,6.4591078409878165e-09,9.030899140785234e-09,1.8482066069535367e-08,3.3076217358906313e-08,5.3492119479197185e-08,7.997330483760617e-08,1.1244222519072755e-07,1.5067010375393748e-07,2.434982031510174e-07,4.923458011012121e-07,8.285373920927453e-07,1.2590077173370686e-06,1.7902076795425922e-06,2.427677052980115e-06,3.1763957124653174e-06,4.041011406722918e-06,1.9960187168293466e-05,0.00018275412532179125,0.0014039870582529242,0.01067306417141989,0.018969243005136246,0.021275282751716883
Ac226,5.685722454566999e-09,7.810216136109405e-14,4.052765681873626e-14,2.6950797643455864e-14,1.988595638092832e-14,1.4426977890441482e-14,1.1062954079011645e-14,8.775389822633287e-15,6.4526055408309346e-15,4.9009586460387974e-15,3.807359925854639e-15,3.005375811691122e-15,1.938780140758403e-15,1.2919622284152027e-15,6.101865662263544e-16,8.28542367819813e-17,2.4987506930911378e-18,9.940476392511782e-19,7.296901672073373e-19,4.719239194678097e-19,3.6783661940230264e-19,3.5316729911978713e-19,3.862892264586942e-19,4.375607810336082e-19,5.252162681868337e-19,7.052366599418542e-19,9.452390605417097e-19,1.2065027309460354e-18,1.50133567432909e-18,1.863534896047845e-18,2.223397751569825e-18,2.6092843663495056e-18,3.1177283052866787e-18,3.685231461553198e-18,4.3179061183705734e-18,5.0594425371643314e-18,5.821462166990525e-18,6.792906437576768e-18,7.763954942106031e-18,8.708739341232645e-18,9.848768360921015e-18,1.1028712514657504e-17,1.2472580528939557e-17,1.3925790429584093e-17,1.6815798512423244e-17,2.031663408967361e-17,2.421095445836032e-17,2.856050993094769e-17,3.3101461176713306e-17,3.8457707556317205e-17,4.403793690230812e-17,5.048597433528193e-17,5.754772449687804e-17,6.492978280350406e-17,7.254002471191487e-17,8.076489876965285e-17,9.812445496705275e-17,1.201824574702466e-16,1.1850028342224565e-16,7.632135944049323e-17,6.237226226882047e-18,2.147711938635634e-18,7.647029268030414e-19,8.039807188540146e-24,4.980636460946649e-30,2.8005513938889648e-36,1.4920979332596037e-42,7.707967227893435e-49,1.810352376440988e-49,5.500239432433954e-52,1.467363303609852e-53,3.911810709924286e-55,9.802419126101113e-68,2.4134976417652337e-80,8.389371847577683e-90,7.065744002926311e-112,2.042838664239514e-143,2.4318907873359485e-162,5.881630559098893e-175,1.688968149654484e-206,4.8384318511070355e-238,1.3827242409340885e-269,3.9417247313521745e-301,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,9.624595253146006e-11,1.4194008299820593e-15,7.914756388812331e-16,5.665903331887436e-16,4.511869862616233e-16,3.6420704502264104e-16,3.129284204297845e-16,2.80334858608151e-16,2.5134383614204656e-16,2.37190141703375e-16,2.3286196797849733e-16,2.3556725372253655e-16,2.567061449206938e-16,2.9383337037542326e-16,4.0439162862307425e-16,9.545083597928354e-16,3.227581048475935e-15,6.727386122617117e-15,1.1424425303033098e-14,2.425473066952861e-14,4.160065844064936e-14,6.321575721627949e-14,8.887904046240606e-14,1.1852976420909594e-13,1.5180293856106555e-13,2.293611063932816e-13,3.204559472284092e-13,4.239113426763078e-13,5.391939625710655e-13,6.653253302401942e-13,8.021691709697862e-13,9.495081787560981e-13,1.105131282520685e-12,1.2744310482100735e-12,1.4656819171139946e-12,1.6655491152731238e-12,1.8724822335286156e-12,2.078800227101697e-12,2.29851246009736e-12,2.517415933617139e-12,2.7477341516174253e-12,2.9823433063821777e-12,3.2131144480244895e-12,3.4542218737468433e-12,3.923809239729997e-12,4.413568886114512e-12,4.902411304183801e-12,5.4036983970456125e-12,5.887790359948809e-12,6.371468901509083e-12,6.838823663956278e-12,7.295514973581907e-12,7.739859872809475e-12,8.180763671379198e-12,8.593416563264136e-12,8.984419251666453e-12,9.743490659916893e-12,1.0465781956977445e-11,1.0549849071495967e-11,1.1748340060611257e-11,1.7648105045948826e-11,3.107098647106333e-11,3.7941930161525054e-11,8.676394051019927e-11,1.5677909042175476e-10,2.4382530857669004e-10,3.45408608900601e-10,4.6022855359592424e-10,4.724251583746016e-10,5.225142772293757e-10,5.548828114698242e-10,5.880738328661221e-10,8.83799793141252e-10,1.234984047890647e-09,1.5361735917968087e-09,2.370703450647032e-09,3.902795219113517e-09,5.026477986447362e-09,5.865007108830716e-09,8.287835238424581e-09,1.1198370368388606e-08,1.4620299549003975e-08,1.857361227235826e-08,2.307419018639312e-08,3.375805340420369e-08,4.670615969515695e-08,6.187825352133271e-08,7.91687000455257e-08,9.842262644518851e-08,1.539138796079196e-07,2.1761623632653445e-07,2.873272984027518e-07,3.618059486655125e-07,4.405466817091655e-07,5.23465216903433e-07,7.023362267126322e-07,8.997655739982958e-07,1.1170272191907169e-06,1.3551695220043266e-06,1.6151190337168208e-06,2.2039024666414145e-06,2.8898695589912907e-06,3.6783879863320996e-06,4.573040248580773e-06,5.575153540521888e-06,8.536941716688302e-06,1.207542524142413e-05,1.6045491181500525e-05,2.0285077956080837e-05,2.4656177421698948e-05,2.906453455318523e-05,3.782314199322886e-05,5.513889848656354e-05,7.294950164787361e-05,9.187526326674057e-05,0.00011216208061031604,0.00013390283455734744,0.0001571410128249628,0.00018190456917267726,0.0005176566720649137,0.002706111418436463,0.014243712611189488,0.07241491102819632,0.08939911743498835,0.10326198882382699
Ag111,1.2141306993166808e-10,4.099785602622643e-05,5.095613759457711e-05,5.6236118721474656e-05,6.009329068230177e-05,6.422845866845936e-05,6.766947010737571e-05,7.061734793129345e-05,7.431929282344453e-05,7.743218676991838e-05,8.01496681635322e-05,8.252985561747158e-05,8.661796301152796e-05,9.008058913005358e-05,9.582414321556897e-05,0.00010832778746918332,0.00012402942065906002,0.00013102539192459632,0.00013478085289494362,0.000138754466928706,0.00014240156101272722,0.0001463192073233801,0.00015062480141273736,0.00015527616411726953,0.00015983414174650736,0.00016968499839218847,0.00017935004444001853,0.00018868082128403407,0.00019811272439872649,0.00020721482074100277,0.00021608409967260013,0.00022525044199848276,0.00023394080247032196,0.0002425696834837881,0.0002516392448909872,0.000260770989088086,0.00026930160928560147,0.0002774857787365167,0.0002859865851166935,0.0002941531845875876,0.00030223542297731293,0.0003103012925429405,0.00031821800519224214,0.0003257940235670787,0.00034037572623891045,0.00035496996514200284,0.00036875125328134865,0.00038301229409989294,0.00039633680826396466,0.00040945034125157507,0.00042269237401482216,0.00043470814589624616,0.00044659819458910474,0.0004591869357640414,0.0004704619311374426,0.00048135605591728903,0.0005030553768781751,0.0005251735151136077,0.0005283957270468811,0.0005356909702078238,0.00041579886983090077,4.323110797659338e-05,3.119816321531069e-06,3.837434695062417e-18,8.756699266792018e-33,1.813674577568778e-47,3.559371957390551e-62,6.7729229083670165e-77,2.2815259459791413e-78,2.9332425867500593e-84,6.096338834739294e-88,1.2661184325002943e-91,4.304772674229932e-121,1.438084109619679e-150,1.1175248618606136e-172,1.2136988726773686e-219,3.1940297212392267e-267,1.8951627949917e-311,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am240,1.906574955208011e-10,2.6981627438052153e-15,1.4424213641969972e-15,9.882033232449239e-16,7.511966056200738e-16,5.670522943733633e-16,4.524350526534742e-16,3.734095165077933e-16,2.914051946384405e-16,2.3489656260317266e-16,1.936611053299629e-16,1.6222892819775573e-16,1.1785277735109883e-16,8.842739792496796e-17,5.293093383681005e-17,1.4825814001657005e-17,1.0398322486850328e-17,5.2758993408028744e-17,1.752085517977041e-16,1.0095480755147281e-15,3.127897510146252e-15,7.941755185951908e-15,1.6571995616841542e-14,2.941651062420669e-14,5.2352845557210384e-14,1.2102963312704068e-13,2.5104029146109737e-13,4.516101355551822e-13,7.457270963813894e-13,1.188320783679389e-12,1.726191707712015e-12,2.40036887439197e-12,3.3790408459812765e-12,4.6137764982203804e-12,6.1261603591919274e-12,8.05166105896433e-12,1.0200086682187767e-11,1.3237807520206045e-11,1.6287305870525185e-11,1.9396734415308784e-11,2.356400567506405e-11,2.770050285237632e-11,3.365173503394299e-11,3.9587306168594005e-11,5.1050632422751594e-11,6.641380326388364e-11,8.36774246157376e-11,1.0262947846894255e-10,1.2170725374196185e-10,1.4687947873370298e-10,1.7368601606972072e-10,2.023996621881722e-10,2.44967423054174e-10,2.8016339851705116e-10,3.1495677525645993e-10,3.474795078385468e-10,4.318807418060567e-10,5.244860414140572e-10,5.217919116162175e-10,4.1826281043526964e-10,6.291185477217939e-11,5.771384489089975e-15,3.675877787433266e-19,6.453614687127764e-23,5.885951794758545e-23,5.816962056457531e-23,,,,4.243300233648564e-22,8.12171109825751e-23,7.63071433890273e-22,,,1.4134070355270065e-22,4.847454782084661e-23,1.1292859994280471e-22,,,6.860892262860827e-23,6.021684738882646e-23,5.1520941156962943e-23,3.041856492112299e-23,4.790297002401253e-23,,,,,,2.818904604173138e-26,8.653323758535541e-26,4.720623959575127e-26,3.664137712095669e-26,7.081998004338912e-27,2.3161797476991022e-27,,,,,,4.8727747658880095e-33,1.724399278332093e-34,3.603451514873639e-36,3.6374428622728846e-38,2.0032242100178598e-39,1.2884402284396045e-43,5.358968986961247e-48,9.875433925849866e-52,9.440549609157172e-56,6.027823181143812e-60,4.8784843512743555e-64,,,,,,,,,,3.0110954488699765e-24,1.208085772909453e-25,6.300592941592919e-30,,2.8671751072517306e-31
Am241,8.80708487622552e-13,1.4838680117659998e-17,3.268323420294042e-17,1.1624117874359228e-16,3.14769145600863e-16,8.612818250134135e-16,1.8780084181073257e-15,3.543600098939024e-15,7.69847562948408e-15,1.450743819646503e-14,2.478127389508247e-14,3.937503288488815e-14,8.547680483368752e-14,1.6155366836706306e-13,4.454050736454029e-13,3.332212291410523e-12,4.395685582431618e-11,2.0540526033980688e-10,6.217762853499116e-10,2.986729320334562e-09,9.126425002877732e-09,2.1656894620207367e-08,4.373376531639124e-08,7.907830033937179e-08,1.3157334943750756e-07,3.0642964887608434e-07,6.076845806684372e-07,1.0779136141600184e-06,1.7646512179113844e-06,2.7162993721824886e-06,3.984165586039876e-06,5.618023542741775e-06,7.655581984657081e-06,1.0239234523234669e-05,1.3602696506712644e-05,1.763405259396313e-05,2.238359449740922e-05,2.7706911638197957e-05,3.401303068267796e-05,4.094800355546359e-05,4.8971331625208294e-05,5.7899598287527e-05,6.742879561046571e-05,7.820325817388607e-05,0.00010153122426198248,0.00012947100512155873,0.00016123299328789267,0.00019760944478766998,0.00023695766220652555,0.0002801468085533711,0.0003259446347550159,0.00037526005864605945,0.0004275311453170085,0.0004835231647079129,0.0005407543639788115,0.0005998864665438674,0.0007240245223221691,0.0008666065193724102,0.0008736137129161647,0.0009741409326620197,0.001476632292113794,0.0026938455071658755,0.0033929627294031943,0.009095789656424024,0.016933666554145143,0.025505408956337856,0.034167336770085564,0.04263396641894945,0.043466252750742056,0.04676835022782676,0.04881034552191367,0.05083585989915073,0.06649406977619667,0.08132653689179797,0.09201006508559065,0.11577259199703352,0.14758204159665464,0.16574464602655695,0.17753170020892176,0.20601581792409546,0.23326743996264862,0.2594442064079679,0.2846582963717854,0.3089886792279898,0.3551890333653653,0.398247687292356,0.43817504498457216,0.474900828613164,0.5083538622738529,0.577691119636168,0.6281420050584565,0.6631614481750797,0.6866496713977182,0.7019488731097919,0.7115457247602178,0.719924355557246,0.7196894343476911,0.7143509645528656,0.7056112018342829,0.6944211912235547,0.6669225014808663,0.6348607786183572,0.5999059855866726,0.5631107866336761,0.5252314101345478,0.42964359293121274,0.33882393560300234,0.25846179462968466,0.19162160758001506,0.1388230487781737,0.09879010956219154,0.048241682467529884,0.010731663522450932,0.0023371425349096686,0.0005282631588775308,0.00014144598284009994,5.828760249200713e-05,3.974471508814864e-05,3.4925429605289184e-05,2.316559609636929e-05,5.323265340022088e-06,3.4028923679325675e-07,4.356554929560336e-10,1.274087955121407e-20,2.968280240607225e-38
Am242,3.1271473500118493e-10,4.049483284504218e-15,1.981299407372276e-15,1.2443964379259574e-15,8.732535613191568e-16,6.135364804290472e-16,5.024110442720598e-16,5.050694977705803e-16,7.352819860809797e-16,1.309982122042989e-15,2.360691601375903e-15,4.05683418001851e-15,1.0219747003687981e-14,2.173049357893076e-14,7.118572069832377e-14,7.003679243608231e-13,1.1535258669406888e-11,5.883300031732418e-11,1.8554592928363852e-10,9.341689257543634e-10,2.9183122959153614e-09,7.006419423476675e-09,1.4312324608597686e-08,2.598525201430224e-08,4.336277943830186e-08,1.019294994183785e-07,2.029550254543448e-07,3.608247680587368e-07,5.936251697329539e-07,9.150427103952189e-07,1.3418266097325146e-06,1.8961657578375971e-06,2.5906261978168547e-06,3.470654141540252e-06,4.6057828674409906e-06,5.990032663632706e-06,7.600955131036287e-06,9.42555171706024e-06,1.1611440957338284e-05,1.3983152609950755e-05,1.674491994810262e-05,1.983319753249577e-05,2.3213231689266025e-05,2.6980194559201895e-05,3.5074854202453484e-05,4.485207200393362e-05,5.6060650129942084e-05,6.91475132831476e-05,8.322953955678744e-05,9.8891491289245e-05,0.00011564057974102892,0.00013401102340188003,0.0001533827073778682,0.00017487977485067984,0.00019660075060601732,0.00021919948409556092,0.0002677711195716508,0.00032520696798596285,0.0003144677003857712,0.00012385486380362345,2.2532632683750545e-07,1.6416965067398692e-07,1.9304186380301224e-07,3.13201013033397e-07,3.9850937635903344e-07,4.6022840948794713e-07,5.036204790171598e-07,5.343454166547735e-07,5.36911817752994e-07,5.464518649367603e-07,5.518893521068905e-07,5.569756854354531e-07,5.887677663959651e-07,6.115190470854859e-07,6.25686548649508e-07,6.543376186511272e-07,6.914470701013977e-07,7.131772274559262e-07,7.276180998902127e-07,7.63674154219964e-07,7.995988158663679e-07,8.351874717915009e-07,8.701929639619679e-07,9.043619477882029e-07,9.692156162387842e-07,1.0279637709878408e-06,1.079184719859246e-06,1.1219143401334104e-06,1.1556753688345911e-06,1.2016166266132883e-06,1.2004894817651692e-06,1.1660415193523073e-06,1.1112163146228906e-06,1.0456624937591632e-06,9.757268254010695e-07,8.365713951479874e-07,7.086873901679398e-07,5.960941719210609e-07,4.98956120878486e-07,4.1611508561974845e-07,2.8698086434606553e-07,1.9617466746663326e-07,1.3311721769123673e-07,8.972866392450683e-08,6.009993798171727e-08,2.1482991272854096e-08,7.403207695371048e-09,2.4677225133461086e-09,7.994490356890502e-10,2.530712686008099e-10,7.868882520440235e-11,7.334568145656635e-12,5.932454900027797e-14,4.649271589304106e-16,3.6147070074922405e-18,2.802707507133472e-20,2.1697082674786336e-22,1.6775066068301234e-24,1.295405893126068e-26,9.236621507029113e-48,,,,1.0900412144534394e-233,
Am243,5.169514202134989e-14,1.0234761439948108e-18,6.657221826930603e-19,5.201157488934811e-19,4.354770951024819e-19,3.63325681166971e-19,3.1587931000783455e-19,2.8442351685441614e-19,2.62158906143828e-19,2.7281288848768537e-19,3.275842188466546e-19,4.454323704151334e-19,9.812668011123698e-19,2.172917382668779e-18,8.382627616192444e-18,1.2464938976033065e-16,3.630380628247426e-15,2.6608321390994884e-14,1.0961049626444329e-13,8.07735018968754e-13,3.3610454718164624e-12,1.0084136924211603e-11,2.4821505068885528e-11,5.260704310163954e-11,1.0100816135847354e-10,3.006640179053415e-10,7.227731071916685e-10,1.5143566881257687e-09,2.871833928911945e-09,5.0235868376222156e-09,8.263634721148876e-09,1.2998017187499247e-08,1.948905294042212e-08,2.8616326281602497e-08,4.181865661632744e-08,5.91110623670617e-08,8.167001884990943e-08,1.0895104275693583e-07,1.441019891871536e-07,1.8586186213010733e-07,2.3788190962486065e-07,3.0023649459699367e-07,3.7107227563422534e-07,4.569959089712708e-07,6.603275218716705e-07,9.348737302803984e-07,1.2840587260652598e-06,1.732842114424552e-06,2.2665213093544265e-06,2.912353667884835e-06,3.657141230574082e-06,4.556871682944127e-06,5.599222186713965e-06,6.8188610057346155e-06,8.185056621088195e-06,9.718819223385234e-06,1.3323737688610338e-05,1.829314306694942e-05,1.8441202890006176e-05,2.0525193758131383e-05,3.0557217794788524e-05,5.17874897265323e-05,6.091938473307426e-05,9.923099961773406e-05,0.0001268690417741352,0.00014722563678238712,0.00016188488327588307,0.00017259090076733583,0.00017350342763370518,0.00017692702031676418,0.00017890294418337557,0.000180769405884911,0.00019293831436945885,0.00020233461418302077,0.00020852412661994649,0.00022178203739994993,0.0002400753704165491,0.0002512260124522752,0.00025879522751324965,0.0002782434112025941,0.00029843716032767467,0.0003193218440027336,0.0003408192158665685,0.00036283952286474597,0.0004080563979951179,0.0004541558865847788,0.0005003226596133549,0.0005458096982780588,0.0005899898029094464,0.0006919777419817272,0.000779833562737804,0.0008544267664919921,0.0009184946924316169,0.0009749599012240142,0.001026220374106404,0.0011195660054765205,0.001206801079717293,0.0012916062830329047,0.0013756625524320516,0.0014598132743384893,0.0016300666448296921,0.0018041137660343453,0.0019820919638713556,0.002163163487594345,0.002345852709396289,0.002797002810916929,0.003215063231638905,0.0035746814178318734,0.003862809020087642,0.0040787466523251395,0.0042302728895502045,0.004387051566525369,0.004392566792128561,0.004261422381755889,0.004101365789651699,0.003936578514053791,0.003772491085751485,0.0036105790273147503,0.0034514709445682057,0.0020795476502228206,0.00032848481381330313,1.12428375264355e-05,4.621191930634915e-09,5.919197234078008e-10,6.690009125478784e-10
Am244,7.605470050068423e-10,9.126130257774092e-15,4.136767591761861e-15,2.4030938908322304e-15,1.5489574752582664e-15,9.384313601108662e-16,6.009605453125746e-16,3.9811430262473847e-16,2.234489743424713e-16,1.2957620746546374e-16,7.688612869881391e-17,4.639221344062467e-17,1.7605033571763373e-17,7.1465650563083e-18,2.4872167728486016e-18,2.4702666168015705e-17,8.698653509438293e-16,6.84145003881849e-15,2.9209586981215235e-14,2.2323326915242631e-13,9.522269207466396e-13,2.897253834354751e-12,7.1791296808977975e-12,1.5250768825318658e-11,2.967382601565568e-11,8.880591904892526e-11,2.1545784148007475e-10,4.560998779787057e-10,8.721115222938111e-10,1.5325615781244105e-09,2.5353671728866772e-09,3.992940663569803e-09,6.045959368940983e-09,8.886445989901403e-09,1.3018729735052757e-08,1.860264252928983e-08,2.5761026286784236e-08,3.451770412029764e-08,4.613336938819067e-08,5.938254914361089e-08,7.621757904503912e-08,9.697931723480477e-08,1.2052051985519726e-07,1.497036313181222e-07,2.1678022899107007e-07,3.0870637314865205e-07,4.295728732781908e-07,5.85286752063753e-07,7.690865450774226e-07,1.005825521162317e-06,1.2653874382368714e-06,1.593741178616988e-06,1.9813777764067576e-06,2.4278293344835086e-06,2.942589764824099e-06,3.5282081511944538e-06,4.8820446488489745e-06,6.856519636593171e-06,6.470578884941761e-06,1.386101835913448e-06,2.029453173719337e-11,2.426720116363168e-20,2.83836061854596e-20,4.361593749998658e-20,5.1839402353983174e-20,5.584182963338835e-20,5.69449977101156e-20,5.627158950953957e-20,5.613990325890023e-20,5.552810092710201e-20,5.508682822588144e-20,5.460846207489566e-20,5.000555221540507e-20,4.4974562024352014e-20,4.130276768210808e-20,3.3562471167344696e-20,2.4731262928347343e-20,2.0546722593105084e-20,1.8147639719554304e-20,1.3281693190046994e-20,9.697194998392147e-21,7.0629574007264e-21,5.131529286941306e-21,3.718794273974134e-21,1.9379275339032356e-21,9.994295735437359e-22,5.101847020372889e-22,2.5789837212778453e-22,1.2917605466059616e-22,2.2143957067839984e-23,3.647462235053553e-24,5.841032225777068e-25,9.177350944285932e-26,1.4238144767234948e-26,2.1904495826109978e-27,5.104983149897753e-29,1.1755261468333655e-30,2.6876873649065054e-32,6.1152260362784015e-34,1.3862766443161682e-35,7.064183249871394e-39,3.567997275931369e-42,1.7889095909698547e-45,8.909594395754718e-49,4.4093373580536245e-52,2.338974490681925e-60,1.1961402266829565e-68,5.916841219565918e-77,2.844564619341485e-85,1.3362856120878784e-93,6.16596337771709e-102,1.2656839877823838e-118,4.964904276654604e-152,1.8870660242247064e-185,7.115427233052905e-219,2.675662412501807e-252,1.00457099772259e-285,0.0,,,,,,,
As74,5.090193421445848e-11,2.0981958474559362e-14,2.291758666302598e-14,2.4355712000894668e-14,2.561487685901171e-14,2.714021854796061e-14,2.85260446550979e-14,2.97887459853499e-14,3.151509581941817e-14,3.3082004917033865e-14,3.457419955988291e-14,3.598175208890626e-14,3.8673110337484745e-14,4.1292497786330654e-14,4.6596439571975983e-14,6.411981347024966e-14,1.1478180328716372e-13,1.7913072134788158e-13,2.5131790426766473e-13,4.1369241415212243e-13,5.874677901544175e-13,7.675317242337707e-13,9.482109801384149e-13,1.1213520162894283e-12,1.2921549641359992e-12,1.6203279856118678e-12,1.9318936185648166e-12,2.248976667426572e-12,2.5327373125850845e-12,2.8148325686644794e-12,3.0829854639734334e-12,3.3120997580680025e-12,3.5704040494658874e-12,3.821404046596612e-12,4.101729082648444e-12,4.326689837430752e-12,4.565288827893116e-12,4.7930762405177425e-12,5.015592349919714e-12,5.176632013354798e-12,5.406235556136994e-12,5.580272677227249e-12,5.783032546780899e-12,6.058926653847126e-12,6.329582467394805e-12,6.631970995882905e-12,7.05853680988592e-12,7.234839802788167e-12,7.50825160501347e-12,7.91607264964225e-12,8.082530779417066e-12,8.214939420659472e-12,8.835510761729271e-12,8.665630479179643e-12,8.89860758159508e-12,9.13199552287753e-12,9.434027396942699e-12,1.0083316530397841e-11,1.0147941401056508e-11,1.0854464590222401e-11,1.2298197769282534e-11,6.46763346494502e-12,2.3608528791833727e-12,3.1833877937205815e-17,2.6693847521847873e-23,2.0316659292278037e-29,1.4651716210307846e-35,1.0245035028710611e-41,2.4801899677268507e-42,8.505432313903293e-45,2.4475020040358368e-46,7.037750045869835e-48,3.231127624365337e-60,1.4575805375730033e-72,7.978821594234584e-82,1.9389011769915375e-103,2.5470879363049844e-134,7.519711749528997e-153,3.332112878240273e-165,4.347659432231838e-196,5.659144452419757e-227,7.348417478668654e-258,9.518239554522144e-289,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
