Days,Keff,Discharge Step,Discharge Time,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/GWe.y),Volume Ueq,Mass U
1658.7448683089935,0.0,57,1658.7048683089936,0.0,0.0,2356006592123.885,879486551.7189729,0.2286771083783785,3161634.263564703,4238.375812600524,58598756499.96937,1.4573224353001775e+19,2.0706165378152382e+25,0.33,21.8,13.825757575757574,301.4015151515151,164.00239084657193,1595.8611021351617
1659.7448683089935,0.0,57,1658.7048683089936,0.0,0.0,1789905587401.0786,668163619.8423344,0.16642214843632525,2300912.2795173754,3810.8918659509773,52688467086.064644,1.4577320550786363e+19,2.071198540443448e+25,0.33,21.8,13.825757575757574,301.4015151515151,164.00239084657193,1595.8611021351617
1666.7448683089935,0.0,57,1658.7048683089936,0.0,0.0,895610131898.8342,334327191.2826898,0.09488283714589771,1311827.1044792677,2559.823299373961,35391496373.920296,1.458770616036847e+19,2.0726741654962917e+25,0.33,21.8,13.825757575757574,301.4015151515151,164.00239084657193,1595.8611021351617
1696.7448683089935,0.0,57,1658.7048683089936,0.0,0.0,446198792995.30835,166563981.24881682,0.043558804043055274,602233.4649892112,1510.4121560876888,20882592309.545696,1.4618373380086288e+19,2.077031475229429e+25,0.33,21.8,13.825757575757574,301.4015151515151,164.00239084657193,1595.8611021351617
1726.7448683089935,0.0,57,1658.7048683089936,0.0,0.0,327421311270.15186,122224887.2184601,0.02932455700677753,405434.2161921893,1283.9895244106294,17752127894.313625,1.4634889079804189e+19,2.079378085707736e+25,0.33,21.8,13.825757575757574,301.4015151515151,164.00239084657193,1595.8611021351617
2026.7448683089935,0.0,57,1658.7048683089936,0.0,0.0,96562722944.45963,36046425.55369885,0.005620084541408631,77701.9264247784,788.1997961876449,10897459303.351908,1.4654123958989066e+19,2.0821110470605805e+25,0.33,21.8,13.825757575757574,301.4015151515151,164.00239084657193,1595.8611021351617
2391.7448683089933,0.0,57,1658.7048683089936,0.0,0.0,63438231677.59394,23681203.529647283,0.0035779801774032255,49468.28654364307,616.4352401935596,8522684192.070047,1.4654162848445807e+19,2.082116572615552e+25,0.33,21.8,13.825757575757574,301.4015151515151,164.00239084657193,1595.8611021351617
2756.7448683089933,0.0,57,1658.7048683089936,0.0,0.0,49671623286.00767,18542191.192560814,0.0029334723500690435,40557.47756724245,531.1523327678618,7343583388.646574,1.465416222313942e+19,2.082116483769754e+25,0.33,21.8,13.825757575757574,301.4015151515151,164.00239084657193,1595.8611021351617
3121.7448683089933,0.0,57,1658.7048683089936,0.0,0.0,42126547345.509186,15725648.639772462,0.002557209773072999,35355.362392865325,483.00947513554735,6677971910.017983,1.4654161576619233e+19,2.0821163919098223e+25,0.33,21.8,13.825757575757574,301.4015151515151,164.00239084657193,1595.8611021351617
3486.7448683089933,0.0,57,1658.7048683089936,0.0,0.0,37503543229.93226,13999902.217082664,0.002304795448189156,31865.5431283728,453.0054858258045,6263144027.515858,1.4654160930087352e+19,2.0821163000482294e+25,0.33,21.8,13.825757575757574,301.4015151515151,164.00239084657193,1595.8611021351617
