Days,Keff,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y)
0.0,1.1087498436894685,76969.0200129499,0.0,22761.747082103368,8.49685672326245,1.634427891319967e-08,0.22597203800446514,0.0010520171110771114,14544.933543300971,999.9999999999999,1420836245.747315
0.125,1.1064088553310096,76969.0200129499,0.0060288000558107934,604122830284.4828,225516306.53233248,0.05068889188263799,700812.3309531388,71.34724962745625,986429777.04627,58643912105116.09,8.332339591136867e+19
0.25,1.103692793668568,76969.0200129499,0.012057600111621587,666851577083.2324,248932662.58163846,0.05982828590559733,827171.3771039024,128.09186446216796,1770967065.4807312,316928664808482.75,4.503037342761938e+20
0.375,1.1024542987143484,76969.0200129499,0.018086400167432383,722797427225.5579,269816994.14044976,0.0672526663529234,929819.0613188273,179.44673232071744,2480987018.8281007,749903307738178.6,1.0654898004402071e+21
0.5,1.0976306438983785,76969.0200129499,0.024115200223243174,772904609020.6926,288521777.3446563,0.0733633741928765,1014304.2265303001,226.5668387015141,3132458186.592903,1300273100766449.8,1.8474751509392224e+21
0.6666666666666666,1.0970158364063505,76969.0200129499,0.03215360029765757,828706706875.7755,309352446.8280594,0.0797312997101414,1102345.6209924852,284.15211234276796,3928618219.8905416,2145195563834402.0,3.047971611312266e+21
0.8333333333333334,1.0959352041167258,76969.0200129499,0.04019200037207196,876708338248.6737,327271237.6303287,0.08476996410121104,1172008.9733690163,337.1644309427472,4661553685.382678,3062582704604601.0,4.3514285123010597e+21
1.0,1.0945113630709817,76969.0200129499,0.04823040044648635,920856237745.4886,343751447.8402193,0.08902879503405459,1230890.5374026485,386.7555732263721,5347188796.5009775,4018926866512448.0,5.710236960948567e+21
1.25,1.0944767741321415,76969.0200129499,0.060288000558107936,984728173813.7396,367594551.24751526,0.09466761596548903,1308851.5086137687,456.52089713896777,6311747252.110728,5489776688971700.0,7.800073700749676e+21
1.5,1.0918786070017417,76969.0200129499,0.07234560066972953,1040224701444.6455,388311152.75518864,0.09929042038458089,1372765.2818322736,521.6961232206506,7212844127.861268,6980751123044308.0,9.918504218162627e+21
1.75,1.0895607755367995,76969.0200129499,0.0844032007813511,1086566351729.649,405610280.16271555,0.10303031114249961,1424472.104811074,582.8931913858307,8058939956.660159,8480505065751209.0,1.2049408979663036e+22
2.0,1.0887069200487354,76969.0200129499,0.0964608008929727,1131719145546.753,422465612.85466856,0.10657514797923677,1473482.1595614175,640.9757331320297,8861975098.226927,9984623669955798.0,1.4186515210419774e+22
2.5,1.0898371913937255,76969.0200129499,0.12057600111621587,1209976000950.0046,451678541.2637233,0.11264907155758669,1557458.7544893613,748.7116162246879,10351505300.076178,1.3000153677089904e+16,1.847108954469457e+22
3.0,1.0894976737993665,76969.0200129499,0.14469120133945906,1277972536921.176,477061339.06659806,0.11792786314299225,1630442.0472421276,846.7883702600553,11707490725.18637,1.6022684047796376e+16,2.2765610249266395e+22
4.0,1.0879125603848498,76969.0200129499,0.1929216017859454,1392561343126.7944,519836819.5649454,0.12697202693394294,1755484.4632912562,1019.2246916050751,14091553501.358046,2.2086591297580284e+16,3.1381429460609295e+22
7.0,1.0878939546662187,76969.0200129499,0.3376128031254044,1611493566166.7,601563223.2792737,0.14552231037656055,2011956.1851304772,1400.3592709935679,19361027799.721676,4.042516750465432e+16,5.74375432310194e+22
14.0,1.0861957008277523,76969.0200129499,0.6752256062508089,1844784343703.162,688649610.1210098,0.1690641193665842,2337439.529121334,1901.3132958938804,26287096704.593422,8.40332775355993e+16,1.1939752657152309e+23
21.0,1.0832899220854169,76969.0200129499,1.0128384093762135,1956037646426.3682,730179962.3307521,0.18247529242000352,2522859.1565644424,2175.9655674141286,30084372428.26352,1.286854254118757e+17,1.828409167246056e+23
28.0,1.0835368564098005,76969.0200129499,1.3504512125016177,2016991845328.308,752933887.716306,0.19088570247175946,2639139.447052735,2346.4069381999516,32440853501.628117,1.7425979778496048e+17,2.475946368694695e+23
42.0,1.0784880801374925,76969.0200129499,2.025676818752427,2116598363899.6965,790116548.3421025,0.2031335520144207,2808475.2456539227,2555.7252019945686,35334837073.03097,2.6776607147550035e+17,3.804517397337571e+23
56.0,1.0769186156342891,76969.0200129499,2.7009024250032354,2181562639420.917,814367417.1020128,0.2106582507325843,2912509.905961866,2677.4212916822817,37017377706.97094,3.6386043968367917e+17,5.1698610109612607e+23
70.0,1.0754238776404033,76969.0200129499,3.3761280312540447,2234858130384.494,834262381.6264844,0.21622719999771495,2989504.8484532554,2763.4573207792528,38206890988.046486,4.620222567602821e+17,6.564579687469812e+23
84.0,1.0724120068220355,76969.0200129499,4.051353637504854,2280027116358.0186,851123758.7768285,0.22064981672851364,3050650.875223768,2831.1560517716484,39142877230.93377,5.6187545520876736e+17,7.983330123563886e+23
98.0,1.0718404759271325,76969.0200129499,4.726579243755662,2311176868567.6577,862751819.6869041,0.22377911535135278,3093915.799365294,2884.5516300496556,39881111551.82289,6.631276701175328e+17,9.421958292609592e+23
112.0,1.0697781057537414,76969.0200129499,5.401804850006471,2343916822565.453,874973495.6963083,0.22682574531602592,3136037.766679904,2932.967328959123,40550495267.80605,7.655571469136402e+17,1.0877313425258022e+24
140.0,1.0644847726318734,76969.0200129499,6.752256062508089,2384323845945.6587,890057253.8558509,0.23080927206074986,3191113.041749004,3008.051274268788,41588587693.48892,9.733800076809683e+17,1.3830135957989196e+24
168.0,1.0614227740791944,76969.0200129499,8.102707275009708,2415977694112.8994,901873491.4955539,0.23385452802258483,3233216.0124334646,3069.100686379763,42432642065.47778,1.1844335639479063e+18,1.6828861383368554e+24
