,Years,#packages per GWe.y,Area per package (m2),Total area (m2),Required st (y),n_wf,Decay heat (W/Pkg),Reactor
0,3.0,89.3136794299585,22.967606590909096,0.0020513214523338,1.0,18,454.1015197906879,HPR
1,5.0,89.3136794299585,22.967606590909096,0.0020513214523338,1.0,18,356.78233537968134,HPR
2,10.0,89.3136794299585,22.967606590909096,0.0020513214523338,1.0,18,269.5061123671007,HPR
3,20.0,89.3136794299585,22.967606590909096,0.0020513214523338,1.0,18,218.11297079596864,HPR
4,50.0,89.3136794299585,22.967606590909096,0.0020513214523338,1.0,18,144.08575558537453,HPR
5,100.0,89.3136794299585,22.967606590909096,0.0020513214523338,1.0,18,87.49052159725565,HPR
6,3.0,19.138645592133965,0.0,0.0,10.0,84,2119.140425689877,HPR
7,5.0,19.138645592133965,0.0,0.0,10.0,84,1664.9842317718462,HPR
8,10.0,19.138645592133965,268.289997366104,0.0051347071755044,10.0,84,1257.6951910464695,HPR
9,20.0,19.138645592133965,134.05366920455216,0.002565605665231,10.0,84,1017.8605303811868,HPR
10,50.0,19.138645592133965,62.07760352527264,0.0011880812530791,10.0,84,672.4001927317478,HPR
11,100.0,19.138645592133965,41.06039454409886,0.0007858403390526,10.0,84,408.28910078719304,HPR
12,3.0,20.61084909922119,0.0,0.0,4.0,78,1967.7732524263145,HPR
13,5.0,20.61084909922119,130.6154600730864,0.0026920955375917,4.0,78,1546.0567866452857,HPR
14,10.0,20.61084909922119,110.0886706938751,0.0022690209792053,4.0,78,1167.8598202574362,HPR
15,20.0,20.61084909922119,84.74835323810161,0.001746735519998,4.0,78,945.1562067825308,HPR
16,50.0,20.61084909922119,50.3091278793102,0.0010369138430338,4.0,78,624.371607536623,HPR
17,100.0,20.61084909922119,37.76469624770445,0.0007783624556393,4.0,78,379.1255935881078,HPR
18,3.0,267.94103828987545,22.616634722222223,0.006059924590095,1.0,6,151.36717326356265,HPR
19,5.0,267.94103828987545,22.616634722222223,0.006059924590095,1.0,6,118.92744512656044,HPR
20,10.0,267.94103828987545,22.616634722222223,0.006059924590095,1.0,6,89.83537078903356,HPR
21,20.0,267.94103828987545,22.616634722222223,0.006059924590095,1.0,6,72.7043235986562,HPR
22,50.0,267.94103828987545,22.616634722222223,0.006059924590095,1.0,6,48.02858519512484,HPR
23,100.0,267.94103828987545,22.616634722222223,0.006059924590095,1.0,6,29.163507199085217,HPR
24,3.0,38.27729118426793,54.55863483885103,0.0020883567523428,2.0,42,1059.5702128449384,HPR
25,5.0,38.27729118426793,49.75646887527503,0.0019045428474398,2.0,42,832.4921158859231,HPR
26,10.0,38.27729118426793,42.65054152685077,0.0016325471971899,2.0,42,628.8475955232349,HPR
27,20.0,38.27729118426793,38.24936474863144,0.0014640820720966,2.0,42,508.93026519059345,HPR
28,50.0,38.27729118426793,24.85796675319388,0.0009514956316608,2.0,42,336.2000963658739,HPR
29,100.0,38.27729118426793,23.29744175,0.0008917629617132,2.0,42,204.14455039359652,HPR
30,3.0,26.794103828987545,0.0,0.0,4.0,60,1513.6717326356263,HPR
31,5.0,26.794103828987545,104.05075789492456,0.0027879468105214,4.0,60,1189.2744512656045,HPR
32,10.0,26.794103828987545,86.29942352887029,0.0023123157144143,4.0,60,898.3537078903356,HPR
33,20.0,26.794103828987545,64.65657350958983,0.0017324149438425,4.0,60,727.0432359865621,HPR
34,50.0,26.794103828987545,38.2072262428188,0.0010237283869677,4.0,60,480.2858519512484,HPR
35,100.0,26.794103828987545,27.490383317816107,0.0007365801849162,4.0,60,291.63507199085217,HPR
36,3.0,14.102159909993446,0.0,0.0,11.0,114,2875.97629200769,HPR
37,5.0,14.102159909993446,0.0,0.0,11.0,114,2259.6214574046485,HPR
38,10.0,14.102159909993446,0.0,0.0,11.0,114,1706.8720449916375,HPR
39,20.0,14.102159909993446,184.4444768067012,0.0026010655064431,11.0,114,1381.382148374468,HPR
40,50.0,14.102159909993446,84.16509082377357,0.0011869095696359,11.0,114,912.543118707372,HPR
41,100.0,14.102159909993446,58.29513395150892,0.0008220873009586,11.0,114,554.1066367826191,HPR
