,keff,burnup,Power (W/cm),Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/(GWe.y)),discharge step,discharge time,volume_Ueq,mass U
1523.0,0.9273932325882642,76.66848036609709,76969.02001294993,3065137061430.32,943966429.3873688,0.2852297829413347,3253402.2116745994,4383.448760848383,49998712428.42687,1.3616427730935908e+19,1.7383226037085155e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
1589.1797965737778,0.0,0.0,0.0,3109910943997.8228,957755386.0343294,0.28919723380599727,3298655.9480996565,4455.400898936819,50819416503.4981,1.4289114407759368e+19,1.824200227314528e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
1589.2197965737778,0.0,0.0,0.0,2464026347429.524,758843114.1849363,0.2390675625790242,2726864.385666995,4419.446485510519,50409311475.354355,1.428953441677194e+19,1.8242538471900744e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
1590.2197965737778,0.0,0.0,0.0,1869349506850.0347,575701230.9377216,0.17365998140680017,1980809.1629213146,3967.073734126848,45249434779.88436,1.4293761660954395e+19,1.8247935125310108e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
1597.2197965737778,0.0,0.0,0.0,926298590930.9858,285271019.175777,0.09839624963643692,1122332.2224156088,2647.723924877504,30200601018.134033,1.430433945724632e+19,1.826143912412318e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
1627.2197965737778,0.0,0.0,0.0,459341815141.96356,141462924.63200158,0.04498104650294593,513065.06167422706,1549.5607516907562,17674677323.972687,1.4335570143676756e+19,1.8301309352368153e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
1657.2197965737778,0.0,0.0,0.0,336633752693.88934,103672676.02494623,0.030247503108549532,345010.5823318931,1314.8136819467825,14997093559.705488,1.4352389296900413e+19,1.8322781294056272e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
1957.2197965737778,0.0,0.0,0.0,98730430031.8737,30405887.123878602,0.005756733588924532,65662.74249867046,799.4682666090296,9118934916.009245,1.4371977608478714e+19,1.8347788443844676e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
2322.219796573778,0.0,0.0,0.0,64201541014.53462,19772068.33431996,0.003601683238552255,41081.69943973666,618.7635770139491,7057772050.315357,1.4372017236798755e+19,1.8347839034796897e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
2687.219796573778,0.0,0.0,0.0,49844679590.909645,15350603.667762954,0.0029296668288003452,33416.51226600394,529.3432051735937,6037820934.011303,1.4372016624331252e+19,1.8347838252898644e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
3052.219796573778,0.0,0.0,0.0,42021974222.33771,12941454.873785567,0.0025435237516501876,29012.067792259953,479.1716530414129,5465551667.503616,1.4372015990258516e+19,1.8347837443418368e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
3417.219796573778,0.0,0.0,0.0,37266781104.27127,11477003.993206043,0.0022863703663528814,26078.911991212553,448.14177236085607,5111617090.9910145,1.4372015356174174e+19,1.8347836633923271e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
3453.719796573778,0.0,0.0,0.0,36892794665.99241,11361827.857292349,0.002265285361691047,25838.411156788505,445.68520950426773,5083596920.908054,1.4372015292765704e+19,1.8347836552973716e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
3599.719796573778,0.0,0.0,0.0,35529247055.02393,10941897.803976903,0.002187492718741,24951.088823139533,436.71169629085983,4981242785.81762,1.4372015039133096e+19,1.834783622917712e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
3690.969796573778,0.0,0.0,0.0,34769523487.50253,10707926.686541796,0.0021436325116066606,24450.808335513473,431.7014794687559,4924095000.190496,1.4372014880611609e+19,1.8347836026802833e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
3782.219796573778,0.0,0.0,0.0,34069345330.48846,10492293.69474887,0.002102990088191167,23987.2306934305,427.07797278294686,4871358127.055488,1.4372014722089554e+19,1.834783582442782e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
4512.219796573778,0.0,0.0,0.0,29885523674.0882,9203807.369004352,0.0018628297862592841,21247.90224951996,399.3154532985799,4554691889.186927,1.4372013453922644e+19,1.83478342054399e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
5242.219796573778,0.0,0.0,0.0,27077147864.81673,8338915.381492778,0.001715736119614705,19570.11511435523,380.3443525631692,4338302771.423649,1.4372012185755378e+19,1.834783258645152e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
5789.719796573778,0.0,0.0,0.0,25425014195.495155,7830109.840518899,0.001638116110324459,18684.76188338836,368.8372768844298,4207050189.463027,1.4372011234630302e+19,1.8347831372210716e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
7067.219796573778,0.0,0.0,0.0,22388729416.732754,6895029.012559415,0.001510939280225459,17234.151165071642,346.426939509168,3951432278.7764473,1.4372009015339336e+19,1.8347828538983289e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
8892.219796573778,0.0,0.0,0.0,19109272008.580074,5885058.613892395,0.0013841587461246349,15788.06069798412,319.6419082643521,3645915516.140266,1.4372005844923607e+19,1.8347824491515457e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
9987.219796573778,0.0,0.0,0.0,17484169500.619934,5384577.825894046,0.0013207035339783501,15064.274684440557,305.2471847691704,3481725701.27335,1.4372003942675687e+19,1.8347822063036691e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
10717.219796573778,0.0,0.0,0.0,16502872384.47027,5082368.979654829,0.0012814207253222124,14616.205148206485,296.1876208865873,3378390050.7376366,1.4372002674509756e+19,1.834782044405002e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
12542.21979657378,0.0,0.0,0.0,14336396075.925121,4415161.9790075645,0.0011911281683901335,13586.305670699961,275.1837352399446,3138814480.0806184,1.4371999504096545e+19,1.83478163965854e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
14367.21979657378,0.0,0.0,0.0,12504547277.058474,3851009.794231602,0.001110114696603285,12662.245758131221,256.28698877420595,2923273465.7057867,1.4371996333683837e+19,1.8347812349121424e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
16192.21979657378,0.0,0.0,0.0,10943005265.470078,3370103.6528502377,0.0010370258542632183,11828.576150189836,239.27037778168147,2729177746.5723047,1.4371993163271537e+19,1.834780830165797e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
18017.21979657378,0.0,0.0,0.0,9605027982.183262,2958048.4613880017,0.0009709744119726412,11075.176886562938,223.94319007654542,2554352011.8105965,1.4371989992859935e+19,1.8347804254195405e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
19842.21979657378,0.0,0.0,0.0,8454004917.883971,2603569.3270545793,0.000911244516826548,10393.882770052815,210.1349137024689,2396851359.418786,1.4371986822448845e+19,1.8347800206733491e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
23492.21979657378,0.0,0.0,0.0,6599951494.859355,2032578.811932467,0.0008083297813028601,9220.011567985748,186.47269087747236,2126954130.3211691,1.4371980481629426e+19,1.8347792111813197e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
27142.21979657378,0.0,0.0,0.0,5202197677.7741995,1602114.3160770233,0.0007240446882168162,8258.63472497306,167.21817669381875,1907332327.9138703,1.4371974140812337e+19,1.8347784016895872e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
30792.21979657378,0.0,0.0,0.0,4137869745.337103,1274334.5731342859,0.0006549248271286973,7470.236309436704,151.5041093097488,1728093746.8143222,1.4371967799998214e+19,1.8347775921982336e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
34442.21979657378,0.0,0.0,0.0,3320631572.1859612,1022650.7544966455,0.0005981154566631652,6822.254427564228,138.6291731297416,1581239006.011115,1.437196145918704e+19,1.8347767827072564e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
38092.21979657378,0.0,0.0,0.0,2688711911.89266,828039.2466156926,0.0005512696303165375,6287.919220798007,128.02910075448156,1460331930.4808054,1.4371955118378793e+19,1.8347759732166529e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
47217.21979657378,0.0,0.0,0.0,1653081732.4397247,509097.5147872965,0.0004660188526981473,5315.527538588242,108.73196275554389,1240223950.1804225,1.4371939266368393e+19,1.8347739494914483e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
56342.21979657379,0.0,0.0,0.0,1085294467.7586217,334236.780617538,0.00041066466992766747,4684.143891362457,96.14649048980412,1096670907.1493282,1.4371923414375215e+19,1.8347719257684428e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
65467.21979657379,0.0,0.0,0.0,766642839.4671007,236102.0369671337,0.00037277272732486397,4251.938921049229,87.47565422322234,997769180.9836298,1.4371907562399144e+19,1.8347699020476209e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
74592.21979657379,0.0,0.0,0.0,583576327.4968097,179723.27210878313,0.0003452197122904162,3937.6623433125596,81.13438955159253,925439130.8228524,1.4371891710440686e+19,1.8347678783290471e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
83717.21979657379,0.0,0.0,0.0,475365190.6794964,146397.62356707617,0.0003239430911135649,3694.9758830141,76.22023163299463,869387017.063845,1.4371875858500252e+19,1.8347658546127753e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
92842.21979657379,0.0,0.0,0.0,408952590.3873769,125944.61807086247,0.00030661607971458715,3497.3396592445097,72.21413871353974,823692519.7013127,1.43718600065769e+19,1.834763830898684e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
111092.21979657379,0.0,0.0,0.0,336859179.44511896,103742.10041973897,0.0002789677245203364,3181.9756078100872,65.83521779047159,750932952.9225665,1.4371828302784401e+19,1.8347597834774208e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
129342.21979657379,0.0,0.0,0.0,298794346.5885154,92019.32142593185,0.0002567794330825515,2928.890408597853,60.74581857444386,692881993.1147503,1.4371796599061338e+19,1.8347557360650224e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
147592.21979657377,0.0,0.0,0.0,273237548.9092061,84148.62639063208,0.00023792112947384252,2713.7878830610166,56.4475285456322,643854622.4736173,1.437176489540834e+19,1.8347516886615689e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
165842.21979657377,0.0,0.0,0.0,253156744.5971088,77964.36618764086,0.00022141669271201928,2525.53415124647,52.706100946010054,601178963.9154272,1.4371733191825097e+19,1.8347476412670195e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
184092.21979657377,0.0,0.0,0.0,236081373.48129988,72705.68548931908,0.00020673090850136308,2358.024425093673,49.39110529105575,563367294.7261047,1.4371701488311605e+19,1.834743593881376e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
220592.21979657377,0.0,0.0,0.0,207509332.29952723,63906.38968162002,0.0001815618948665611,2070.9403633217125,43.734276635488314,498844092.87353855,1.4371638081493447e+19,1.8347354991367476e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
257092.21979657377,0.0,0.0,0.0,184111063.73823893,56700.45416063577,0.00016070914513378827,1833.0886866822725,39.06344206065812,445567386.00438166,1.4371574674954498e+19,1.8347274044277635e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
293592.21979657374,0.0,0.0,0.0,164541000.0392225,50673.4861058293,0.00014318761180825748,1633.233697187937,35.14440694938317,400865891.76640177,1.4371511268695919e+19,1.8347193097545737e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
330092.21979657374,0.0,0.0,0.0,148004573.3846621,45580.78345955766,0.00012834865477367156,1463.9768435121912,31.826268712435315,363018377.50121534,1.43714478627168e+19,1.83471121511706e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
366592.21979657374,0.0,0.0,0.0,133952147.85950385,41253.075536106575,0.00011572451678830614,1319.982769616617,29.00211611262295,330805386.90960556,1.4371384457017336e+19,1.834703120515248e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
457842.21979657374,0.0,0.0,0.0,107179179.93041584,33007.838069195255,9.16607246906952e-05,1045.5051410032422,23.609000750146286,269290164.8063561,1.43712259439937e+19,1.8346828841671095e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
549092.2197965737,0.0,0.0,0.0,89009631.1617559,27412.184846847016,7.533900229386444e-05,859.3354949143913,19.935517715944485,227389498.9474918,1.437106743271796e+19,1.8346626480421132e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
