,keff,burnup,Power (W/cm),Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/(GWe.y)),discharge step,discharge time,volume_Ueq,mass U
0.0,1.2251388449283809,0.0,76969.02001294993,20335.35146939264,6.262652772839515,1.4523308168425256e-08,0.1656564837961006,0.0009370803885653022,10688.573182072978,999.9999999999999,1276636308.7721791,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
0.125,1.2236837285989304,0.00629255419944986,76969.02001294993,615006103673.1725,189402660.99059737,0.05176237514919072,590414.5915454568,73.70704067685712,840720932.7204015,58627375184109.61,7.484583584804335e+19,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
0.25,1.2200054005330714,0.01258510839889972,76969.02001294993,679896062103.6385,209386740.3759799,0.06125780732382484,698721.8647873771,132.52538286764303,1511617648.3340533,316841006908338.6,4.0449073352712185e+20,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
0.375,1.21672608603807,0.018877662598349578,76969.02001294993,729424719770.2968,224640019.16675857,0.06834970326674408,779613.8028862997,185.344098893008,2114081127.9983728,749698401832275.6,9.570922004075583e+20,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
0.5,1.2128821381553112,0.02517021679779944,76969.02001294993,781511979898.9917,240681267.55951765,0.0747052225840973,852106.4450998598,233.9922593116832,2668974207.7738867,1299915607658330.2,1.659519463076275e+21,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
0.6666666666666666,1.2090212498916488,0.03356028906373258,76969.02001294993,841876504804.3232,259271654.83895642,0.08149461264683705,929547.9255029853,293.6221581922846,3349127741.8807464,2144602132877028.8,2.7378769507010724e+21,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
0.8333333333333334,1.205761427361507,0.04195036132966574,76969.02001294993,893099929751.1042,275046868.9905354,0.08682083062218725,990300.0992843233,348.59149360395816,3976121723.920148,3061739714209381.0,3.9087280871694506e+21,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
1.0,1.2042762615497102,0.05034043359559888,76969.02001294993,938836926013.085,289132434.5580923,0.0912259079916298,1040545.5130295274,400.0212735593578,4562742651.536426,4017827572760473.5,5.129304561772015e+21,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
1.25,1.1992198374946235,0.0629255419944986,76969.02001294993,997972833269.1897,307344445.99587077,0.09654053652546177,1101165.4947435483,471.92972173195596,5382948388.505123,5488288661376289.0,7.00654857813563e+21,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
1.5,1.2013132316216002,0.07551065039339831,76969.02001294993,1055006443533.3127,324909015.6568999,0.10129043464377986,1155344.020155614,539.2907266840009,6151284851.239386,6978874766598335.0,8.909484921413401e+21,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
1.75,1.1985249503793873,0.08809575879229804,76969.02001294993,1101932989512.9934,339360925.36407965,0.10508302661537894,1198603.272331666,602.5300263732346,6872608113.319707,8478240111880651.0,1.0823629161315541e+22,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
2.0,1.198502478730176,0.10068086719119776,76969.02001294993,1149540997435.5022,354022704.05396485,0.10881630970300951,1241186.0325499522,662.6863616062551,7558766312.071347,9981976846700906.0,1.2743354075821602e+22,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
2.5,1.1968816763948993,0.1258510839889972,76969.02001294993,1229361547686.6768,378604939.13913125,0.11502041596291461,1311951.6195769948,774.2133362589184,8830870866.703289,1.2996795817021738e+16,1.659218143770833e+22,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
