Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
C0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ac225,8.283297109379e-10,8.26154126587434e-10,8.239561028184562e-10,8.217374771634163e-10,8.194992446456472e-10,8.164860720206075e-10,8.134419753980101e-10,8.103690921707609e-10,8.05709986831079e-10,8.009962982050566e-10,7.962336610256902e-10,7.914268342664397e-10,7.816985768513153e-10,7.7184421345552e-10,7.518602674497024e-10,6.910254941817877e-10,5.540117792530078e-10,4.336463662181558e-10,3.336964875792968e-10,1.9093225278446122e-10,1.0641782111696435e-10,5.928808042897376e-11,3.474716457892536e-11,2.371946223923175e-11,2.1037493274703382e-11,3.125110473370291e-11,5.734800876230988e-11,9.849491803480737e-11,1.5707301220796927e-10,2.361157619165578e-10,3.372963300648271e-10,4.636884915211966e-10,6.18779183177009e-10,8.110777656146112e-10,1.056309186897248e-09,1.345969888162453e-09,1.6821170360346207e-09,2.054673139986367e-09,2.495410320987199e-09,2.975596564242537e-09,3.5287816945551626e-09,4.144563118194789e-09,4.798879049618615e-09,5.545078538762543e-09,7.161348512422884e-09,9.108851755034745e-09,1.136771576366811e-08,1.3991465161915028e-08,1.691596544634022e-08,2.014975136791957e-08,2.3714078539542274e-08,2.7686634368430037e-08,3.2041966177157595e-08,3.682642749264642e-08,4.188800912143095e-08,4.749307192497264e-08,5.916467863031788e-08,6.662171075844622e-08,6.662704392007649e-08,6.668030728878078e-08,6.38212843249735e-08,3.8681814247642446e-08,2.6397624804300253e-08,2.149609226345718e-08,2.1970222801724155e-08,2.2556824588774933e-08,2.3255960626795855e-08,2.4067720277054575e-08,2.4155094597808323e-08,2.4515867513875192e-08,2.4750514607167032e-08,2.499221340733504e-08,2.717993657714711e-08,2.982038395922281e-08,3.209872685054502e-08,3.841276183201386e-08,4.987484014477169e-08,5.814484440890611e-08,6.424401073483598e-08,8.156335704899837e-08,1.0188031013070668e-07,1.2524559486465866e-07,1.5171240398206994e-07,1.8133575079094666e-07,2.502782815258827e-07,3.3253300501911184e-07,4.2856597759969594e-07,5.388439270309217e-07,6.638308746267355e-07,1.043649372124901e-06,1.525255232375643e-06,2.1153775569455844e-06,2.8204634008853503e-06,3.646682896052912e-06,4.599938391222689e-06,6.909888053549319e-06,9.792554478765184e-06,1.328651911252159e-05,1.7426986129026722e-05,2.2246044145548077e-05,3.4034140836074024e-05,4.8853934083765646e-05,6.687234982042422e-05,8.822552846479108e-05,0.00011302343699518341,0.00019061879042907133,0.00029114983686518906,0.0004150249398996871,0.0005623212585234484,0.0007328986010881105,0.0009264756106766523,0.0013810861569893184,0.0025472684817295812,0.004030276080707098,0.005800154171809327,0.00782922415548384,0.01009222086600101,0.01256614436774544,0.015230069985462665,0.04887352215875315,0.16911433199174086,0.3456142966375951,0.593174871484767,0.8702330321792757,0.8446887825176781
Ac226,4.810293992483365e-10,4.4812014225948133e-10,4.174632940722978e-10,3.889049368317448e-10,3.62301515766879e-10,3.29641382829359e-10,2.99927722608159e-10,2.7289470840498445e-10,2.3684838441464497e-10,2.0556825970148822e-10,1.784240627674864e-10,1.548689662928556e-10,1.1669042038687327e-10,8.7940021226576e-11,4.998505154934082e-11,9.325137841599998e-12,3.854678836586471e-13,1.7554812425914894e-13,1.375865596629613e-13,9.121716342163122e-14,6.899174916817568e-14,6.232439783154783e-14,6.530478539241999e-14,7.344160015847621e-14,8.69958561443096e-14,1.2422140502300353e-13,1.6474649708998755e-13,2.1736590647375695e-13,2.8591975996521843e-13,3.600281035242083e-13,4.514971506843111e-13,5.365386724856344e-13,6.321479261484901e-13,7.819604044630285e-13,9.318900782528013e-13,1.1074977622638464e-12,1.2961081311622964e-12,1.5033426249742904e-12,1.758335268250676e-12,2.0398455016710194e-12,2.3129345606311507e-12,2.647862596231733e-12,2.9738798575651065e-12,3.3924087275920982e-12,4.203535110006418e-12,5.201607831272271e-12,6.31303265336418e-12,7.599892547405072e-12,9.11654170134293e-12,1.0726919071979625e-11,1.2507975197275125e-11,1.4574457908695406e-11,1.6781896635602786e-11,1.912515564130338e-11,2.165243905161757e-11,2.4654681278896624e-11,3.040863876142411e-11,3.448554400121795e-11,3.372767507228062e-11,1.9419723389013815e-11,8.682687970637322e-13,1.5519238704436437e-13,4.6973522821270704e-14,3.0316625779504927e-19,1.4688289241803778e-25,7.116419714396091e-32,3.447878016033595e-38,1.670483664644345e-44,3.902754807125093e-45,1.162752828034983e-47,3.0676795440761325e-49,8.093429283784604e-51,1.8998235608071504e-63,4.4595800982952215e-76,1.5039364892575902e-85,1.1905447844706138e-107,3.1783192920100232e-139,3.614669568672331e-158,8.48495071608683e-171,2.265171726830907e-202,6.047180726706501e-234,1.6143762784917923e-265,4.309794765089095e-297,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,1.5063313100460257e-14,1.5065491609449194e-14,1.5078184080181147e-14,1.5111171370874008e-14,1.5173504584497296e-14,1.5316587480573228e-14,1.554457544298853e-14,1.587358815256963e-14,1.658772722662947e-14,1.7603947541002984e-14,1.8958411791500066e-14,2.0681796673404515e-14,2.533546112561628e-14,3.1729152019557745e-14,5.017495085784191e-14,1.5453886070228774e-13,6.959814218750308e-13,1.6540276397238785e-12,3.023719245595915e-12,6.977528013324684e-12,1.2516781201922288e-11,1.9601605967365933e-11,2.8192756792180704e-11,3.825111364119746e-11,4.973885584308538e-11,7.685259405871731e-11,1.0924005325468503e-10,1.4661469659768e-10,1.886984481386845e-10,2.352192469915551e-10,2.8591605167466506e-10,3.4053609442174096e-10,3.9882989736070425e-10,4.628212574416255e-10,5.350107272193034e-10,6.108038354073348e-10,6.899007900227651e-10,7.693254182532981e-10,8.540832137980119e-10,9.384795966675413e-10,1.0278652020057736e-09,1.119214797929962e-09,1.209254534059372e-09,1.3037531196306531e-09,1.4869121089812285e-09,1.6795103291532871e-09,1.873795954148811e-09,2.071585589330772e-09,2.2651066442568354e-09,2.4564708825837773e-09,2.641296223116651e-09,2.8248877087670915e-09,3.0030988338999474e-09,3.177922930245333e-09,3.34302628903553e-09,3.5000875241295038e-09,3.784985729229816e-09,3.92671401190309e-09,3.926928775038414e-09,3.932362979283898e-09,3.970623468648175e-09,4.1365940106874065e-09,4.305724542154357e-09,6.1689606733246995e-09,8.849017322655932e-09,1.196920165418722e-08,1.5515723525191227e-08,1.9475224524648223e-08,1.9893386729060937e-08,2.160578242696844e-08,2.2708068172850443e-08,2.383476451890297e-08,3.370421429031027e-08,4.502843028835462e-08,5.442208326267119e-08,7.912814301436017e-08,1.2051650654447964e-07,1.4839491320392104e-07,1.6812065395525232e-07,2.2102550141052693e-07,2.784505432691714e-07,3.397300599704721e-07,4.0429623676214843e-07,4.7166476514966294e-07,6.132172943405694e-07,7.617596950278811e-07,9.153801401405463e-07,1.072687781347421e-06,1.2326707805031346e-06,1.6399821158760042e-06,2.052925321475501e-06,2.4683219026503517e-06,2.884737010419623e-06,3.301522909719158e-06,3.718387185900611e-06,4.551895222725002e-06,5.38485740737085e-06,6.217191424456808e-06,7.048880501568545e-06,7.879921259676586e-06,9.540055932732402e-06,1.1197595223767835e-05,1.2852540489716016e-05,1.4504893462439093e-05,1.615465613034491e-05,2.0267745104006405e-05,2.43646973170148e-05,2.8445555118904796e-05,3.2510363026360036e-05,3.655916670456884e-05,4.0592012322287315e-05,4.861001498667343e-05,6.445656496717566e-05,8.00529741923134e-05,9.54021944751562e-05,0.00011050717437038952,0.00012537086120645904,0.0001399962005403644,0.0001543861347603533,0.00028598049305028183,0.000569122588614645,0.0008025109639132068,0.0009251034386455425,0.0009434362220450431,0.0009430867040024541
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,1.584765330995531e-11,4.067532346277149e-08,3.242613054108179e-07,1.0637791787105378e-06,2.4501079250416e-06,5.593664398096817e-06,1.0492841648478537e-05,1.7408562567231924e-05,3.209898167966362e-05,5.238316683779921e-05,7.87448962316626e-05,0.00011137063845722701,0.0001970968764153439,0.00030950710985008697,0.0006199909497710179,0.0022534142842401727,0.010355111754920931,0.025044380035324942,0.0468058184921542,0.11426241922720252,0.2177969444564859,0.36112398517001526,0.5477232584397997,0.7812609817295326,1.066209373676874,1.8078405926659817,2.78679840894599,4.029910409276565,5.558440828998236,7.389613121980802,9.530427479116954,12.031880531069312,14.839816676988644,18.139057797042813,22.06669380705098,26.4395982408043,31.294612118758014,36.4547970214551,42.28156755138913,48.300128979328576,55.086529189120114,62.3680448276183,69.83179657487145,78.11600494700431,95.38298345545313,115.14702431815562,136.92402272340235,161.20717373476631,187.08708325583257,214.9726911931743,244.36655879932695,276.2282113647515,310.8399481736983,347.2622911192286,385.5982131959075,426.2918193039862,512.5258850095473,564.0009376966082,563.9378356673385,562.3722036593606,551.5510514817115,507.48973610422706,466.9484508752443,203.0887317989803,73.74959769875271,26.781411868521147,9.72539572165942,3.5316779774634304,3.191453190404576,2.1282272813250542,1.6521004924372054,1.2824927402982882,0.1691229549171089,0.022302328432936173,0.004880462130735917,0.00014083783799457802,8.893823595580173e-07,4.25902328585324e-08,5.616395536483914e-09,3.546719712434538e-11,2.2397320158850102e-13,1.4143772154849738e-15,8.931706586397782e-18,5.640318717007525e-20,2.249272334407922e-24,8.969751993215701e-29,3.576999040857498e-33,1.4264521409356198e-37,5.6884714000871e-42,5.712700786620097e-53,5.737032712279265e-64,5.761467651096378e-75,5.786006085451173e-86,5.81064849853626e-97,5.835395372640173e-108,5.885204418837047e-130,5.9354370415995254e-152,5.986097037971044e-174,6.037188200597869e-196,6.088714325553103e-218,6.180651591750296e-262,6.273973696037323e-306,,,,,,,,,,,,,,,,,,,,,,,
Ag111,7.072777906088475e-11,1.6181009371954587,3.610787180202424,5.582506530901685,7.531744653486737,10.09627253101026,12.621953367628416,15.109412058876748,18.77058063965075,22.349590193710892,25.848762320352023,29.270005788225106,35.887815944485425,42.21800354079935,54.07577322079722,84.12614081224031,131.46548349957925,159.95233838760527,178.63866351410215,202.99196313346025,220.9168857367779,236.89083251143015,252.01881461908175,266.8257176409865,281.31814292633226,309.3578825511885,336.67092762203237,363.1744231068568,388.93184611773086,413.9093827532876,438.7907898186104,463.07411183653136,486.7311959034083,510.79304286903795,536.6174682040781,561.8733758160931,587.3655339475529,611.3401861061919,635.2997057675783,659.3037039746785,683.4778265908016,707.9038356906611,731.035374643453,755.4824933883488,799.0619837228928,845.9736960371065,891.9572219145182,938.2463577421609,985.157653019982,1031.306078831236,1076.3932831650088,1121.4578351592625,1167.7612100728252,1213.7294285022897,1259.33095629474,1303.2418271799847,1384.5074330953719,1440.2503662773681,1437.610530277044,1310.4575713189438,683.2430660418113,41.915415202733705,2.5714165909033815,1.941597766506987e-12,3.465052698625962e-27,6.183870827994005e-42,1.1035981774954773e-56,1.969525202645467e-71,6.599584585329205e-73,8.320258653366245e-79,1.7101116680922025e-82,3.514893034146949e-86,1.1194720635928165e-115,3.565450520691586e-145,2.688068196067206e-167,2.7439686788639275e-214,6.668220897660145e-262,3.7807415164348206e-306,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,7.230269061097932e-10,6.939155434503628e-10,6.659755870839973e-10,6.39160414419502e-10,6.134248380158123e-10,5.807152899270813e-10,5.497497879037084e-10,5.204354382787673e-10,4.793686616268025e-10,4.4154263541630585e-10,4.067020763703934e-10,3.746117515646556e-10,3.1783357273142406e-10,2.696753730524095e-10,1.9423706571236812e-10,7.474035727768193e-11,7.538605760854604e-11,4.698109587815613e-10,1.73882882818924e-09,1.0453605936675419e-08,3.645366065935329e-08,9.318306486731433e-08,1.9761518372807044e-07,3.630695370368681e-07,6.371822759230028e-07,1.6024726519367648e-06,3.1858608107939704e-06,5.880042537924899e-06,1.029315142188204e-05,1.6133820174154537e-05,2.476417878872379e-05,3.383461304046987e-05,4.5197782067691824e-05,6.565312371180143e-05,8.689745062460365e-05,0.00011396572048948909,0.00014409407034636385,0.00017913497265422567,0.00022538817628796773,0.00028233826608140325,0.0003285300168835079,0.0003978979071250172,0.00046053784192864986,0.0005564384726358244,0.0007274590681464105,0.0009567190075573458,0.0011781667323559986,0.0014524990353230135,0.0018133529661940335,0.0022057221907696373,0.0025726397971018405,0.0031271490658468454,0.003546773758050781,0.0039719639143661785,0.0044851297805558,0.005111462952774083,0.005964185368313869,0.006668513048655242,0.0065817270500908125,0.004743717992627104,0.0004792756941580484,2.5942891365072164e-08,1.4044919221638472e-12,1.8210329996169367e-16,4.2341902491725324e-16,4.3063847866991934e-16,3.487028666675351e-18,1.369307891588835e-16,,,3.088818998464575e-16,1.9888484772497384e-16,,,3.4507684299673167e-16,3.9720386823763755e-17,1.125699545090353e-16,,,6.937981356897122e-17,9.492683485495012e-17,6.39520225024209e-17,7.110225644894358e-17,3.5872032581220264e-17,,,,,,3.1788216626061856e-19,1.565379366625228e-19,4.853650085809534e-20,1.819076107940877e-20,4.419950658987601e-21,2.9932099471826363e-21,,,,,,5.115740935193758e-28,7.90892206189034e-30,3.4170199885796507e-31,1.8970839612325096e-32,5.492451068090665e-34,1.9770198761832075e-38,7.805196406610936e-43,8.253346996633575e-47,4.210018723233869e-51,4.939687847092164e-55,1.2733506575817554e-59,,,,,,,,,,,1.3920309634156129e-22,2.1332769796513686e-27,2.728069034122228e-28,4.6309298935487095e-29
