Days,Keff,Discharge Step,Discharge Time,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/GWe.y),Volume Ueq,Mass U
1589.2197965737778,0.0,57,1589.1797965737778,0.0,0.0,2464026347429.5234,758843114.1849359,0.2390675625790242,2726864.385666995,4419.446485510519,50409311475.354355,1.428953441677194e+19,1.7482846278693545e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
1590.2197965737778,0.0,57,1589.1797965737778,0.0,0.0,1869349506850.0342,575701230.9377215,0.1736599814068001,1980809.162921314,3967.073734126848,45249434779.88436,1.4293761660954395e+19,1.748801819389168e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
1597.2197965737778,0.0,57,1589.1797965737778,0.0,0.0,926298590930.9858,285271019.175777,0.09839624963643698,1122332.2224156095,2647.7239248775036,30200601018.134026,1.430433945724632e+19,1.7500959832236594e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
1627.2197965737778,0.0,57,1589.1797965737778,0.0,0.0,459341815141.96375,141462924.63200167,0.044981046502945925,513065.06167422695,1549.5607516907562,17674677323.972687,1.4335570143676756e+19,1.7539169704869011e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
1657.2197965737778,0.0,57,1589.1797965737778,0.0,0.0,336633752693.8893,103672676.02494621,0.030247503108549526,345010.58233189303,1314.8136819467827,14997093559.705492,1.4352389296900413e+19,1.755974746911036e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
1957.2197965737778,0.0,57,1589.1797965737778,0.0,0.0,98730430031.87372,30405887.12387861,0.005756733588924536,65662.74249867049,799.4682666090296,9118934916.009245,1.4371977608478714e+19,1.7583713221261155e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
2322.219796573778,0.0,57,1589.1797965737778,0.0,0.0,64201541014.534645,19772068.334319964,0.003601683238552255,41081.69943973666,618.7635770139491,7057772050.315357,1.4372017236798755e+19,1.758376170540398e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
2687.219796573778,0.0,57,1589.1797965737778,0.0,0.0,49844679590.90969,15350603.66776297,0.0029296668288003452,33416.51226600394,529.3432051735936,6037820934.011302,1.4372016624331252e+19,1.7583760956067094e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
3052.219796573778,0.0,57,1589.1797965737778,0.0,0.0,42021974222.33772,12941454.87378557,0.002543523751650187,29012.06779225995,479.17165304141287,5465551667.503615,1.4372015990258516e+19,1.7583760180296812e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
3417.219796573778,0.0,57,1589.1797965737778,0.0,0.0,37266781104.271286,11477003.993206048,0.002286370366352882,26078.91199121256,448.1417723608561,5111617090.991015,1.4372015356174174e+19,1.7583759404512327e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
3453.719796573778,0.0,57,1589.1797965737778,0.0,0.0,36892794665.99242,11361827.857292354,0.0022652853616910483,25838.411156788523,445.68520950426773,5083596920.908054,1.4372015292765704e+19,1.7583759326933832e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
3599.719796573778,0.0,57,1589.1797965737778,0.0,0.0,35529247055.023926,10941897.803976899,0.002187492718741001,24951.088823139544,436.71169629085983,4981242785.81762,1.4372015039133096e+19,1.7583759016621423e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
3690.969796573778,0.0,57,1589.1797965737778,0.0,0.0,34769523487.50255,10707926.6865418,0.0021436325116066606,24450.808335513473,431.7014794687559,4924095000.190496,1.4372014880611609e+19,1.7583758822674809e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
3782.219796573778,0.0,57,1589.1797965737778,0.0,0.0,34069345330.488457,10492293.694748867,0.0021029900881911674,23987.2306934305,427.07797278294686,4871358127.055488,1.4372014722089554e+19,1.75837586287275e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
4512.219796573778,0.0,57,1589.1797965737778,0.0,0.0,29885523674.088203,9203807.369004352,0.0018628297862592846,21247.902249519964,399.3154532985799,4554691889.186927,1.4372013453922644e+19,1.7583757077160706e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
5242.219796573778,0.0,57,1589.1797965737778,0.0,0.0,27077147864.81674,8338915.3814927805,0.001715736119614705,19570.11511435523,380.3443525631693,4338302771.42365,1.4372012185755378e+19,1.758375552559347e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
5789.719796573778,0.0,57,1589.1797965737778,0.0,0.0,25425014195.495163,7830109.840518901,0.0016381161103244596,18684.761883388368,368.83727688442974,4207050189.463027,1.4372011234630302e+19,1.7583754361918506e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
7067.219796573778,0.0,57,1589.1797965737778,0.0,0.0,22388729416.732758,6895029.012559416,0.0015109392802254594,17234.15116507165,346.42693950916805,3951432278.7764482,1.4372009015339336e+19,1.7583751646677986e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
8892.219796573778,0.0,57,1589.1797965737778,0.0,0.0,19109272008.580086,5885058.613892399,0.0013841587461246344,15788.060697984112,319.64190826435214,3645915516.1402664,1.4372005844923607e+19,1.758374776776289e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
9987.219796573778,0.0,57,1589.1797965737778,0.0,0.0,17484169500.619934,5384577.825894046,0.0013207035339783504,15064.27468444056,305.24718476917036,3481725701.27335,1.4372003942675687e+19,1.7583745440415684e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
10717.219796573778,0.0,57,1589.1797965737778,0.0,0.0,16502872384.470272,5082368.97965483,0.0012814207253222128,14616.205148206489,296.1876208865873,3378390050.7376366,1.4372002674509756e+19,1.7583743888850083e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
12542.21979657378,0.0,57,1589.1797965737778,0.0,0.0,14336396075.925121,4415161.9790075645,0.001191128168390134,13586.305670699967,275.1837352399446,3138814480.0806184,1.4371999504096545e+19,1.7583740009938064e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
14367.21979657378,0.0,57,1589.1797965737778,0.0,0.0,12504547277.058472,3851009.794231601,0.0011101146966032845,12662.245758131216,256.286988774206,2923273465.705787,1.4371996333683837e+19,1.7583736131026662e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
16192.21979657378,0.0,57,1589.1797965737778,0.0,0.0,10943005265.47008,3370103.6528502386,0.0010370258542632183,11828.576150189836,239.27037778168147,2729177746.5723047,1.4371993163271537e+19,1.7583732252115756e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
18017.21979657378,0.0,57,1589.1797965737778,0.0,0.0,9605027982.18326,2958048.461388001,0.0009709744119726412,11075.176886562938,223.94319007654542,2554352011.8105965,1.4371989992859935e+19,1.7583728373205706e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
19842.21979657378,0.0,57,1589.1797965737778,0.0,0.0,8454004917.883972,2603569.3270545797,0.000911244516826548,10393.882770052815,210.1349137024689,2396851359.418786,1.4371986822448845e+19,1.7583724494296277e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
23492.21979657378,0.0,57,1589.1797965737778,0.0,0.0,6599951494.859356,2032578.8119324674,0.0008083297813028603,9220.011567985752,186.47269087747236,2126954130.3211691,1.4371980481629426e+19,1.7583716736480808e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
27142.21979657378,0.0,57,1589.1797965737778,0.0,0.0,5202197677.774199,1602114.316077023,0.000724044688216816,8258.634724973057,167.21817669381875,1907332327.9138703,1.4371974140812337e+19,1.7583708978668187e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
30792.21979657378,0.0,57,1589.1797965737778,0.0,0.0,4137869745.337104,1274334.5731342863,0.0006549248271286974,7470.236309436706,151.50410930974883,1728093746.8143225,1.4371967799998214e+19,1.7583701220859197e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
34442.21979657378,0.0,57,1589.1797965737778,0.0,0.0,3320631572.185961,1022650.7544966452,0.0005981154566631652,6822.254427564228,138.6291731297416,1581239006.011115,1.437196145918704e+19,1.758369346305381e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
38092.21979657378,0.0,57,1589.1797965737778,0.0,0.0,2688711911.892661,828039.2466156931,0.000551269630316538,6287.919220798011,128.02910075448156,1460331930.4808054,1.4371955118378793e+19,1.7583685705252006e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
47217.21979657378,0.0,57,1589.1797965737778,0.0,0.0,1653081732.4397247,509097.51478729653,0.00046601885269814724,5315.527538588242,108.7319627555439,1240223950.1804228,1.4371939266368393e+19,1.758366631076e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
56342.21979657379,0.0,57,1589.1797965737778,0.0,0.0,1085294467.7586222,334236.7806175382,0.00041066466992766747,4684.143891362457,96.14649048980414,1096670907.1493285,1.4371923414375215e+19,1.7583646916289066e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
65467.21979657379,0.0,57,1589.1797965737778,0.0,0.0,766642839.4671005,236102.03696713364,0.00037277272732486435,4251.938921049234,87.47565422322235,997769180.98363,1.4371907562399144e+19,1.7583627521839058e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
74592.21979657379,0.0,57,1589.1797965737778,0.0,0.0,583576327.4968095,179723.27210878304,0.0003452197122904162,3937.6623433125596,81.13438955159253,925439130.8228524,1.4371891710440686e+19,1.75836081274106e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
83717.21979657379,0.0,57,1589.1797965737778,0.0,0.0,475365190.67949635,146397.62356707617,0.000323943091113565,3694.9758830141004,76.22023163299463,869387017.063845,1.4371875858500252e+19,1.7583588733004192e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
92842.21979657379,0.0,57,1589.1797965737778,0.0,0.0,408952590.3873766,125944.61807086237,0.0003066160797145872,3497.3396592445106,72.21413871353974,823692519.7013127,1.43718600065769e+19,1.7583569338618689e+25,0.4,21.8,11.40625,248.65625,164.00239084657193,1528.9701441840405
