Days,Keff,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y)
0.0,1.2251388449283809,76969.0200129499,0.0,20335.351469392645,6.262652772839516,1.4523308168425255e-08,0.16565648379610057,0.0009370803885653022,10688.573182072978,999.9999999999999,1223472071.852358
0.125,1.2236837285989304,76969.0200129499,0.006292554199449857,615006103673.1725,189402660.99059737,0.051762375149190715,590414.5915454567,73.70704067685712,840720932.7204015,58627375184109.61,7.172895618376813e+19
0.25,1.2200054005330714,76969.0200129499,0.012585108398899715,679896062103.6387,209386740.37598,0.06125780732382487,698721.8647873774,132.52538286764303,1511617648.3340533,316841006908338.6,3.8764612316993244e+20
0.375,1.21672608603807,76969.0200129499,0.018877662598349575,729424719770.2966,224640019.16675854,0.0683497032667441,779613.8028862999,185.344098893008,2114081127.9983728,749698401832275.6,9.172350569541361e+20
0.5,1.2128821381553112,76969.0200129499,0.02517021679779943,781511979898.9918,240681267.55951762,0.0747052225840973,852106.4450998598,233.9922593116832,2668974207.7738867,1299915607658330.2,1.5904104417349547e+21
0.6666666666666666,1.2090212498916488,76969.0200129499,0.033560289063732575,841876504804.3234,259271654.83895642,0.08149461264683708,929547.9255029854,293.6221581922846,3349127741.8807464,2144602132877028.8,2.6238608148100447e+21
0.8333333333333334,1.205761427361507,76969.0200129499,0.04195036132966572,893099929751.1042,275046868.99053544,0.08682083062218723,990300.0992843232,348.59149360395816,3976121723.920148,3061739714209381.0,3.745953031616399e+21
1.0,1.2042762615497102,76969.0200129499,0.05034043359559886,938836926013.0847,289132434.55809224,0.0912259079916298,1040545.5130295274,400.0212735593578,4562742651.536426,4017827572760473.5,4.915699824790788e+21
1.25,1.1992198374946235,76969.0200129499,0.06292554199449857,997972833269.1895,307344445.9958707,0.09654053652546177,1101165.4947435483,471.92972173195596,5382948388.505123,5488288661376289.0,6.714767899457855e+21
1.5,1.2013132316216002,76969.0200129499,0.0755106503933983,1055006443533.3127,324909015.6568999,0.1012904346437799,1155344.0201556145,539.2907266840009,6151284851.239386,6978874766598335.0,8.538458369888208e+21
