,Years,#packages per GWe.y,Area per package (m2),Total area (m2),Required st (y),n_wf,Decay heat (W/Pkg),Reactor
0,3.0,73.68378552971576,22.967606590909096,0.0016923401981754,1.0,18,453.51242509829336,HTGR
1,5.0,73.68378552971576,22.967606590909096,0.0016923401981754,1.0,18,353.9301327114261,HTGR
2,10.0,73.68378552971576,22.967606590909096,0.0016923401981754,1.0,18,265.5959513163563,HTGR
3,20.0,73.68378552971576,22.967606590909096,0.0016923401981754,1.0,18,214.26777390009343,HTGR
4,50.0,73.68378552971576,22.967606590909096,0.0016923401981754,1.0,18,141.06065120474963,HTGR
5,100.0,73.68378552971576,22.967606590909096,0.0016923401981754,1.0,18,85.33653877300009,HTGR
6,3.0,11.634281925744595,0.0,0.0,10.0,114,2872.245358955858,HTGR
7,5.0,11.634281925744595,0.0,0.0,10.0,114,2241.557507172365,HTGR
8,10.0,11.634281925744595,371.6019478000619,0.0043233218248617,10.0,114,1682.1076916702568,HTGR
9,20.0,11.634281925744595,175.31731902493564,0.0020396911160018,10.0,114,1357.0292347005918,HTGR
10,50.0,11.634281925744595,80.31426489615077,0.0009343988004607,10.0,114,893.3841242967477,HTGR
11,100.0,11.634281925744595,56.10719018935435,0.0006527668687243,10.0,114,540.4647455623339,HTGR
12,3.0,15.789382613510522,0.0,0.0,10.0,84,2116.391317125369,HTGR
13,5.0,15.789382613510522,0.0,0.0,10.0,84,1651.6739526533215,HTGR
14,10.0,15.789382613510522,214.52142520908495,0.0033871608614218,10.0,84,1239.4477728096629,HTGR
15,20.0,15.789382613510522,127.48160317558484,0.002012855808723,10.0,84,999.916278200436,HTGR
16,50.0,15.789382613510522,56.66377360176287,0.0008946860017235,10.0,84,658.2830389554983,HTGR
17,100.0,15.789382613510522,43.73892906514848,0.0006906106861148,10.0,84,398.23718094066703,HTGR
18,3.0,17.003950506857485,0.0,0.0,4.0,78,1965.2205087592713,HTGR
19,5.0,17.003950506857485,125.99451798312984,0.0021424045479205,4.0,78,1533.697241749513,HTGR
20,10.0,17.003950506857485,106.2471168074006,0.0018066207156893,4.0,78,1150.915789037544,HTGR
21,20.0,17.003950506857485,81.72745410043382,0.0013896895845752,4.0,78,928.4936869004048,HTGR
22,50.0,17.003950506857485,48.63876078702981,0.0008270510811375,4.0,78,611.2628218872484,HTGR
23,100.0,17.003950506857485,36.389541923422264,0.000618765969833,4.0,78,369.7916680163337,HTGR
24,3.0,31.578765227021044,54.58254199500927,0.0017236492791544,2.0,42,1058.1956585626845,HTGR
25,5.0,31.578765227021044,49.70595172739453,0.001569652579985,2.0,42,825.8369763266609,HTGR
26,10.0,31.578765227021044,42.30239501487262,0.0013358574007153,2.0,42,619.7238864048314,HTGR
27,20.0,31.578765227021044,37.71493998619819,0.0011909912353753,2.0,42,499.958139100218,HTGR
28,50.0,31.578765227021044,23.973066201086773,0.0007570398293359,2.0,42,329.14151947774917,HTGR
29,100.0,31.578765227021044,23.29744175,0.0007357044434134,2.0,42,199.11859047033352,HTGR
30,3.0,22.10513565891473,0.0,0.0,4.0,60,1511.708083660978,HTGR
31,5.0,22.10513565891473,100.12874721744116,0.0022133595405987,4.0,60,1179.767109038087,HTGR
32,10.0,22.10513565891473,83.09139202713554,0.0018367464928478,4.0,60,885.3198377211878,HTGR
33,20.0,22.10513565891473,62.257701172110664,0.0013762149302216,4.0,60,714.2259130003115,HTGR
34,50.0,22.10513565891473,36.84183519922489,0.0008143937650022,4.0,60,470.2021706824988,HTGR
35,100.0,22.10513565891473,29.26010743255289,0.000646798644191,4.0,60,284.4551292433336,HTGR
36,3.0,221.05135658914728,22.616634722222223,0.0049994377868284,1.0,6,151.1708083660978,HTGR
37,5.0,221.05135658914728,22.616634722222223,0.0049994377868284,1.0,6,117.9767109038087,HTGR
38,10.0,221.05135658914728,22.616634722222223,0.0049994377868284,1.0,6,88.53198377211878,HTGR
39,20.0,221.05135658914728,22.616634722222223,0.0049994377868284,1.0,6,71.42259130003114,HTGR
40,50.0,221.05135658914728,22.616634722222223,0.0049994377868284,1.0,6,47.02021706824988,HTGR
41,100.0,221.05135658914728,22.616634722222223,0.0049994377868284,1.0,6,28.44551292433336,HTGR
