,keff,burnup,Power (W/cm),Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/(GWe.y)),discharge step,discharge time,volume_Ueq,mass U
3803.0,0.8900263688422099,79.0433107121208,190066.35554218251,1629212586171.442,608177652.9060439,0.14928802862383458,2064020.0927158946,2531.123838179743,34994704580.89417,2.0313928747203674e+19,2.1132806319862836e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
3849.029061905309,0.0,0.0,0.0,1628182900422.2063,607793275.8962439,0.14941342583473022,2065753.804154414,2545.1685921623084,35188883944.66828,2.059402592773918e+19,2.142419453632546e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
3849.0690619053094,0.0,0.0,0.0,1271115276328.4897,474501554.8567146,0.1219670939824651,1686287.473621203,2526.808635114954,34935043629.43024,2.0594279247508443e+19,2.1424458067702745e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
3850.0690619053094,0.0,0.0,0.0,952193477996.9751,355449497.1840981,0.0889106024320607,1229256.435140233,2305.243333327736,31871735479.72059,2.059685391813198e+19,2.142713652622752e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
3857.0690619053094,0.0,0.0,0.0,461974395901.63306,172452942.10646188,0.05043161022930453,697255.2171854603,1665.046764528445,23020532918.669785,2.06034715017777e+19,2.1434020872196774e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
3887.0690619053094,0.0,0.0,0.0,237196903612.16745,88544525.95067842,0.02518258594992478,348168.3284743388,1158.7345811326168,16020383413.386559,2.062301487013847e+19,2.14543520559646e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
3917.0690619053094,0.0,0.0,0.0,181805225273.93878,67867064.20737374,0.01825707675052744,252417.91719479222,1047.9700577162328,14488979964.637308,2.063353984847188e+19,2.1465301308145635e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
4217.069061905309,0.0,0.0,0.0,72426952132.87105,27036652.017781977,0.005627770595900615,77808.19195089866,774.7914978893652,10712079421.57645,2.0645797319059415e+19,2.1478052891314076e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
4582.069061905309,0.0,0.0,0.0,54160712196.342834,20217947.67783934,0.00392194998279818,54223.92968641422,662.6446449350317,9161564219.745703,2.0645821603421196e+19,2.1478078154606106e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
4947.069061905309,0.0,0.0,0.0,45736843838.90681,17073355.910319187,0.00329025062849579,45490.20755306679,601.5699297259614,8317160013.256663,2.0645820706068005e+19,2.147807722107959e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
5312.069061905309,0.0,0.0,0.0,40679691498.89679,15185543.928849539,0.0029192301428615547,40360.56826304801,563.5248415319641,7791157846.938139,2.0645819795194876e+19,2.147807627348812e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
5677.069061905309,0.0,0.0,0.0,37280328932.0424,13916577.334290825,0.002666336990622076,36864.12884761582,537.5364435563554,7431848556.745065,2.064581888431417e+19,2.1478075325888774e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
5713.569061905309,0.0,0.0,0.0,36997960933.74525,13811170.644017402,0.002645347159582404,36573.9285321052,535.3728287582309,7401934943.058873,2.0645818793227133e+19,2.147807523112992e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
5859.569061905309,0.0,0.0,0.0,35946464095.71903,13418651.653913299,0.0025675606607240063,35498.47125622205,527.321444021009,7290618449.532889,2.0645818428876382e+19,2.1478074852091776e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
5950.819061905309,0.0,0.0,0.0,35344769606.73709,13194041.836151287,0.0025234657049081717,34888.825086798584,522.7221869806326,7227030236.664049,2.064581820115574e+19,2.147807461519146e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
6042.069061905309,0.0,0.0,0.0,34779631958.7423,12983078.520962322,0.0024824540132729702,34321.80738047857,518.4106314327742,7167419714.884946,2.0645817973435286e+19,2.147807437829133e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
6772.069061905308,0.0,0.0,0.0,31177224396.501137,11638316.152557524,0.0022372527792798844,30931.714562013552,491.2173004353341,6791451312.837005,2.064581615167658e+19,2.147807248309546e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
7502.069061905308,0.0,0.0,0.0,28543505459.327396,10655160.844760284,0.0020846982552342815,28822.532695473965,471.6112546467907,6520382876.745401,2.0645814329918628e+19,2.1478070587900373e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
8049.569061905308,0.0,0.0,0.0,26920846058.626568,10049429.46620321,0.002003360189456296,27697.972316346517,459.4801006925267,6352660483.059554,2.0645812963600347e+19,2.1478069166504247e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
9327.06906190531,0.0,0.0,0.0,23819740768.808964,8891800.957447436,0.001868505671053937,25833.506436919957,435.57282506789227,6022124285.976541,2.064580977552456e+19,2.14780658499135e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
11152.06906190531,0.0,0.0,0.0,20350278347.68951,7596666.405927276,0.0017321352852024802,23948.0825416252,406.68800892888794,5622769820.418337,2.0645805221130105e+19,2.1478061111926226e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
12247.06906190531,0.0,0.0,0.0,18608916552.21191,6946623.962956377,0.001663399235326238,22997.754579321092,391.048467276432,5406541308.935518,2.0645802488494846e+19,2.147805826913533e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
12977.06906190531,0.0,0.0,0.0,17555319864.083416,6553321.108353866,0.001620741015456541,22407.972372789296,381.1639264895849,5269880044.268883,2.064580066673716e+19,2.147805637394052e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
14802.06906190531,0.0,0.0,0.0,15230939221.189081,5685640.379727969,0.0015224005603033935,21048.34107995222,358.11656414820135,4951232799.776269,2.0645796112345403e+19,2.147805163595605e+25,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
