,keff,burnup,Power (W/cm),Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/(GWe.y)),discharge step,discharge time,volume_Ueq,mass U
0.0,1.1932038776596265,0.0,190066.35554218251,24114.795926812498,9.001943706770346,1.731591593984298e-08,0.23940565598646543,0.0011145587268260302,15409.618761041704,1000.0,1040311137.3899982,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
0.125,1.1963896308793587,0.0025980578067354987,190066.35554218251,334257739741.46484,124776894.89212637,0.027443416228379012,379426.01982417953,35.464350659539505,490321514.80045146,35097378547832.504,3.6512193796502962e+19,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
0.25,1.1919488254974264,0.005196115613470997,190066.35554218251,366290959368.7741,136734750.17345715,0.03185564192626679,440428.3826927037,63.03422833852221,871495959.9833562,189669915006835.34,1.973157250094252e+20,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
0.375,1.1914961072363954,0.007794173420206496,190066.35554218251,392255900270.36707,146427344.58956316,0.035268769016045635,487617.45041123696,87.96087758709209,1216125769.6700232,448786573989614.7,4.668776712324967e+20,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
0.5,1.192487136773671,0.010392231226941995,190066.35554218251,416759648652.502,155574482.47993967,0.03817385685542422,527782.4906147666,110.90029840682095,1533280640.8518806,778155953993100.8,8.095243055653618e+20,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
0.6666666666666666,1.1916412911152308,0.013856308302589325,190066.35554218251,446658753101.575,166735682.26575837,0.041403596932127064,572436.0939479688,139.10141731508244,1923182474.2426171,1283795279847592.2,1.33554652775416e+21,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
0.8333333333333334,1.191458044228135,0.017320385378236658,190066.35554218251,472314045647.4164,176312686.35815483,0.04397775400111154,608025.7655456709,165.12672135925803,2283002018.792772,1832798180838017.8,1.906680360113918e+21,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
1.0,1.1895086933645667,0.02078446245388399,190066.35554218251,495572839145.4111,184995088.24916765,0.04614933090839992,638049.4614229534,189.4898273923402,2619840416.598643,2405108711502092.5,2.5020613792093344e+21,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
1.25,1.189729066746035,0.025980578067354983,190066.35554218251,528993775610.2983,197470971.91816247,0.04903424084626754,677935.526851805,223.76339771741073,3093698491.1687465,3285306848648046.5,3.4177413043922e+21,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
1.5,1.188951222789015,0.031176693680825984,190066.35554218251,557449115860.0691,208093221.09094623,0.05136898403864146,710215.120231217,255.71257849960983,3535420119.4074845,4177527126352603.5,4.3459279962934477e+21,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
1.75,1.1875142585375718,0.03637280929429698,190066.35554218251,582177494630.5308,217324212.48423788,0.05333124338269199,737344.8422228248,285.7167414425287,3950250402.5198092,5074965642064064.0,5.279543279310828e+21,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
2.0,1.1879655383480363,0.04156892490776798,190066.35554218251,604685090276.0878,225726195.6314714,0.055078985835941646,761508.7056863144,314.0679775137951,4342227719.414212,5974991989720725.0,6.215850712722496e+21,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
