Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
Ac225,5.332288205407624e-17,5.318357305873801e-17,5.3042856308931464e-17,5.290081230134287e-17,5.275750885336097e-17,5.2564588294077806e-17,5.236967772078828e-17,5.217291472292475e-17,5.187455046733127e-17,5.1572647867237933e-17,5.126757717809218e-17,5.095964725140676e-17,5.033635247592271e-17,4.9704793762945514e-17,4.842368890914501e-17,4.452142989729551e-17,3.5722580089874395e-17,2.798385592298211e-17,2.1551187140898842e-17,1.2351921601268462e-17,6.893359120747258e-18,3.8336298453792714e-18,2.2101061896940967e-18,1.4310583788181195e-18,1.148128320754663e-18,1.4222911072196224e-18,2.401577084211638e-18,3.976304791865651e-18,6.252251300103257e-18,9.212394722336347e-18,1.3037153006810384e-17,1.7781879830018874e-17,2.3512916587246728e-17,3.0661252427362894e-17,3.988272299360538e-17,5.064656807027211e-17,6.314747799772183e-17,7.699421762024304e-17,9.326273342354659e-17,1.1115055189312981e-16,1.3171605968591776e-16,1.5462572661115908e-16,1.7915663560196652e-16,2.0715199086549833e-16,2.672440628530127e-16,3.4100722111453266e-16,4.257218977248556e-16,5.247274369090874e-16,6.358600089191688e-16,7.613907637337371e-16,8.986315771261656e-16,1.054132285832002e-15,1.2254321524719084e-15,1.4144454921801808e-15,1.6181696247696563e-15,1.8346836575233016e-15,2.3193034487845604e-15,2.881008913002815e-15,3.5144106764528374e-15,4.222695429886383e-15,5.00714920969996e-15,5.872629772365229e-15,6.823699979739241e-15,7.83587448200127e-15,8.951000814572831e-15,1.014646152916054e-14,1.1406898033844505e-14,1.2752983400399975e-14,1.4187515398765316e-14,1.5672833221193744e-14,1.730315321751647e-14,1.8934283593474662e-14,2.0669906749863797e-14,2.2492710202732827e-14,2.4336506930893236e-14,2.6305566044843177e-14,2.7050645934434867e-14,2.7051546357835913e-14,2.7051034029514775e-14,2.612592285634981e-14,1.8632341685721416e-14,1.5016339545873734e-14,1.3598015688722736e-14,1.3753180962479136e-14,1.3930108320948452e-14,1.412880740136849e-14,1.4349291190171804e-14,1.4372538290898237e-14,1.446770698537602e-14,1.4528959249036096e-14,1.4591574784246862e-14,1.5141612143776276e-14,1.577908045747197e-14,1.631467155126401e-14,1.7756572472760185e-14,2.028540140869747e-14,2.206915624440634e-14,2.336999760393877e-14,2.7015402291433863e-14,3.1227122353017215e-14,3.60110164592963e-14,4.137320583000999e-14,4.732000431219054e-14,6.09933304578389e-14,7.708355462969864e-14,9.564384683841148e-14,1.1672738676016046e-13,1.4038699974106887e-13,2.111475137502015e-13,2.9912911858205144e-13,4.0509607065538364e-13,5.297799931446174e-13,6.738805165331422e-13,8.380663496828644e-13,1.229221153626192e-12,1.7080195525000405e-12,2.278814156871419e-12,2.945567789058133e-12,3.7118837247985e-12,5.555983245125651e-12,7.833756464992423e-12,1.0563671663210396e-11,1.3760647169853634e-11,1.7436584301597447e-11,2.87778935177876e-11,4.325795237317324e-11,6.091195779354579e-11,8.173711324042977e-11,1.057057791488883e-10,1.3277427052810048e-10,1.9598909545864954e-10,3.569536850187369e-10,5.604671526688233e-10,8.024960537112485e-10,1.0793215126634342e-09,1.3875504557705232e-09,1.7240942731549502e-09,2.0861430328390514e-09,6.646626070301647e-09,2.291309048636056e-08,4.678249962060135e-08,8.026173572523523e-08,1.1773149567531117e-07,1.1427684063657742e-07
Ac226,3.0965777977007965e-17,2.8848807480835803e-17,2.6876608163301822e-17,2.5039287259501166e-17,2.3327621309900077e-17,2.122609649919133e-17,1.9313986310994972e-17,1.7574216874760152e-17,1.5254111983491252e-17,1.324050560008712e-17,1.149289957684528e-17,9.976157163515226e-18,7.517293071048842e-18,5.66516179749429e-18,3.2191257606440526e-18,5.9662989462052265e-19,2.0043865205239277e-20,7.582879310804902e-21,6.192914155984009e-21,4.938400028151415e-21,4.8464610774319644e-21,5.503457801850777e-21,6.5407592850627354e-21,8.014212765615229e-21,9.689474376158093e-21,1.3325094196237685e-20,1.7970206000865554e-20,2.2642832768425725e-20,2.8275539925518893e-20,3.419827507075268e-20,4.012966750664255e-20,4.8858521516112976e-20,5.533459337611404e-20,6.402962346031798e-20,7.416361959498014e-20,8.550640383098105e-20,9.562376035988529e-20,1.0585134244208205e-19,1.210887574945854e-19,1.3409033753508834e-19,1.4965239659519442e-19,1.6610704475259644e-19,1.818171902308199e-19,2.0101297615335837e-19,2.318685737274171e-19,2.802916127181745e-19,3.2562915676248427e-19,3.836794667994284e-19,4.370844293151345e-19,4.922844279786142e-19,5.489801906198468e-19,6.249054614414774e-19,7.136417968146103e-19,7.877830204745087e-19,8.697266223530858e-19,9.518317759357786e-19,1.1739901021100904e-18,1.3943521838768886e-18,1.6301509684548717e-18,1.9369396855576344e-18,2.166342379379784e-18,2.497952245444719e-18,2.85648912835617e-18,3.2384976302022302e-18,3.656861105681703e-18,4.062162371360043e-18,4.527064233474937e-18,4.982456106031022e-18,5.519199065951775e-18,6.0808938440395524e-18,6.653330508702911e-18,7.235156671609493e-18,7.811770760755516e-18,8.48718251375927e-18,9.105430066201975e-18,9.80459982195513e-18,1.0120184809497652e-17,9.898268378328366e-18,5.708375780002165e-18,2.714508213223555e-19,5.065577216378063e-20,1.533245450487381e-20,9.895539866243786e-26,4.79435179257161e-32,2.3228452539513088e-38,1.125409705398402e-44,5.452567305427644e-51,1.273884557980614e-51,3.795301003754009e-54,1.0013106158844192e-55,2.6417481742475514e-57,6.201149227144288e-70,1.4556365586959164e-82,4.908949182096774e-92,3.886018834547609e-114,1.03742536881695e-145,1.1798533963634515e-164,2.7695476219408983e-177,7.393682818443689e-209,1.9738438725119862e-240,5.269443855800252e-272,1.406749478999182e-303,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,9.696854491552595e-22,9.699009805090013e-22,9.713548437986769e-22,9.751961355790511e-22,9.824852579924605e-22,9.992453011733286e-22,1.0259708737117978e-21,1.064551945538019e-21,1.1483119248391477e-21,1.2675206405232572e-21,1.4264254890521864e-21,1.6286326851760208e-21,2.1747392415313504e-21,2.9251932529645574e-21,5.091004938478267e-21,1.7357569585366068e-20,8.116539897991949e-20,1.9445911035370014e-19,3.570031895087847e-19,8.288063203350008e-19,1.4945093701674817e-18,2.3520731528991292e-18,3.399458373186311e-18,4.634624146153412e-18,6.0555447843126005e-18,9.44684562813243e-18,1.3557544707706695e-17,1.837213269759329e-17,2.3875188052966577e-17,3.005125772836647e-17,3.68858500215981e-17,4.436430469793449e-17,5.24721576926703e-17,6.151711815729942e-17,7.189769581513068e-17,8.299572325817727e-17,9.479261581192008e-17,1.068557388379641e-16,1.1997353800934146e-16,1.3328168030479595e-16,1.4765118867314673e-16,1.6263189441946717e-16,1.7769285155843915e-16,1.9382387023852724e-16,2.2606454026854456e-16,2.6142029893714863e-16,2.9871100983286507e-16,3.384779689735654e-16,3.793222019959149e-16,4.2176182866380614e-16,4.649650578394639e-16,5.1027167396552745e-16,5.568664396400239e-16,6.054470819261856e-16,6.543623278031759e-16,7.042985090067971e-16,8.05154752096855e-16,9.08965035724547e-16,1.0151419268679294e-15,1.1230988334207512e-15,1.2322823047743583e-15,1.3423348041385741e-15,1.4527476497893197e-15,1.5631307044655926e-15,1.673046331175801e-15,1.7821023682136027e-15,1.8900912353333893e-15,1.996765699198017e-15,2.1017329501017494e-15,2.2047545449178837e-15,2.3055078411057785e-15,2.404044126373091e-15,2.500158373782897e-15,2.5935908890095416e-15,2.6842485405093817e-15,2.772014876119288e-15,2.8049094280207797e-15,2.8049701828916204e-15,2.8065068912983196e-15,2.8173137200996916e-15,2.863865576167986e-15,2.910777741287795e-15,3.3994909189979965e-15,4.041166701672786e-15,4.73299517924451e-15,5.473405048476569e-15,6.260874104934659e-15,6.342152090417635e-15,6.671793206536885e-15,6.8814696968816236e-15,7.0939277844753555e-15,8.891120158522497e-15,1.0854083384666585e-14,1.2428916725855834e-14,1.6421166782923732e-14,2.281878725086894e-14,2.700437769177449e-14,2.99246877701348e-14,3.763459114302809e-14,4.5859555740222586e-14,5.4523720145455263e-14,6.356237949623585e-14,7.292034473491756e-14,9.241282480956212e-14,1.1270169260880104e-13,1.3356908554252e-13,1.5485650859056354e-13,1.764486565574641e-13,2.312663876757246e-13,2.867249600623968e-13,3.4246214930019694e-13,3.9831443099387343e-13,4.542079789399408e-13,5.101094596328002e-13,6.21884258929825e-13,7.335927610869537e-13,8.452255372875294e-13,9.567806360273578e-13,1.0682576369960931e-12,1.2909770091370232e-12,1.513383405111499e-12,1.7354767788112261e-12,1.957257143186082e-12,2.1787245562043785e-12,2.731024611344501e-12,3.281371543208632e-12,3.829768213287915e-12,4.376217890604623e-12,4.920724064178793e-12,5.4632903401724295e-12,6.542617902850111e-12,8.678157226589907e-12,1.0783075934480932e-11,1.2857618342459791e-11,1.4902033969993073e-11,1.691657775530512e-11,1.8901509842465142e-11,2.0857095231315604e-11,3.885991375679125e-11,7.832835972012928e-11,1.1167467720034911e-10,1.2958330934756485e-10,1.3231337542791694e-10,1.3227135327231553e-10
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,1.0201765518271878e-18,1.0320678789368226e-15,8.20580154078445e-15,2.6887159138007078e-14,6.173162570997901e-14,1.4066289322176479e-13,2.6386480437044e-13,4.38202402572071e-13,8.045268564723852e-13,1.3091542375087692e-12,1.9665928110706808e-12,2.7844178925820583e-12,4.899821637919923e-12,7.719392112619593e-12,1.5455940056277265e-11,5.593799539259789e-11,2.5196580798083605e-10,5.911850877288775e-10,1.0782885095497244e-09,2.5126328545722838e-09,4.600538438914623e-09,7.347324994000088e-09,1.0774590195190412e-08,1.4939699436930994e-08,1.984971376157702e-08,3.202706865104517e-08,4.7351468992444776e-08,6.598167544629905e-08,8.825304597342016e-08,1.1401351332719445e-07,1.4341433048613296e-07,1.7640794818474289e-07,2.13013871228048e-07,2.553145539624526e-07,3.0513976368659324e-07,3.6002568106227506e-07,4.201761571200906e-07,4.824271985851325e-07,5.519666772350525e-07,6.246863861536082e-07,7.041161801814477e-07,7.88379782947477e-07,8.755075776716807e-07,9.699095323199327e-07,1.1666554175475229e-06,1.3881643557155473e-06,1.6255627768923643e-06,1.8897018163576973e-06,2.167279495013235e-06,2.466452293177835e-06,2.7744904829766415e-06,3.1127565160163565e-06,3.473822249117528e-06,3.860193335502924e-06,4.251942789709206e-06,4.655856256908927e-06,5.535532502264437e-06,6.48106247615212e-06,7.492893863738325e-06,8.590480098281274e-06,9.747759365756817e-06,1.0945124604779873e-05,1.2258559291459534e-05,1.3633356474374204e-05,1.5062677329032616e-05,1.6576970589590678e-05,1.8126116285847178e-05,1.9768045765253523e-05,2.1506616227747473e-05,2.326364216063526e-05,2.5153318416972417e-05,2.7074850510515238e-05,2.908394927180704e-05,3.120407502210565e-05,3.334412553635877e-05,3.55024001730317e-05,3.6360604867178565e-05,3.635655455358529e-05,3.6255717669749994e-05,3.555814069955609e-05,3.2717543377880253e-05,3.010387380195474e-05,1.3093005497218505e-05,4.7545917248690145e-06,1.7265815094234801e-06,6.269904676693055e-07,2.2768519502707436e-07,2.057511055745346e-07,1.3720556282343796e-07,1.0650995068871501e-07,8.26815572573105e-08,1.0903259889096186e-08,1.4378185610351319e-09,3.1464068563932444e-10,9.079739877258912e-12,5.733802689538096e-14,2.7457712382557207e-15,3.6208629860451675e-16,2.286553907496292e-18,1.4439454983038153e-20,9.118431887477024e-23,5.758236722686521e-25,3.636292995380739e-27,1.4500987191402768e-31,5.7827744331910074e-36,2.3060829082263494e-40,9.196309144803633e-45,3.667348548497413e-49,3.682974130575376e-60,3.69866535511117e-71,3.7144225987566655e-82,3.7302462338759147e-93,3.746136622991811e-104,3.7620941190827947e-115,3.7942118015389684e-137,3.826601957143049e-159,3.8592671853211355e-181,3.892210037091523e-203,3.9254330338435955e-225,3.9847124874630994e-269,4.0448841624e-313,,,,,,,,,,,,,,,,,,,,,,,
Ag111,4.55302878915213e-18,6.313556504794969e-08,1.4089238259282322e-07,2.1783017077940848e-07,2.938834294648305e-07,3.9393339248150314e-07,4.9244904218255e-07,5.89462144225832e-07,7.322125109219889e-07,8.716977428837187e-07,1.008001223762213e-06,1.1412327463178008e-06,1.398670258177744e-06,1.6446587908721025e-06,2.1041751030888242e-06,3.258022041257162e-06,5.011068481341308e-06,5.978417255985831e-06,6.538066718888348e-06,7.1190838897317785e-06,7.441781057960011e-06,7.693549782497664e-06,7.924622031499753e-06,8.147478259980184e-06,8.367956645954667e-06,8.804898608418357e-06,9.229952913241413e-06,9.652518679690638e-06,1.0069710854549038e-05,1.0475446754994392e-05,1.0878267847045531e-05,1.12710539695335e-05,1.1674754804799821e-05,1.2070224549637891e-05,1.2487392356925898e-05,1.29165907157397e-05,1.3334621672076053e-05,1.3738249650364076e-05,1.4142591984081715e-05,1.452134909900791e-05,1.493607241491042e-05,1.5326511826177857e-05,1.5708089899349107e-05,1.6100908225949527e-05,1.6861793054510808e-05,1.7582309779022565e-05,1.835280867101473e-05,1.908282464767127e-05,1.9805713703255997e-05,2.0520071196647282e-05,2.1227494584683628e-05,2.190128143582351e-05,2.262415365430656e-05,2.333303827585609e-05,2.403669588294653e-05,2.47499146894585e-05,2.6057085555267835e-05,2.744704703785369e-05,2.874675740866697e-05,3.0087229545998347e-05,3.144259213352938e-05,3.2743164989002415e-05,3.4039942859127e-05,3.5354687983172365e-05,3.6646892773032986e-05,3.796761594908096e-05,3.925100237338829e-05,4.056507207216289e-05,4.187487257724988e-05,4.3198308283836144e-05,4.445938041538381e-05,4.5764748536357095e-05,4.704341381644001e-05,4.83378700545265e-05,4.963534079007511e-05,5.091538049340983e-05,5.1535330357164585e-05,5.144084464926833e-05,4.689218735012688e-05,2.444859942364142e-05,1.4998665551626536e-06,9.201344949134518e-08,6.947654466318436e-20,1.239906233590863e-34,2.212786183854971e-49,3.949026572114005e-64,7.047590511395305e-79,2.3615422663659214e-80,2.9772545383077002e-86,6.1193263895096075e-90,1.2577411500794869e-93,4.00582978199341e-123,1.2758326655530865e-152,9.618772207882752e-175,9.818878180772003e-222,2.3859420413516874e-269,1.3522845166e-313,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,4.654412117218689e-17,4.467505965954577e-17,4.2881039766501625e-17,4.115905654319292e-17,3.950622000204282e-17,3.740522008499719e-17,3.5415951361932244e-17,3.3532475121914266e-17,3.089339827983912e-17,2.846202168955398e-17,2.6222011861949044e-17,2.4158311407616646e-17,2.0505457731686655e-17,1.740514759609409e-17,1.2541127533245743e-17,4.719698030106328e-18,1.242929513130176e-18,4.641366829445145e-18,1.674161024621434e-17,9.631022072468452e-17,3.315964834254633e-16,8.424682413919322e-16,1.7371741271988338e-15,3.321807834592026e-15,5.741295135460447e-15,1.390412989604869e-14,2.972703453173356e-14,5.4100688265936535e-14,9.342313003089754e-14,1.4878127938382998e-13,2.2114559426177545e-13,3.39526447577875e-13,4.571416545027384e-13,6.34411612214031e-13,8.75553991605878e-13,1.1802376634489542e-12,1.508071132895856e-12,1.878464611801842e-12,2.4498620125526505e-12,3.0081988937273915e-12,3.714222291979618e-12,4.5453409514918835e-12,5.3857750539789e-12,6.510670490543582e-12,8.53318896228556e-12,1.190313779778314e-11,1.547285765881443e-11,2.045796663972776e-11,2.556251936538422e-11,3.092529965735017e-11,3.6985312915151505e-11,4.5404446805906846e-11,5.640247407288561e-11,6.483562869875969e-11,7.562918477868606e-11,8.666095244676186e-11,1.1936955103449692e-10,1.5315469273182042e-10,1.8933496041575974e-10,2.452497933608954e-10,2.7418720186749475e-10,3.3440009826307057e-10,4.017976500373719e-10,4.78329605918216e-10,5.652644826095484e-10,6.348090396728822e-10,7.384751266487718e-10,8.206998585617137e-10,9.409576823210035e-10,1.0813409034537975e-09,1.184340886968297e-09,1.3223127372324482e-09,1.4325710716554003e-09,1.5908113118544463e-09,1.691891404024319e-09,1.8280376922951486e-09,1.9344267852860853e-09,1.9092525192229427e-09,1.3760795508235368e-09,1.390307132133932e-10,7.5256477515045e-15,4.0795306715344947e-19,2.5986283918468954e-23,3.996015884966467e-23,2.942816339648866e-24,2.9758867323953456e-23,4.642182847098017e-23,,,2.820263081992928e-23,1.1764422124479663e-22,,,5.288630426265392e-23,1.0385334057618182e-24,2.3196702723439916e-23,2.306100926202237e-24,,1.6326479934236885e-23,6.008802943501047e-24,6.210831145531718e-24,6.63090300646474e-24,5.888137988083352e-24,,,4.2509347265959425e-27,,,8.690978312054209e-27,1.716516464889779e-26,1.4325843583345005e-28,,2.7532073482891737e-28,1.2235412213158813e-28,,,,,,1.8748346541570553e-34,5.157614105350594e-36,8.23692551299037e-38,1.47287133587148e-39,1.4566936557548524e-41,1.3336812449935808e-45,2.243301484737561e-49,1.423893829718996e-53,6.752013509574435e-58,5.947169076326286e-62,1.9629525781229114e-66,,,,,1.0048693482177017e-24,,,,1.2101892342547312e-27,,2.322718295334546e-29,3.752353043444603e-34,1.1873864554354493e-35,3.7003429829981374e-36
Am241,3.2015689435499003e-21,3.3354406175645907e-21,6.3274908287428486e-21,2.216897594225592e-20,6.962962149803863e-20,2.3117905128564214e-19,5.896134085213138e-19,1.2638893174386571e-18,3.1989656920621365e-18,6.809852676112997e-18,1.286996648747829e-17,2.230016049175685e-17,5.559990399648114e-17,1.169663570685787e-16,3.7707919062759713e-16,3.649164190539501e-15,5.950582947435876e-14,3.04895118082528e-13,9.69747850993986e-13,4.935061912370571e-12,1.5596539605170692e-11,3.794913888196113e-11,7.830104907083858e-11,1.443845361291804e-10,2.451805754100146e-10,5.915941216683914e-10,1.2091741183357271e-09,2.2081584821874607e-09,3.7150849100296008e-09,5.865877926250859e-09,8.806692658312809e-09,1.2692968602467923e-08,1.768901788240687e-08,2.4219895786428647e-08,3.296141859324697e-08,4.3766295845507945e-08,5.688589553030941e-08,7.203982051371477e-08,9.050824335164488e-08,1.1136195507959988e-07,1.3624593444825146e-07,1.6477669415041108e-07,1.9610462572578943e-07,2.3261521396724394e-07,3.1457857865021725e-07,4.181391124790778e-07,5.428297208456386e-07,6.930982382321592e-07,8.658214530768575e-07,1.065103054661674e-06,1.2885389723137047e-06,1.5448885842180327e-06,1.832073479196206e-06,2.1568718258484837e-06,2.5104110698371925e-06,2.8985006582430717e-06,3.765643828037686e-06,4.773743860058724e-06,5.928495781548088e-06,7.231905969698141e-06,8.686788236604442e-06,1.0296259448469965e-05,1.2058073195831043e-05,1.3970772589225463e-05,1.6031631180408652e-05,1.823832000504719e-05,2.058787003437172e-05,2.3073411104164878e-05,2.568810300683262e-05,2.8431236046226723e-05,3.129589847998923e-05,3.4282639423690254e-05,3.737354993207579e-05,4.0561198748773875e-05,4.3838417358264007e-05,4.719660703928698e-05,4.850803361396141e-05,4.851012660831079e-05,4.856281477310863e-05,4.8932101247303766e-05,5.051097566084809e-05,5.208334518288982e-05,6.745458111441323e-05,8.531820554051004e-05,0.0001023029015155775,0.00011845031348770826,0.00013380011343450712,0.00013529269562220897,0.00014118779045414585,0.00014481183411248333,0.00014839009552210247,0.0001754329248066197,0.00019984688077189847,0.00021657938060934222,0.0002509223533177999,0.0002902548054309133,0.0003092957084144563,0.00032037764548820813,0.00034327897241293525,0.00036051894261365834,0.0003733218759618171,0.0003826485378037458,0.00038925286375368867,0.0003965336165216399,0.0003985271566364494,0.000397304022310871,0.00039413876300943817,0.0003898157146924886,0.0003766694324226094,0.0003625302919276122,0.0003484967958522764,0.0003348801917473717,0.0003217580096683376,0.00030913880340904446,0.0002853582872737022,0.00026340546432089524,0.0002431413218206568,0.00022443610761658579,0.00020716991822040154,0.0001765203453295998,0.00015040531304535615,0.00012815397779421465,0.00010919472956581167,9.304051754248209e-05,6.235242040295861e-05,4.1787367266302756e-05,2.8006095482163608e-05,1.8770837838798623e-05,1.2581991648718488e-05,8.434627669586532e-06,3.792767497026606e-06,7.716987229282223e-07,1.619338650402965e-07,3.8474791976294286e-08,1.3122733377061523e-08,7.590533981295147e-09,6.088038455510129e-09,5.428441061690858e-09,2.3805644548684133e-09,2.0654397230213264e-10,3.511558103373727e-12,1.0148981849891385e-15,2.4499960423451337e-26,4.939964190885275e-44
