Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
Ac225,5.6101656042278936e-05,5.595508734533313e-05,5.580703753270245e-05,5.56575912959345e-05,5.550681998653304e-05,5.530384590779866e-05,5.5098778111001725e-05,5.489176135566594e-05,5.4577848675071506e-05,5.42602132589751e-05,5.3939244657659075e-05,5.361526781757548e-05,5.295949176496651e-05,5.2295021122700424e-05,5.0947155045448226e-05,4.684154063682252e-05,3.7584163194939175e-05,2.9442156898715852e-05,2.267426743842076e-05,1.2995607709890941e-05,7.252587397205506e-06,4.033408823641065e-06,2.3252797391068904e-06,1.5056340139952754e-06,1.20795984129394e-06,1.4964098603730218e-06,2.526728607820269e-06,4.1835188789361255e-06,6.578070022032322e-06,9.69247310214941e-06,1.3716548048113744e-05,1.870853313962229e-05,2.4738226969629302e-05,3.225907849018651e-05,4.1961100398655115e-05,5.3285873383939995e-05,6.643823353307942e-05,8.100655755618604e-05,9.812286190353415e-05,0.00011694285438086438,0.00013858007652792944,0.00016268361715387746,0.00018849288637550466,0.00021794714187098387,0.000281170745390623,0.00035877786589816194,0.0004479072127347686,0.0005520721507807147,0.0006689960883068329,0.0008010685299687931,0.0009454612674074106,0.0011090654639191139,0.0012892921476263877,0.0014881553928831263,0.0017024960431588495,0.0019302931037444592,0.002440167510252496,0.0030311446955944904,0.0036975544337929838,0.004442749481142859,0.005268082892257734,0.0061786655721039595,0.007179298163418984,0.008244219330340951,0.00941745737644231,0.01067521620789185,0.012001336862383112,0.013417569731444007,0.01492685838302737,0.016489579420927016,0.018204859018526243,0.019920991226446243,0.021747061566005362,0.02366485536120626,0.025604736437968633,0.027676407602061116,0.028460315261956564,0.028461262608423826,0.028460723581534318,0.027487402807440817,0.01960331445428034,0.015798874399968396,0.014306638531889302,0.014469889813190254,0.01465603724984322,0.014865090981303893,0.015097064670756718,0.015121523229609784,0.015221651376437459,0.015286095631798292,0.015351974201822605,0.015930675231587435,0.01660136343701,0.017164865373997515,0.018681906959686516,0.021342518796268046,0.023219229064013986,0.02458786016021108,0.028423234994327484,0.03285443715631288,0.03788763062513136,0.04352925561089761,0.04978595498925644,0.06417182857349238,0.0811005501159138,0.10062806043468132,0.12281031051718973,0.14770287855584646,0.22215088034032146,0.3147174022946019,0.4262065279393453,0.5573880069599159,0.7089979291403579,0.8817398512487592,1.2932786020585738,1.7970282504735569,2.3975682312787363,3.0990678782772747,3.9053182419208636,5.845517890023281,8.241990938754736,11.114168090014074,14.477745101237883,18.345243493185134,30.277573558738837,45.51222048860598,64.08621539866836,85.9966160166103,111.21434241828824,139.69343309084252,206.2025231552164,375.555335505619,589.6743426233862,844.3159080362018,1135.5673573883155,1459.8587963044006,1813.9406605762763,2194.8565864208817,6992.996538700817,24107.142596452126,49220.43973263421,84444.3532974644,123866.74578131596,120232.06098443616
Ac226,0.000458440498813311,0.00042709928688061465,0.0003979013755747572,0.0003707003050173211,0.00034535952422636154,0.00031424698175430715,0.0002859386747867374,0.00026018182899523667,0.00022583326380038634,0.00019602233137340613,0.0001701494668964017,0.00014769447968262584,0.0001112916196640142,8.387128533407967e-05,4.765834142930951e-05,8.832954453779691e-06,2.9674434692580366e-07,1.1226260732953912e-07,9.168452531324541e-08,7.311176143956053e-08,7.175062856379386e-08,8.147729864083529e-08,9.683428433441502e-08,1.1864838986421133e-07,1.4345021363722636e-07,1.9727464411174506e-07,2.66044347696727e-07,3.3522140333793307e-07,4.186122059421636e-07,5.062967994419992e-07,5.941095619369652e-07,7.233380343861774e-07,8.192146377789334e-07,9.479423555827269e-07,1.097973601249999e-06,1.2659006485518621e-06,1.4156855490709717e-06,1.5671023109846475e-06,1.792688380951363e-06,1.9851734799388637e-06,2.215565822200519e-06,2.4591727199402734e-06,2.6917574441094523e-06,2.9759461920871762e-06,3.4327554979453165e-06,4.149646323858425e-06,4.8208571786955404e-06,5.680277313702768e-06,6.470924255400313e-06,7.288146252553728e-06,8.127512656496381e-06,9.251567057901969e-06,1.0565286024741086e-05,1.1662928059845454e-05,1.2876082328007782e-05,1.4091628328225862e-05,1.7380626070911432e-05,2.0643030870161755e-05,2.413397214416323e-05,2.8675901386287052e-05,3.2072150156882446e-05,3.698155022178962e-05,4.22895979500572e-05,4.794513705090802e-05,5.4138902327094115e-05,6.013928489604508e-05,6.702203919743669e-05,7.376400051244548e-05,8.171034406833178e-05,9.002609297147861e-05,9.8500872784282e-05,0.00010711466174006334,0.00011565128726412286,0.00012565058717453742,0.00013480358557626943,0.00014515461669909954,0.00014982677249684534,0.00014654135594843322,8.451105739830263e-05,4.018760646759888e-06,7.499458749520133e-07,2.269931049840175e-07,1.4650096101819762e-12,7.097916380156753e-19,3.4389135570184813e-25,1.6661405603801215e-31,8.072387773268305e-38,1.885953818518062e-38,5.618846994897189e-41,1.482415001986884e-42,3.911041252186297e-44,9.180644345569559e-57,2.1550330515026407e-69,7.267574912410093e-79,5.753152445356594e-101,1.5358819788579384e-132,1.746743065706444e-151,4.100245097127979e-164,1.094616011866867e-195,2.922225852571415e-227,7.801278144910413e-259,2.082656968401038e-290,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,7.054839051175125e-08,7.056407125659954e-08,7.066984546946422e-08,7.094931439707112e-08,7.14796264224368e-08,7.269898479514182e-08,7.464337421517134e-08,7.745029735084313e-08,8.354416184488082e-08,9.221705987981908e-08,1.0377800607943009e-07,1.1848936660243043e-07,1.5822074406338564e-07,2.1281919421628998e-07,3.703904238327003e-07,1.2628307442481124e-06,5.905098677375981e-06,1.4147657127114433e-05,2.5973371518926304e-05,6.029888557834724e-05,0.00010873137341794362,0.00017112247631176467,0.00024732382758647654,0.00033718694492410723,0.00044056445167579497,0.0006872947872511673,0.0009863641444274947,0.0013366441594154504,0.001737012854807205,0.0021863459614011693,0.0026835891514599168,0.003227675835848368,0.0038175536975640287,0.0044756097750042875,0.00523083720156845,0.006038261892373337,0.006896531740014789,0.007774170890704354,0.008728541835842547,0.009696760984086518,0.010742198645047,0.01183210329407905,0.012927846544270712,0.014101440936335263,0.01644707516403212,0.019019344214335814,0.021732388570135562,0.024625589623494662,0.027597166544571377,0.030684814562748387,0.033828017635361446,0.03712425029515025,0.04051420084815849,0.04404863165384038,0.04760740617305637,0.05124045771083867,0.058578141935412685,0.06613074410643842,0.07385552618523777,0.08170981131302218,0.08965333380394241,0.09766008146495411,0.1056930457208046,0.11372384256731356,0.12172063221002799,0.12965488335848982,0.13751149374191374,0.14527247617277259,0.1529092522161304,0.16040447420648155,0.1677346686432464,0.1749035669067725,0.18189625248941904,0.18869383161824543,0.1952895286109771,0.20167487111950605,0.20406807779830805,0.20407249795162408,0.2041842994691914,0.20497053832544834,0.2083573670375981,0.21177040963559435,0.24732619542094733,0.2940106060589649,0.34434382044864026,0.3982115201638853,0.4555029589075748,0.461416248691243,0.4853989228759176,0.5006537036245204,0.5161108563991648,0.6468635964134357,0.7896768111098719,0.9042520660463375,1.1947037958231879,1.660155584866488,1.9646735800622461,2.177137504320409,2.7380629821983957,3.3364611687997288,3.966812850833169,4.624410497716558,5.305238890706299,6.723392682275025,8.199486780406454,9.717670833732857,11.26641371266387,12.837326515453094,16.825529808869756,20.860356798763803,24.915454248974292,28.978925123297923,33.04539827809422,37.11244857109446,45.24450025553357,53.37172856501199,61.49344751642029,69.60951513023296,77.71990082723644,93.923601990349,110.10453291922617,126.2626902593101,142.3980749527548,158.51069121698058,198.69266982007343,238.73255110314122,278.63054325080174,318.38688409714877,358.00182748196937,397.4756357675849,476.0009167731061,631.3697142482488,784.5107427427481,935.441777191887,1084.1809711080082,1230.7468722391698,1375.1584070789067,1517.4348553971568,2827.209971393654,5698.693029264825,8124.767412223534,9427.690102621447,9626.313035581148,9623.255760207887
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,2.2462230317688836e-06,0.0022724053359829133,0.018067520158174456,0.059200102184721846,0.1359205906173187,0.30971132389200134,0.5809770865528313,0.9648333197532472,1.7714058918999847,2.882493618543939,4.330040774242732,6.1307266758731185,10.788419117203587,16.99654468980424,34.03086305979927,123.16418503913953,554.7778961309457,1301.6703409978563,2374.1738434433446,5532.310832091649,10129.457868365695,16177.327928048488,23723.47473676066,32894.20532439716,43705.066682248966,70517.146385273,104258.38552005526,145278.34304437359,194315.40955749643,251034.763649238,315769.43387563276,388414.7263431556,469013.58669900487,562151.1594528464,671856.2231936547,792703.9446083539,925143.1625564011,1062207.4019176513,1215319.3101269577,1375433.4440421418,1550321.832169116,1735853.2923206736,1927691.125552788,2135545.191983855,2568739.954216375,3056457.965147457,3579161.413288721,4160742.3102164962,4771912.380518827,5430630.548969638,6108868.521947163,6853662.109800191,7648656.039254622,8499367.253400872,9361920.54885252,10251256.547842748,12188126.238955032,14269992.559809383,16497841.222859032,18914504.765034314,21462600.32764682,24098957.115612518,26990875.42000789,30017901.566357724,33164977.8422935,36499146.219939284,39910052.63242703,43525250.22403721,47353231.77116505,51221848.542251445,55382534.57445732,59613360.73593736,64036991.04054412,68705080.3845283,73417040.04058447,78169125.5390155,80058719.20445724,80049801.23073712,79827778.74794532,78291854.93742968,72037432.4881965,66282659.17139908,28828157.68530883,10468652.136662355,3801584.290235936,1380506.5668838324,501316.88299109053,453022.44138592837,302098.9795823353,234513.4319359327,182048.11498681523,24006.77945438444,3165.786511675279,692.775337316637,19.991756131074226,0.12624677206892457,0.006045634536779007,0.0007972410088790042,5.034530583162566e-06,3.1792767919434055e-08,2.007694813469526e-10,1.267847602036126e-12,8.006383857632202e-15,3.1928249433272665e-19,1.2732503110459866e-23,5.0775295044264595e-28,2.024841815010065e-32,8.074761922732851e-37,8.109166303313305e-48,8.14371521534802e-59,8.17840948814846e-70,8.213249941585175e-81,8.24823737386047e-92,8.283372562161682e-103,8.354089221872087e-125,8.425405812505497e-147,8.497328057473967e-169,8.569861573605326e-191,8.643011912490521e-213,8.773533314685384e-257,8.906019208294558e-301,,,,,,,,,,,,,,,,,,,,,,,
Ag111,7.530423629836097e-05,1044222.5888245942,2330271.509964427,3602774.1999715287,4860647.327625067,6515410.871971736,8144797.837819516,9749333.609196607,12110335.009182682,14417333.131576244,16671707.089592589,18875272.786523916,23133127.529580217,27201623.348635335,34801734.51871282,53885638.115147024,82879925.10068583,98879266.21671826,108135516.8029374,117745175.85689355,123082384.32501662,127246480.88647301,131068270.74255855,134754172.77990916,138400746.79579532,145627492.40048602,152657623.6147434,159646595.96741244,166546692.49045998,173257309.4306957,179919717.27095708,186416153.01786548,193093111.25831667,199633932.43324366,206533625.9319828,213632297.19626054,220546266.63809326,227222019.86988673,233909588.09178105,240173992.86559734,247033256.01226816,253490878.62961853,259801940.28089175,266298908.66359183,278883465.79671,290800359.84509104,303543927.54851604,315617933.26064765,327574064.1748536,339389088.4092732,351089426.89661145,362233438.19165426,374189290.6307742,385913797.0025823,397551851.838459,409348042.90713316,430967827.9600561,453956917.8115519,475453310.9633685,497623878.12988293,520040723.98962563,541551382.095966,562999273.5283705,584744332.0549314,606116587.612239,627960519.3639554,649186924.6940533,670920812.1108875,692584089.7457192,714472885.0487286,735330225.9927615,756920194.7784464,778068515.3485444,799478008.4453155,820937359.4366267,842108412.1039991,852361993.444085,850799259.1843786,775567324.5849491,404364477.674369,24806850.71771974,1521844.6585781171,1.1490984087285672e-06,2.0507270286671e-21,3.659809357317805e-36,6.531441901784189e-51,1.165627202860338e-65,3.9058425740396593e-67,4.924191997363615e-73,1.0120981477655896e-76,2.080224860282414e-80,6.625390842969352e-110,2.110147090501237e-139,1.5908845052073489e-161,1.6239807762062672e-208,3.9461982692536386e-256,2.236593649984273e-300,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,0.00026504719390053037,0.00025440375501551316,0.0002441876433675136,0.00023438174716005668,0.00022496960925358627,0.00021300538867376027,0.0002016774254491045,0.00019095190137382356,0.0001759235821390009,0.0001620780195557803,0.0001493222019752976,0.0001375703845449385,0.00011676907619167154,9.911424716137892e-05,7.141590768764505e-05,2.6876492399754707e-05,7.0779074000040244e-06,2.643043252350739e-05,9.533570954578601e-05,0.0005484420610840156,0.0018882882569436492,0.00479746609685003,0.009892401363156307,0.018916155747753828,0.03269401433919176,0.0791775743050951,0.16928168127768622,0.3080783405476017,0.5320014179339662,0.847240416458424,1.2593216442031454,1.933445726746398,2.6032098080176005,3.6126800412276396,4.985874106958521,6.7209063777488005,8.587766014482039,10.696985175800114,13.950828493859326,17.130298207318432,21.150774173393632,25.883609662695584,30.669492281435513,37.07525033173779,48.59255546172557,67.78285189320562,88.11075170846128,116.4986364381222,145.56669792428517,176.10524569559885,210.61421199530108,258.55727669647763,321.18594369333437,369.20884998150524,430.67314835356274,493.4939512938346,679.7542577249401,872.1449781186119,1078.1748307120795,1396.5838842357086,1561.369011342388,1904.2535437891497,2288.051358070771,2723.8653693590168,3218.9191922442856,3614.9432063727677,4205.2735158432315,4673.505247668724,5358.317806790177,6157.73517454572,6744.272333585097,7529.958062068241,8157.828164821685,9058.932978289848,9634.537246113925,10409.827245309769,11015.663811748595,10872.308036400354,7836.135141114836,791.7154621284232,0.042855075326076554,2.3231036051175704e-06,1.4797984061214705e-10,2.2755458056112287e-10,1.675797487083403e-11,1.6946295427284469e-10,2.643507936576416e-10,,,1.6060090879751492e-10,6.699293043732305e-10,,,3.011629865935112e-10,5.9139663192011586e-12,1.3209446885563927e-10,1.3132175749545866e-11,,9.297173485850744e-11,3.421734729901594e-11,3.536780425659615e-11,3.775991877445288e-11,3.3530216313831415e-11,,,2.4207102688015685e-14,,,4.9491092663209144e-14,9.774765552453074e-14,8.157903826299934e-16,,1.5678239560927116e-15,6.967500065834092e-16,,,,,,1.0676314249730434e-21,2.937022144618012e-23,4.690547245503415e-25,8.387319487783966e-27,8.295195098908516e-29,7.594696443737916e-33,1.277456204195954e-36,8.108415294450114e-41,3.844958694720352e-45,3.3866370996692493e-49,1.1178104978426088e-53,,,,,5.722265116929757e-12,,,,6.891466689020251e-15,,1.322680396354166e-16,2.1367911126946256e-21,6.761615434189884e-23,2.1071737942690924e-23
Am241,3.550581668390175e-09,3.6990470989506758e-09,7.017269763533721e-09,2.4585683137055904e-08,7.722015737501455e-08,2.563805796730735e-07,6.538889515249931e-07,1.401669718970999e-06,3.547694628575122e-06,7.552215336470302e-06,1.4272960504348446e-05,2.4731168511522828e-05,6.166101788683304e-05,0.00012971721382504164,0.00041818573498818144,0.004046970628565967,0.06599274012813929,0.3381326581226592,1.0754630006131392,5.473047954733323,17.296765613623986,42.08608942092078,86.8368835244812,160.12433160688443,271.90845233865394,656.0855882098041,1340.9898503370364,2448.876524602279,4120.077565294658,6505.335040783967,9766.736891531953,14076.667543946092,19617.35128385527,26860.179963597173,36554.64264078986,48537.392279329986,63087.19925172747,79893.09948343689,100374.8210170438,123501.85900519702,151098.51631315064,182739.50052116546,217482.58477809405,257973.30279727632,348871.74204820907,463721.7232495344,602005.232395471,768654.9758731674,960207.2713714526,1181213.163766803,1429006.5073627695,1713301.5666836614,2031793.3566550633,2391998.9545605457,2784078.5820481195,3214474.991615717,4176148.064046468,5294144.133070261,6574779.058093096,8020277.937560359,9633761.325744325,11418685.86787058,13372560.266577726,15493768.81247184,17779287.83892956,20226534.49416341,22832216.0865877,25588713.51458099,28488440.898807354,31530611.1769925,34707559.13681538,38019893.75459711,41447753.77673354,44982897.84309383,48617375.976574466,52341652.083274946,53796041.23983511,53798362.397836074,53856794.25901752,54266337.7699587,56017330.06413211,57761108.34888351,74808009.2531797,94619001.46875863,113455250.581479,131362940.82681882,148386068.9447878,150041362.03628802,156579099.00611523,160598210.63719922,164566549.15800413,194557399.14811784,221632794.37827295,240189354.68876103,278276158.8421864,321896360.6582396,343012970.1315941,355302982.7216989,380700852.63937324,399820204.1940546,414018824.0735909,424362213.5639038,431686497.0834523,439760946.7566506,441971808.71578574,440615336.8137433,437105023.01150244,432310706.1073951,417731307.80052614,402050816.7870588,386487486.81132996,371386495.46207166,356833824.58082676,342838960.4364363,316466058.2301256,292120091.5744065,269646893.5406902,248902567.2971186,229754138.31308752,195763362.6750014,166801451.64551684,142124430.96193096,121098377.67582363,103183146.08511335,69149646.55330145,46342734.70353886,31059124.75272146,20817103.709428288,13953592.65643184,9354111.971777286,4206228.566321943,855823.9374070655,179586.76600171239,42669.04555073708,14553.282277939588,8418.001074621923,6751.7139620366215,6020.211859065857,2640.0769944079443,229.05995613491308,3.894363685169035,0.0011255353092316535,2.7170775294733323e-14,5.478484645472942e-32
