Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
Ac225,775.6478960390838,773.6214727669164,771.5745719483481,769.5083645081853,767.4238369350212,764.6175665282769,761.7823488831677,758.9201854097753,754.5801047879204,750.1885545274966,745.7509204562712,741.2716952051155,732.2050944777567,723.0182844615779,704.3830148329015,647.6197853197053,519.6295290209393,407.0601237890638,313.48892481149915,179.67412174659825,100.27251515075794,55.7649325995829,32.14875396871268,20.816530875313465,16.70095992698061,20.688999963490645,34.933937191454476,57.84031783377598,90.94680144097718,134.00578341986872,189.64166808945137,258.6596437864446,342.02472893616266,446.00619882265437,580.1440017238301,736.7175676188673,918.5589105899238,1119.9770268184811,1356.6229013178017,1616.8235548869507,1915.9745429050852,2249.224252316866,2606.056951782545,3013.284347837466,3887.39856316581,4960.375797455647,6192.656539704187,7632.815721021244,9249.37773606038,11075.379296917026,13071.718280443365,15333.670239790777,17825.440677410283,20574.875697058378,23538.297566400757,26687.76450252756,33737.16444099095,41907.87173833291,51121.49122478936,61424.37729610393,72835.23695735124,85424.73234158884,99259.23597151245,113982.57786266845,130203.48266672133,147592.9513591108,165927.57404431197,185508.0663627675,206375.1253714011,227980.92759993792,251695.96749098782,275422.7953656393,300669.601196665,327184.5532894047,354004.8787825208,382647.302073951,393485.41934144485,393498.5171240415,393491.0646689404,380034.1676028749,271030.6733262244,218431.40742380547,197800.11606589376,200057.18870509253,202630.8180376051,205521.1442490879,208728.35624341673,209066.51434877163,210450.8618333209,211341.85248509003,212252.67362368375,220253.65377005356,229526.4263071458,237317.26748140503,258291.516677484,295076.4909332514,321023.4321350418,339945.79388170625,392972.75655036105,454237.483411144,523825.19614291465,601824.9355294555,688328.5443590378,887224.1450501786,1121276.545163202,1391259.1688885863,1697945.5810141761,2042104.1921546955,3071404.216826414,4351206.508997337,5892628.132494736,7706311.4598624725,9802433.490008734,12190721.428249888,17880556.429976493,24845276.947835162,33148197.136997677,42846961.19587898,53993983.26898163,80818713.2522158,113951768.66081357,153661793.66875517,200165794.01332676,253636889.2050217,418610392.0052907,629240927.2098933,886040478.0497708,1188968365.381165,1537622537.2225459,1931367540.8393,2850906096.6535597,5192337024.982989,8152694509.755151,11673307061.864153,15700078994.194511,20183653812.5419,25079103829.937153,30345555077.409916,96683474872.18932,333299509382.7661,680509867515.5865,1167507157332.3677,1712551598870.4668,1662299328004.5151
Ac226,6338.287199502216,5904.971201190316,5501.287957757059,5125.2125504288715,4774.85705843265,4344.702588648564,3953.3187991348163,3597.210893305355,3122.3159578462505,2710.157233003532,2352.4452809540385,2041.9880713696373,1538.6909536880748,1159.5840585961773,658.9126750643171,122.12228695566617,4.102715402572664,1.5521155937606734,1.2676080204293398,1.0108254895999844,0.9920067964312408,1.126485378935791,1.3388073402296017,1.6404038750165582,1.983307877938925,2.7274714053328384,3.678264655655506,4.634689856755514,5.787630877609459,6.999936810467034,8.214014776780012,10.000696308748285,11.326262984443586,13.106021204079367,15.180316835464001,17.502035481872333,19.57292520495851,21.666376648083194,24.78527496391089,27.446527279457772,30.63187595087838,33.9999258628106,37.21558587499811,41.14471061029619,47.46044533144092,57.37200409880019,66.65200265999515,78.53413710232994,89.46543004625433,100.76414326447389,112.36901968262042,127.90992333841736,146.0730832966097,161.2488159789239,178.0215927925318,194.8274371137288,240.30032257131336,285.40554043973634,333.670448205287,396.4660608331354,443.421773002352,511.2979481421671,584.6857292337454,662.8778418023267,748.5113389920208,831.4711737521384,926.6304661766815,1019.8431889031287,1129.707408520496,1244.6789369162761,1361.84918811602,1480.9413460273909,1598.9666610380623,1737.2145575267482,1863.7616945203915,2006.8725414837627,2071.468634899566,2026.045262165838,1168.429392059866,55.56241045709693,10.368569862025941,3.1383516408775143,2.025486771653111e-05,9.813407116504603e-12,4.754558516332369e-18,2.3035655474952437e-24,1.116068764107171e-30,2.6074740293905025e-31,7.76848164067225e-34,2.0495510444136843e-35,5.407310822151509e-37,1.2692936311109428e-49,2.9794964537820596e-62,1.0047972890263953e-71,7.954169100587715e-94,2.1234731904664678e-125,2.4150046173592882e-144,5.668899471408001e-157,1.513389561861388e-188,4.040198621926388e-220,1.0785858041258715e-251,2.879431035857496e-283,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,0.9753849445753486,0.9756017427522284,0.977064151377062,0.9809280210201121,0.988259986522327,1.0051185397813167,1.0320011965355127,1.0708090353430961,1.155061328537178,1.2749707142474986,1.4348095537496963,1.638205257950269,2.1875216508763544,2.9423865867024936,5.120928208293016,17.459591729187917,81.642462774327,195.602077704423,359.10153804576134,833.6777740945736,1503.2936097556599,2365.8978732497767,3419.4392829190883,4661.864958231028,6091.137305366105,9502.371111616518,13637.231542274072,18480.118113130276,24015.518636539007,30227.889239069194,37102.65304101779,44625.06363957024,52780.57195495722,61878.69575290018,72320.28706713955,83483.54510288894,95349.77595096204,107483.80208738973,120678.70341221703,134065.06663604465,148519.03429705132,163587.7917552596,178737.27229768215,194963.10385463524,227393.27404817133,262956.8423572944,300466.7359128591,340467.4322945284,381551.73442305124,424240.80740163487,467697.97109495936,513270.88476249395,560139.5193021912,609005.7027898385,658208.456559302,708438.1463809134,809887.1896373344,914307.6363200765,1021108.6006671131,1129700.0427747385,1239525.2590317796,1350224.6111631913,1461286.427579306,1572318.277919297,1682879.952903796,1792576.9858276055,1901200.576356004,2008502.0379947724,2114086.25223059,2217713.374445673,2319058.86571155,2418174.315188332,2514853.490857498,2608835.1719946815,2700025.6796593424,2788307.8772204434,2821395.7725902437,2821456.884558439,2823002.6252369266,2833872.973060176,2880698.445784974,2927886.3453406035,3419472.0200244607,4064919.36407281,4760814.184233095,5505575.941659777,6297673.484896394,6379429.195920594,6711007.835216286,6921916.735717801,7135623.582791482,8943379.26859485,10917880.153602393,12501969.852534588,16517685.05588877,22952908.654404093,27163100.633436356,30100575.34382384,37855795.01903085,46129103.28075383,54844192.824019186,63935978.47221756,73348946.78438632,92955997.31175698,113364116.47152863,134354161.14820048,155766704.7394815,177485764.32349923,232625696.22111595,288410236.04351467,344475030.3361976,400655593.5607478,456877665.5872874,513107716.98672265,625539492.1693089,737904580.5389915,850193497.8595986,962404281.1566299,1074536507.6492918,1298564951.7605069,1522278580.1332407,1745677346.3881888,1968761263.5513446,2191530389.931739,2747076685.0123787,3300658376.994187,3852278344.187221,4401939874.828004,4949646478.443894,5495401782.392745,6581073281.143323,8729164609.871622,10846455344.738752,12933191237.69086,14989623274.788748,17016007892.700642,19012606764.537914,20979686447.725838,39088319680.25317,78788748321.27504,112331064600.8178,130344957858.21318,133091070378.29997,133048801230.14691
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,31.05573509831979,31417.7252891577,249797.1537020332,818486.2612660407,1879205.135428838,4281993.682597746,8032448.355749371,13339551.579921788,24491028.429677818,39852657.98365673,59866094.037825644,84761940.78385183,149158067.34012535,234990106.50676313,470502462.75858843,1702838164.3668911,7670224700.295271,17996578578.19006,32824752002.1523,76488388398.23682,140047428861.87418,223663814156.73096,327995010565.0622,454787308462.3092,604255656781.0936,974952970856.9939,1441451163440.158,2008583151939.2559,2686557745775.992,3470745785301.965,4365751642598.7104,5370127845274.689,6484468149436.999,7772165651526.095,9288921267639.543,10959732567501.861,12790805088374.486,14685822034088.738,16802710158952.254,19016409358915.977,21434373815974.52,23999486806706.277,26651790182832.1,29525530116443.45,35514775882158.21,42257846866622.04,49484618024635.72,57525414516250.8,65975303745809.53,75082581453557.48,84459735246617.97,94757070836252.64,105748464179088.5,117510191192852.95,129435643951938.23,141731387877371.3,168510078682522.22,197293457739788.8,228095153270588.88,261507357546875.94,296736709075420.06,333186338909036.7,373169300314503.0,415020229989415.5,458530943652921.5,504628347359009.0,551786712531661.5,601769558021726.5,654694302896789.5,708180860527340.0,765705496957459.1,824199873811255.0,885359914007522.8,949899785619425.2,1015046197530808.0,1080747379611388.5,1106872443546473.1,1106749145803751.8,1103679516780304.6,1082444206521281.6,995972077961807.8,916407977180328.1,398571119512792.5,144737046586430.28,52559782800610.48,19086549125477.227,6931085692869.244,6263378450979.69,4176747255589.105,3242325858205.13,2516953104931.3467,331911912910.99695,43769396847.02564,9578143868.203503,276401173.7818974,1745457.2653468736,83585.477497134,11022.460918213505,69.60619935054305,0.4395591019164178,0.002775790177713549,1.7528953588757042e-05,1.1069432227408157e-07,4.41432236482747e-12,1.760365013377974e-16,7.020069201195673e-21,2.799497206358612e-25,1.1163970082566251e-29,1.1211536745111196e-40,1.1259303233341012e-51,1.130727069384162e-62,1.1355440260146168e-73,1.1403813035829816e-84,1.1452390095412929e-95,1.155016123478527e-117,1.1648761824107979e-139,1.1748199776431809e-161,1.1848482857446758e-183,1.194961874264788e-205,1.213007446916729e-249,1.2313246253892097e-293,,,,,,,,,,,,,,,,,,,,,,,
Ag111,1041.1381154887029,14437168368218.82,32217768982462.72,49811082689000.305,67202131612998.08,90080491222336.48,112608000409247.1,134791923005937.92,167434555998169.66,199330552766110.94,230498980594746.0,260964945722773.8,319833013193059.8,376083050085299.1,481160344671597.7,745009769395025.1,1145877752339027.5,1367080763981142.5,1495055440646672.2,1627916257112353.8,1701707207523904.0,1759278997104645.8,1812118137160374.0,1863078525176774.5,1913495173502473.2,2013410406294598.2,2110607296188687.2,2207235133640361.5,2302634195417344.0,2395413558416815.5,2487526394087096.0,2577344539830337.0,2669658545806272.0,2760090353717194.5,2855483843377792.5,2953628351387693.0,3049219216776668.0,3141516562595024.5,3233977259602275.5,3320587401361478.0,3415421910775677.0,3504703435598892.5,3591958644035056.0,3681784153871629.0,3855775189992392.0,4020535278161296.5,4196724755879104.5,4363657031823348.0,4528959599387181.0,4692311260203966.0,4854077303684211.0,5008151702270977.0,5173450419705780.0,5335550602497823.0,5496455527312028.0,5659546805344833.0,5958456712326533.0,6276298295500623.0,6573502215970814.0,6880027102932093.0,7189956979402020.0,7487358123675287.0,7783891471130879.0,8084533378789771.0,8380021002972243.0,8682029907872868.0,8975501042171569.0,9275988500775528.0,9575499725651042.0,9878128903135830.0,1.0166497442702952e+16,1.0464995117202004e+16,1.0757386670538586e+16,1.10533891319144e+16,1.135008091645336e+16,1.1642786758256046e+16,1.1784550288147386e+16,1.1762944303117356e+16,1.0722805813390394e+16,5590645240573662.0,342973504241200.94,21040655317462.605,15.887156029769962,2.835285475240498e-14,5.05996369477651e-29,9.030213235421321e-44,1.611567913045543e-58,5.400123255774529e-60,6.808068481203483e-66,1.3993023633880309e-69,2.876068462132883e-73,9.160104763953838e-103,2.917438212246028e-132,2.1995183500025846e-154,2.2452764519518468e-201,5.455918061657493e-249,3.092260160016135e-293,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,3664.4782490035445,3517.3246432069054,3376.0791601947903,3240.50521641745,3110.3752794529914,2944.9608661334278,2788.3431927622405,2640.0546970244545,2432.2767985127016,2240.851406737114,2064.4925651887734,1902.0147863220666,1614.4209397712164,1370.3295535569432,987.3790267420621,371.5878684056995,97.85743185611625,365.42075269243173,1318.0884084928746,7582.626980896427,26107.015673652724,66328.60323296442,136769.94308909288,261530.1836337177,452019.51643200725,1094689.947778777,2340447.4873619494,4259416.450752826,7355322.634314305,11713740.606338058,17411075.762657125,26731351.903880127,35991347.72448576,49948038.44879123,68933486.70605531,92921622.26811787,118732371.03355849,147893923.8320849,192880772.73707023,236839350.21481922,292425476.26093465,357860512.38196546,424028965.25469553,512593423.14713234,671828891.8003724,937149278.0689412,1218197892.9389534,1610681905.2997954,2012569876.6047,2434788434.806575,2911901037.0562463,3574750227.053573,4440638994.244964,5104592054.668538,5954382543.524636,6822927735.691273,9398117578.394056,12058065038.382324,14906583833.708673,19308830217.65279,21587109437.120136,26327747859.206043,31634043397.569374,37659502265.75913,44503996407.92288,49979328421.44167,58141092169.802246,64614750583.298645,74082803010.546,85135353738.98438,93244674309.03638,104107374721.7768,112788154551.51193,125246611252.87099,133204776319.37813,143923747899.16916,152299897397.2817,150317895200.23218,108340504791.92859,10946066048.366457,592503.8823491645,32.118667267723986,0.0020459334024027906,0.003146114466091282,0.0002316916980247887,0.002342953723848042,0.0036548499880696655,,,0.002220429231480793,0.009262280155160193,,,0.004163806443433014,8.176506464047056e-05,0.0018263061034965277,0.00018156227835546367,,0.0012854046675513338,0.00047308074864169764,0.0004889866876385452,0.0005220594830558826,0.0004635806422177449,,,3.346815333759744e-07,,,6.842518493208839e-07,1.3514353888808225e-06,1.1278920062876801e-08,,2.1676353938403018e-08,9.63309668192971e-09,,,,,,1.476081326193791e-14,4.060655616612024e-16,6.485036911396767e-18,1.1596104594852832e-19,1.1468735648112153e-21,1.050024318925886e-25,1.7661799792860726e-29,1.1210498418463226e-33,5.315946680200486e-38,4.6822823537093785e-42,1.5454576958808793e-46,,,,,7.911465029088489e-05,,,,9.52797477838027e-08,,1.8287058510199645e-09,2.954275591414918e-14,9.348445581361013e-16,2.9133274049553737e-16
Am241,0.04908948140009143,0.05114212845140139,0.09701907059431092,0.3399156948873259,1.0676271758287996,3.5446557416921145,9.04051012525085,19.37914573577328,49.049565887496954,104.41509840195683,197.3344918214842,341.9271404055239,852.5102851778053,1793.4387517477348,5781.734593586599,55952.434826764314,912399.6267716226,4674940.159650401,14869090.728174081,75669034.22263874,239140888.21866494,581872069.6453062,1200585700.2437742,2213840190.7770004,3759340344.8336625,9070880291.537064,18540200582.3113,33857573162.114838,56963193611.08144,89941185222.96016,135032536568.52888,194620592937.13345,271224743129.05963,371362336617.9154,505395627420.01135,671066219013.4639,872228322987.8988,1104582625433.881,1387757942091.704,1707506762761.2466,2089051456602.2722,2526512033720.6587,3006861494091.0728,3566676345492.646,4823416130590.769,6411304128260.607,8323178402437.382,10627237355822.2,13275592956461.371,16331166847533.45,19757097544977.684,23687692115133.953,28091082393147.656,33071197667219.664,38491995547256.195,44442551967414.266,57738410733975.78,73195553354948.69,90901301371362.88,110886418454906.47,133194048632449.95,157871982642907.62,184885776412911.72,214213091536069.0,245812123530654.9,279647162514001.66,315672684530473.9,353783349728108.4,393874277578207.7,435934586348570.5,479858298671879.25,525653834107119.1,573046595776808.4,621922640633683.5,672172054221578.8,723662992818005.9,743771024717417.2,743803116485233.5,744610981232628.5,750273230531625.9,774482025507887.0,798591081338730.2,1034277400659492.0,1308179376367306.8,1568604790236357.5,1816192174310184.5,2051549816850285.8,2074435497850194.0,2164824664289093.0,2220391927370367.8,2275257213737557.0,2689903435191781.0,3064241285911728.0,3320799790204461.0,3847378711265076.5,4450461046979449.0,4742414170379994.0,4912332905053791.0,5263477697476183.0,5527817217076891.0,5724123893441691.0,5867129089046397.0,5968392857403791.0,6080028241143086.0,6110595082623553.0,6091840830947587.0,6043308083302969.0,5977023020045425.0,5775451793454244.0,5558657126033199.0,5343482298717251.0,5134699653168794.0,4933497953484915.0,4740008354518911.0,4375383002045297.0,4038781569115847.0,3728072581149693.5,3441266555433647.0,3176525018343823.5,2706576794559678.5,2306156433735365.5,1964977928072151.2,1674276812563470.5,1426585163676756.2,956046249695266.4,640723415408775.9,429415929346338.3,287812229315959.25,192918989378697.78,129327684458284.44,58154296466193.53,11832414286120.414,2482923090553.978,589931879773.4482,201210152706.36172,116385242130.18947,93347560459.97601,83233989718.14537,36501064506.01893,3166927423.8349724,53842528.222980976,15561.378328392178,3.75656552370366e-07,7.574420059081907e-25
