Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
Ac225,2.32644125260464e-09,1.6740102230276607e-16,1.5235712513591437e-16,1.4189102383819294e-16,1.3318664646637882e-16,1.2381677404455112e-16,1.166570814879664e-16,1.107642651488404e-16,1.0317295059304854e-16,9.733662089544958e-17,9.265085846695383e-17,8.866642931959139e-17,8.19814436770845e-17,7.665051956945131e-17,6.899487724441679e-17,5.512374366011451e-17,3.916324334590084e-17,2.915455600628024e-17,2.1755695221849768e-17,1.1947096824127538e-17,6.480831512197963e-18,3.541244401234902e-18,2.0121468567868267e-18,1.2872757406450275e-18,1.0163548466776241e-18,1.2432792949346695e-18,2.066691977647689e-18,3.3954001080334418e-18,5.2911016978741335e-18,7.726163288622546e-18,1.0893587361039955e-17,1.4804519746905834e-17,1.9438266918042937e-17,2.5280852984249642e-17,3.270552048872752e-17,4.135353153866106e-17,5.1477086554028744e-17,6.250483311698414e-17,7.544891913303713e-17,8.961250869197496e-17,1.0575302079382526e-16,1.239184871810119e-16,1.4348108883193828e-16,1.6511878525544463e-16,2.1228853570418318e-16,2.6920352515812823e-16,3.3469799484783367e-16,4.108513918503032e-16,4.967754924098729e-16,5.894546776872514e-16,6.928524091002061e-16,8.08091476909215e-16,9.346177648499447e-16,1.076393801512977e-15,1.2246084394905251e-15,1.3860966781681121e-15,1.7375192147343125e-15,2.139853996055851e-15,2.590457027340914e-15,3.0856652919440577e-15,3.630072932955617e-15,4.220468014344369e-15,4.8610077686582644e-15,5.56009723841653e-15,6.292156403049152e-15,7.07965081467683e-15,7.89341819170884e-15,8.765720585295034e-15,9.671377806737812e-15,1.0615121152705952e-14,1.1606472876126036e-14,1.2637564554779298e-14,1.3710417078728085e-14,1.4759245191085552e-14,1.590682721415785e-14,1.6987597467006513e-14,1.7479802333372053e-14,2.239078007986168e-14,2.988964348023473e-14,5.949984036191829e-14,8.264574349728046e-14,8.690000178027399e-14,1.9753196994460056e-13,2.671657965045615e-13,3.2044268951885614e-13,3.654179870490666e-13,4.049606079999151e-13,4.087123411122284e-13,4.2345337043178754e-13,4.3248536634638597e-13,4.414070344399862e-13,5.109715678659084e-13,5.816161389380096e-13,6.376049748442871e-13,7.843035380195979e-13,1.0487580774879765e-12,1.247747497758223e-12,1.4005931165353245e-12,1.866151166487845e-12,2.475343616357227e-12,3.2630457269435855e-12,4.27004337870938e-12,5.543840418956226e-12,9.119998113274546e-12,1.4534270280279129e-11,2.2481995687406147e-11,3.382629100096552e-11,4.9601979181181254e-11,1.1655488234827425e-10,2.3977895455691034e-10,4.3805149245810277e-10,7.2199592595116e-10,1.0935807391390407e-09,1.5509895397188449e-09,2.7245891963099115e-09,4.277460916125449e-09,6.278790564596099e-09,8.809853369269557e-09,1.1955607491882343e-08,2.044628990959597e-08,3.250117579006887e-08,4.893723793711403e-08,7.062344562994057e-08,9.845157653404911e-08,2.0053608542741675e-07,3.581406188641129e-07,5.786387174062873e-07,8.6433206150181e-07,1.2136707987724778e-06,1.6232684433899218e-06,2.6099655177662368e-06,5.21210483824735e-06,8.667520375307688e-06,1.3032847574481897e-05,1.8358011817932408e-05,2.4682059097295574e-05,3.203783075961622e-05,4.045476440071703e-05,0.00018847673865611623,0.0015496537905009735,0.009296636618747954,0.03843733346175442,0.07865609372277743,0.10360901752301575
Ac226,1.9010755894624227e-08,1.2777543676653803e-15,1.0862986524714044e-15,9.450471102201685e-16,8.286779330556673e-16,7.035504836123608e-16,6.053994739766671e-16,5.25012285669058e-16,4.269110038957326e-16,3.516416580389943e-16,2.922639031321268e-16,2.4425024208086783e-16,1.7227974335003816e-16,1.2293288079434926e-16,6.454102125338379e-17,1.0394737458504044e-17,3.092119148668591e-19,1.1116598841788147e-19,8.797023298292116e-20,6.721296244085179e-20,6.411556443917064e-20,7.153527952545545e-20,8.379413348672292e-20,1.0144111551618539e-19,1.2069633021157544e-19,1.6390394566004697e-19,2.1760616370970728e-19,2.720701930710991e-19,3.3671270542770987e-19,4.0358448290440935e-19,4.71837695044528e-19,5.723950741535482e-19,6.437046928166893e-19,7.428851799446322e-19,8.557878075312514e-19,9.824266558888515e-19,1.0968890000142714e-18,1.2091794958376864e-18,1.378439214483032e-18,1.5212248466821176e-18,1.6907392775038528e-18,1.8731877770062833e-18,2.048970103746524e-18,2.254604561476108e-18,2.5917868413973292e-18,3.113624124346738e-18,3.602378316940937e-18,4.227255146143857e-18,4.8051052009277465e-18,5.362876881961604e-18,5.955999381642988e-18,6.740911813380467e-18,7.65885686003985e-18,8.4358821203394e-18,9.261788977316234e-18,1.0118856653346525e-17,1.2375860114290225e-17,1.4573066129908516e-17,1.6907937085963595e-17,1.9916548074215213e-17,2.2099926399656832e-17,2.5261028940717508e-17,2.8633727070441716e-17,3.2335338669505163e-17,3.617223071097853e-17,3.9883514208697036e-17,4.4081171082253854e-17,4.819014401917849e-17,5.294158944402746e-17,5.795404839641998e-17,6.279904211738636e-17,6.795186229018199e-17,7.291225893991783e-17,7.836548316931433e-17,8.374612051975405e-17,8.909495171542024e-17,9.202084879898537e-17,1.152856540059102e-16,8.875408134077883e-17,8.699098223650453e-18,3.1617017909231415e-18,1.248551050400179e-18,2.0227409369571977e-23,1.3105286271763675e-29,7.51891313080312e-36,4.095755151991027e-42,2.1653209626941078e-48,5.09745340262229e-49,1.5631153539706164e-51,4.19415664179155e-53,1.1245205978101814e-54,2.9446637804614372e-67,7.549994357117137e-80,2.699608658874693e-89,2.415287597457874e-111,7.54722836030553e-143,9.386591964156137e-162,2.335614006963614e-174,7.186792593486628e-206,2.201685293009748e-237,6.718796318332732e-269,2.0430019933116933e-300,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,2.9255230160712525e-12,2.111067684212131e-19,1.9293363284545412e-19,1.8087507249264688e-19,1.715128291655634e-19,1.6276180482375835e-19,1.5803759151997103e-19,1.5628438694179052e-19,1.5793033055728533e-19,1.654268654414144e-19,1.7825836112969477e-19,1.9595218818497812e-19,2.449261612166654e-19,3.119360401969417e-19,5.015989960979742e-19,1.4861158981035316e-18,6.153198497040716e-18,1.4009458053261643e-17,2.4921147119052872e-17,5.54338543047286e-17,9.716114713530914e-17,1.502417775288766e-16,2.140180615334297e-16,2.8828557951559153e-16,3.706827002253014e-16,5.710329777517619e-16,8.067787169616885e-16,1.0848383513057364e-15,1.3971744956372613e-15,1.7428024535306558e-15,2.131287898385472e-15,2.554138814187796e-15,2.9996744648803472e-15,3.5074539643522177e-15,4.077044015618289e-15,4.686109802606989e-15,5.34350994035065e-15,5.998566891444014e-15,6.7115760215927425e-15,7.430561555650254e-15,8.197570568176901e-15,9.012685887017708e-15,9.840697620434039e-15,1.0683383033934931e-14,1.24178121672592e-14,1.427087620323928e-14,1.6239494857131438e-14,1.832633245063988e-14,2.049278947802884e-14,2.257897645621224e-14,2.4789829389853573e-14,2.704961179130474e-14,2.9369054881082126e-14,3.18607010424252e-14,3.4244092146966885e-14,3.679453036589702e-14,4.171051649060011e-14,4.6685378379983664e-14,5.174219074802174e-14,5.6750696803870296e-14,6.177733855881858e-14,6.670878125561854e-14,7.156336241331288e-14,7.669805929028892e-14,8.132611858264142e-14,8.598526556466172e-14,9.044290137990031e-14,9.49067499071912e-14,9.907263205561601e-14,1.0325993669535174e-13,1.0693891559460315e-13,1.109560810764841e-13,1.1467634278398088e-13,1.176841558670375e-13,1.2132274026233247e-13,1.237867131835942e-13,1.2533486117891967e-13,1.6054601950900188e-13,2.1443572570850988e-13,4.436837628747982e-13,8.784152063733353e-13,1.1648202592445013e-12,3.4148364405451515e-12,5.428484858048408e-12,7.528805915455813e-12,9.788951329060213e-12,1.2218319203618144e-11,1.2471396721498581e-11,1.3503384410310479e-11,1.4164859728752927e-11,1.4839457099816544e-11,2.074795331960436e-11,2.7665726350083697e-11,3.358928854156786e-11,5.0156036852743896e-11,8.157901118118984e-11,1.0557699985111275e-10,1.2401582660847063e-10,1.7976980555402898e-10,2.513781568108605e-10,3.416389863638034e-10,4.536359087488091e-10,5.907569273475401e-10,9.555178641501362e-10,1.469454360737049e-09,2.1710905768419074e-09,3.1031676996573812e-09,4.311065625716785e-09,8.827773467815726e-09,1.5893225186860012e-08,2.5607894772996073e-08,3.7536986114179984e-08,5.097026322477196e-08,6.528118179710334e-08,9.531795886242048e-08,1.2704056427756996e-07,1.610400375736783e-07,1.978819585404497e-07,2.3792904215187121e-07,3.285233629899185e-07,4.3418232394124254e-07,5.559523003212167e-07,6.946276947073901e-07,8.506634133044212e-07,1.315992185818322e-06,1.8786124402893593e-06,2.515773777151632e-06,3.200032799356581e-06,3.906837503816408e-06,4.6187543843831785e-06,6.0248825290453046e-06,8.762397525056354e-06,1.1531386658471956e-05,1.4439465111228942e-05,1.7527280042774367e-05,2.0808428261225326e-05,2.4288055982857132e-05,2.7968783905207982e-05,7.619956794706562e-05,0.00036632301892972497,0.0015345862542793852,0.004291290703263912,0.0061127639670798236,0.00829276373143856
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,9.314708855866275e-11,6.798362657931359e-15,4.932559675868072e-14,1.5092214583366996e-13,3.2613663788417894e-13,6.933958458026001e-13,1.230065232882217e-12,1.9469051641672914e-12,3.3486327695563527e-12,5.170864095993118e-12,7.437664310590913e-12,1.0138709841636652e-11,1.6700503436607457e-11,2.491239038420374e-11,4.608609091592804e-11,1.449412395899578e-10,5.780866168660294e-10,1.2889551872468664e-09,2.2779921195654103e-09,5.0859532426377915e-09,9.05157099934853e-09,1.4203338777948982e-08,2.052876233376079e-08,2.8123642351524234e-08,3.677262672846054e-08,5.858856611438812e-08,8.527626128501294e-08,1.1790985434568585e-07,1.562985176486656e-07,2.0010739824954143e-07,2.507818951097812e-07,3.0736207073112984e-07,3.685313138098572e-07,4.4054763750849856e-07,5.23661373614583e-07,6.15193211491258e-07,7.168112714807814e-07,8.196015038219335e-07,9.344868929804899e-07,1.0539852316075171e-06,1.1830792785098445e-06,1.3222248049051928e-06,1.4673615909036352e-06,1.6179089339341544e-06,1.939440899969286e-06,2.293366834811618e-06,2.674523013260429e-06,3.0964191308427235e-06,3.5434723221905526e-06,3.996050849739589e-06,4.4766976905502925e-06,4.993741232347207e-06,5.544569417160295e-06,6.1476551925257005e-06,6.734046143621413e-06,7.361178787019603e-06,8.67854499447889e-06,1.007398315467302e-05,1.1558166214167093e-05,1.3136871911301937e-05,1.4789213858942332e-05,1.6461301635211397e-05,1.827516452347248e-05,2.0244785456873856e-05,2.2158765295755902e-05,2.4205712112881988e-05,2.6249303647852256e-05,2.8435118244613714e-05,3.0681003535860894e-05,3.2973923352557314e-05,3.53090284684659e-05,3.781778155836019e-05,4.037206833520292e-05,4.284983414396019e-05,4.561000552884958e-05,4.797969657398029e-05,4.917059329372461e-05,6.297603586509814e-05,8.383567057807438e-05,0.00016947228165021538,0.0003037030896743175,0.0003645806058188168,0.0003980307998108504,0.00019328867203059492,8.311864070957288e-05,3.3936013672111323e-05,1.3447222633280179e-05,1.2244524561696424e-05,8.404136183684146e-06,6.6350250559062075e-06,5.234331266149444e-06,7.70010157064482e-07,1.1091092214256286e-07,2.5733787705184058e-08,8.392936063037543e-10,6.203687729080036e-12,3.24878373215146e-13,4.5413072222630736e-14,3.3054629856040605e-16,2.3953545373878468e-18,1.729113136399994e-20,1.2437070614484805e-22,8.915388777657951e-25,4.5375919786690725e-29,2.281829670543823e-33,1.134405213894498e-37,5.577128514455365e-42,2.7116883347195687e-46,4.2545990498770067e-57,6.204587055905695e-68,8.4057006342399e-79,1.0638788281409052e-89,1.2722341142571816e-100,1.4570538214090882e-111,1.7599812757043414e-133,2.0054968003976164e-155,2.2252940515102504e-177,2.4361913589440153e-199,2.645942060859426e-221,3.06878208327306e-265,3.51196814009413e-309,,,,,,,,,,,,,,,,,,,,,,,
Ag111,3.1227399363820663e-09,3.1240042179195585e-06,6.361804599218508e-06,9.184754639734605e-06,1.1662950919890803e-05,1.4586999195088115e-05,1.7244454008678007e-05,1.967285702341721e-05,2.2893152183522446e-05,2.5863047803622822e-05,2.8636811356256582e-05,3.1215045798311024e-05,3.581014712259093e-05,3.987030730733071e-05,4.7130038936804164e-05,6.34133306043743e-05,8.636208443361746e-05,9.791338028298266e-05,0.00010375476749628451,0.00010824526624219226,0.00010998505102294677,0.00011171961676061593,0.00011341801356787236,0.00011521111768056132,0.00011644780313146237,0.0001209933527366941,0.0001248635429522918,0.00012957132138788653,0.00013396261889278866,0.00013810863847660366,0.0001428909920476901,0.00014751566025506836,0.000151724512887787,0.00015644948128471108,0.00016097742123908037,0.00016579347167920903,0.00017088171453631982,0.00017532499665376478,0.00017985844739963874,0.0001840436864415759,0.00018851564896175114,0.00019308770448751446,0.0001977616555666304,0.00020175053426216508,0.000210561602003939,0.00021819763544101,0.0002268227458951078,0.00023488246416646268,0.0002432462160474252,0.00024973454609014743,0.0002572851618786698,0.0002639318990421157,0.00027125268627748117,0.0002791343034460517,0.0002859597558847537,0.0002939429050373427,0.00030687027790785785,0.00032047349175646285,0.00033309621064702875,0.00034561947183953866,0.00035834397347159766,0.0003699181092725363,0.0003811993568278064,0.0003943654596709866,0.00040496921995939063,0.0004164544413829591,0.0004269777558916066,0.00043831368060945716,0.00044873758583271046,0.00045993994398004087,0.00046880837222058994,0.0004801783061693148,0.0004905326555901588,0.0004986166943098406,0.0005100036378754236,0.0005168806202773738,0.000523505063972271,0.0006693328882348429,0.0008145060247802001,0.0008752962962052752,0.0001045833665614817,8.370742129578762e-06,1.5865618735695055e-17,3.7863738224726914e-32,8.001884367465968e-47,1.605578031967454e-61,3.126654823741329e-76,1.0556913071599045e-77,1.3698682530363403e-83,2.8635018958297955e-87,5.981158347937962e-91,2.125073983081344e-120,7.392739807337457e-150,5.909489255065826e-172,6.817793661015861e-219,1.9391372451186517e-266,1.20189353512817e-310,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,1.099106103592743e-08,7.611005663243114e-16,6.66649386565041e-16,5.975225535129139e-16,5.398066007133237e-16,4.768861847991604e-16,4.269985771281873e-16,3.853155102348021e-16,3.3256266944925487e-16,2.907494423158528e-16,2.564891349330885e-16,2.275074857263745e-16,1.8075886161289264e-16,1.4527498753331424e-16,9.671456197725205e-17,3.162861121528631e-17,7.37528220193113e-18,2.6172251167862505e-17,9.147350168069521e-17,5.041926897506966e-16,1.6873534049971e-15,4.212069913668708e-15,8.56024502092549e-15,1.6172793769271814e-14,2.750813296524114e-14,6.578400835459422e-14,1.384608903293e-13,2.5004051877115037e-13,4.2791785375859953e-13,6.753609458897259e-13,1.000144518770666e-12,1.5299828814780954e-12,2.04549368691768e-12,2.8311916296428855e-12,3.886113715086802e-12,5.215889244378802e-12,6.653897175233163e-12,8.253816646936144e-12,1.0727112015004846e-11,1.3126830237954549e-11,1.614054716237368e-11,1.971592351030173e-11,2.334566694308393e-11,2.808855507470679e-11,3.668817831941507e-11,5.0859833923260264e-11,6.584062743999688e-11,8.669813694021415e-11,1.0809325989160258e-10,1.2958449490529526e-10,1.5434219169213755e-10,1.8839098176671686e-10,2.3283015362230575e-10,2.6705149172216733e-10,3.097839635252056e-10,3.5436604174647417e-10,4.840184450994229e-10,6.156957532511095e-10,7.553548208498335e-10,9.699827634138826e-10,1.0758910788513805e-09,1.3007406015061786e-09,1.5492092922596196e-09,1.8370394710696215e-09,2.1506806133301703e-09,2.397378668273499e-09,2.765857075065636e-09,3.0532087386115073e-09,3.471749686924294e-09,3.964024990299421e-09,4.299797863268459e-09,4.776887355777633e-09,5.143096057222642e-09,5.64985549057569e-09,5.985412879901566e-09,6.389483689033043e-09,6.765618167892628e-09,8.55336116154949e-09,8.229561871815016e-09,1.7137648085089995e-09,1.806729964576074e-13,1.2777980399722755e-17,2.043159849397919e-21,4.201469503137152e-21,3.6639989698149185e-22,4.165787596433478e-21,7.090892200536148e-21,,,4.543838044056814e-21,1.926211597546349e-20,,,1.1186980748586317e-20,2.4828004538761707e-22,6.4910399061267264e-21,7.05692656136122e-22,,6.104136685751221e-21,2.578029013320733e-21,3.046027440795213e-21,3.70409484105882e-21,3.733706996221672e-21,,,5.408272562202743e-24,,,2.5966264341653765e-23,7.447262363369792e-23,8.3846250870867e-25,,2.4182610558857365e-24,1.2255904850840492e-24,,,,,,3.734331507025286e-30,1.1581749328637023e-31,2.0653136136632317e-33,4.0913926698143434e-35,4.451699076376055e-37,5.030160993192096e-41,1.0052441973405303e-44,7.321142303365958e-49,3.86447889339628e-53,3.6958025957200533e-57,1.2989204049827547e-61,,,,,9.250830429252684e-20,,,,1.8574028442821323e-22,,2.498246475334386e-23,9.726233824946916e-28,4.293664566339491e-29,1.815840174300326e-29
Am241,1.4723664588189167e-13,1.1066451600527612e-20,1.9157638440289432e-20,6.267766302587144e-20,1.852870296457165e-19,5.739965418628431e-19,1.38443681180111e-18,2.8283828496091594e-18,6.706495978108929e-18,1.3547811130381378e-17,2.451651023268521e-17,4.089925303141019e-17,9.545143082934757e-17,1.9013075477036198e-16,5.663255077763872e-16,4.762528484251317e-15,6.876539268138139e-14,3.3482966457594854e-13,1.031894209030512e-12,5.031471809396509e-12,1.545619756213744e-11,3.695066259045057e-11,7.51430287282594e-11,1.3690190687017047e-10,2.287786927510577e-10,5.45103082468962e-10,1.0968384009350894e-09,1.9875410764991295e-09,3.3140038534233427e-09,5.185599200801389e-09,7.756674725083342e-09,1.113921123958229e-08,1.541449639655825e-08,2.1049834420929304e-08,2.8491593463663867e-08,3.766838103534944e-08,4.8880667706426725e-08,6.164568648590216e-08,7.71805021479428e-08,9.463862903101204e-08,1.1530607384504029e-07,1.3919534645813496e-07,1.6554809396775421e-07,1.9544297768968478e-07,2.6340390130235705e-07,3.4794655539483815e-07,4.4984750957779716e-07,5.720320545848188e-07,7.130197745376292e-07,8.691786016799633e-07,1.047203767491328e-06,1.2483522735617761e-06,1.4728625852022186e-06,1.7301505341631361e-06,2.0025926882361806e-06,2.3082365570751497e-06,2.9736227018715654e-06,3.7374314381333657e-06,4.6062019962691634e-06,5.570400349764598e-06,6.6383268726721805e-06,7.799774548209356e-06,9.054383571071572e-06,1.0449365517223098e-05,1.187900888165595e-05,1.3413948590927094e-05,1.501701284460999e-05,1.671714902888305e-05,1.8458169025745628e-05,2.0297743751903614e-05,2.2127737617085867e-05,2.4119224602223028e-05,2.61307022804289e-05,2.8054835262594807e-05,3.0203325901778853e-05,3.212696275952231e-05,3.304053938036395e-05,4.23237478139891e-05,5.656076785183421e-05,0.00011746611554964502,0.00023616383355376405,0.0003177087361589897,0.001032875290899174,0.0017470043806984445,0.0024806095274323764,0.0032292019921139592,0.003980277889051836,0.0040553954393588686,0.004355897108243331,0.004543761705737291,0.004731693232211972,0.0062403694656652,0.007764736349362728,0.008922058176243473,0.011682585530342064,0.01581778662476066,0.01843272117262639,0.020239049215424233,0.024995231555369028,0.030123553340259544,0.03565708207341495,0.041628211527452705,0.048069803047170886,0.062498125639654255,0.07920707954456367,0.09844085297143941,0.120394139906529,0.145179747705682,0.2191691671862524,0.30631710806290674,0.3972285953306144,0.4810644171182854,0.5503917311973693,0.6030572857650953,0.6667086286590643,0.6953325715359407,0.7061556575734854,0.7075660189609351,0.7033614489650041,0.6847356457093174,0.6577589495371005,0.6257937650691177,0.5907262927934329,0.5537426313036504,0.4579957307868941,0.3646760256563604,0.280434910984774,0.20922788589950783,0.15227413638236453,0.108696840243361,0.05323946259222031,0.011877461623176764,0.002639714569452802,0.0006586387411612496,0.00023527387108289408,0.0001423244498241132,0.00011924881224303496,0.00011096226236724605,7.115591991977384e-05,1.4724417373658177e-05,7.35557915348333e-07,5.123205319782463e-10,1.725359808738462e-20,4.721040353004148e-38
