Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
Ac225,1.861554950493801e-05,1.8566915346405994e-05,1.8517789726760355e-05,1.8468200748196447e-05,1.8418172086440508e-05,1.8350821596678642e-05,1.8282776373196027e-05,1.8214084449834606e-05,1.810992251491009e-05,1.800452530865992e-05,1.789802209095051e-05,1.7790520684922774e-05,1.757292226746616e-05,1.7352438827077865e-05,1.690519235598964e-05,1.5542874847672927e-05,1.2471108696502545e-05,9.769442970937531e-06,7.52373419547598e-06,4.3121789219183574e-06,2.4065403636181906e-06,1.3383583823899896e-06,7.715700952491044e-07,4.995967410075232e-07,4.008230382475346e-07,4.965359991237754e-07,8.384144925949072e-07,1.3881676280106233e-06,2.1827232345834525e-06,3.21613880207685e-06,4.551400034146833e-06,6.207831450874669e-06,8.208593494467904e-06,1.0704148771743705e-05,1.3923456041371924e-05,1.7681221622852817e-05,2.2045413854158168e-05,2.6879448643643545e-05,3.2558949631627236e-05,3.880376531728681e-05,4.598338902972204e-05,5.3981382055604794e-05,6.254536684278109e-05,7.231882434809919e-05,9.329756551597945e-05,0.00011904901913893554,0.00014862375695290047,0.00018318757730450983,0.0002219850656654491,0.0002658091031260086,0.00031372123873064077,0.00036800808575497866,0.0004278105762578468,0.000493797016729401,0.0005649191415936182,0.0006405063480606613,0.0008096919465837827,0.00100578892171999,0.0012269157893949445,0.001474185055106494,0.0017480456869764297,0.002050193576198132,0.002382221663316299,0.0027355818687040427,0.003124883584001312,0.0035422308326186593,0.003982261777063487,0.0044521935927064205,0.004953003008913627,0.005471542262398509,0.006040703219783708,0.006610147088775344,0.00721607042871996,0.007852429278945713,0.0084961170907805,0.009183535249774824,0.009443650064194677,0.009443964410976996,0.009443785552054568,0.009120820022468997,0.0065047361598293855,0.005242353778171331,0.00474720278558145,0.00480137252892222,0.004863139632902523,0.00493250746197811,0.005009480549842002,0.005017596344370519,0.005050820683999702,0.005072204459642161,0.005094064166968409,0.005286087690481285,0.005508634231371499,0.005695614419553721,0.006198996400259616,0.0070818357823980325,0.007704562371241004,0.008158699053160948,0.009431346157208665,0.010901699601867454,0.01257180470742995,0.014443798452706933,0.016519885064616907,0.02129337948120429,0.026910637083916847,0.03339022005332607,0.04075069394434023,0.049010500611712686,0.07371370120383394,0.10442895621593608,0.14142307517987368,0.18495147503669934,0.23525840376020962,0.2925773142779974,0.4291333543194359,0.5962866467480439,0.7955567312879444,1.0283270687010955,1.2958555984555593,1.9396491180531794,2.734842447859526,3.687883048050124,4.803979056319843,6.087285340920522,10.046649408126978,15.101782253037438,21.2649714731945,28.535240769147965,36.902940893341096,46.3528209801432,68.42174631968544,124.61608859959176,195.6646682341236,280.15936948473967,376.8018958606683,484.40769150100556,601.8984919184917,728.293321857838,2320.4033969325437,7999.188225186386,16332.236820374077,28020.17177597682,41101.2383728912,39895.183872108355
Ac226,6.338287199502215e-05,5.9049712011903155e-05,5.50128795775706e-05,5.12521255042887e-05,4.77485705843265e-05,4.344702588648565e-05,3.9533187991348165e-05,3.597210893305356e-05,3.12231595784625e-05,2.7101572330035317e-05,2.3524452809540383e-05,2.0419880713696374e-05,1.538690953688075e-05,1.1595840585961771e-05,6.589126750643171e-06,1.2212228695566617e-06,4.1027154025726644e-08,1.5521155937606733e-08,1.2676080204293401e-08,1.0108254895999846e-08,9.920067964312408e-09,1.1264853789357908e-08,1.3388073402296016e-08,1.6404038750165582e-08,1.983307877938925e-08,2.727471405332839e-08,3.6782646556555054e-08,4.634689856755514e-08,5.787630877609459e-08,6.999936810467034e-08,8.214014776780012e-08,1.0000696308748286e-07,1.1326262984443586e-07,1.3106021204079367e-07,1.5180316835464002e-07,1.7502035481872336e-07,1.957292520495851e-07,2.1666376648083195e-07,2.4785274963910886e-07,2.7446527279457773e-07,3.063187595087839e-07,3.39999258628106e-07,3.721558587499811e-07,4.114471061029618e-07,4.746044533144093e-07,5.73720040988002e-07,6.665200265999516e-07,7.853413710232993e-07,8.946543004625432e-07,1.0076414326447389e-06,1.1236901968262043e-06,1.2790992333841737e-06,1.460730832966097e-06,1.612488159789239e-06,1.7802159279253183e-06,1.948274371137288e-06,2.4030032257131334e-06,2.854055404397364e-06,3.3367044820528707e-06,3.964660608331353e-06,4.43421773002352e-06,5.112979481421671e-06,5.846857292337454e-06,6.628778418023267e-06,7.485113389920208e-06,8.314711737521384e-06,9.266304661766813e-06,1.0198431889031289e-05,1.1297074085204961e-05,1.2446789369162763e-05,1.36184918811602e-05,1.4809413460273909e-05,1.598966661038062e-05,1.7372145575267484e-05,1.8637616945203916e-05,2.0068725414837623e-05,2.071468634899566e-05,2.0260452621658384e-05,1.168429392059866e-05,5.556241045709692e-07,1.036856986202594e-07,3.1383516408775145e-08,2.025486771653111e-13,9.813407116504601e-20,4.75455851633237e-26,2.3035655474952436e-32,1.1160687641071712e-38,2.6074740293905024e-39,7.76848164067225e-42,2.0495510444136844e-43,5.40731082215151e-45,1.2692936311109427e-57,2.97949645378206e-70,1.0047972890263954e-79,7.954169100587714e-102,2.1234731904664678e-133,2.415004617359288e-152,5.668899471408001e-165,1.5133895618613882e-196,4.0401986219263875e-228,1.0785858041258715e-259,2.8794310358574956e-291,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,1.0729234390328837e-06,1.0731619170274513e-06,1.0747705665147682e-06,1.0790208231221233e-06,1.0870859851745597e-06,1.1056303937594483e-06,1.1352013161890642e-06,1.1778899388774058e-06,1.2705674613908957e-06,1.4024677856722484e-06,1.5782905091246659e-06,1.802025783745296e-06,2.4062738159639897e-06,3.236625245372743e-06,5.633021029122317e-06,1.920555090210671e-05,8.980670905175972e-05,0.00021516228547486537,0.00039501169185033756,0.0009170455515040309,0.0016536229707312259,0.0026024876605747543,0.0037613832112109976,0.005128051454054131,0.006700251035902715,0.010452608222778168,0.015000954696501482,0.020328129924443307,0.02641707050019291,0.03325067816297612,0.04081291834511957,0.04908757000352726,0.058058629150452935,0.0680665653281902,0.07955231577385351,0.09183189961317784,0.10488475354605824,0.11823218229612874,0.13274657375343873,0.1474715732996491,0.16337093772675645,0.17994657093078556,0.1966109995274504,0.2144594142400988,0.2501326014529885,0.28925252659302386,0.33051340950414504,0.3745141755239813,0.4197069078653563,0.46666488814179835,0.5144677682044553,0.5645979732387434,0.6161534712324104,0.6699062730688224,0.7240293022152323,0.7792819610190047,0.8908759086010679,1.0057383999520844,1.1232194607338244,1.2426700470522125,1.3634777849349575,1.4852470722795106,1.6074150703372367,1.729550105711227,1.8511679481941754,1.971834684410366,2.0913206339916046,2.20935224179425,2.3254948774536497,2.4394847118902403,2.550964752282706,2.659991746707165,2.766338839943248,2.8697186891941495,2.970028247625277,3.0671386649424877,3.1035353498492677,3.1036025730142827,3.105302887760619,3.117260270366194,3.168768290363471,3.2206749798746643,3.7614192220269076,4.47141130048009,5.2368956026564035,6.056133535825755,6.927440833386033,7.0173721155126545,7.382108618737914,7.6141084092895825,7.8491859410706315,9.837717195454335,12.009668168962635,13.752166837788048,18.16945356147765,25.24819951984451,29.879410696779992,33.11063287820622,41.64137452093394,50.74201360882921,60.328612106421104,70.32957631943931,80.68384146282496,102.25159704293267,124.7005281186815,147.78957726302053,171.34337521342968,195.23434075584913,255.88826584322754,317.25125964786616,378.92253336981736,440.7211529168226,502.56543214601624,564.4184886853949,688.0934413862398,811.6950385928907,935.2128476455587,1058.644709272293,1181.9901584142208,1428.421446936558,1674.5064381465647,1920.245081027008,2165.6373899064793,2410.6834289249127,3021.784353513617,3630.7242146936064,4237.506178605943,4842.133862310804,5444.611126288284,6044.941960632021,7239.180609257655,9602.081070858783,11931.100879212627,14226.51036145995,16488.585602267623,18717.608681970705,20913.867440991704,23077.65509249843,42997.151648278494,86667.62315340254,123564.17106089959,143379.45364403454,146400.17741612997,146353.6813531616
Ag111,1.3534795501353137e-06,18768.318878684466,41883.09967720154,64754.40749570039,87362.77109689752,117104.63858903745,146390.40053202122,175229.4999077193,217664.92279762056,259129.7185959442,299648.6747731698,339254.429439606,415782.9171509778,488907.9651108889,625508.448073077,968512.7002135327,1489641.0780407358,1777204.9931754854,1943572.072840674,2116291.13424606,2212219.369781075,2287062.6962360395,2355753.578308486,2422002.0827298067,2487543.725553215,2617433.528182978,2743789.4850452933,2869405.67373247,2993424.4540425474,3114037.6259418605,3233784.3123132247,3350547.901779438,3470556.1095481534,3588117.4598323526,3712128.99639113,3839716.856804001,3963984.9818096687,4083971.531373532,4204170.437482959,4316763.621769922,4440048.48400838,4556114.4662785595,4669546.237245573,4786319.400033118,5012507.74699011,5226695.861609686,5455742.182642835,5672754.141370352,5887647.479203335,6100004.638265156,6310300.494789475,6510597.212952271,6725485.545617513,6936215.783247171,7145392.185505636,7357410.846948284,7745993.726024494,8159187.784150811,8545552.88076206,8944035.233811721,9346944.073222628,9733565.560777873,10119058.912470145,10509893.392426703,10894027.303863917,11286638.880234728,11668151.354823042,12058785.051008187,12448149.643346356,12841567.57407658,13216446.67551384,13604493.652362606,13984602.671700161,14369405.871488718,14755105.191389369,15135622.785732863,15319915.374591604,15291827.59405256,13939647.557407513,7267838.812745761,445865.55551356124,27352.851912701386,2.0653302838700952e-08,3.685871117812648e-23,6.577952803209464e-38,1.1739277206047718e-52,2.0950382869592062e-67,7.020160232506887e-69,8.850489025564528e-75,1.8190930724044404e-78,3.738889000772747e-82,1.190813619313999e-111,3.792669675919837e-141,2.85937385500336e-163,2.918859387537401e-210,7.092693480154741e-258,4.0199382080209753e-302,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am240,2.125397384422056e-06,2.0400482930600048e-06,1.958125912912978e-06,1.879493025522121e-06,1.8040176620827351e-06,1.7080773023573878e-06,1.6172390518020994e-06,1.5312317242741834e-06,1.410720543137367e-06,1.2996938159075259e-06,1.1974056878094886e-06,1.1031685760667983e-06,9.363641450673055e-07,7.947911410630271e-07,5.726798355103961e-07,2.155209636753057e-07,5.6757310476547416e-08,2.1194403656161035e-07,7.644912769258672e-07,4.397923648919927e-06,1.5142069090718578e-05,3.847058987511937e-05,7.932656699167386e-05,0.00015168750650755626,0.0002621713195305642,0.0006349201697116905,0.0013574595426699308,0.0024704615414366388,0.004266087127902296,0.006793969551676073,0.010098423942341131,0.01550418410425047,0.02087498168020174,0.02896986230029891,0.03998142228951208,0.05389454091550837,0.06886477519946392,0.08577847582260924,0.11187084818750072,0.13736682312459514,0.1696067762313421,0.20755909718153995,0.24593679984772338,0.29730418542533676,0.38966075724421595,0.5435465812799859,0.7065547779045929,0.9341955050738815,1.167290528430726,1.4121772921878135,1.6889026014926223,2.073355131691072,2.5755706166620786,2.960663391707752,3.453541875244288,3.957298086700938,5.4509081954685525,6.993677722261747,8.64581862355103,11.199121526238615,12.520523473529678,15.270093758339504,18.347745170590237,21.842511314140292,25.812317916595273,28.988010484436163,33.7218334584853,37.47655533831322,42.96802574611667,49.378505168610936,54.08191109924109,60.382277338630544,65.41712963987692,72.64303452666516,77.2587702652393,83.4757737815181,88.33394049042337,87.18437921613466,62.83749277931858,6.348718308052544,0.00034365225176251536,1.8628827015279907e-08,1.1866413733936183e-12,1.824746390332943e-12,1.3438118485437745e-13,1.3589131598318642e-12,2.119812993080406e-12,,,1.2878489542588602e-12,5.372122489992912e-12,,,2.4150077371911483e-12,4.742373749147292e-14,1.059257540027986e-12,1.0530612144616893e-13,,7.455347071797736e-13,2.7438683421218466e-13,2.8361227883035625e-13,3.0279450017241186e-13,2.6887677248629204e-13,,,1.9411528935806513e-16,,,3.9686607260611273e-16,7.838325255508771e-16,6.541773636468545e-18,,1.2572285284273751e-17,5.587196075519232e-18,,,,,,8.561271691923986e-24,2.355180257634974e-25,3.7613214086101244e-27,6.725740665014643e-29,6.651866675905048e-31,6.090141049770139e-35,1.0243843879859221e-38,6.50208908270867e-43,3.083249074516282e-47,2.7157237651514394e-51,8.9636546361091e-56,,,,,4.588649716871324e-14,,,,5.5262253714605566e-17,,1.060649393591579e-18,1.7134798430206522e-23,5.422098437189388e-25,1.6897298948741167e-25
Am241,9.817896280018287e-09,1.0228425690280276e-08,1.9403814118862178e-08,6.798313897746519e-08,2.1352543516575992e-07,7.089311483384228e-07,1.80810202505017e-06,3.8758291471546565e-06,9.80991317749939e-06,2.0883019680391367e-05,3.946689836429684e-05,6.838542808110479e-05,0.00017050205703556104,0.0003586877503495469,0.0011563469187173198,0.011190486965352861,0.18247992535432453,0.9349880319300803,2.9738181456348163,15.133806844527747,47.82817764373299,116.37441392906123,240.11714004875478,442.76803815540006,751.8680689667325,1814.1760583074126,3708.0401164622594,6771.514632422967,11392.638722216287,17988.237044592028,27006.507313705773,38924.11858742669,54244.948625811914,74272.46732358309,101079.12548400226,134213.24380269274,174445.66459757974,220916.52508677624,277551.5884183408,341501.35255224933,417810.2913204544,505302.4067441317,601372.2988182146,713335.2690985291,964683.2261181538,1282260.8256521213,1664635.6804874765,2125447.4711644403,2655118.5912922737,3266233.3695066897,3951419.5089955362,4737538.42302679,5618216.47862953,6614239.533443932,7698399.109451239,8888510.393482853,11547682.146795155,14639110.670989737,18180260.274272576,22177283.69098129,26638809.726489987,31574396.528581526,36977155.28258235,42842618.3072138,49162424.706130974,55929432.50280033,63134536.90609477,70756669.94562167,78774855.51564154,87186917.26971409,95971659.73437585,105130766.82142381,114609319.15536167,124384528.1267367,134434410.84431574,144732598.56360117,148754204.94348344,148760623.29704672,148922196.2465257,150054646.10632518,154896405.1015774,159718216.26774606,206855480.13189837,261635875.27346134,313720958.04727143,363238434.8620368,410309963.37005717,414887099.57003886,432964932.85781854,444078385.4740736,455051442.7475114,537980687.0383561,612848257.1823456,664159958.0408921,769475742.2530154,890092209.3958898,948482834.0759989,982466581.0107582,1052695539.4952365,1105563443.415378,1144824778.6883383,1173425817.8092792,1193678571.4807582,1216005648.2286172,1222119016.5247104,1218368166.1895173,1208661616.6605937,1195404604.009085,1155090358.6908486,1111731425.2066398,1068696459.7434502,1026939930.6337587,986699590.6969831,948001670.9037821,875076600.4090593,807756313.8231695,745614516.2299386,688253311.0867293,635305003.6687647,541315358.9119357,461231286.747073,392995585.61443025,334855362.51269406,285317032.73535126,191209249.93905324,128144683.08175518,85883185.86926766,57562445.86319184,38583797.87573955,25865536.891656887,11630859.293238705,2366482.8572240826,496584.61811079556,117986.37595468963,40242.03054127234,23277.04842603789,18669.512091995202,16646.797943629073,7300.212901203784,633.3854847669945,10.768505644596193,0.0031122756656784354,7.51313104740732e-14,1.5148840118163814e-31
Am242,3.486057959726219e-06,3.0616674652965283e-06,2.689029466851989e-06,2.3622664729291945e-06,2.0770577003287257e-06,1.757535581955835e-06,1.508178080362356e-06,1.337415542816731e-06,1.2689706164652436e-06,1.5195191827073171e-06,2.2436736100643842e-06,3.651281123070844e-06,9.688427302190706e-06,2.2549442690551375e-05,8.613892043034322e-05,0.0010867330462849874,0.022112027272738567,0.12292279146272735,0.40799015695285007,2.1656403249849574,6.9995233743007494,17.24467158270107,35.923628976535504,66.67125875947393,113.79603822874579,275.7067238316009,564.8179030894634,1032.992488938724,1744.3562361968325,2757.5957327547026,4140.029186050357,5957.200409574863,8309.552015570322,11372.296939245096,15432.725835262203,20496.2560828649,26596.579621090095,33748.738745748255,42311.92824792707,51918.13203159993,63673.21309504522,76665.81452061195,91496.7121976666,108280.79978665303,146467.87644723893,194116.52729468085,251754.56058616936,321011.8685739563,400879.8013075347,492970.4940572348,595999.373429605,712726.5544566842,843427.2516916412,995373.0089236506,1155930.1791290059,1334658.299888018,1727513.4979516345,2197987.5530823744,2725466.3423395343,3331616.4268512186,4010515.729421756,4752064.558979339,5577527.104484131,6451249.449532387,7410118.329844971,8452535.981946038,9545024.297821343,10709607.47974862,11960184.033880765,13262915.71086777,14657974.343299551,16053747.98933259,17554982.36968845,19114194.678579137,20740204.59646424,22420654.44644035,23044193.66839392,22107129.46676684,7834476.039157849,18282.769981502588,12827.186083299302,12822.008328724167,12770.345219001749,12707.766284041321,12645.493292930652,12583.525381224234,12521.86117355211,12515.71140000298,12491.14249923697,12475.811438224808,12460.499197040592,12338.676003285935,12218.043995670545,12128.34467469388,11921.599067378018,11632.347181871233,11462.175852320128,11350.11363247142,11074.728017742951,10806.024107027217,10543.839726704782,10288.01665477721,10038.400520432851,9557.190261903948,9099.047412654993,8662.866177907374,8247.593801289708,7852.2280083450405,6944.75476713328,6142.15564629311,5432.3109725230925,4804.5016050626855,4249.247097704596,3758.1625687946907,2939.696807977731,2299.4783427320394,1798.6884465277687,1406.962203049385,1100.5475194297292,673.3815968490987,412.01531977515185,252.09557513120492,154.24704837557306,94.37746705510965,27.637345078741824,8.09326312517632,2.370012012044685,0.6940282111149635,0.2032373326353175,0.05951544672380077,0.005103661069049439,3.7530594072329065e-05,2.759869781023528e-07,2.0295110748982323e-09,1.492430054841342e-11,1.097479196090735e-13,8.070461560739237e-16,5.934719980546513e-18,2.7441597173391592e-39,,,,6.059978618421102e-227,
Am243,5.762832420481281e-10,7.737555445678333e-10,9.035504011085966e-10,9.888648204461945e-10,1.0449618208961314e-09,1.091199580123559e-09,1.1180852905637506e-09,1.1346084930026232e-09,1.1520386818038762e-09,1.172573908751547e-09,1.2086469183211305e-09,1.2747522039413293e-09,1.5772361933006126e-09,2.3165366504187214e-09,6.728152515272449e-09,1.0951546882918529e-07,3.8912404737460385e-06,3.104157492800846e-05,0.00013493801909458074,0.00105250481201943,0.004458969891456112,0.013606793962712908,0.03416420894403033,0.0736062701022411,0.14336094953231784,0.4356611418187807,1.0727076648262293,2.290696396151263,4.424428338091938,7.912327089082517,13.26066320846395,21.10848818482334,32.358295642704036,48.39113220639089,71.81114318430366,103.21567635002577,144.59705728216616,196.13700518039272,263.2491406551295,343.6578729207548,445.75069021958035,569.5208317801313,714.8794050016133,893.33326857161,1326.9833387124147,1925.7837361262705,2709.34735355711,3750.3263472593135,5057.871352197549,6679.674042457727,8621.914326882794,10996.110818447774,13850.907558984216,17294.062936894432,21238.372578341055,25840.153085535458,36995.4609723561,51397.24473902171,69611.06006570176,92265.7374139249,119828.70296910052,152612.64340400588,191496.18243988906,236722.2482293098,289376.6771832972,350025.3935534934,419788.558821546,497250.20396214863,584851.1521411862,682541.9767454672,790076.9281129818,910579.6478278411,1039973.1071456694,1181526.206048657,1335149.483248205,1502381.017189328,1569687.1226930306,1569766.6353669632,1570301.112353767,1570315.8642664338,1570303.7231935998,1570291.780834188,1570172.3021244314,1570026.572616158,1569880.7321320206,1569734.859859791,1569588.9715271378,1569574.3819511891,1569516.022344402,1569479.5465378417,1569443.069927576,1569151.2281306977,1568859.3355331055,1568640.3837522466,1568129.3952080351,1567399.194105326,1566960.969893364,1566668.7842390356,1565938.2169083368,1565207.540114919,1564476.7979904045,1563746.0307780278,1563015.2749993603,1561553.9268899513,1560092.980733626,1558632.620679562,1557172.994747078,1555714.221789089,1552071.5975060144,1548435.8779583732,1544807.6484461927,1541187.2402588504,1537574.840905209,1533970.556399826,1526786.5413676442,1519635.4042068287,1512517.174314753,1505431.808476384,1498379.2283318592,1484372.0277440841,1470494.677064478,1456746.1832253484,1443125.5043441746,1429631.5731192017,1396444.1437477819,1364025.0388296663,1332357.1714478596,1301423.5919238,1271207.5743672475,1241692.670722549,1184701.9794823648,1078446.1519882944,981719.3588906308,893667.423542253,813512.4907707412,740546.3970695963,674124.4639013472,613659.8148540903,239769.6546531353,14300.088402964153,130.17655760671715,0.016953944596364887,0.006088235427701899,0.005955363347011052
Am244,8.478369081456914e-06,6.9004678945411e-06,5.616274731859797e-06,4.5711191097317915e-06,3.7205068569666404e-06,2.8273874673680784e-06,2.148739720115358e-06,1.6330612424258842e-06,1.082137693886358e-06,7.172212652370727e-07,4.755120063546545e-07,3.154129765225953e-07,1.391459081560827e-07,6.1867891370545e-08,1.3503046651297305e-08,1.5201024221780965e-08,6.043075773482755e-07,5.148678849326529e-06,2.3103885364684228e-05,0.00018698858021205976,0.0008129916139465556,0.002488624667189837,0.006313207797760208,0.01377980203215815,0.02699058322730719,0.08203139705977353,0.20314119966383198,0.4350039328232009,0.8464923327473928,1.5291939163660868,2.5622044559699564,4.086246606191374,6.2931865129995135,9.421379442371455,14.069574339830563,20.351024046307234,28.49993102481308,38.68058026617875,51.832352108991266,68.1875909331005,88.51220621603538,112.91720501541182,143.08447044865966,178.44792642412156,266.65617886685175,386.47446350944375,547.0443767680997,759.3176946519845,1037.489916354661,1376.2737466006176,1771.8075571042195,2272.81905431229,2892.6093944693325,3638.418190935132,4450.831297275583,5452.056064798271,7842.982642141912,11010.833418887134,14992.848409479902,20133.621735690296,26418.49022920442,33751.16274694607,42761.50671791463,52947.45747611734,65425.83187023338,80085.55715776715,96233.22939881394,114662.83310596572,136043.21632222921,160315.94520277652,187215.9527398383,215620.67584758633,248385.1156291964,284875.66485915164,323652.7790864425,367691.86213849485,386213.88384390087,361588.7925137101,69645.84689447028,0.6849566673093161,9.368005416954676e-09,9.308904870425455e-09,8.738001560809027e-09,8.090366587139133e-09,7.490708004612794e-09,6.935482087732441e-09,6.421402414991381e-09,6.372138232713823e-09,6.178831659363194e-09,6.061004055780448e-09,5.945423165270545e-09,5.096686972326821e-09,4.369108037855275e-09,3.8924343841971765e-09,2.9727226191548594e-09,2.0226273467192665e-09,1.605361208168448e-09,1.3761867071884464e-09,9.363513631808275e-10,6.370893401651792e-10,4.334727796784653e-10,2.949329686464383e-10,2.0067109094409852e-10,9.289830312246413e-11,4.3006166754447415e-11,1.9909193576397208e-11,9.216724040606299e-12,4.2667724271657315e-12,6.221665176201741e-13,9.072222259638626e-14,1.3228805462827206e-14,1.9289789681759917e-15,2.8127703737180335e-16,4.101483778403334e-17,8.720758545830867e-19,1.8542459147141433e-20,3.9425774915777063e-22,8.382875371675912e-24,1.7824020132673675e-25,8.058063392717829e-29,3.642968136493127e-32,1.6469476797205176e-35,7.445673941222294e-39,3.3661079582066584e-42,1.4628084944997989e-50,6.356912621801218e-59,2.76251444808326e-67,1.2005011054730607e-75,5.216994222733476e-84,2.267138209057784e-92,4.281470760936032e-109,1.5269411041721482e-142,5.445668585634192e-176,1.9421364605607567e-209,6.926407021420416e-243,2.4702222118054757e-276,0.0,,,,,,,
As74,5.674407793195321e-07,9.630949993869317e-06,1.8660652240754632e-05,2.7661753629624392e-05,3.6633569549916676e-05,4.85725672879024e-05,6.046218384903767e-05,7.233065132048281e-05,9.009309447243489e-05,0.0001077935454116668,0.00012546941563983685,0.00014311880203420264,0.00017856247544719762,0.00021389051535427447,0.0002856587446926799,0.0005078111462819894,0.0010899383899440123,0.0017579940355908895,0.0024851789719099906,0.004117063825517079,0.005828302375340227,0.007663916354736558,0.009486841364463216,0.011309320646139598,0.013216156219125858,0.016824138801587382,0.02060329186270334,0.024032321881883704,0.02777803895923695,0.031050234717192045,0.03469691943713498,0.03810055190308167,0.041763544528622944,0.044833346095996554,0.04877176095644013,0.052635067293875945,0.05613956766313285,0.05877063506644468,0.06227814438009542,0.06582012268807971,0.06907855153792625,0.07251835191193251,0.07527548907715204,0.07985673853722546,0.08543575564844613,0.09296560367338037,0.09787803818898289,0.10425270548296943,0.1128258917927479,0.11691099499666467,0.1230749272546991,0.12879022918498095,0.1380701190936823,0.13960720903493148,0.14409396343321904,0.15131086227855178,0.16273390115390252,0.17877612438504054,0.1832069412777513,0.19300798695011315,0.20526327246079368,0.21473706463583878,0.22216210670640554,0.23586004865046567,0.24952113273697044,0.25373535323404883,0.26834102882167266,0.2781630874503422,0.28996105716936943,0.308317718484838,0.306014622920081,0.31381675524252356,0.3218791493348039,0.3478455185644456,0.3487049322090512,0.3635993449798455,0.3706255948077924,0.3700476280750149,0.35589045512823375,0.2708528305879125,0.08404712842884496,0.026080291191451388,2.158778010192708e-07,1.4157312203310232e-13,9.284394993982951e-20,6.088725642385278e-26,3.9929990140652314e-32,9.615602082264704e-33,3.233594835335336e-35,9.201927399188994e-37,2.618617117897925e-38,1.1262054031848297e-50,4.8435436291329796e-63,2.572304787380703e-72,5.875262248556548e-94,7.126746535994279e-125,2.0100633844159532e-143,8.644808557759654e-156,1.048623178245846e-186,1.2719895071645422e-217,1.542934910412086e-248,1.8715941602754833e-279,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
