Days,Keff,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y)
0.0,1.1932038776596265,190066.3555421825,0.0,24114.795926812498,9.001943706770346,1.7315915939842976e-08,0.2394056559864654,0.0011145587268260302,15409.618761041704,1000.0,1027870455.6041344
0.125,1.1963896308793587,190066.3555421825,0.0025980578067354983,334257739741.46484,124776894.89212637,0.027443416228379015,379426.01982417953,35.464350659539505,490321514.80045146,35097378547832.504,3.607555847847137e+19
0.25,1.1919488254974264,190066.3555421825,0.0051961156134709965,366290959368.7741,136734750.17345715,0.031855641926266796,440428.3826927038,63.03422833852221,871495959.9833562,189669915006835.34,1.9495610195247333e+20
0.375,1.1914961072363954,190066.3555421825,0.007794173420206494,392255900270.3671,146427344.5895632,0.035268769016045635,487617.45041123696,87.96087758709209,1216125769.6700232,448786573989614.7,4.612944602757238e+20
0.5,1.192487136773671,190066.3555421825,0.010392231226941993,416759648652.5021,155574482.47993967,0.03817385685542422,527782.4906147666,110.90029840682095,1533280640.8518806,778155953993100.8,7.998435149619584e+20
0.6666666666666666,1.1916412911152308,190066.3555421825,0.013856308302589323,446658753101.575,166735682.2657584,0.041403596932127064,572436.0939479688,139.10141731508244,1923182474.2426171,1283795279847592.2,1.3195752391993818e+21
0.8333333333333334,1.191458044228135,190066.3555421825,0.017320385378236654,472314045647.4164,176312686.35815483,0.04397775400111155,608025.7655456711,165.12672135925803,2283002018.792772,1832798180838017.8,1.883879101168402e+21
1.0,1.1895086933645667,190066.3555421825,0.020784462453883986,495572839145.411,184995088.24916765,0.04614933090839991,638049.4614229533,189.4898273923402,2619840416.598643,2405108711502092.5,2.472140187069128e+21
1.25,1.189729066746035,190066.3555421825,0.02598057806735498,528993775610.2982,197470971.91816244,0.049034240846267535,677935.5268518049,223.76339771741073,3093698491.1687465,3285306848648046.5,3.3768698473192505e+21
1.5,1.188951222789015,190066.3555421825,0.031176693680825977,557449115860.0691,208093221.09094623,0.05136898403864147,710215.1202312174,255.71257849960983,3535420119.4074845,4177527126352603.5,4.293956710662681e+21
1.75,1.1875142585375718,190066.3555421825,0.036372809294296975,582177494630.5308,217324212.4842379,0.053331243382692003,737344.842222825,285.7167414425287,3950250402.5198092,5074965642064064.0,5.216407246683716e+21
2.0,1.1879655383480363,190066.3555421825,0.04156892490776797,604685090276.0878,225726195.6314714,0.055078985835941674,761508.7056863148,314.0679775137951,4342227719.414212,5974991989720725.0,6.141517738705294e+21
2.5,1.1871283722453732,190066.3555421825,0.05196115613470996,645993646727.7628,241146491.988716,0.058237345417506074,805175.4195980952,366.66622545872053,5069438344.41034,7779336862649988.0,7.996150525310081e+21
3.0,1.189162084449671,190066.3555421825,0.062353387361651955,682252663340.6194,254681818.07658342,0.06100396857866319,843426.0807277297,414.517470647736,5731018060.0918045,9587808164298708.0,9.855024746082752e+21
4.0,1.1895859673471147,190066.3555421825,0.08313784981553594,738419388224.5217,275648601.1724493,0.06536906148375149,903776.7970291399,497.7057786507196,6881159439.67851,1.3215656717785796e+16,1.3583983091618324e+22
7.0,1.1871486308975248,190066.3555421825,0.1454912371771879,849752529974.0359,317208756.9278077,0.074583659272321,1031175.5922120137,679.9862773101088,9401325424.931427,2.4183267412064504e+16,2.4857266092835357e+22
14.0,1.186717851599885,190066.3555421825,0.2909824743543758,959679535808.2378,358244008.53750694,0.08553368030671794,1182567.9284830322,912.6481176565148,12618051626.69045,5.023639521999615e+16,5.163650644268681e+22
21.0,1.1857377732929995,190066.3555421825,0.43647371153156367,1009864698072.358,376977901.4963291,0.09160608673562859,1266523.5476706226,1038.021514125529,14351433812.720379,7.687119181999829e+16,7.901362695885445e+22
28.0,1.1837050725157463,190066.3555421825,0.5819649487087516,1042222149520.115,389056791.042452,0.09575867397061488,1323936.2120937284,1117.4899152130984,15450144661.090185,1.0401652226169774e+17,1.0691551012748885e+23
42.0,1.1823560044415695,190066.3555421825,0.8729474230631273,1087762818130.502,406056915.6316703,0.10134753524984458,1401206.4532648965,1212.9887528137945,16770488438.524052,1.59593364927676e+17,1.6404130471960722e+23
56.0,1.1807964515556455,190066.3555421825,1.1639298974175032,1119082849716.8882,417748541.05908835,0.10489287911911571,1450223.5181241375,1269.010410029876,17545030290.185787,2.165550229591218e+17,2.225905101123563e+23
70.0,1.1779517282212675,190066.3555421825,1.454912371771879,1138980642577.094,425176296.68929017,0.10712287708002813,1481054.9293261464,1306.2616618686998,18060057067.502857,2.7459400077263123e+17,2.822470606803265e+23
84.0,1.1758003228812608,190066.3555421825,1.7458948461262547,1155621286420.4663,431388173.39673084,0.1088614871968828,1505092.5313205386,1335.3025476467003,18461569314.054756,3.334804109132652e+17,3.4277466190047186e+23
98.0,1.1736370026087848,190066.3555421825,2.0368773204806305,1169628205096.783,436616892.47078764,0.11027253944358854,1524601.3976102204,1359.3720277553748,18794348111.01181,3.93042039293549e+17,4.039963000002383e+23
112.0,1.1727490200208048,190066.3555421825,2.3278597948350064,1188521750294.8462,443669767.0134738,0.11193572863697267,1547596.248200569,1382.878681399393,19119345405.711304,4.531530876256708e+17,4.657826706362185e+23
140.0,1.1687262092842055,190066.3555421825,2.909824743543758,1203599116039.0503,449298079.1123046,0.11351841688834517,1569478.112282045,1415.4604762619406,19569813402.86395,5.7465650120015616e+17,5.9067243970448235e+23
168.0,1.1657601225987637,190066.3555421825,3.4917896922525093,1222595643254.102,456389396.3738324,0.1152241181266688,1593060.724099777,1444.860167135677,19976286401.686443,6.974718816252786e+17,7.16910740737248e+23
196.0,1.1640232140715203,190066.3555421825,4.073754640961261,1232113667263.5464,459942431.4728125,0.1161632918418217,1606045.5122070042,1467.0102682616257,20282528330.13232,8.213065611398184e+17,8.4419674918945e+23
224.0,1.1604249377545641,190066.3555421825,4.655719589670013,1243232581349.7913,464093071.5606891,0.1171319558812377,1619438.0263883243,1487.4326543451139,20564883289.241158,9.45998988291593e+17,9.723644110963299e+23
252.0,1.1587608948793835,190066.3555421825,5.237684538378764,1254500162638.606,468299208.439525,0.11804858517139097,1632111.1207408218,1506.1030818803574,20823016094.179184,1.071439143714496e+18,1.1013006408019226e+24
280.0,1.1548836421916695,190066.3555421825,5.819649487087516,1259139674885.2341,470031117.2724993,0.11845784188108703,1637769.404795332,1520.6457648463347,21024079703.36788,1.197571010846812e+18,1.2309478605374163e+24
308.0,1.1509254301422462,190066.3555421825,6.401614435796267,1263704156531.8186,471735017.5235254,0.11882664920030449,1642868.4453829976,1534.0984023113265,21210072607.713417,1.3243471777147046e+18,1.361257336935663e+24
336.0,1.148757471600075,190066.3555421825,6.983579384505019,1272655997262.1248,475076698.97796357,0.1194758931178985,1651844.7343951873,1548.5549430269884,21409945235.032227,1.4517705182186883e+18,1.4922320239940936e+24
365.0,1.1462871324712003,190066.3555421825,7.586328795667654,1276028087750.2197,476335485.0294854,0.11972114840461014,1655235.5745334355,1560.3758267121007,21573377907.193813,1.5843783812733125e+18,1.628535728608741e+24
396.0,1.1428538000001893,190066.3555421825,8.230647131738058,1282997480902.8855,478937127.81431574,0.12020204002693852,1661884.2655239603,1573.7496850938587,21758281631.032516,1.726821673052449e+18,1.774948979827514e+24
427.0,1.1418145590345299,190066.3555421825,8.87496546780846,1288544687752.3262,481007874.9166354,0.120574795016949,1667037.8856509994,1586.0058123471363,21927731875.253967,1.8699956307672896e+18,1.9221132609745148e+24
458.0,1.136850812742137,190066.3555421825,9.519283803878865,1290637018925.8462,481788932.63311416,0.12070170281954362,1668792.4821641447,1596.4069600435296,22071535621.81395,2.013876560130837e+18,2.0700042173921706e+24
488.0,1.135226333226673,190066.3555421825,10.142817677495385,1296004701021.6643,483792663.96092814,0.12105230569284897,1673639.8324958284,1607.4503365690832,22224218668.474068,2.153780345098292e+18,2.213807184587411e+24
519.0,1.13078175905829,190066.3555421825,10.787136013565789,1300520445236.818,485478370.7503349,0.12134312017541635,1677660.5630313244,1618.1377957791606,22371980888.613396,2.2990076043254953e+18,2.3630819936954165e+24
549.0,1.1291954972809746,190066.3555421825,11.410669887182308,1304983602041.8984,487144446.898595,0.12162948822754709,1681619.8182975259,1628.2499446785018,22511789007.865646,2.4401665052831396e+18,2.5081750575353295e+24
