,Years,#packages per GWe.y,Area per package (m2),Total area (m2),Required st (y),n_wf,Decay heat (W/Pkg),Reactor
0,3.0,36.23102090083222,0.0,0.0,4.0,18,1255.5596398339935,HTGR_FCM
1,5.0,36.23102090083222,97.39059336093511,0.0035285606236044,4.0,18,1017.4741956213844,HTGR_FCM
2,10.0,36.23102090083222,82.31835564006263,0.0029824780637172,4.0,18,795.5208541974016,HTGR_FCM
3,20.0,36.23102090083222,61.38104247581219,0.002223897832856,4.0,18,660.9828248332668,HTGR_FCM
4,50.0,36.23102090083222,40.63561085875677,0.0014722696663417,4.0,18,463.01874332333693,HTGR_FCM
5,100.0,36.23102090083222,31.039634865912923,0.001124597659581,4.0,18,302.0683967897092,HTGR_FCM
6,3.0,108.69306270249665,22.847729545454545,0.0024833897000937,1.0,6,418.51987994466447,HTGR_FCM
7,5.0,108.69306270249665,22.847729545454545,0.0024833897000937,1.0,6,339.1580652071281,HTGR_FCM
8,10.0,108.69306270249665,22.847729545454545,0.0024833897000937,1.0,6,265.17361806580055,HTGR_FCM
9,20.0,108.69306270249665,22.847729545454545,0.0024833897000937,1.0,6,220.3276082777556,HTGR_FCM
10,50.0,108.69306270249665,22.847729545454545,0.0024833897000937,1.0,6,154.33958110777897,HTGR_FCM
11,100.0,108.69306270249665,22.847729545454545,0.0024833897000937,1.0,6,100.68946559656972,HTGR_FCM
12,3.0,7.763790193035477,0.0,0.0,127.0,84,5859.278319225303,HTGR_FCM
13,5.0,7.763790193035477,0.0,0.0,127.0,84,4748.212912899793,HTGR_FCM
14,10.0,7.763790193035477,0.0,0.0,127.0,84,3712.430652921208,HTGR_FCM
15,20.0,7.763790193035477,0.0,0.0,127.0,84,3084.5865158885786,HTGR_FCM
16,50.0,7.763790193035477,0.0,0.0,127.0,84,2160.7541355089056,HTGR_FCM
17,100.0,7.763790193035477,0.0,0.0,127.0,84,1409.652518351976,HTGR_FCM
18,3.0,8.361004823268974,0.0,0.0,73.0,78,5440.758439280638,HTGR_FCM
19,5.0,8.361004823268974,0.0,0.0,73.0,78,4409.054847692665,HTGR_FCM
20,10.0,8.361004823268974,0.0,0.0,73.0,78,3447.257034855407,HTGR_FCM
21,20.0,8.361004823268974,0.0,0.0,73.0,78,2864.258907610823,HTGR_FCM
22,50.0,8.361004823268974,0.0,0.0,73.0,78,2006.414554401127,HTGR_FCM
23,100.0,8.361004823268974,278.3060060085185,0.0023269178585819,73.0,78,1308.9630527554066,HTGR_FCM
24,3.0,15.527580386070952,0.0,0.0,39.0,42,2929.6391596126514,HTGR_FCM
25,5.0,15.527580386070952,0.0,0.0,39.0,42,2374.1064564498965,HTGR_FCM
26,10.0,15.527580386070952,0.0,0.0,39.0,42,1856.215326460604,HTGR_FCM
27,20.0,15.527580386070952,0.0,0.0,39.0,42,1542.2932579442893,HTGR_FCM
28,50.0,15.527580386070952,203.53637327339433,0.0031604273974919,39.0,42,1080.3770677544528,HTGR_FCM
29,100.0,15.527580386070952,84.57552712560211,0.0013132532961371,39.0,42,704.8262591759881,HTGR_FCM
30,3.0,10.869306270249664,0.0,0.0,75.0,60,4185.198799446645,HTGR_FCM
31,5.0,10.869306270249664,0.0,0.0,75.0,60,3391.580652071281,HTGR_FCM
32,10.0,10.869306270249664,0.0,0.0,75.0,60,2651.736180658005,HTGR_FCM
33,20.0,10.869306270249664,0.0,0.0,75.0,60,2203.276082777556,HTGR_FCM
34,50.0,10.869306270249664,0.0,0.0,75.0,60,1543.3958110777896,HTGR_FCM
35,100.0,10.869306270249664,220.93817831053377,0.0024014447268482,75.0,60,1006.8946559656972,HTGR_FCM
36,3.0,5.7206875106577195,0.0,0.0,133.0,114,7951.877718948625,HTGR_FCM
37,5.0,5.7206875106577195,0.0,0.0,133.0,114,6444.003238935434,HTGR_FCM
38,10.0,5.7206875106577195,0.0,0.0,133.0,114,5038.2987432502105,HTGR_FCM
39,20.0,5.7206875106577195,0.0,0.0,133.0,114,4186.224557277356,HTGR_FCM
40,50.0,5.7206875106577195,0.0,0.0,133.0,114,2932.4520410478003,HTGR_FCM
41,100.0,5.7206875106577195,0.0,0.0,133.0,114,1913.0998463348249,HTGR_FCM
