Time [y],Ref_PWR,SPWR,HTGR,HPR,HTGR_FCM,SFR
0.001023,2.16098409440749e-40,2.16098409440749e-40,2.16098409440749e-40,2.16098409440749e-40,2.16098409440749e-40,2.16098409440749e-40
1.048575,2.16098409440749e-40,2.16098409440749e-40,2.16098409440749e-40,2.16098409440749e-40,2.16098409440749e-40,2.16098409440749e-40
11.0,2.160984131809096e-40,2.160984131809096e-40,2.160984131809096e-40,2.160984131809096e-40,2.160984131809096e-40,2.160984131809096e-40
55.0,2.160984065317352e-40,2.160984065317352e-40,2.160984065317352e-40,2.160984065317352e-40,2.160984065317352e-40,2.160984065317352e-40
105.0,2.1609840819402877e-40,2.1609840819402877e-40,2.1609840819402877e-40,2.1609840819402877e-40,2.1609840819402877e-40,2.1609840819402877e-40
500.0,2.160983720391429e-40,2.160983720391429e-40,2.160983720391429e-40,2.160983720391429e-40,2.160983720391429e-40,2.160983720391429e-40
1000.0,2.1609836372767484e-40,2.1609836372767484e-40,2.1609836372767484e-40,2.1609836372767484e-40,2.1609836372767484e-40,2.1609836372767484e-40
1500.0,2.1609834170228465e-40,2.1609834170228465e-40,2.1609834170228465e-40,2.1609834170228465e-40,2.1609834170228465e-40,2.1609834170228465e-40
2000.0,2.1609835500063346e-40,2.1609835500063346e-40,2.1609835500063346e-40,2.1609835500063346e-40,2.1609835500063346e-40,2.1609835500063346e-40
2500.0,2.160983550006334e-40,2.160983550006334e-40,2.160983550006334e-40,2.160983550006334e-40,2.160983550006334e-40,2.160983550006334e-40
3000.0,2.1609835167604625e-40,2.1609835167604625e-40,2.1609835167604625e-40,2.1609835167604625e-40,2.1609835167604625e-40,2.1609835167604625e-40
3500.0,2.160983483514591e-40,2.160983483514591e-40,2.160983483514591e-40,2.160983483514591e-40,2.160983483514591e-40,2.160983483514591e-40
4000.0,2.1609836497439506e-40,2.1609836497439506e-40,2.1609836497439506e-40,2.1609836497439506e-40,2.1609836497439506e-40,2.1609836497439506e-40
4500.0,2.16098337962124e-40,2.16098337962124e-40,2.16098337962124e-40,2.16098337962124e-40,2.16098337962124e-40,2.16098337962124e-40
5000.0,2.16098342117858e-40,2.16098342117858e-40,2.16098342117858e-40,2.16098342117858e-40,2.16098342117858e-40,2.16098342117858e-40
5500.0,2.16098337962124e-40,2.16098337962124e-40,2.16098337962124e-40,2.16098337962124e-40,2.16098337962124e-40,2.16098337962124e-40
6000.0,2.1609832798836236e-40,2.1609832798836236e-40,2.1609832798836236e-40,2.1609832798836236e-40,2.1609832798836236e-40,2.1609832798836236e-40
6500.0,2.160983375465506e-40,2.160983375465506e-40,2.160983375465506e-40,2.160983375465506e-40,2.160983375465506e-40,2.160983375465506e-40
7000.0,2.160983250793486e-40,2.160983250793486e-40,2.160983250793486e-40,2.160983250793486e-40,2.160983250793486e-40,2.160983250793486e-40
7500.0,2.1609832466377524e-40,2.1609832466377524e-40,2.1609832466377524e-40,2.1609832466377524e-40,2.1609832466377524e-40,2.1609832466377524e-40
8000.0,2.1609832383262837e-40,2.1609832383262837e-40,2.1609832383262837e-40,2.1609832383262837e-40,2.1609832383262837e-40,2.1609832383262837e-40
8500.0,2.160983271572156e-40,2.160983271572156e-40,2.160983271572156e-40,2.160983271572156e-40,2.160983271572156e-40,2.160983271572156e-40
9000.0,2.1609830139166474e-40,2.1609830139166474e-40,2.1609830139166474e-40,2.1609830139166474e-40,2.1609830139166474e-40,2.1609830139166474e-40
9500.0,2.160983230014816e-40,2.160983230014816e-40,2.160983230014816e-40,2.160983230014816e-40,2.160983230014816e-40,2.160983230014816e-40
10000.0,2.160983209236146e-40,2.160983209236146e-40,2.160983209236146e-40,2.160983209236146e-40,2.160983209236146e-40,2.160983209236146e-40
15000.0,2.160983853374917e-40,2.160983853374917e-40,2.160983853374917e-40,2.160983853374917e-40,2.160983853374917e-40,2.160983853374917e-40
25000.0,2.1609843562187318e-40,2.1609843562187318e-40,2.1609843562187318e-40,2.1609843562187318e-40,2.1609843562187318e-40,2.1609843562187318e-40
35000.0,2.2181259273920335e-40,2.192341401461887e-40,2.1609549876464983e-40,2.1609559891783945e-40,2.1609600867321256e-40,1.3412142613162798e-39
45000.0,7.225072743442578e-36,3.967112042008847e-36,1.1860883835349547e-39,1.3117566221448304e-39,1.8301378043925988e-39,1.2891912946110962e-33
55000.0,8.835181066385458e-32,4.8512875046826625e-32,1.1863145239444965e-35,1.3400042993752188e-35,1.9739748028056114e-35,1.4129815988445014e-29
65000.0,1.0934265417511156e-28,4.5381371565044056e-29,1.1096670641075037e-32,1.2534295873717194e-32,1.8464499681788045e-32,1.1742453908186776e-26
75000.0,4.701595420422319e-26,1.6266201000973747e-26,2.0084443517006748e-30,2.268648029457572e-30,3.3419868398150945e-30,1.8763193861678728e-24
85000.0,3.2035588753604177e-24,1.6367622430198758e-24,1.4895604470992575e-28,1.6825397302247207e-28,2.4785801912083637e-28,9.668486379932867e-23
95000.0,7.950405033303622e-23,4.9030026067553936e-23,7.009771243373329e-27,7.917919239102177e-27,1.1664032362629277e-26,2.213635257444361e-21
115000.0,1.6694811307206946e-20,1.0016273389400114e-20,2.3789456932785577e-24,2.6871488360642516e-24,3.958488957474185e-24,3.737609389181921e-19
165000.0,1.2637392476574486e-17,6.802574721112116e-18,1.6501491334242105e-21,1.864960487055417e-21,2.7465258450958052e-21,4.065565387454276e-16
215000.0,2.9629488911681917e-16,1.6521783837491606e-16,4.1485977436375873e-20,4.686112651379846e-20,6.903129195468511e-20,6.246050724622717e-15
265000.0,1.993987461134218e-15,1.1208924340033783e-15,2.852752237647334e-19,3.222436731225359e-19,4.747062042868594e-19,3.0239738855474966e-14
315000.0,7.439376255008724e-15,4.2211764020683794e-15,1.0908710220479297e-18,1.2321751055100913e-18,1.8151384826297476e-18,8.559936290214191e-14
365000.0,1.951982504358928e-14,1.1180908324413155e-14,2.9350261063930815e-18,3.3152720918654738e-18,4.883787595943168e-18,1.7725536196347603e-13
415000.0,4.075804440695625e-14,2.3571919385427728e-14,6.2904961440987835e-18,7.10545944670857e-18,1.0467182043866726e-17,3.010740357937008e-13
465000.0,7.294229699522047e-14,4.2573803485372716e-14,1.1524364905982233e-17,1.3017399398148434e-17,1.917617302685266e-17,4.4747754886119785e-13
515000.0,1.1683523295313038e-13,6.876838951517974e-14,1.8874815962185563e-17,2.1320136019916244e-17,3.140708328350713e-17,6.069988223520518e-13
565000.0,1.721196578759191e-13,1.0218874117494678e-13,2.843623075532413e-17,3.212027375986167e-17,4.731696423820929e-17,7.704208063998066e-13
615000.0,2.374749264302289e-13,1.4253707763403003e-13,4.0199211713927125e-17,4.540720061535981e-17,6.689018182822864e-17,9.296545718626508e-13
665000.0,3.10964905304912e-13,1.8828088074085187e-13,5.406755040828553e-17,6.107225336839894e-17,8.996665713517696e-17,1.0808724029320624e-12
715000.0,3.9029928150443877e-13,2.388234049054684e-13,7.003819461216136e-17,7.911198189981052e-17,1.165413409435321e-16,1.2200125251604868e-12
765000.0,4.726240538343461e-13,2.9287709677599243e-13,8.772172831858105e-17,9.908648748184776e-17,1.4596611180572087e-16,1.3452986101258007e-12
815000.0,5.568873681447913e-13,3.492667745677213e-13,1.0684118646363635e-16,1.2068295919720012e-16,1.7778027702716806e-16,1.4584760087273752e-12
865000.0,6.399582272458616e-13,4.069402612139243e-13,1.2736605556450722e-16,1.4386691603569336e-16,2.119330086857066e-16,1.5571974294537153e-12
915000.0,7.197271227078158e-13,4.641586870206401e-13,1.493979472489873e-16,1.687531292059483e-16,2.485933339426286e-16,1.6424171910004175e-12
965000.0,7.951330687865735e-13,5.202185049774099e-13,1.724708508946597e-16,1.948152339583482e-16,2.8698592445621116e-16,1.7157240366127436e-12
