Time [y],Ref_PWR,SPWR,HTGR,HPR,HTGR_FCM,SFR
0.001023,2.809279322729737e-44,2.809279322729737e-44,2.809279322729737e-44,2.809279322729737e-44,2.809279322729737e-44,2.809279322729737e-44
1.048575,2.809279322729737e-44,2.809279322729737e-44,2.809279322729737e-44,2.809279322729737e-44,2.809279322729737e-44,2.809279322729737e-44
11.0,2.8092793713518244e-44,2.8092793713518244e-44,2.8092793713518244e-44,2.8092793713518244e-44,2.8092793713518244e-44,2.8092793713518244e-44
55.0,2.809279284912557e-44,2.809279284912557e-44,2.809279284912557e-44,2.809279284912557e-44,2.809279284912557e-44,2.809279284912557e-44
105.0,2.809279306522374e-44,2.809279306522374e-44,2.809279306522374e-44,2.809279306522374e-44,2.809279306522374e-44,2.809279306522374e-44
500.0,2.8092788365088575e-44,2.8092788365088575e-44,2.8092788365088575e-44,2.8092788365088575e-44,2.8092788365088575e-44,2.8092788365088575e-44
1000.0,2.809278728459773e-44,2.809278728459773e-44,2.809278728459773e-44,2.809278728459773e-44,2.809278728459773e-44,2.809278728459773e-44
1500.0,2.8092784421297e-44,2.8092784421297e-44,2.8092784421297e-44,2.8092784421297e-44,2.8092784421297e-44,2.8092784421297e-44
2000.0,2.8092786150082347e-44,2.8092786150082347e-44,2.8092786150082347e-44,2.8092786150082347e-44,2.8092786150082347e-44,2.8092786150082347e-44
2500.0,2.809278615008234e-44,2.809278615008234e-44,2.809278615008234e-44,2.809278615008234e-44,2.809278615008234e-44,2.809278615008234e-44
3000.0,2.809278571788601e-44,2.809278571788601e-44,2.809278571788601e-44,2.809278571788601e-44,2.809278571788601e-44,2.809278571788601e-44
3500.0,2.809278528568968e-44,2.809278528568968e-44,2.809278528568968e-44,2.809278528568968e-44,2.809278528568968e-44,2.809278528568968e-44
4000.0,2.8092787446671357e-44,2.8092787446671357e-44,2.8092787446671357e-44,2.8092787446671357e-44,2.8092787446671357e-44,2.8092787446671357e-44
4500.0,2.809278393507612e-44,2.809278393507612e-44,2.809278393507612e-44,2.809278393507612e-44,2.809278393507612e-44,2.809278393507612e-44
5000.0,2.8092784475321535e-44,2.8092784475321535e-44,2.8092784475321535e-44,2.8092784475321535e-44,2.8092784475321535e-44,2.8092784475321535e-44
5500.0,2.809278393507612e-44,2.809278393507612e-44,2.809278393507612e-44,2.809278393507612e-44,2.809278393507612e-44,2.809278393507612e-44
6000.0,2.8092782638487104e-44,2.8092782638487104e-44,2.8092782638487104e-44,2.8092782638487104e-44,2.8092782638487104e-44,2.8092782638487104e-44
6500.0,2.809278388105158e-44,2.809278388105158e-44,2.809278388105158e-44,2.809278388105158e-44,2.809278388105158e-44,2.809278388105158e-44
