,Ref_PWR,SPWR,HTGR,HPR,HTGR_FCM,SFR
1,0.9891079724125076,0.8378332809606103,0.005806351501019697,0.0068768707627775575,0.0070303506178569265,1.3629411567567091
2,0.9893019491009941,0.8379367973483046,0.0058063774346904145,0.00687690147784913,0.007030395291325647,1.4337038076625719
3,0.9894959251390647,0.838040313517351,0.005806403368370799,0.0068769321929321526,0.007030439964794366,1.5044000893614486
4,0.9896899005267323,0.8381438294677317,0.005806429302041518,0.0068769629080037255,0.007030484638263086,1.5750300329922167
5,0.9898838752639839,0.838247345199454,0.005806455235721902,0.0068769936230867485,0.007030529311731805,1.6455936696937572
6,0.9900778493508198,0.8383508607125247,0.005806481169392621,0.0068770243381583215,0.0070305739852005245,1.7160910306049364
7,0.9902718227872612,0.8384543760069554,0.005806507103073006,0.006877055053241344,0.007030618658669244,1.786522146864631
8,0.9904657955732994,0.8385578910827163,0.005806533036753391,0.006877085768324367,0.007030663332137964,1.856887049611723
9,0.9906597677089303,0.8386614059398226,0.005806558970424109,0.0068771164833959396,0.007030708005606684,1.9271857699850772
10,0.9908537391941626,0.8387649205782775,0.005806584904104494,0.006877147198478962,0.007030752679075403,1.9974183391235711
20,0.992793418274524,0.8398000549369333,0.005806844240866455,0.0068774543492595725,0.0070311994137664995,2.696112563143664
30,0.9947330323157856,0.8408351674304753,0.005807103577618746,0.006877761500028732,0.007031646148445891,3.3882259164398056
40,0.9966725813190431,0.8418702580591105,0.005807362914377484,0.006878068650805527,0.007032092883129184,4.073789537886597
50,0.9986120652853888,0.8429053268230821,0.005807622251136222,0.00687837580158232,0.007032539617800772,4.752834566358577
60,1.0005514842159065,0.8439403737226219,0.005807881587891737,0.006878682952355298,0.007032986352468458,5.42539214073033
70,1.002490838111687,0.8449753987579585,0.005808140924647252,0.006878990103128275,0.0070334330871400464,6.091493399876406
80,1.004430126973827,0.8460104019293312,0.005808400261393099,0.006879297253889801,0.007033879821799928,6.751169482671387
90,1.0063693508034102,0.847045383236958,0.0058086595981453925,0.006879604404658963,0.007034326556467614,7.404451527989818
100,1.0083085096015318,0.8480803426810706,0.005808918934894462,0.006879911555424306,0.0070347732911157914,8.051370674706288
200,1.0276965210921492,0.8584287346800286,0.005811512302294933,0.006882983062970878,0.0070392406374687995,14.17745327116682
300,1.0470780306359033,0.8687749405820684,0.0058141056695407214,0.006886054570334252,0.007043707983439428,19.701498769452247
400,1.0664530393232023,0.8791189606181196,0.005816699036635053,0.0068891260775182424,0.007048175329035483,24.654646044128125
500,1.0858215482444753,0.8894607950191152,0.005819292403571481,0.006892197584515217,0.007052642674249158,29.068033969760098
600,1.1051835584901561,0.8998004440159816,0.005821885770353229,0.006895269091328993,0.007057110019088258,32.97280142091376
700,1.1245390711506826,0.9101379078396554,0.005824479136983519,0.006898340597963386,0.007061577363544981,36.40008727215469
800,1.1438880873164492,0.9204731867210624,0.0058270725034559046,0.006901412104410763,0.007066044707623225,39.381030398048544
900,1.1632306080779076,0.9308062808911358,0.0058296658697768325,0.006904483610678757,0.007070512051322995,41.946769673160894
1000,1.1825666345254733,0.9411371905808055,0.005832259235939858,0.0069075551167597365,0.007074979394648187,44.12844397205734
2000,1.375569951631141,1.044326191860101,0.005858192889094897,0.006938270167531737,0.0071196528070604816,51.67216567358133
3000,1.5679250368171367,1.1472969991229516,0.0058841265267915365,0.006968985199995268,0.007164326181605581,51.68448422019981
4000,1.759632980509951,1.2500498433001346,0.005910060149052339,0.0069997002141770496,0.007208999518291289,51.68448422019981
5000,1.9506948731360998,1.3525849553224354,0.005935993755864411,0.0070304152100618125,0.007253672817121508,51.68448422019981
6000,2.1411118051221036,1.454902566120632,0.0059619273472277514,0.007061130187649556,0.007298346078104042,51.68448422019981
7000,2.3308848668944653,1.5570029066255273,0.0059878609231359195,0.007091845146932649,0.007343019301219381,51.68448422019981
8000,2.520015148879709,1.658886207767903,0.0060137944836050235,0.0071225600879301736,0.0073876924864792306,51.68448422019981
9000,2.7085037415043263,1.760552700478526,0.0060397280286286215,0.007153275010634497,0.007432365633891397,51.68448422019981
10000,2.8963517351948314,1.8620026156882103,0.00606566155820671,0.007183989915045617,0.007477038743432464,51.68448422019981
20000,4.739838624556458,2.8646408100055276,0.006324996004346134,0.007491137952866634,0.00792376775675613,51.68448422019981
30000,6.520465089669341,3.8458752780920458,0.006584328905757582,0.007798284161157584,0.008370492984370908,51.68448422019981
