,Ref_PWR,SPWR,HTGR,HPR,HTGR_FCM,SFR
1,3129.917008593003,795.3677585009631,35.63349962269622,34.81769087565185,35.59476148438247,12546.526812883678
2,3130.530825237392,795.4660281676373,35.63365877727816,34.81784638647998,35.59498766676656,13197.930941770524
3,3131.1446398236153,795.5642976267457,35.633817931919424,34.818001897366074,35.59521384915066,13848.724110286212
4,3131.7584523517144,795.6625668782715,35.63397708650137,34.8181574081942,35.59544003153475,14498.906605079033
5,3132.3722628216474,795.7608359222215,35.634136241142635,34.818312919080306,35.59566621391884,15148.478712797325
6,3132.9860712334157,795.8591047586025,35.63429539572458,34.818468429908435,35.595892396302936,15797.440720089275
7,3133.5998775870867,795.9573733874249,35.634454550365845,34.81862394079453,35.596118578687026,16445.792913603174
8,3134.213681882632,796.055641808661,35.63461370500711,34.81877945168063,35.596344761071116,17093.535579987365
9,3134.8274841200396,796.1539100223249,35.63477285958905,34.81893496250876,35.59657094345521,17740.669005890024
10,3135.4412842993365,796.2521780284197,35.634932014230316,34.81909047339485,35.5967971258393,18387.19347795945
20,3141.579172896096,797.2348466730067,35.63652356038591,34.82064558200463,35.59905894969998,24819.00880044578
30,3147.716855684198,798.2174945607115,35.63811510648217,34.822200690556436,35.60132077350139,31190.24405270615
40,3153.854332667109,799.2001216917312,35.63970665261798,34.82375579914689,35.60358259732256,37501.18588301086
50,3159.991603848285,800.1827280662959,35.6412981987538,34.82531090773734,35.60584442108446,43752.12093962963
60,3166.1286692311555,801.1653136846262,35.642889744869834,34.826866016308465,35.60810624482661,49943.33587083262
70,3172.265528819174,802.1478785469387,35.64448129098587,34.82842112487959,35.61036806858851,56075.117324889645
80,3178.402182615808,803.1304226534612,35.64607283704258,34.82997623339275,35.612629892291146,62147.75195007084
90,3184.538630624489,804.1129460044,35.647664383138846,34.831531341944554,35.61489171603329,68161.52639464599
100,3190.6748728486828,805.0954485999754,35.64925592921532,34.83308645047703,35.617153539676664,74116.72730688527
200,3252.0259777025535,814.9193330592601,35.66517138942643,34.84863753526078,35.63977177545847,130510.25477019318
300,3313.356507902653,824.7411422237993,35.68108684868827,34.86418861911698,35.66239000930428,181361.74209687544
400,3374.666466899448,834.5608763128178,35.6970023070206,34.87973970206497,35.68500824125363,226957.83755690546
500,3435.9558581434762,844.3785355455439,35.71291776438388,34.895290784066084,35.70762647126697,267585.1894202573
600,3497.2246850852885,854.1941201411992,35.728833220797895,34.910841865139666,35.730244699383846,303530.4459569047
700,3558.472951175447,864.0076303190156,35.74474867628241,34.92639294530503,35.75286292556473,335080.25543682126
800,3619.70065986438,873.8190662982141,35.76066413079788,34.941944024523536,35.775481149829375,362521.2661299811
900,3680.9078146026936,883.6284282980237,35.776579584383846,34.95749510283382,35.798099372177795,386140.12630635774
1000,3742.0944188408807,893.4357165376689,35.79249503700077,34.973046180197244,35.82071759262973,406223.484235925
2000,4352.830942832788,991.3945903548631,35.95164951115772,35.12855690301,36.04689969163773,475667.059351324
3000,4961.516212393953,1089.1463293043912,36.11080389044669,35.28406753312673,36.2730815989236,475780.45747909957
4000,5568.153678052036,1186.6911526123197,36.26995817500614,35.43957807068271,36.49926331452686,475780.45747909957
5000,6172.7467903347815,1284.029279504723,36.429112364756925,35.59508851560063,36.725444838467254,475780.45747909957
6000,6775.298999769943,1381.1609292076687,36.58826645969908,35.75059886788049,36.9516261707843,475780.45747909957
7000,7375.813756885225,1478.0863209472475,36.747420459793034,35.90610912748365,37.177807311379226,475780.45747909957
8000,7974.294512208394,1574.80567394953,36.90657436513767,36.06161929450674,37.40398826031129,475780.45747909957
9000,8570.744716267114,1671.3192074405736,37.06572817569345,36.2171293689111,37.630169017620005,475780.45747909957
10000,9165.167819589124,1767.6271406464793,37.224881891460356,36.372639350696716,37.856349583186834,475780.45747909957
20000,14998.667428390982,2719.446686758673,38.81641383489134,37.92773407369189,40.118144697220075,475780.45747909957
30000,20633.25254402216,3650.947353038066,40.4079362983479,39.482819533751275,42.379920644157366,475780.45747909957
40000,26072.37369420879,4562.348365559419,41.99944928196846,41.037895731010124,44.64167742407773,475780.45747909957
50000,31319.48140667701,5453.8689503974965,43.59095278571348,42.5929626654298,46.90341503702068,475780.45747909957
60000,36378.02620915292,6325.72833362706,45.182446809622526,44.14802033704896,49.16513348316399,475780.45747909957
