,Ref_PWR,SPWR,HTGR,HPR,HTGR_FCM,SFR
1,0.9999949704646257,0.9999968315892899,0.9999999991065307,0.9999999991065307,0.9999999987288631,0.9985944489556772
2,0.9999899409461155,0.9999936631852722,0.9999999982130617,0.9999999982130617,0.9999999974577263,0.9971902155779587
3,0.9999849114444695,0.9999904947879468,0.9999999973195924,0.9999999973195924,0.9999999961865894,0.9957872992489165
4,0.9999798819596876,0.9999873263973142,0.9999999964261235,0.9999999964261235,0.9999999949154526,0.9943856993506222
5,0.9999748524917699,0.9999841580133744,0.9999999955326542,0.9999999955326542,0.9999999936443157,0.9929854152651472
6,0.9999698230407165,0.9999809896361269,0.9999999946391852,0.9999999946391852,0.9999999923731788,0.9915864463745634
7,0.9999647936065268,0.9999778212655716,0.9999999937457159,0.9999999937457159,0.999999991102042,0.9901887920609425
8,0.9999597641892011,0.9999746529017092,0.9999999928522466,0.9999999928522466,0.9999999898309051,0.9887924517063559
9,0.9999547347887394,0.9999714845445393,0.9999999919587776,0.9999999919587776,0.9999999885597682,0.9873974246928755
10,0.9999497054051416,0.9999683161940619,0.9999999910653083,0.9999999910653083,0.9999999872886314,0.986003710402573
20,0.9998994124966757,0.9999366330573732,0.9999999821306168,0.9999999821306168,0.9999999745772626,0.9721386313300927
30,0.999849121274574,0.9999049505899266,0.9999999731959256,0.9999999731959256,0.9999999618658942,0.9584041448542255
40,0.9997988317388082,0.9998732687917156,0.9999999642612342,0.9999999642612342,0.9999999491545257,0.9447996330466364
50,0.99974854388935,0.9998415876627328,0.9999999553265427,0.9999999553265427,0.9999999364431575,0.9313244779789914
60,0.9996982577261712,0.9998099072029711,0.9999999463918514,0.9999999463918514,0.9999999237317895,0.9179780617229559
70,0.9996479732492435,0.9997782274124236,0.9999999374571601,0.9999999374571601,0.9999999110204213,0.9047597663501958
80,0.9995976904585385,0.9997465482910829,0.9999999285224691,0.9999999285224691,0.9999998983090534,0.8916689739323764
90,0.9995474093540282,0.9997148698389423,0.9999999195877779,0.9999999195877779,0.9999998855976854,0.8787050665411638
100,0.9994971299356841,0.9996831920559948,0.9999999106530868,0.9999999106530868,0.9999998728863179,0.865867426248223
200,0.9989944284851677,0.9993664510305721,0.9999998213061789,0.9999998213061789,0.9999997457726464,0.7442997694902249
300,0.9984918956201776,0.9990497769166637,0.9999997319592764,0.9999997319592764,0.9999996186589858,0.6346791013916385
400,0.9979895313124411,0.9987331697072015,0.9999996426123791,0.9999996426123791,0.9999994915453359,0.536387493618098
500,0.997487335533685,0.998416629395117,0.9999995532654872,0.9999995532654872,0.9999993644316968,0.4488070178352366
600,0.996985308255636,0.9981001559733421,0.9999994639186006,0.9999994639186006,0.9999992373180684,0.371319745708688
700,0.9964834494500209,0.9977837494348084,0.9999993745717193,0.9999993745717193,0.9999991102044509,0.30330774890408596
800,0.9959817590885672,0.9974674097724477,0.9999992852248434,0.9999992852248434,0.9999989830908441,0.24415309908706379
900,0.9954802371430014,0.9971511369791918,0.9999991958779727,0.9999991958779727,0.9999988559772481,0.1932378679232552
1000,0.9949788835850505,0.9968349310479723,0.9999991065311075,0.9999991065311075,0.9999987288636628,0.14994412707829385
2000,0.9899746031042782,0.9936765475927614,0.999998213062747,0.999998213062747,0.9999974577284025,0.0002444526046609211
3000,0.9849871302845932,0.9905248425660944,0.9999973195949192,0.9999973195949192,0.9999961865942197,0.0
4000,0.9800164368529062,0.9873798088996992,0.9999964261276232,0.9999964261276232,0.9999949154611142,0.0
5000,0.9750624945361274,0.9842414395253034,0.9999955326608594,0.9999955326608594,0.9999936443290858,0.0
6000,0.9701252750611667,0.9811097273746348,0.9999946391946278,0.9999946391946278,0.9999923731981343,0.0
7000,0.9652047501549348,0.9779846653794203,0.9999937457289287,0.9999937457289287,0.9999911020682603,0.0
8000,0.9603008915443414,0.9748662464713878,0.9999928522637616,0.9999928522637616,0.9999898309394634,0.0
9000,0.9554136709562974,0.9717544635822652,0.9999919587991265,0.9999919587991265,0.9999885598117434,0.0
10000,0.9505430601177128,0.9686493096437795,0.9999910653350236,0.9999910653350236,0.999987288685101,0.0
20000,0.9027442678723898,0.9379608075240313,0.9999821307232662,0.9999821307232662,0.9999745774779207,0.0
30000,0.8565753501742945,0.9079274253683213,0.999973196164728,0.999973196164728,0.9999618663784589,0.0
40000,0.8120080339336904,0.8785420949042153,0.9999642616594081,0.9999642616594081,0.9999491553867149,0.0
50000,0.7690140460608407,0.8497977478592792,0.9999553272073067,0.9999553272073067,0.9999364445026887,0.0
60000,0.727565113466009,0.8216873159610788,0.9999463928084237,0.9999463928084237,0.9999237337263792,0.0
70000,0.687632963059459,0.7942037309371801,0.9999374584627592,0.9999374584627592,0.9999110230577861,0.0
80000,0.6491893217514537,0.7673399245151489,0.9999285241703124,0.9999285241703124,0.9998983124969092,0.0
90000,0.6122059164522572,0.741088828422551,0.9999195899310834,0.9999195899310834,0.9998856020437479,0.0
100000,0.5766544740721321,0.7154433743869523,0.9999106557450722,0.9999106557450722,0.9998728916983016,0.0
200000,0.293677931077791,0.4907441272304111,0.9998213168119006,0.9998213168119006,0.9997457941680733,0.0
300000,0.12279728128042695,0.3188339860962397,0.9997319832003257,0.9997319832003257,0.9996187074088585,0.0
400000,0.03573943494349024,0.1926446785502998,0.9996426549101897,0.9996426549101897,0.9994916314202008,0.0
500000,0.0042313023304312415,0.10510793215845478,0.9995533319413342,0.9995533319413342,0.9993645662016438,0.0
600000,0.0,0.049155474486566736,0.9994640142936002,0.9994640142936002,0.9992375117527311,0.0
700000,0.0,0.017719033100498365,0.9993747019668294,0.9993747019668294,0.9991104680730062,0.0
800000,0.0,0.0037303355661122244,0.9992853949608634,0.9992853949608634,0.9989834351620128,0.0
900000,0.0,0.00012110944927094383,0.999196093275544,0.999196093275544,0.9988564130192944,0.0
1000000,0.0,0.0,0.999106796910712,0.999106796910712,0.9987294016443949,0.0
2000000,0.0,0.0,0.9982141258543501,0.9982141258543501,0.997459880025008,0.0
3000000,0.0,0.0,0.9973219866724153,0.9973219866724153,0.9961914346854198,0.0
4000000,0.0,0.0,0.9964303792064089,0.9964303792064089,0.9949240651692103,0.0
5000000,0.0,0.0,0.9955393032978321,0.9955393032978321,0.99365777101996,0.0
6000000,0.0,0.0,0.9946487587881855,0.9946487587881855,0.9923925517812487,0.0
7000000,0.0,0.0,0.9937587455189706,0.9937587455189706,0.9911284069966574,0.0
8000000,0.0,0.0,0.9928692633316883,0.9928692633316883,0.9898653362097655,0.0
9000000,0.0,0.0,0.9919803120678401,0.9919803120678401,0.9886033389641538,0.0
