,Ref_PWR,SPWR,HTGR,HPR,HTGR_FCM,SFR
1,0.020564799124942742,0.020904743177391938,0.00018386808356251962,0.00017965852815929318,0.00019404113691926067,0.051434965779221666
2,0.020565605858635642,0.020905259796377668,0.00018386813030987572,0.0001796585738363951,0.00019404120710616137,0.05268305822785117
3,0.020566412591787535,0.02090577641514526,0.0001838681770572318,0.000179658619513497,0.00019404127729338516,0.05393061964333208
4,0.02056721932439842,0.020906293033694446,0.00018386822380458788,0.0001796586651905989,0.00019404134748060895,0.055177650138658385
5,0.020568026056468305,0.020906809652025314,0.00018386827055194398,0.00017965871086770082,0.00019404141766783274,0.056424149826824296
6,0.02056883278799728,0.02090732627013805,0.0001838683172996062,0.00017965875654510184,0.00019404148785473344,0.05767011882082643
7,0.020569639518985158,0.02090784288803265,0.0001838683640469623,0.00017965880222220375,0.00019404155804195723,0.05891555723365876
8,0.020570446249432033,0.020908359505708844,0.00018386841079431838,0.00017965884789930564,0.000194041628229181,0.060160465178315733
9,0.020571252979337904,0.020908876123166723,0.00018386845754167445,0.00017965889357640755,0.00019404169841608174,0.0614048427677933
10,0.02057205970870286,0.020909392740406464,0.00018386850428903055,0.00017965893925350946,0.0001940417686033055,0.0626486901150859
20,0.02058012697259698,0.020914558900800278,0.00018386897176289756,0.00017965939602482766,0.00019404247047457413,0.07505802512671919
30,0.020588194182391016,0.020919725039368977,0.00018386943923676458,0.00017965985279614583,0.00019404317234584276,0.08741446021426899
40,0.020596261338085866,0.020924891156113373,0.0001838699067106316,0.000179660309567464,0.00019404387421711138,0.09971810837265511
50,0.020604328439681352,0.020930057251032745,0.00018387037418419246,0.00017966076633848304,0.00019404457608838,0.11196908259679733
60,0.02061239548717765,0.02093522332412781,0.00018387084165805945,0.00017966122310980124,0.00019404527795964865,0.1241674958816174
70,0.020620462480574937,0.020940389375398032,0.00018387130913192647,0.0001796616798811194,0.00019404597983091725,0.1363134612220354
80,0.020628529419873125,0.02094555540484395,0.00018387177660579348,0.0001796621366524376,0.00019404668170218588,0.1484070916129719
90,0.02063659630507293,0.020950721412465206,0.0001838722440796605,0.00017966259342375577,0.0001940473835734545,0.1604485000493465
100,0.020644663136174347,0.020955887398261888,0.00018387271155352752,0.00017966305019507397,0.00019404808544504622,0.1724377995260812
200,0.020725328471812427,0.02100754605589693,0.00018387738629189147,0.00017966761790795663,0.00019405510415762474,0.2894896603957097
300,0.020805988397804735,0.021059202531138743,0.0001838820610301534,0.0001796721856207396,0.00019406212287063408,0.40145491971385605
400,0.020886642914332454,0.021110856824033835,0.00018388673576851737,0.00017967675333362224,0.00019406914158310497,0.5084465724010458
500,0.020967292021577058,0.021162508934627924,0.0001838914105067793,0.00017968132104640523,0.00019407616029600661,0.6105776133778004
600,0.021047935719720003,0.021214158862967347,0.0001838960852450412,0.0001796858887591882,0.00019408317900847745,0.7079610375646458
700,0.021128574008942573,0.02126580660909845,0.00018390075998330315,0.00017969045647197115,0.00019409019772127138,0.8007098398821051
800,0.021209206889426235,0.02131745217306676,0.00018390543472156506,0.00017969502418475411,0.00019409721643374227,0.888937015250702
900,0.02128983436135245,0.02136909555491898,0.00018391010945982702,0.00017969959189753708,0.00019410423514642852,0.9727555585909606
1000,0.021370456424902495,0.02142073675470055,0.00018391478419798688,0.00017970415961022032,0.00019411125385879167,1.052278464823405
2000,0.022176379639624943,0.021937028748794066,0.00018396153157927952,0.0001797498367367537,0.00019418144098253107,1.636106368733298
3000,0.02298176221627475,0.02245310258656866,0.0001840082789589394,0.00017979551386169173,0.0001942516281026089,1.9146649744379958
4000,0.02378660433625164,0.022968958314124484,0.00018405502633706857,0.0001798411909851341,0.00019432181521913288,2.0009492024613675
5000,0.02459090618095436,0.02348459597756158,0.00018410177371356502,0.00017988686810698108,0.00019439200233274914,2.0074536873778865
6000,0.025394667931782536,0.02400001562298017,0.0001841485210884287,0.0001799325452272327,0.00019446218944259617,2.0074536873778865
7000,0.026197889770134822,0.024515217296480225,0.00018419526846145552,0.0001799782223456895,0.00019453237654942776,2.0074536873778865
8000,0.027000571877410853,0.02503020104416205,0.00018424201583325782,0.00018002389946294983,0.00019460256365249015,2.0074536873778865
9000,0.02780271443500937,0.025544966912125253,0.00018428876320342733,0.00018006957657861475,0.000194672750752214,2.0074536873778865
10000,0.028604317624329748,0.026059514946470685,0.00018433551057196412,0.00018011525369268432,0.0001947429378488148,2.0074536873778865
20000,0.03659072417005624,0.0311930245829524,0.00018480298417069416,0.00018057202474872577,0.00019544480862668324,2.0074536873778865
30000,0.044523393427059625,0.03630480156774443,0.00018527045761043522,0.00018102879564941817,0.00019614667906639596,2.0074536873778865
40000,0.0524025067945123,0.041394892000959076,0.00018573793089179952,0.00018148556639535976,0.0001968485491674146,2.0074536873778865
50000,0.06022824567158566,0.046463341982707455,0.00018620540401468507,0.0001819423369864509,0.00019755041892995445,2.0074536873778865
60000,0.06800079145745193,0.051510197613101605,0.00018667287697929596,0.000182399107422891,0.0001982522883535848,2.0074536873778865
70000,0.07572032555128318,0.05653550499225355,0.00018714034978512196,0.0001828558777041815,0.00019895415743895182,2.0074536873778865
80000,0.08338702935225079,0.06153931022027442,0.00018760782243246922,0.00018331264783062151,0.0001996560261857324,2.0074536873778865
90000,0.09100108425952708,0.0665216593972764,0.00018807529492123563,0.00018376941780211132,0.00020035789459371111,2.0074536873778865
100000,0.09856267167228358,0.07148259862337082,0.00018854276725193152,0.0001842261876191495,0.0002010597626633188,2.0074536873778865
200000,0.1713327414190863,0.11992458560899043,0.00019321748183817036,0.00018879387726846746,0.00020807842473789549,2.0074536873778865
300000,0.2390556008030049,0.16627628762676844,0.00019789218057469652,0.0001933615514309429,0.00021509705295565923,2.0074536873778865
400000,0.3019126489959269,0.21058380478842625,0.00020256686346079556,0.00019792921010587777,0.00022211564731682544,2.0074536873778865
500000,0.36008528516974003,0.2528932372056855,0.00020724153049707988,0.0002024968532938704,0.00022913420782150177,2.0074536873778865
600000,0.4137549084963322,0.2932506849902677,0.00021191618168303915,0.0002070644809944222,0.0002361527344696883,2.0074536873778865
700000,0.46310291814759075,0.3317022482538943,0.00021659081701938776,0.00021163209320823118,0.00024317122726138493,2.0074536873778865
800000,0.508310713295404,0.36829402710828707,0.00022126543650561546,0.00021619968993479875,0.00025018968619691483,2.0074536873778865
900000,0.5495596931116593,0.4030721216651672,0.00022594004014172222,0.00022076727117412495,0.0002572081112760625,2.0074536873778865
1000000,0.5870312567682443,0.4360826320362562,0.00023061462792811624,0.00022533483692660855,0.0002642265024991511,2.0074536873778865
2000000,0.7938968223675333,0.6791126301073764,0.00027735963405071316,0.0002710096426681245,0.0003344085526605727,2.0074536873778865
3000000,0.8225596956283537,0.7960943324930684,0.0003241030552094864,0.0003166828997326639,0.00040458721729728664,2.0074536873778865
4000000,0.8225596956283537,0.8331278509148519,0.00037084489143198867,0.00036235460814714853,0.0004747624964911396,2.0074536873778865
5000000,0.8225596956283537,0.8361690623275229,0.0004175851427447521,0.0004080247679375032,0.0005449343903241935,2.0074536873778865
6000000,0.8225596956283537,0.8361690623275229,0.00046432380917471713,0.00045369337913005143,0.0006151028988775409,2.0074536873778865
7000000,0.8225596956283537,0.8361690623275229,0.0005110608907483139,0.0004993604417506184,0.0006852680222330287,2.0074536873778865
8000000,0.8225596956283537,0.8361690623275229,0.000557796387493197,0.0005450259558262254,0.0007554297604727188,2.0074536873778865
9000000,0.8225596956283537,0.8361690623275229,0.0006045302994356947,0.0005906899213825981,0.0008255881136777038,2.0074536873778865
