,Ref_PWR,SPWR,HTGR,HPR,HTGR_FCM,SFR
1,0.9889527905934258,0.8377504676930233,0.005806327043563094,0.006876841796090265,0.00703030848734298,1.3242595303182603
2,0.9889915860872214,0.83777117102304,0.005806328519786877,0.006876843544485995,0.007030311030286046,1.3563932800889962
3,0.9890303815550002,0.8377918743443148,0.005806329996010661,0.006876845292881725,0.007030313573240818,1.3885133577264412
4,0.9890691769967621,0.837812577656837,0.005806331472234443,0.006876847041277456,0.0070303161161955905,1.4206197661397715
5,0.9891079724125076,0.8378332809606103,0.005806332948458226,0.006876848789673186,0.007030318659150363,1.4527125082381689
6,0.9891467678022409,0.8378539842556421,0.005806334424691676,0.006876850538080365,0.007030321202093429,1.4847915869308765
7,0.9891855631659531,0.837874687541932,0.0058063359009154596,0.006876852286476096,0.007030323745048201,1.5168570051270702
8,0.9892243585036486,0.8378953908194694,0.0058063373771392425,0.006876854034871825,0.007030326288002972,1.548908765735938
9,0.9892631538153276,0.837916094088258,0.005806338853363025,0.006876855783267555,0.00703032883094604,1.580946871666706
10,0.9893019491009941,0.8379367973483046,0.005806340329586808,0.0068768575316632856,0.007030331373900811,1.612971325828562
20,0.9896899005267323,0.8381438294677317,0.005806355091834304,0.006876875015632037,0.0070303568034134145,1.9324656601808947
30,0.9900778493508198,0.8383508607125247,0.0058063698540818005,0.006876892499600787,0.007030382232926018,2.2505980177619906
40,0.9904657955732994,0.8385578910827163,0.005806384616329296,0.006876909983569537,0.007030407662438621,2.567371307771791
50,0.9908537391941626,0.8387649205782775,0.005806399378567125,0.006876927467526837,0.007030433091951224,2.882788439410236
60,0.9912416802134182,0.8389719491992369,0.005806414140814621,0.006876944951495588,0.0070304585214638286,3.196852321877318
70,0.9916296186310741,0.8391789769455732,0.005806428903062116,0.0068769624354643386,0.00703048395097643,3.509565864372984
80,0.9920175544471267,0.839386003817308,0.005806443665309613,0.0068769799194330905,0.007030509380489033,3.820931976097197
90,0.9924054876616101,0.8395930298144268,0.005806458427557109,0.006876997403401841,0.007030534810001637,4.130953566249893
100,0.992793418274524,0.8398000549369333,0.0058064731898046056,0.006877014887370592,0.007030560239525946,4.439633544031069
200,0.9966725813190431,0.8418702580591105,0.005806620812269898,0.006877189727046647,0.007030814534648076,7.45328466539939
300,1.0005514842159065,0.8439403737226219,0.00580676843473197,0.006877364566718887,0.0070310688297858135,10.335974669569824
400,1.004430126973827,0.8460104019293312,0.005806916057197263,0.006877539406394942,0.007031323124904044,13.090612756502297
500,1.0083085096015318,0.8480803426810706,0.005807063679659334,0.006877714246067182,0.00703157742003788,15.72010812615662
600,1.0121866321077473,0.8501501959796971,0.005807211302121405,0.006877889085739422,0.007031831715156108,18.22736997849273
700,1.0160644945011912,0.8522199618270678,0.005807358924583477,0.006878063925411662,0.007032086010286042,20.615307513470487
800,1.01994209679059,0.8542896402250073,0.005807506547045547,0.006878238765083901,0.007032340305404271,22.886829931049764
900,1.02381943898467,0.8563592311753873,0.0058076541695076195,0.006878413604756141,0.007032594600530304,25.044846431190443
1000,1.0276965210921492,0.8584287346800286,0.005807801791966468,0.006878588444424563,0.00703284889564463,27.09226621385241
2000,1.0664530393232023,0.8791189606181196,0.005809278016545286,0.006880336841097343,0.007035391846791801,42.12366857031586
3000,1.1051835584901561,0.8998004440159816,0.0058107542410725434,0.006882085237709055,0.007037934797806311,49.29551913477432
4000,1.1438880873164492,0.9204731867210624,0.0058122304655514635,0.006883833634263518,0.00704047774869206,51.51701786710677
5000,1.1825666345254733,0.9411371905808055,0.005813706689978824,0.006885582030756915,0.00704302069947246,51.68448422019981
6000,1.2212192088406624,0.9617924574426615,0.005815182914354624,0.006887330427189245,0.007045563650116296,51.68448422019981
7000,1.2598458189854034,0.9824389891540712,0.005816659138672417,0.006889078823552875,0.007048106600650881,51.68448422019981
8000,1.298446473683131,1.0030767875624889,0.005818135362951542,0.006890827219870706,0.0070506495510489035,51.68448422019981
9000,1.3370211816572362,1.02370585451534,0.005819611587179106,0.00689257561612747,0.0070531925013259675,51.68448422019981
10000,1.375569951631141,1.044326191860101,0.005821087811355111,0.006894324012323168,0.007055735451489879,51.68448422019981
20000,1.759632980509951,1.2500498433001346,0.005835850050379237,0.006911807971039811,0.007081164946312514,51.68448422019981
30000,2.1411118051221036,1.454902566120632,0.005850612284382688,0.006929291923810115,0.007106594428883422,51.68448422019981
40000,2.520015148879709,1.658886207767903,0.005865374513384796,0.006946775870656977,0.007132023899183097,51.68448422019981
50000,2.8963517351948314,1.8620026156882103,0.005880136737382341,0.006964259811576582,0.007157453357219341,51.68448422019981
60000,3.270130287479573,2.0642536373278526,0.005894898956381769,0.006981743746576565,0.007182882802976547,51.68448422019981
70000,3.6413595291460297,2.2656411201331297,0.0059096611703669645,0.006999227675637841,0.007208312236478128,51.68448422019981
80000,4.010048183606264,2.466166911550303,0.0059244233793475974,0.00701671159877186,0.007233741657712375,51.68448422019981
90000,4.376204974272383,2.665832859025679,0.005939185583320444,0.0070341955159748054,0.007259171066671486,51.68448422019981
100000,4.739838624556458,2.8646408100055276,0.005953947782301617,0.007051679427265761,0.007284600463371069,51.68448422019981
200000,8.239321557044336,4.805936950733586,0.006101569496723785,0.0072265182140120714,0.007538893755690936,51.68448422019981
