,Ref_PWR,SPWR,HTGR,HPR,HTGR_FCM,SFR
1,3129.425953795635,795.2891426181716,35.633349527620084,34.817544216917284,35.59454817701323,12190.443895532475
2,3129.5487176184674,795.3087966013244,35.63335858718522,34.817553069068815,35.59456105196881,12486.250468764456
3,3129.671481358973,795.3284505761784,35.63336764675035,34.81756192122035,35.59457392698365,12781.931183454362
4,3129.794245017151,795.3481045427235,35.63337670631548,34.817570773371884,35.594586801998496,13077.486066382553
5,3129.917008593003,795.3677585009631,35.63338576588062,34.817579625523415,35.59459967701334,13372.915144329443
6,3130.039772086543,795.3874124509042,35.63339482550508,34.81758847773292,35.59461255196892,13668.218444076012
7,3130.1625354977414,795.4070663925465,35.633403885070216,34.81759732988445,35.59462542698377,13963.395992402619
8,3130.285298826614,795.42672032588,35.633412944635346,34.81760618203598,35.594638301998614,14258.447816089729
9,3130.4080620731597,795.446374250908,35.633422004200476,34.81761503418751,35.5946511769542,14553.37394191817
10,3130.530825237392,795.4660281676373,35.63343106376561,34.81762388633904,35.59466405196904,14848.174396668404
20,3131.7584523517144,795.6625668782715,35.63352165947627,34.81771240791234,35.594792801939704,17789.27292659673
30,3132.9860712334157,795.8591047586025,35.63361225518694,34.81780092948563,35.59492155191036,20717.833807343253
40,3134.213681882632,796.055641808661,35.6337028508976,34.81788945105892,35.59505030188102,23633.883819488263
50,3135.4412842993365,796.2521780284197,35.63379344654893,34.81797797257423,35.59517905185168,26537.44974361203
60,3136.668878483556,796.4487134179059,35.63388404225959,34.81806649414753,35.595307801822344,29428.558360295305
70,3137.896464435317,796.6452479770991,35.63397463797025,34.81815501572082,35.595436551793,32307.236450118427
80,3139.1240421546063,796.8417817060199,35.63406523368091,34.81824353729411,35.595565301763656,35173.510793661866
90,3140.351611641533,797.0383146046546,35.634155829391574,34.8183320588674,35.59569405173432,38027.40817150586
100,3141.579172896096,797.2348466730067,35.63424642510223,34.818420580440694,35.59582280176424,40868.9553642312
200,3153.854332667109,799.2001216917312,35.63515238214951,34.81930579611563,35.59711030145108,68611.05883764917
300,3166.1286692311555,801.1653136846262,35.63605833917702,34.82019101177124,35.59839780121695,95147.60243768385
400,3178.402182615808,803.1304226534612,35.6369642962243,34.82107622744617,35.59968530088404,120505.36674478825
500,3190.6748728486828,805.0954485999754,35.637870253251805,34.82196144310179,35.600972800630146,144711.13233941435
600,3202.946739957392,807.0603915259318,35.63877621027931,34.822846658757406,35.60226030029723,167791.67980201525
700,3215.2177839695223,809.0252514330933,35.639682167306816,34.82373187441301,35.60354780002358,189773.78971304337
