,Ref_PWR,SPWR,HTGR,HPR,HTGR_FCM,SFR
1,0.999998994091576,0.9999993663173227,0.999999999949141,0.999999999949141,0.9999999999276429,0.9993620577189719
2,0.9999979881838266,0.9999987326349129,0.999999999898282,0.999999999898282,0.9999999998552861,0.9987243868092239
3,0.9999969822767517,0.9999980989527707,0.999999999847423,0.999999999847423,0.999999999782929,0.9980869872130244
4,0.9999959763703514,0.9999974652708964,0.9999999997965641,0.9999999997965641,0.9999999997105719,0.9974498588726427
5,0.9999949704646257,0.9999968315892899,0.9999999997457051,0.9999999997457051,0.9999999996382147,0.9968130017303484
6,0.9999939645595745,0.9999961979079509,0.9999999996948458,0.9999999996948458,0.9999999995658579,0.9961764157284095
7,0.9999929586551979,0.9999955642268795,0.9999999996439868,0.9999999996439868,0.9999999994935008,0.9955401008090957
8,0.9999919527514959,0.999994930546076,0.9999999995931278,0.9999999995931278,0.9999999994211437,0.9949040569146762
9,0.9999909468484685,0.9999942968655403,0.9999999995422688,0.9999999995422688,0.9999999993487869,0.9942682839874195
10,0.9999899409461155,0.9999936631852722,0.9999999994914098,0.9999999994914098,0.9999999992764298,0.9936327819695949
20,0.9999798819596876,0.9999873263973142,0.9999999989828197,0.9999999989828197,0.9999999985528596,0.987292649109305
30,0.9999698230407165,0.9999809896361269,0.9999999984742295,0.9999999984742295,0.9999999978292894,0.9809795436881708
40,0.9999597641892011,0.9999746529017092,0.9999999979656393,0.9999999979656393,0.9999999971057192,0.9746934079752336
50,0.9999497054051416,0.9999683161940619,0.9999999974570495,0.9999999974570495,0.999999996382149,0.9684341842395352
60,0.9999396466885379,0.9999619795131842,0.9999999969484593,0.9999999969484593,0.9999999956585788,0.962201814750116
70,0.9999295880393896,0.9999556428590768,0.9999999964398691,0.9999999964398691,0.9999999949350086,0.9559962417760175
80,0.9999195294576969,0.9999493062317389,0.999999995931279,0.999999995931279,0.9999999942114384,0.9498174075862807
90,0.999909470943459,0.9999429696311711,0.9999999954226888,0.9999999954226888,0.9999999934878682,0.9436652544499474
100,0.9998994124966757,0.9999366330573732,0.9999999949140986,0.9999999949140986,0.9999999927642976,0.937539724636058
200,0.9997988317388082,0.9998732687917156,0.9999999898281973,0.9999999898281973,0.9999999855285957,0.8777360084206525
300,0.9996982577261712,0.9998099072029711,0.999999984742296,0.999999984742296,0.9999999782928933,0.8205311203949542
400,0.9995976904585385,0.9997465482910829,0.9999999796563946,0.9999999796563946,0.9999999710571915,0.7658673296001328
500,0.9994971299356841,0.9996831920559948,0.9999999745704934,0.9999999745704934,0.9999999638214893,0.7136869050773598
600,0.9993965761573815,0.9996198384976499,0.9999999694845921,0.9999999694845921,0.9999999565857874,0.6639321158678045
700,0.9992960291234049,0.9995564876159915,0.9999999643986909,0.9999999643986909,0.9999999493500853,0.6165452310126378
800,0.9991954888335278,0.9994931394109636,0.9999999593127896,0.9999999593127896,0.9999999421143835,0.5714685195530302
900,0.9990949552875241,0.9994297938825091,0.9999999542268884,0.9999999542268884,0.9999999348786814,0.528644250530152
1000,0.9989944284851677,0.9993664510305721,0.9999999491409872,0.9999999491409872,0.9999999276429797,0.48801469298517347
2000,0.9979895313124411,0.9987331697072015,0.9999998982819761,0.9999998982819761,0.9999998552859626,0.18972743787736768
3000,0.996985308255636,0.9981001559733421,0.9999998474229668,0.9999998474229668,0.9999997829289492,0.04740727584698976
4000,0.9959817590885672,0.9974674097724477,0.9999997965639591,0.9999997965639591,0.9999997105719395,0.003323248064446688
5000,0.9949788835850505,0.9968349310479723,0.9999997457049532,0.9999997457049532,0.9999996382149328,0.0
