Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
Ac225,1.6380183344721833e-09,1.6336049617255232e-09,1.6291480541827117e-09,1.624650804211796e-09,1.6201149508917909e-09,1.6140113106516142e-09,1.6078474377553722e-09,1.6016275032336533e-09,1.5922021609870186e-09,1.5826728977614073e-09,1.5730490802190288e-09,1.563342039215871e-09,1.5437121782489333e-09,1.5238477230107303e-09,1.483618097352037e-09,1.3615262920201121e-09,1.0882249884962306e-09,8.502911292822029e-10,6.550817922583741e-10,3.851138906451402e-10,2.4139084187850184e-10,1.8466354477356888e-10,1.897224116918816e-10,2.366687234797956e-10,3.176798751738977e-10,5.768357577856017e-10,9.62561040008789e-10,1.4932792663034575e-09,2.191120465421992e-09,3.0976740893211696e-09,4.2496467919298604e-09,5.661309032910619e-09,7.390973488664183e-09,9.576408143462427e-09,1.2414745792664065e-08,1.5818586489948524e-08,1.9903664411549095e-08,2.4542562285962485e-08,3.012906689997019e-08,3.644726641973737e-08,4.3918716859458523e-08,5.2517454259194245e-08,6.186012349480066e-08,7.280597753362254e-08,9.7255227593374e-08,1.2847726743124764e-07,1.663451852791296e-07,2.1210394775686586e-07,2.6540690150653e-07,3.2655443460371623e-07,3.9554342839854515e-07,4.743393271953353e-07,5.623370287465063e-07,6.494435681837698e-07,6.495383165860007e-07,6.509744931459566e-07,6.235803088442502e-07,3.50138273412556e-07,2.1427006752679227e-07,1.5883626308146245e-07,1.618259815020505e-07,1.649654377253051e-07,1.682546388322943e-07,1.716936704558428e-07,1.7204581824349127e-07,1.7346940542268137e-07,1.7437133423306388e-07,1.7528263996947268e-07,1.82910927622993e-07,1.9114076918098316e-07,1.9770884939373058e-07,2.1435806847764024e-07,2.4137672126679825e-07,2.594286087560102e-07,2.722359666550986e-07,3.069812602244777e-07,3.456628083039784e-07,3.883344188869704e-07,4.3505260092511036e-07,4.858758585037184e-07,6.0007839482925e-07,7.314317514142211e-07,8.804326098802639e-07,1.0475785374314626e-06,1.2333643013046993e-06,1.7825762156104502e-06,2.458796804119408e-06,3.2692002412096384e-06,4.220658451086561e-06,5.319746492017058e-06,6.572752326984965e-06,9.564298280937512e-06,1.3240264407786141e-05,1.7641694294654246e-05,2.2806010958177418e-05,2.8767297543865554e-05,4.320194846308513e-05,6.116087473398757e-05,8.282050559085728e-05,0.00010832427747364588,0.0001377875801916568,0.00022932057218653628,0.0003470541580277971,0.0004913883701655417,0.0006623688858621758,0.0008598091108129672,0.0010833718673447224,0.0016070729519547947,0.002946058446388608,0.0046445131733278975,0.006668482946972657,0.008986614020901097,0.011570286378437742,0.014393442092684745,0.01743237003032256,0.05578206078759979,0.1928332224543347,0.3940703423698835,0.6763447151507225,0.9922507882444552,0.9631053492203766
Ac226,9.51233506397776e-10,8.860728600386076e-10,8.253819410856095e-10,7.688547174881803e-10,7.162057524914315e-10,6.515825000906438e-10,5.92802022182622e-10,5.393361215551116e-10,4.680626052120981e-10,4.0623274092205074e-10,3.5259546927371643e-10,3.060647513326055e-10,2.3068112446076325e-10,1.7394799862269215e-10,9.911449925194589e-11,1.907609370944454e-11,1.4294760999846736e-12,8.996792641840866e-13,7.365246387953468e-13,5.611517863506493e-13,5.487189170586327e-13,6.611687447410983e-13,8.799448586250609e-13,1.1527795246089227e-12,1.525567997615293e-12,2.4953952702863506e-12,3.744362485964496e-12,5.339126319430538e-12,7.312625224414512e-12,9.926472510701813e-12,1.270892839477106e-11,1.603250882458566e-11,1.9833989281592255e-11,2.483235358274688e-11,3.073829927744726e-11,3.785347818214886e-11,4.589406731696052e-11,5.405380140790011e-11,6.498135729179824e-11,7.738497491033709e-11,9.177379301354809e-11,1.0513308372040786e-10,1.220566969950672e-10,1.4072759959968827e-10,1.8097232644346208e-10,2.325297051747339e-10,2.939673042741927e-10,3.678441194027588e-10,4.555782537349887e-10,5.507312245708234e-10,6.6436019657539e-10,7.965253153092294e-10,9.355765783097783e-10,1.084370548724104e-09,1.0614544342956304e-09,6.284129909574153e-10,5.873285189097398e-11,1.4533319561022646e-11,4.398935289942926e-12,2.839064871137866e-17,1.3755161314644535e-23,6.664323121546538e-30,3.2288390914965256e-36,1.564360207956198e-42,3.65481834618124e-43,1.0888848109221404e-45,2.872794294271753e-47,7.579265479226594e-49,1.7791306419430098e-61,4.176269934273384e-74,1.4083937975017469e-83,1.114911434184034e-105,2.976406035560662e-137,3.385035748502554e-156,7.945916203413612e-169,2.1212691719091243e-200,5.66301323918388e-232,1.5118175024138178e-263,4.035999992070124e-295,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,2.978763493646885e-14,2.979058668597071e-14,2.979918695579624e-14,2.981877245087563e-14,2.9854476474480387e-14,2.993529368354666e-14,3.006344401153975e-14,3.024819216678004e-14,3.064942535433067e-14,3.122134600395103e-14,3.198523076267204e-14,3.295927396196424e-14,3.559852918540864e-14,3.9240707170926825e-14,4.9820454344541295e-14,1.1082208608094127e-13,4.423023374540695e-13,1.0636591916957352e-12,2.0032137171286e-12,4.943066235234935e-12,9.4707159698995e-12,1.5780983674587333e-11,2.4061592226723017e-11,3.448672049848979e-11,4.723837683880949e-11,8.031437221595487e-11,1.244462934182816e-10,1.8055814128999365e-10,2.49537139251763e-10,3.3199371012515294e-10,4.284930441873172e-10,5.396834783952399e-10,6.653944408707841e-10,8.111801267250273e-10,9.847642596974312e-10,1.176578635410301e-09,1.3861965066893525e-09,1.6053431763875561e-09,1.848463888098552e-09,2.099524566523703e-09,2.3733556572927357e-09,2.6617496262992287e-09,2.9529735389268904e-09,3.2654199169477368e-09,3.889843818949857e-09,4.569463559393293e-09,5.269625521543311e-09,5.993049810382673e-09,6.7063932262488225e-09,7.408172869534093e-09,8.079425024807733e-09,8.733722290906626e-09,9.355295195051873e-09,9.878608754016793e-09,9.879940529628373e-09,9.908842355197688e-09,1.0110933170763596e-08,1.0976511123053348e-08,1.184055916001731e-08,2.0397586460114513e-08,3.060809905404455e-08,4.060496026608925e-08,5.039486115374923e-08,5.998428314116088e-08,6.09324424435451e-08,6.470578430916701e-08,6.704856967118085e-08,6.937950465739704e-08,8.761148316823565e-08,1.0513720168173805e-07,1.1784430458266688e-07,1.4614080478041035e-07,1.8360539547874867e-07,2.0460529596711332e-07,2.1805152154026282e-07,2.499231755507192e-07,2.795990536366025e-07,3.074021583833374e-07,3.3360798948174103e-07,3.584515298091487e-07,4.048239612336727e-07,4.477945126029304e-07,4.882907834910804e-07,5.269875975151586e-07,5.643758848595639e-07,6.54232758085784e-07,7.412915552347575e-07,8.270943627780356e-07,9.123372701137551e-07,9.97334472118585e-07,1.0822277716325435e-06,1.2519234683554614e-06,1.4216197428489376e-06,1.5913560935275908e-06,1.761140259695288e-06,1.930973512909531e-06,2.2707868435745765e-06,2.6107936701249236e-06,2.950991057569753e-06,3.291376086328044e-06,3.631945870291257e-06,4.484159957449662e-06,5.337467051420927e-06,6.191824032133232e-06,7.047188419327895e-06,7.903518261774737e-06,8.760772070734127e-06,1.0477887794383312e-05,1.3921427746152752e-05,1.737529657497149e-05,2.083708360480338e-05,2.4304477838304108e-05,2.777526600461097e-05,3.124733023948357e-05,3.471864566150653e-05,6.9006642323499e-05,0.0001586299772942497,0.0002502901735913996,0.0003070476209803508,0.00031656262326633464,0.00031644595766844297
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,3.1338664226679796e-11,2.1699032340778455e-07,1.7157770296798972e-06,5.6797212868620665e-06,1.3146675607468014e-05,2.9877847825843695e-05,5.602664529562206e-05,9.31930123201784e-05,0.00017181051862263312,0.0002803217756999434,0.00042081176860029804,0.0005978836155754363,0.0010600984859786828,0.0016661786854971679,0.0033415026574126648,0.0122872219264752,0.05743731266913223,0.14101872217692002,0.26806366310321716,0.6739041379197789,1.3107443937464853,2.229317322550793,3.437431829070452,4.967389560306187,6.8683162534374045,11.884222231433627,18.528599309131756,27.104664631258824,37.70878086664072,50.48640341823966,65.3999248628303,82.77332135131702,102.52253679627107,125.62263753827747,153.44530090367803,184.50155174678412,218.82112119530476,254.87672690414902,296.18976929089683,339.0622552909677,387.3040132095735,438.50136601805605,491.21178540599055,549.4407690928971,671.3152558606805,808.8207965296766,962.7547738770543,1130.6951045646279,1307.5780617625942,1502.9093999224924,1704.041279969632,1924.8907788691015,2162.7393772084665,2385.541817047728,2385.2754358975862,2378.6562870642792,2332.8875402916924,2146.5221348933737,1975.045252837377,859.0015566503708,311.9376511473624,113.27697172104716,41.135375112693744,14.937891295093088,13.498847096019997,9.001734746861459,6.987867635582737,5.424542654494052,0.7153371802484007,0.09433187573596771,0.02064282946017677,0.0005957000717171387,3.761809803014685e-06,1.801433942159803e-07,2.3755600455930432e-08,1.500151729016253e-10,9.473366892231458e-13,5.9823734940063425e-15,3.77783238903158e-17,2.38567809921031e-19,9.513715237705945e-24,3.79392234943875e-28,1.512957450559309e-32,6.033439728174716e-37,2.406042152953234e-41,2.4162886901887505e-52,2.4265785648890248e-63,2.436912004651919e-74,2.4472892275567845e-85,2.457710446058692e-96,2.468175868743862e-107,2.4892401499551706e-129,2.5104837010251564e-151,2.5319081349600803e-173,2.553515057047577e-195,2.575306070417196e-217,2.614187205802254e-261,2.6536545175986495e-305,,,,,,,,,,,,,,,,,,,,,,,
Ag111,1.398638698194813e-10,2.809127731410107,6.269814108302492,9.69647502863657,13.0880562885452,17.553267641036697,21.95378808341045,26.28896633885129,32.67759345201394,38.927167547757726,45.03908961698913,51.019373092601995,62.59858383567304,73.70123703985877,94.56512775563134,148.0735267099205,236.35678157628476,294.5726194816988,337.1694290121358,400.916367127309,453.2852288719158,501.726934322777,547.602418222087,591.7615928040469,635.4739029266929,720.7483600786526,801.9404068084019,881.4871424055443,959.9385560901469,1035.9934995925214,1110.8084070266902,1186.3198433831749,1259.249390967706,1334.857979268745,1414.5114025392893,1494.9852831028925,1574.848645751151,1648.7258349540261,1727.7165430629543,1803.5320701351927,1879.4606144166582,1955.003713041166,2029.7896554202953,2107.1548499530495,2239.7937464088445,2387.6780503964346,2534.9713126203605,2681.1279811323925,2828.5722337427983,2974.112753880744,3118.3643324543855,3262.1088557853745,3405.636039692825,3534.5134740040894,3527.9955691037044,3216.0776252283763,1676.7952644896989,102.8675981915862,6.310696187061943,4.765013178729444e-12,8.503832655005094e-27,1.5176278587637823e-41,2.7084191395193708e-56,4.833552712491887e-71,1.6196512768834285e-72,2.0419342422397382e-78,4.19690751173061e-82,8.626150783874919e-86,2.7473767573490737e-115,8.750228540887232e-145,6.596981696105925e-167,6.734206457481961e-214,1.6364183600860835e-261,9.270974686019853e-306,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,1.429782504340628e-09,1.3718902734700041e-09,1.3163407957172822e-09,1.2630403666087818e-09,1.2118981646740796e-09,1.1469163960130857e-09,1.0854220191881446e-09,1.0272323264298635e-09,9.457716251997362e-10,8.708352386725689e-10,8.019509179530771e-10,7.386999309513783e-10,6.27729635116553e-10,5.358591406076154e-10,4.046711852182164e-10,5.002038587927836e-10,9.817653933761561e-09,6.163226571009394e-08,2.2369989224816332e-07,1.2533615147083403e-06,4.2043798979874364e-06,1.0534423055698535e-05,2.233692209546935e-05,3.9344073845168324e-05,6.745617557193171e-05,0.00015828179685308362,0.00030820526102490935,0.000536119008237944,0.0008559560666220949,0.0013323902861370075,0.001846366810911124,0.002497725365696136,0.0032550641066919745,0.004309542969862051,0.0054931183912560275,0.0069623857245898315,0.008538378288669476,0.009923608517448133,0.01210499129184565,0.014530133750353853,0.017266866713117623,0.01881554119572268,0.021872477281876714,0.02446665616795664,0.02999422540092002,0.0361937699859702,0.042679005933359125,0.04958820565968076,0.05689592849565903,0.06271451376557925,0.06971234876009735,0.0780709073385211,0.08294051738349072,0.08969814757988459,0.08853080869428856,0.06380782906138592,0.006446748867844798,3.489585373509091e-07,1.8907963633735902e-11,4.1189903848528035e-15,3.009851961354054e-15,3.6348962093233e-15,,4.121524509058727e-15,6.568804258637104e-15,2.4415740979927506e-16,8.480052123215328e-15,1.043100668655753e-15,,5.073212405190606e-16,1.0225905820188663e-15,,1.158926434042211e-15,,1.545974937057913e-16,1.2684397423961459e-15,8.567830254629487e-16,8.462736831016845e-16,6.671131286229377e-16,7.007739640701575e-16,,,,,,4.096655212936626e-19,1.2880746271440012e-18,3.758843019775727e-19,1.7757902780260659e-19,4.4414534833380297e-20,3.124887859383538e-20,,,,,,1.0393665158100534e-26,3.989018835181424e-28,9.789126121641594e-30,6.673700759181652e-32,4.393040519407482e-33,1.5752666742395285e-37,1.754366907285968e-41,6.663364405502414e-46,6.055382233115705e-50,4.3049057540259555e-54,2.414175898319763e-58,8.725094292492255e-67,,,,,,,,4.0139240041561805e-19,4.398918850447134e-21,3.058914075121987e-23,2.4218858143307566e-26,,8.419749405936648e-28
Am241,9.834855931630169e-14,1.8162535269324862e-13,2.1886331775286547e-12,1.2824973079685442e-11,4.481241824824458e-11,1.5483857467426735e-10,4.0135513562046853e-10,8.685430284153038e-10,2.223385296817242e-09,4.766997145632138e-09,9.064612780481695e-09,1.5813937881784504e-08,3.998652799244848e-08,8.507111462967211e-08,2.7889531940301314e-07,2.7901068916672886e-06,4.81367580781245e-05,0.0002520150161237186,0.0008039377104215218,0.004044209880884344,0.012484323149585464,0.02955582398578708,0.059154184511215124,0.10542356253052997,0.17274676192198482,0.3878064708785623,0.7378158871070422,1.2514063932764075,1.9522921446263481,2.8605540923909656,3.991485212865479,5.355951704946263,6.95946502486789,8.86991551598585,11.187024168939388,13.782470996124612,16.647965111525135,19.668336869345083,23.016504460548283,26.454361049840745,30.201713767957923,34.114110633502904,38.04217605662601,42.20709765766579,50.39910881519666,59.0653139504127,67.77181520041438,76.45077929417951,84.62421204196008,92.45047954858141,99.66973802545122,106.41225660299037,112.54633982941553,117.41368070877448,117.43497592514196,117.96883262605846,121.70647612966724,137.68537341896482,153.59859594441622,309.174345574791,490.0020257316169,661.9609431163547,825.4712436891189,980.933188720205,996.051563649578,1055.765905262498,1092.4779881657628,1128.728097516227,1402.7527164311975,1650.2498632006284,1819.9495445173013,2168.491952302123,2568.230912873752,2762.0700415902234,2875.0274579668003,3108.940474985744,3285.7111769769526,3417.692390805563,3514.577836352132,3583.9744443900067,3662.893091930292,3688.380561268745,3681.328666997943,3654.5981578372407,3616.1038069124334,3495.9199029658644,3365.230907952423,3235.1389954560145,3108.8027317619258,2987.0219326421848,2869.8998148246246,2649.18118004285,2445.4258413861694,2257.3446144547397,2083.733094278847,1923.478234075857,1639.0073351345288,1396.623962991562,1190.1012626565662,1014.1335971375257,864.2002787835793,579.3708617716431,388.4946720565706,260.5790733295873,174.8550212016434,117.40463041243584,78.90117612226756,35.79656453907017,7.7123366744814446,2.0102901390288803,0.8248179306331075,0.5529359915615217,0.46785523108282323,0.4228118125609533,0.38802439715497117,0.17156524364909168,0.014883959338633946,0.0002530348465375654,7.312911923353682e-08,1.7652757307426265e-18,3.5590963306668325e-36
