Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
Ac225,7.790617909315483e-05,7.769627362361871e-05,7.748429758530178e-05,7.727040281117906e-05,7.70546720140006e-05,7.6764375330707e-05,7.647121390775088e-05,7.617538612450884e-05,7.57271051830643e-05,7.527388163125373e-05,7.481616095912343e-05,7.435448207620647e-05,7.342086159597128e-05,7.247608352187598e-05,7.056271273996307e-05,6.475587538544683e-05,5.175732716981589e-05,4.0440898374025554e-05,3.115650072670931e-05,1.8316493231151585e-05,1.1480847169451107e-05,8.78282671710277e-06,9.023432688264566e-06,1.1256257374620006e-05,1.510924800335868e-05,2.743502249494749e-05,4.5780594266169706e-05,7.102220989133111e-05,0.0001042124009245889,0.00014732921316942593,0.00020211846051248266,0.000269258863675509,0.0003515238457121247,0.00045546582244705626,0.0005904606735863747,0.0007523515495225473,0.0009466429109023679,0.0011672746346097572,0.001432975707549128,0.0017334770957047594,0.002088828524802229,0.0024977951167754983,0.002942144027504752,0.003462742391472864,0.004625578981126842,0.006110537834195349,0.007911582869929084,0.01008792624145817,0.012623080686083837,0.01553133303242221,0.018812534953625597,0.02256016541311425,0.026745444999157823,0.030888339812219296,0.030892846163483905,0.03096115249799472,0.02965825119133302,0.016653009592005778,0.010190949578365745,0.007554449237651076,0.007696643945616596,0.007845960368782764,0.008002398843933944,0.008165963443873252,0.008182712028449161,0.008250419596430957,0.00829331644682157,0.008336659275418273,0.008699470076495634,0.009090891525713825,0.009403277548863798,0.010195135012492368,0.01148017557568373,0.012338745684520265,0.01294787947575956,0.014600408636449645,0.016440150932895373,0.018469665539850705,0.02069164009298825,0.02310885711900672,0.028540471076329295,0.034787799269937844,0.04187446449241828,0.04982413165575386,0.05866033250202269,0.08478153081558457,0.11694341885198006,0.15548720922292472,0.20073973914787765,0.2530137265348791,0.3126082346850169,0.4548898623989878,0.6297233605300817,0.8390608128747788,1.0846821044165755,1.3682082717350206,2.054738132844453,2.9088868910953933,3.9390457392078275,5.15203669177353,6.553347830921938,10.90677020551532,16.50632524760471,23.3710389955713,31.50308391654233,40.89358535446769,51.526506721940976,76.43437840462181,140.11818556182953,220.8987942728944,317.1613014416617,427.41448408694015,550.2971387973606,684.5699183220548,829.1050918169788,2653.063843332578,9171.386697865244,18742.47315910635,32167.79165308896,47192.67543437215,45806.48228587472
Ac226,0.0006366184195559127,0.0005930092873886644,0.0005523915456403025,0.0005145603806251472,0.0004793247621759913,0.00043607528396348946,0.00039673611572050503,0.0003609537584668006,0.0003132535533906479,0.0002718735660153646,0.00023597651773395683,0.0002048355708295015,0.0001543846509693713,0.0001164156847117883,6.633294080209137e-05,1.2766783914704483e-05,9.566849879073186e-07,6.0211545053859e-07,4.929232920836685e-07,3.755540158697281e-07,3.6723324757677545e-07,4.4249093256901363e-07,5.889080876846065e-07,7.715042354133212e-07,1.0209950354301322e-06,1.6700574385283344e-06,2.5059358317665945e-06,3.5732405728188214e-06,4.894015908670847e-06,6.643348030767994e-06,8.505522413279164e-06,1.0729847467290402e-05,1.3274009825150217e-05,1.6619193484434733e-05,2.0571781139154035e-05,2.533365497844092e-05,3.071486486315846e-05,3.617581318555516e-05,4.348914194198258e-05,5.179033338654474e-05,6.142013151553661e-05,7.036091259503807e-05,8.16871367698873e-05,9.418274423944357e-05,0.0001211167559478463,0.0001556218240973513,0.000196739285768904,0.00024618176332320607,0.0003048983303533148,0.0003685799957931232,0.0004446268298110373,0.0005330790851645953,0.0006261399316268787,0.0007257211402864971,0.0007103844007249737,0.0004205689585585535,3.9307294260940235e-05,9.726506549245013e-06,2.9440123935679975e-06,1.900060268193182e-11,9.205719729140639e-18,4.460136049155051e-24,2.1609188759687208e-30,1.0469569422303122e-36,2.446007908322031e-37,7.287423358674413e-40,1.9226338759389212e-41,5.072466411588129e-43,1.1906932733545089e-55,2.794992341327615e-68,9.425755373917392e-78,7.461608011085458e-100,1.9919766214826203e-131,2.2654543746178957e-150,5.31784948839426e-163,1.4196714251450632e-194,3.790003730951292e-226,1.0117924385236964e-257,2.7011158868965657e-289,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,9.796779513603563e-08,9.797750306991852e-08,9.800578827866973e-08,9.807020251543834e-08,9.818762857083024e-08,9.845342623479909e-08,9.887489659007302e-08,9.948251010027425e-08,1.0080211572870277e-07,1.0268309101108342e-07,1.051954121708375e-07,1.0839891808211341e-07,1.1707909747848291e-07,1.290577640458436e-07,1.6385322551521872e-07,3.64479941052104e-07,1.4546769112857491e-06,3.498241670037127e-06,6.58831865879633e-06,1.625712485432915e-05,3.1147996942676495e-05,5.1901675946226275e-05,7.913555886333376e-05,0.00011342249815789776,0.00015536109646078342,0.00026414389663742506,0.0004092882501428443,0.0005938330798590884,0.0008206963523350846,0.0010918856716675273,0.001409259877787923,0.001774951269628914,0.002188398857677606,0.0026678696930089864,0.0032387661342396018,0.0038696195572812046,0.004559026444203138,0.00527977235395824,0.006079365880904206,0.006905072962487804,0.007805669074248731,0.008754160665956332,0.009711959587282968,0.010739556535420242,0.012793208429565535,0.015028392513302695,0.017331137387686105,0.019710389136829785,0.022056486159176974,0.024364551383913535,0.02657221552954731,0.028724117171284137,0.03076839249106993,0.03248950514892039,0.03249388519186642,0.03258893967109819,0.033253591015874676,0.03610036833421669,0.03894211395294469,0.06708510346175743,0.1006661987104905,0.1335446213618282,0.16574237746465167,0.19728078361000068,0.20039916063088253,0.2128092087484285,0.22051433595584163,0.2281804887636119,0.28814317930564187,0.3457830693004185,0.3875751369293463,0.48063877693808704,0.6038551166783286,0.6729211554326334,0.717144104824647,0.8219659773030246,0.9195662181747968,1.0110071424302207,1.0971948339973276,1.1789021220865052,1.3314152326925324,1.4727399864839785,1.6059271421143337,1.7331961098190107,1.8561614973986578,2.1516894829727486,2.438014947282719,2.7202096193144096,3.0005628497899743,3.2801079862502953,3.5593114004503046,4.117419262570775,4.675529024906144,5.233770592787929,5.792169419815832,6.350729687982989,7.468333110815644,8.58657291734547,9.705439454755789,10.82492312091082,11.94501442376157,14.747839665874446,17.55425967030239,20.364132620537596,23.17731880433743,25.993680249367646,28.813080504367395,34.46045874698764,45.78582973589684,57.1451711059024,68.53055444588499,79.93437917544034,91.3493661243047,102.76854990262844,114.18527092941102,226.95419131437922,521.7140988582054,823.1729878274041,1009.8411133803168,1041.1347624619004,1040.751063943436
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,3.1192422138889736e-06,0.02159777366014082,0.1707770344609096,0.5653216829204002,1.308532655715661,2.9738422647631877,5.576519657781329,9.275812650020319,17.100876367973175,27.90136522446853,41.88480476464756,59.5093587654502,105.5151529250367,165.84034514337148,332.59095127450615,1222.9883522557595,5716.928106251917,14036.065735962376,26681.274221299333,67075.93597190588,130462.7796200588,221891.4198242807,342139.1030276887,494420.92034501577,683626.5209358443,1182876.4428308557,1844213.547560033,2697818.0531111695,3753281.2586625116,5025080.827648474,6509473.5672759125,8238705.908946133,10204411.468746096,12503641.865369428,15272924.737301657,18364057.401229013,21779999.095871605,25368734.29405585,29480759.77366198,33748001.899187416,38549665.642207466,43645509.64386819,48891954.229935244,54687680.00415068,66818255.86955345,80504642.88324146,95826207.22372134,112541870.8239964,130147623.99262364,149589606.3080367,169608935.9853935,191590826.3078591,215264693.9331058,237440967.00834498,237414453.20027405,236755627.14720675,232200110.48647085,213650537.48865086,196582869.08561265,85499302.00978614,31048199.19962847,11274836.396919161,4094341.6607538746,1486818.3524705232,1343585.463508415,895972.8091006848,695525.8704173396,539922.8989643459,71199.90544764567,9389.167540218847,2054.6499557398706,59.2920233318333,0.3744255292219882,0.01793027538529713,0.0023644744786325213,1.493151260863994e-05,9.429159361792374e-08,5.95445670778421e-10,3.76020310873116e-12,2.374545316284402e-14,9.469319421440818e-19,3.776217985229667e-23,1.505897224421178e-27,6.005284641026726e-32,2.3948143410333104e-36,2.4050130627337716e-47,2.4152549196644187e-58,2.425540138361027e-69,2.43586893588528e-80,2.446241523700825e-91,2.456658109420513e-102,2.4776240940216067e-124,2.4987685119173746e-146,2.520092968586971e-168,2.541599061826949e-190,2.56328838728584e-212,2.6019880835906217e-256,2.641271220909435e-300,,,,,,,,,,,,,,,,,,,,,,,
Ag111,0.00010457205247403333,2100301.192255181,4687753.390365003,7249765.76735976,9785550.126385935,13124055.749482542,16414193.904582182,19655477.651395135,24432063.989074342,29104684.524484765,33674386.73682728,38145666.69088927,46803097.91308514,55104221.24799368,70703531.33113545,110710168.57398725,176716930.52315512,220243179.75479782,252091546.3643625,299753234.5919417,338907873.7809658,375126295.0993323,409426028.9461223,442442529.4015639,475124922.6015113,538882096.0552332,599586972.7475189,659061699.277957,717717486.2161907,774581503.7291119,830518383.1829947,886976036.5801986,941503288.5914601,998033579.6059201,1057588073.3342463,1117755998.5600224,1177467457.7123075,1232703233.155445,1291762234.4828727,1348447247.4571118,1405216760.0347798,1461698086.3673706,1517613309.5117328,1575456962.7209918,1674627117.6593282,1785195810.0359647,1895322598.078022,2004599588.831936,2114839267.8917985,2223655582.845809,2331508194.5569987,2438981696.1555467,2546292699.5361323,2642650521.187362,2637777277.696076,2404565515.1685376,1253689910.1443563,76911041.35651481,4718319.70381535,3.5626585250978865e-06,6.3580625631003926e-21,1.1346851784348095e-35,2.025004375647886e-50,3.613903494441309e-65,1.2109650514782043e-66,1.526693455598048e-72,3.1379028273120734e-76,6.4495161873080614e-80,2.0541318269418408e-109,6.542285433103264e-139,4.932366857758267e-161,5.034965727401103e-208,1.2235013005235618e-255,6.931631826044945e-300,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,0.0003680606886290779,0.0003531578245250428,0.00033885804188496825,0.00032513721890500933,0.00031197197593627225,0.0002952440928847652,0.0002794139490605884,0.000264434511053264,0.00024346455114681293,0.00022417410805855906,0.00020644161347089122,0.00019015927558968304,0.00016159283042872885,0.00013794313729638253,0.00010417217629086188,0.00012876460312199567,0.0025273021991891616,0.015865639766999978,0.05758577695359335,0.3226456477151253,1.082309341325416,2.7118159527197,5.750065414392483,10.12811869565025,17.36485539437977,40.74557281987464,79.33950811927657,138.01003352618022,220.34384835507112,342.9895699167468,475.29959124742686,642.9750785965836,837.9324358800654,1109.3808662146996,1414.0618812083862,1792.2869223215032,2197.9856258994764,2554.5774784128866,3116.118302748699,3740.4087809104694,4444.910210890729,4843.576577837755,5630.506056656503,6298.310610383311,7721.240973674927,9317.154087895427,10986.611086754712,12765.206643369482,14646.391712535653,16144.236660835313,17945.649084875844,20097.344756757004,21350.90046964716,23090.4783537201,22789.977016774366,16425.682530708284,1659.5494912787071,0.08983038970644212,4.867368354612652e-06,1.060328009961644e-09,7.748088833122499e-10,9.357104299690255e-10,,1.0609803549843814e-09,1.6909695086936108e-09,6.28520380629892e-11,2.182971056510793e-09,2.685194071471327e-10,,1.3059678977378126e-10,2.6323961348026594e-10,,2.983357679150873e-10,,3.9797143845961535e-11,3.2652714916673194e-10,2.2055672761433506e-10,2.1785136804056588e-10,1.7173109670109704e-10,1.8039621201543457e-10,,,,,,1.0545783950858428e-13,3.315816446438472e-13,9.676173446710883e-14,4.5713148021245037e-14,1.1433378311936312e-14,8.044219130683542e-15,,,,,,2.6755814565200183e-21,1.0268701812855984e-22,2.5199584485543066e-24,1.7179724116582208e-26,1.1308751602707767e-27,4.05511841930407e-32,4.516165850704143e-36,1.715311583566155e-40,1.5588022289171043e-44,1.1081871344066983e-48,6.214674196318223e-53,2.246050853118615e-61,,,,,,,,1.0332813757263218e-13,1.1323883852290311e-15,7.874386611450338e-18,6.234521389773616e-21,,2.1674476747513895e-22
Am241,4.930554120078361e-09,9.105508380171535e-09,1.0972376622313594e-07,6.429603473353145e-07,2.2466018308814575e-06,7.762594364518834e-06,2.0121323904539382e-05,4.3543072079436014e-05,0.00011146601040170823,0.00023898608764777758,0.0004544404534486236,0.0007928075115663819,0.002004663227518333,0.004264909802979322,0.013981988914861175,0.13987772800947312,2.4132625075471936,12.634386153783275,40.30418358907442,202.75025713925987,625.8823857664311,1481.7358865091026,2965.6042771671077,5285.248550682987,8660.393854731932,19442.082386115904,36989.26743131162,62737.339429828,97875.17116876089,143409.49032699736,200106.98680629942,268512.4208157701,348902.1007572191,444679.6048271343,560844.2918841782,690963.0362377749,834620.1870386255,986041.8908054546,1153897.1357249748,1326248.8009492655,1514116.5797163805,1710258.5935790793,1907186.1265348843,2115988.0805499475,2526681.9905094057,2961148.8879599427,3397635.96929686,3832742.5175575307,4242505.0274499655,4634862.940650338,4996789.387509242,5334815.211001707,5642338.061719674,5886354.728495304,5887422.3314935425,5914186.418070244,6101567.440265327,6902644.938621687,7700429.933460782,15499981.433318676,24565499.724786595,33186396.20247396,41383734.23943963,49177580.32032843,49935516.85051362,52929203.74449689,54769707.69161823,56587051.30349966,70324855.12275869,82732744.82846366,91240377.97234051,108714016.8001198,128754316.24836597,138472143.54923812,144135090.30291384,155861960.50640595,164724088.42237055,171340764.07211477,176197967.2282782,179677059.69347802,183633524.9989771,184911300.16752753,184557764.26834437,183217671.20556527,181287815.98580924,175262580.36578286,168710688.12361947,162188729.69731316,155855054.9612263,149749761.45189127,143878023.78158703,132812633.68673727,122597672.41546282,113168508.68593942,104464761.50299083,96430629.97397445,82169117.93385786,70017599.47272363,59663900.769812,50842031.85523945,43325354.98995326,29045869.19645938,19476584.296232946,13063732.021526799,8766088.19890715,5885901.0057747,3955589.402764052,1794605.8386592783,386646.16574096517,100782.81162883101,41350.98139178827,27720.59753885365,23455.204156033516,21197.021480869425,19453.007785608188,8601.160248984586,746.1844642193589,12.685513786803318,0.0036662161870107965,8.849939020758698e-14,1.7842983363373402e-31
