Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
Ac225,1.869748298235716e-12,1.864710566966849e-12,1.8596231420472428e-12,1.8544896674682975e-12,1.8493121283360145e-12,1.842345007936968e-12,1.835309133786021e-12,1.828209266988212e-12,1.8174505243935431e-12,1.8065731591500894e-12,1.7955878630189623e-12,1.7845075698289552e-12,1.7621006783033108e-12,1.7394260045250236e-12,1.6935051057591137e-12,1.554141009250724e-12,1.2421758520755814e-12,9.705815609766132e-13,7.477560174410234e-13,4.3959583754763805e-13,2.7554033206682656e-13,2.1078784121046648e-13,2.1656238451834958e-13,2.7015017699088016e-13,3.626219520806083e-13,6.584405398787398e-13,1.0987342623880729e-12,1.7045330373919466e-12,2.5010976221901335e-12,3.535901116066222e-12,4.850843052299584e-12,6.462212728212217e-12,8.436572297090992e-12,1.093117973872935e-11,1.4171056166072994e-11,1.8056437188541137e-11,2.271942986165683e-11,2.801459123063417e-11,3.439141698117907e-11,4.1603450296914224e-11,5.0131884595253497e-11,5.994708280261196e-11,7.061145666011404e-11,8.310581739534873e-11,1.1101389554704421e-10,1.4665290802068839e-10,1.8987798887829802e-10,2.421102297949961e-10,3.0295393646601207e-10,3.7275199277813303e-10,4.5150083888701433e-10,5.41443969914742e-10,6.418906799797877e-10,7.413201554932632e-10,7.414283079236137e-10,7.430676599518733e-10,7.117980285919925e-10,3.996722302081387e-10,2.445827898807779e-10,1.8130678170362582e-10,1.847194546947983e-10,1.8830304885078632e-10,1.9205757225441468e-10,1.9598312265295806e-10,1.9638508868277986e-10,1.9801007031434295e-10,1.9903959472371767e-10,2.0007982261003855e-10,2.087872818358952e-10,2.181813966171318e-10,2.2567866117273114e-10,2.446832402998168e-10,2.7552421381640955e-10,2.9612989642848636e-10,3.107491074182294e-10,3.504098072747915e-10,3.9456362238948897e-10,4.432719729564169e-10,4.96599362231718e-10,5.546125708561613e-10,6.849713058319031e-10,8.349071824785083e-10,1.0049871478180388e-09,1.1957791597380927e-09,1.4078479800485445e-09,2.0347567395740298e-09,2.8066420524475215e-09,3.731693021350193e-09,4.817753739549064e-09,6.072329436837098e-09,7.502597632440406e-09,1.0917356697575708e-08,1.511336065272196e-08,2.0137459508994692e-08,2.6032370505997812e-08,3.2836998521640493e-08,4.9313715188266876e-08,6.981328538628943e-08,9.453709774098787e-08,1.2364888060256472e-07,1.572803479421265e-07,2.617624849323677e-07,3.9615180594251304e-07,5.609049358937112e-07,7.560740139970159e-07,9.814460485072245e-07,1.2366361613265834e-06,1.8344250817109234e-06,3.362836453483909e-06,5.301571062549466e-06,7.611871234599881e-06,1.0257947618086563e-05,1.3207131331136654e-05,1.6429678039729317e-05,1.989852220360749e-05,6.367353223998188e-05,0.00022011328074876587,0.0004498193558185524,0.000772026999674135,0.0011326242104249314,0.0010993555748609932
Ac226,6.366184195559127e-12,5.930092873886644e-12,5.523915456403026e-12,5.145603806251472e-12,4.7932476217599136e-12,4.3607528396348946e-12,3.9673611572050505e-12,3.609537584668006e-12,3.132535533906479e-12,2.7187356601536458e-12,2.3597651773395683e-12,2.048355708295015e-12,1.543846509693713e-12,1.164156847117883e-12,6.633294080209137e-13,1.2766783914704483e-13,9.566849879073186e-15,6.0211545053859e-15,4.929232920836685e-15,3.755540158697281e-15,3.672332475767755e-15,4.424909325690136e-15,5.889080876846065e-15,7.715042354133212e-15,1.0209950354301322e-14,1.6700574385283344e-14,2.5059358317665945e-14,3.573240572818822e-14,4.8940159086708474e-14,6.643348030767994e-14,8.505522413279164e-14,1.0729847467290402e-13,1.3274009825150218e-13,1.6619193484434733e-13,2.0571781139154035e-13,2.5333654978440917e-13,3.0714864863158456e-13,3.617581318555516e-13,4.348914194198258e-13,5.179033338654474e-13,6.142013151553661e-13,7.036091259503807e-13,8.168713676988731e-13,9.418274423944357e-13,1.2111675594784629e-12,1.5562182409735131e-12,1.9673928576890402e-12,2.4618176332320606e-12,3.048983303533148e-12,3.685799957931232e-12,4.446268298110373e-12,5.330790851645953e-12,6.261399316268787e-12,7.257211402864971e-12,7.103844007249737e-12,4.205689585585535e-12,3.9307294260940234e-13,9.726506549245014e-14,2.9440123935679975e-14,1.900060268193182e-19,9.205719729140639e-26,4.4601360491550513e-32,2.1609188759687207e-38,1.0469569422303122e-44,2.4460079083220313e-45,7.287423358674414e-48,1.9226338759389214e-49,5.072466411588129e-51,1.1906932733545089e-63,2.7949923413276147e-76,9.425755373917392e-86,7.461608011085459e-108,1.9919766214826203e-139,2.2654543746178957e-158,5.31784948839426e-171,1.4196714251450632e-202,3.790003730951292e-234,1.0117924385236964e-265,2.701115886896566e-297,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,1.077645746496392e-13,1.0777525337691038e-13,1.0780636710653671e-13,1.0787722276698218e-13,1.0800639142791327e-13,1.0829876885827901e-13,1.0876238624908033e-13,1.0943076111030168e-13,1.1088232730157306e-13,1.1295140011219176e-13,1.1571495338792126e-13,1.1923880989032476e-13,1.287870072263312e-13,1.4196354045042797e-13,1.802385480667406e-13,4.009279351573144e-13,1.600144602414324e-12,3.84806583704084e-12,7.247150524675964e-12,1.7882837339762065e-11,3.4262796636944147e-11,5.709184354084891e-11,8.704911474966715e-11,1.2476474797368753e-10,1.7089720610686176e-10,2.9055828630116755e-10,4.5021707515712877e-10,6.532163878449973e-10,9.027659875685931e-10,1.2010742388342801e-09,1.5501858655667154e-09,1.9524463965918053e-09,2.4072387434453667e-09,2.934656662309885e-09,3.5626427476635622e-09,4.256581513009325e-09,5.014929088623452e-09,5.807749589354064e-09,6.687302468994627e-09,7.595580258736584e-09,8.586235981673604e-09,9.629576732551966e-09,1.0683155546011265e-08,1.1813512188962266e-08,1.407252927252209e-08,1.6531231764632965e-08,1.906425112645472e-08,2.1681428050512765e-08,2.4262134775094673e-08,2.680100652230489e-08,2.922943708250204e-08,3.1596528888412555e-08,3.384523174017692e-08,3.573845566381243e-08,3.574327371105306e-08,3.5847833638208006e-08,3.6578950117462145e-08,3.971040516763836e-08,4.283632534823916e-08,7.379361380793318e-08,1.1073281858153955e-07,1.4689908349801104e-07,1.8231661521111686e-07,2.1700886197100075e-07,2.204390766939708e-07,2.3409012962327137e-07,2.425657695514258e-07,2.509985376399731e-07,3.1695749723620607e-07,3.8036137623046037e-07,4.2633265062228097e-07,5.287026546318958e-07,6.642406283461614e-07,7.402132709758968e-07,7.888585153071118e-07,9.041625750333271e-07,1.0115228399922766e-06,1.1121078566732428e-06,1.2069143173970604e-06,1.2967923342951558e-06,1.4645567559617857e-06,1.6200139851323764e-06,1.7665198563257671e-06,1.906515720800912e-06,2.0417776471385238e-06,2.3668584312700238e-06,2.6818164420109907e-06,2.9922305812458507e-06,3.300619134768972e-06,3.608118784875325e-06,3.9152425404953355e-06,4.529161188827853e-06,5.143081927396759e-06,5.757147652066722e-06,6.371386361797416e-06,6.985802656781288e-06,8.215166421897208e-06,9.445230209080016e-06,1.0675983400231368e-05,1.1907415433001903e-05,1.3139515866137727e-05,1.6222623632461893e-05,1.930968563733263e-05,2.2400545882591356e-05,2.549505068477117e-05,2.8593048274304414e-05,3.1694388554804134e-05,3.790650462168641e-05,5.036441270948653e-05,6.285968821649264e-05,7.538360989047348e-05,8.792781709298438e-05,0.00010048430273673517,0.00011304540489289128,0.00012560379802235212,0.00024964961044581717,0.000573885508744026,0.0009054902866101446,0.0011108252247183485,0.0011452482387080906,0.0011448261703377797
Ag111,1.3594366821624333e-13,0.002730391549931735,0.006094079407474503,0.009424695497567689,0.012721215164301716,0.017061272474327305,0.02133845207595684,0.025552120946813677,0.03176168318579665,0.037836089881830196,0.043776702757875464,0.04958936669815605,0.06084402728701069,0.07163548762239179,0.09191459073047609,0.14392321914618342,0.22973200968010168,0.28631613368123715,0.3277190102736713,0.38967920496952424,0.4405802359152556,0.487664183629132,0.532253837629959,0.5751752882220331,0.6176623993819648,0.7005467248718033,0.7794630645717746,0.8567802090613441,0.933032732081048,1.0069559548478455,1.0796738981378933,1.1530688475542583,1.223954275168898,1.297443653487696,1.3748644953345202,1.4530827981280292,1.5307076950259997,1.6025142031020787,1.6792909048277347,1.7529814216942454,1.8267817880452137,1.900207512277582,1.9728973023652527,2.0480940515372894,2.1770152529571267,2.320754553046754,2.4639193775014285,2.605979465481517,2.7492910482593382,2.890752257699552,3.0309606529240987,3.1706762050022106,3.310180509396972,3.435445677543571,3.429110461004899,3.125935169719099,1.6297968831876632,0.09998435376346926,0.006133815614959955,4.631456082627253e-15,8.26548133203051e-30,1.4750907319652524e-44,2.632505688342252e-59,4.698074542773702e-74,1.5742545669216655e-75,1.9847014922774624e-81,4.0792736755056956e-85,8.38437104350048e-89,2.670371375024393e-118,8.504971063034243e-148,6.4120769150857475e-170,6.545455445621434e-217,1.5905516906806304e-264,9.01112137385843e-309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am240,2.1347519940486515e-13,2.0483153822452482e-13,1.9653766429328158e-13,1.885795869649054e-13,1.8094374604303788e-13,1.712415738731638e-13,1.6206009045514128e-13,1.5337201641089313e-13,1.412094396651515e-13,1.3002098267396426e-13,1.197361358131169e-13,1.1029237984201616e-13,9.372384164866273e-14,8.000701963190186e-14,6.041986224869988e-14,7.468346981075748e-14,1.4658352755297137e-12,9.202071064859987e-12,3.339975063308414e-11,1.8713447567477267e-10,6.277394179687412e-10,1.572853252577426e-09,3.33503794034764e-09,5.874308843477144e-09,1.0071616128740265e-08,2.363243223552729e-08,4.6016914709180406e-08,8.004581944518452e-08,1.2779943204594124e-07,1.9893395055171314e-07,2.7567376292350755e-07,3.7292554558601845e-07,4.860008128104379e-07,6.434409024045258e-07,8.201558911008639e-07,1.0395264149464717e-06,1.2748316630216962e-06,1.481654937479474e-06,1.8073486155942454e-06,2.169437092928072e-06,2.5780479223166227e-06,2.809274415145898e-06,3.265693512860771e-06,3.65302015402232e-06,4.478319764731457e-06,5.403949370979347e-06,6.3722344303177326e-06,7.403819853154299e-06,8.494907193270679e-06,9.363657263284481e-06,1.0408476469227989e-05,1.1656459958919061e-05,1.2383522272395351e-05,1.3392477445157657e-05,1.321818666972913e-05,9.526895867810804e-06,9.6253870494165e-07,5.210162602973643e-11,2.823073645675338e-15,6.149902457777535e-19,4.493891523211049e-19,5.427120493820348e-19,,6.153686058909412e-19,9.807623150422942e-19,3.645418207653374e-20,1.2661232127762598e-18,1.5574125614533693e-19,,7.574613806879313e-20,1.5267897581855425e-19,,1.730347453907506e-19,,2.308234343065769e-20,1.893857465167045e-19,1.2792290201631434e-19,1.263537934635282e-19,9.960403608663627e-20,1.0462980296895205e-19,,,,,,6.116554691497888e-23,1.9231735389343136e-22,5.612180599092311e-23,2.651362585232212e-23,6.631359420923061e-24,4.665647095796454e-24,,,,,,1.5518372447816105e-30,5.955847051456471e-32,1.4615759001614977e-33,9.96423998761768e-36,6.559075929570504e-37,2.3519686831963606e-41,2.6193761934084025e-45,9.9488071846837e-50,9.041052927719205e-54,6.42748537955885e-58,3.604511033864569e-62,1.3027094948087966e-70,,,,,,,,5.993031979212666e-23,6.56785263432838e-25,4.5671442346411954e-27,3.616022406068697e-30,,1.257119651355806e-31
Am241,9.861108240156722e-16,1.821101676034307e-15,2.1944753244627185e-14,1.285920694670629e-13,4.493203661762915e-13,1.5525188729037667e-12,4.024264780907877e-12,8.708614415887202e-12,2.2293202080341644e-11,4.779721752955551e-11,9.088809068972472e-11,1.5856150231327638e-10,4.009326455036666e-10,8.529819605958643e-10,2.796397782972235e-09,2.7975545601894623e-08,4.826525015094387e-07,2.526877230756655e-06,8.060836717814884e-06,4.055005142785197e-05,0.0001251764771532862,0.0002963471773018205,0.0005931208554334215,0.0010570497101365973,0.0017320787709463863,0.0038884164772231807,0.007397853486262324,0.012547467885965601,0.01957503423375218,0.02868189806539947,0.04002139736125988,0.05370248416315402,0.06978042015144381,0.08893592096542685,0.11216885837683563,0.13819260724755497,0.1669240374077251,0.1972083781610909,0.23077942714499494,0.2652497601898531,0.30282331594327605,0.34205171871581586,0.3814372253069768,0.42319761610998946,0.5053363981018811,0.5922297775919885,0.679527193859372,0.766548503511506,0.8485010054899931,0.9269725881300677,0.9993578775018483,1.0669630422003413,1.1284676123439348,1.1772709456990607,1.1774844662987085,1.1828372836140486,1.2203134880530653,1.3805289877243372,1.5400859866921564,3.099996286663735,4.9130999449573185,6.637279240494792,8.276746847887926,9.835516064065686,9.987103370102725,10.585840748899377,10.953941538323646,11.317410260699932,14.064971024551737,16.546548965692732,18.2480755944681,21.74280336002396,25.75086324967319,27.69442870984762,28.827018060582766,31.17239210128119,32.94481768447411,34.268152814422955,35.239593445655636,35.9354119386956,36.726704999795416,36.982260033505504,36.91155285366887,36.64353424111305,36.25756319716184,35.05251607315657,33.742137624723895,32.43774593946263,31.17101099224526,29.949952290378253,28.775604756317406,26.562526737347454,24.519534483092563,22.63370173718788,20.892952300598164,19.28612599479489,16.43382358677157,14.003519894544725,11.9327801539624,10.16840637104789,8.66507099799065,5.8091738392918755,3.895316859246589,2.6127464043053594,1.7532176397814299,1.17718020115494,0.7911178805528104,0.3589211677318557,0.07732923314819302,0.0201565623257662,0.008270196278357653,0.00554411950777073,0.004691040831206703,0.0042394042961738845,0.0038906015571216375,0.0017202320497969172,0.00014923689284387177,2.5371027573606636e-06,7.332432374021593e-10,1.7699878041517394e-20,3.56859667267468e-38
Am242,3.5014013075575205e-13,3.074610015808668e-13,2.7075835906803563e-13,2.443346755802753e-13,2.420647364538006e-13,3.289688938616324e-13,6.382528640771175e-13,1.3776526017562522e-12,3.989808334769989e-12,9.782003440038008e-12,2.0963944855328512e-11,4.0333814983537455e-11,1.1963294554304153e-10,2.879965601966336e-10,1.1225588058638113e-09,1.4755641690025542e-08,3.17381583971995e-07,1.8020193386667432e-06,6.025857429390389e-06,3.163178539347974e-05,0.00010005096144221815,0.0002394561458289845,0.00048296705110033344,0.0008662775726367846,0.0014256817874071849,0.003229715437262027,0.006166479838214287,0.010543607699084032,0.016551166883103777,0.024346318698748412,0.0342392356719767,0.04624622619483262,0.06037696896280935,0.07737916926822389,0.0983501072555781,0.1224578166003668,0.14925557765754915,0.17725610381728513,0.20962080891003015,0.24370205814610602,0.28002887489331313,0.31980764402843614,0.3592834238095412,0.4037524688180004,0.48798324699675316,0.5842814893392186,0.684465255306467,0.7884584493477886,0.8948451341444222,0.9961178107115652,1.0977199676414724,1.200052149169712,1.2956550481013538,1.3825438657672449,1.326295666114754,0.4695706623406992,0.0003998585878648383,7.266643919008507e-05,7.263710396924275e-05,7.234441983470962e-05,7.198990264553319e-05,7.163712040717099e-05,7.12860667873565e-05,7.093673365950641e-05,7.090189464965784e-05,7.07627096476195e-05,7.067585781770802e-05,7.05891125960886e-05,6.989897298035378e-05,6.921558105302577e-05,6.870742547216282e-05,6.75361901590022e-05,6.589754654311182e-05,6.493350662470245e-05,6.429866120471491e-05,6.273856938493159e-05,6.121632981530371e-05,5.9731024097906384e-05,5.8281756131763376e-05,5.686765156447388e-05,5.4141540783559496e-05,5.154611206129008e-05,4.907510108795929e-05,4.672254381173707e-05,4.448276204561945e-05,3.9341858063972924e-05,3.4795087668555536e-05,3.077378799160676e-05,2.7217231086705026e-05,2.407170705413296e-05,2.128971305831588e-05,1.6653118310317233e-05,1.3026304931870588e-05,1.0189358494340028e-05,7.970258099518534e-06,6.234446146387929e-06,3.8145976517402546e-06,2.3339925147704647e-06,1.428071885283328e-06,8.737769559440278e-07,5.346271708397805e-07,1.5655857426523167e-07,4.584610093941195e-08,1.342541631477372e-08,3.931452058305422e-09,1.1512724526277334e-09,3.371344830197032e-10,2.8910337932701475e-11,2.1259490458819032e-13,1.5633359043263195e-15,1.14961278851214e-17,8.453775820122599e-20,6.216554390550738e-22,4.571393747441137e-24,3.3616106667017363e-26,1.554285626410586e-47,,,,3.4315660976908704e-235,
Am243,5.788196640853536e-17,7.772391800073945e-17,9.079271398036748e-17,9.971348455866735e-17,1.072600767772839e-16,1.2300960218497855e-16,1.6429918244357066e-16,2.699648325397179e-16,7.00700324221777e-16,1.809448622536053e-15,4.222227082767461e-15,8.904708126356302e-15,3.0631622618427036e-14,8.423244579147897e-14,4.1417441385306706e-13,8.20985090168027e-12,3.2058788037943167e-10,2.6121058576430842e-09,1.1440285387539571e-08,8.984618239349121e-08,3.7413768114074585e-07,1.1334067704338048e-06,2.7533711486748817e-06,5.896197203236056e-06,1.1175516727292784e-05,3.257969097692209e-05,7.660143899633652e-05,0.000156597223936849,0.0002880529624538705,0.0004906886018159526,0.0007825411856114575,0.0011852798350757891,0.0017185476116921103,0.002457265564020839,0.003459991352616623,0.004742124387725596,0.006340338131058053,0.008188563293044127,0.010456267087606623,0.013035436866915405,0.016117878877728132,0.019678370439114714,0.02358524702019575,0.028230615214235998,0.038424892401334225,0.05130331876243149,0.06674346067785876,0.08467454374626257,0.1051863113543774,0.12819508361048257,0.15258351635544837,0.1803948876710048,0.20975699411456938,0.2382522385241116,0.23829133621235624,0.23855409038480718,0.23856266317151056,0.23856076430870185,0.23855892686773814,0.2385406103015392,0.23851829879993242,0.23849597979093407,0.23847366050220886,0.23845134212852329,0.23844911034611732,0.23844018331273803,0.23843460399285718,0.2384290247292389,0.238384392479264,0.23833976319883612,0.23830629304647702,0.23822820199685707,0.238116658791036,0.23804974252941324,0.2380051361034297,0.23789363686451975,0.23778216391354123,0.23767071987223726,0.23755930711894224,0.23744792779705984,0.23722527694033366,0.2370027803943204,0.23678044858710773,0.23655828979854093,0.23633631058794632,0.2357821795093556,0.23522925535144795,0.23467756836390663,0.2341271348305891,0.23357796324697536,0.23303005769116453,0.2319380495012784,0.23085110833254074,0.22976922217969842,0.22869237476427265,0.227620547611904,0.22549187458573108,0.22338303787274094,0.22129386651623673,0.2192241872252732,0.21717382591975196,0.2121312973715587,0.20720571586581837,0.20239441392249063,0.19769476939389155,0.19310421023017008,0.18862021697992057,0.17996212073766008,0.163819850444418,0.1491254323810135,0.1357490315849477,0.12357243967233504,0.1124880459126007,0.10239788950611502,0.09321279489949186,0.03641802501218016,0.0021717961936981956,1.9777501118393913e-05,1.0981157082558255e-08,9.220245668064171e-09,9.018370903017557e-09
Am244,8.515685318697321e-13,6.927050128340738e-13,5.634856473821604e-13,4.58378915704985e-13,3.728854687158313e-13,2.8317968205642075e-13,2.150715112936435e-13,1.633709953224591e-13,1.0825651067659376e-13,7.199780899893342e-14,4.8486916773778835e-14,3.39074726046607e-14,2.3935576377451757e-14,3.7039458760417985e-14,1.7891269797196853e-13,4.5557542138445395e-12,2.1496097718584018e-10,1.8743850704299622e-09,8.513189347197504e-09,6.939847380850215e-08,2.972014963448803e-07,9.127041620657735e-07,2.227905264339138e-06,4.879865515035412e-06,9.245834141726087e-06,2.7445173831300942e-05,6.501280095511231e-05,0.00013610801536004038,0.00025062574267451887,0.0004339884532501189,0.0006988755917097772,0.0010628208341840202,0.0015682742414722677,0.002273607113400006,0.003215052487300281,0.004443893649998811,0.006007976904199518,0.007850111239165234,0.010160587583705527,0.012620487670351389,0.015790683059235526,0.01968741543067256,0.023622317562853157,0.028703773756659494,0.03895792691531318,0.053102735361578356,0.07084887466242364,0.09092025205826751,0.1155016563585282,0.14266005969991385,0.1731823065422214,0.20883605868203076,0.246032169608912,0.2843802269292261,0.26624800196506593,0.0512821221545673,5.043517719231153e-07,1.3872233036674405e-13,1.37847774229434e-13,1.293984537502038e-13,1.1981132658854504e-13,1.1093295188444988e-13,1.0271158204965081e-13,9.50989761938258e-14,9.436944221456168e-14,9.150681447908405e-14,8.9761916777614e-14,8.80502781275218e-14,7.5481055879994e-14,6.470585410597204e-14,5.764641803331502e-14,4.4025625739851535e-14,2.995483410844075e-14,2.3775174475162726e-14,2.0381129043994832e-14,1.3867224578875625e-14,9.435194439574164e-15,6.419661896490155e-15,4.367907702748306e-15,2.9719037900494333e-15,1.3758063835090241e-15,6.369126577456181e-16,2.948508787261191e-16,1.3649758280827675e-16,6.318987317764108e-17,9.214117540112664e-18,1.3435689503278093e-18,1.959142943048186e-19,2.856750093433618e-20,4.165607456203013e-21,6.074134488895454e-22,1.2915060612727648e-23,2.7460497904091724e-25,5.838755580066759e-27,1.241458264927305e-28,2.639635147460665e-30,1.1933486150807537e-33,5.3949897878191555e-37,2.439011280412949e-40,1.1026480107845316e-43,4.984939706328405e-47,2.1662928684755064e-55,9.413998999413594e-64,4.091013688008265e-72,1.7778191669264725e-80,7.725812115860112e-89,3.357381044083969e-97,6.340353687822749e-114,2.2611996337570754e-147,8.064251301323716e-181,2.876001202399773e-214,1.0256847271761179e-247,3.657957345039961e-281,1.262465825e-314,,,,,,,
As74,5.699382826173399e-14,1.208988019004375e-12,2.3739167672766076e-12,3.558678737787815e-12,4.758671738118472e-12,6.396625469820775e-12,8.103206025258604e-12,9.838215676411059e-12,1.2502987305826257e-11,1.5353971756376116e-11,1.8354213567624105e-11,2.1491648741066648e-11,2.8130440844005918e-11,3.556792246348703e-11,5.2852225355465645e-11,1.2332318749856185e-10,4.047925678624145e-10,8.359413337314898e-10,1.3926710343634238e-09,2.663333520585313e-09,4.0629355744047975e-09,5.632109566195671e-09,7.3926773829044045e-09,8.937797099105997e-09,1.0411318817603972e-08,1.3642798910866057e-08,1.690154078047482e-08,2.022702075771775e-08,2.2352358969160234e-08,2.587583931229223e-08,2.9438313237972493e-08,3.170471008800715e-08,3.5303381418011435e-08,3.609018696642428e-08,4.018228003185846e-08,4.39889815202975e-08,4.786626791877041e-08,4.932255604119593e-08,5.273078079791372e-08,5.623488898312883e-08,6.306295117291632e-08,6.551245745491656e-08,7.00295284347658e-08,7.201868727589522e-08,7.492499442190625e-08,8.903618599097611e-08,9.601455585263877e-08,9.515590582658562e-08,1.133053945958879e-07,1.1660001870928293e-07,1.2223345048045831e-07,1.3296801956308404e-07,1.399031534471575e-07,1.4906745426813937e-07,1.4883495270132e-07,1.4314066094118416e-07,1.0893805839073498e-07,3.380407500296454e-08,1.0489591956126407e-08,8.682685662226342e-14,5.694123329193832e-20,3.7342178095205784e-26,2.4489077263614999e-32,1.6059987319516135e-38,3.8674301246259845e-39,1.3005635757435734e-41,3.701048541979624e-43,1.0532172795969625e-44,4.529638396802393e-57,1.9480903408976412e-69,1.0345899689262341e-78,2.3630504550000656e-100,2.866400662628556e-131,8.08453852156044e-150,3.4769687985216254e-162,4.2175931914922263e-193,5.115976929996251e-224,6.205724095871665e-255,7.527596725279161e-286,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
