,Years,#packages per GWe.y,Area per package (m2),Total area (m2),Required st (y),n_wf,Decay heat (W/Pkg),Reactor
0,3.0,12.022397891963111,0.0,0.0,62.0,4,4752.459785100271,Ref_PWR
1,5.0,12.022397891963111,0.0,0.0,62.0,4,3490.7461151202624,Ref_PWR
2,10.0,12.022397891963111,0.0,0.0,62.0,4,2371.196347783386,Ref_PWR
3,20.0,12.022397891963111,0.0,0.0,62.0,4,1808.2299040165024,Ref_PWR
4,50.0,12.022397891963111,0.0,0.0,62.0,4,1141.694187295492,Ref_PWR
5,100.0,12.022397891963111,99.8221465794099,0.0012001015646075,62.0,4,677.1027329673826,Ref_PWR
6,3.0,16.029863855950815,0.0,0.0,40.0,3,3564.344838825203,Ref_PWR
7,5.0,16.029863855950815,0.0,0.0,40.0,3,2618.059586340197,Ref_PWR
8,10.0,16.029863855950815,0.0,0.0,40.0,3,1778.3972608375395,Ref_PWR
9,20.0,16.029863855950815,0.0,0.0,40.0,3,1356.1724280123767,Ref_PWR
10,50.0,16.029863855950815,139.43438467672388,0.0022351142032061,40.0,3,856.2706404716189,Ref_PWR
11,100.0,16.029863855950815,57.66164628391212,0.0009243083396411,40.0,3,507.827049725537,Ref_PWR
12,3.0,24.044795783926222,0.0,0.0,16.0,2,2376.229892550135,Ref_PWR
13,5.0,24.044795783926222,0.0,0.0,16.0,2,1745.3730575601312,Ref_PWR
14,10.0,24.044795783926222,0.0,0.0,16.0,2,1185.598173891693,Ref_PWR
15,20.0,24.044795783926222,139.05979182570837,0.0033436642962044,16.0,2,904.1149520082512,Ref_PWR
16,50.0,24.044795783926222,51.26910989147498,0.0012327552773641,16.0,2,570.847093647746,Ref_PWR
17,100.0,24.044795783926222,32.607249967872015,0.0007840346665529,16.0,2,338.5513664836913,Ref_PWR
18,3.0,48.089591567852445,0.0,0.0,6.0,1,1188.1149462750675,Ref_PWR
19,5.0,48.089591567852445,0.0,0.0,6.0,1,872.6865287800656,Ref_PWR
20,10.0,48.089591567852445,54.61107407798355,0.0026262242474919,6.0,1,592.7990869458465,Ref_PWR
21,20.0,48.089591567852445,37.316043648646314,0.0017945132979915,6.0,1,452.0574760041256,Ref_PWR
22,50.0,48.089591567852445,23.714545454545455,0.0011404228051263,6.0,1,285.423546823873,Ref_PWR
23,100.0,48.089591567852445,23.912307692307692,0.0011499331103678,6.0,1,169.27568324184566,Ref_PWR
24,3.0,4.007465963987704,0.0,0.0,204.0,12,14257.379355300813,Ref_PWR
25,5.0,4.007465963987704,0.0,0.0,204.0,12,10472.238345360787,Ref_PWR
26,10.0,4.007465963987704,0.0,0.0,204.0,12,7113.589043350158,Ref_PWR
27,20.0,4.007465963987704,0.0,0.0,204.0,12,5424.689712049507,Ref_PWR
28,50.0,4.007465963987704,0.0,0.0,204.0,12,3425.0825618864756,Ref_PWR
29,100.0,4.007465963987704,0.0,0.0,204.0,12,2031.308198902148,Ref_PWR
30,3.0,2.289980550850116,0.0,0.0,410.0,21,24950.41387177642,Ref_PWR
31,5.0,2.289980550850116,0.0,0.0,410.0,21,18326.417104381377,Ref_PWR
32,10.0,2.289980550850116,0.0,0.0,410.0,21,12448.780825862776,Ref_PWR
33,20.0,2.289980550850116,0.0,0.0,410.0,21,9493.206996086636,Ref_PWR
34,50.0,2.289980550850116,0.0,0.0,410.0,21,5993.894483301333,Ref_PWR
35,100.0,2.289980550850116,0.0,0.0,410.0,21,3554.789348078759,Ref_PWR
