,keff,burnup,Power (W/cm),Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/(GWe.y)),discharge step,discharge time,volume_Ueq,mass U
9800.0,0.9989270068183054,116.70437942829007,250000,729645285671.9403,149805297.71452025,0.06765561795623308,514464.59487552237,1409.1773427022904,10715619376.798666,5.564645078239374e+19,3.117242520113468e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
10076.74267298146,0.0,0.0,0,734004275517.1569,150700252.81711626,0.06806094474457372,517546.76732852927,1420.6704650454376,10803014994.616348,5.7129461616666755e+19,3.2003188774621646e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
10076.78267298146,0.0,0.0,0,591799931205.426,121503923.37561402,0.056841649122091026,432233.3735325672,1412.3228160730473,10739538080.555464,5.7129695371438326e+19,3.2003319721034753e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
10077.78267298146,0.0,0.0,0,439935849381.6458,90324329.07616916,0.03951587994491816,300485.3370811485,1305.7795316526745,9929365188.60888,5.713206385699625e+19,3.200464651614669e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
10084.78267298146,0.0,0.0,0,226069597105.37634,46414914.15569758,0.02281321494223659,173475.48862325738,994.9285199687176,7565602287.262124,5.7138165366164005e+19,3.2008064503016855e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
10114.78267298146,0.0,0.0,0,124820440948.27515,25627196.782192737,0.011311830619454934,86017.04533543855,732.8462806237344,5572685258.909646,5.71561850978148e+19,3.201815892465797e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
10144.78267298146,0.0,0.0,0,98033488242.69295,20127500.5548279,0.00812745055629212,61802.488605137994,680.2696275105302,5172883625.861323,5.7165889465782714e+19,3.202359518663606e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
10444.78267298146,0.0,0.0,0,44417462405.65893,9119460.250161849,0.0027312981572381726,20769.246403998604,551.1903331121156,4191343158.0400453,5.717719002523388e+19,3.2029925614529834e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
10809.78267298146,0.0,0.0,0,34077994507.19376,6996638.247258218,0.002147567329987485,16330.459905113166,493.971739552474,3756243436.1802707,5.7177210733764895e+19,3.2029937215182255e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
11174.78267298146,0.0,0.0,0,29044349117.26683,5963167.928138845,0.0019519865987032848,14843.231427639561,463.26315609579433,3522730249.478436,5.7177208223615386e+19,3.2029935809028826e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
11539.78267298146,0.0,0.0,0,26008315071.621376,5339832.188142264,0.0018372328126901526,13970.624513164701,444.5815990262172,3380672575.9285264,5.717720570099804e+19,3.202993439589107e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
11904.78267298146,0.0,0.0,0,23982231871.550137,4923851.9811276365,0.0017566173694407348,13357.611246788922,431.9191647212708,3284385315.067997,5.7177203178373415e+19,3.2029932982749236e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
11941.28267298146,0.0,0.0,0,23814932974.388412,4889503.426304121,0.0017497526197549984,13305.410546053634,430.85907904489574,3276324246.903895,5.7177202926110286e+19,3.202993284143468e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
12087.28267298146,0.0,0.0,0,23193521154.975998,4761919.812131009,0.0017239835647270877,13109.458356778896,426.89244050763784,3246161266.3601627,5.717720191706829e+19,3.2029932276182345e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
12178.53267298146,0.0,0.0,0,22839073861.357956,4689147.352160055,0.0017091091057336155,12996.350491516036,424.6056834335203,3228772384.442394,5.717720128640955e+19,3.2029931922895443e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
12269.78267298146,0.0,0.0,0,22506913338.88258,4620950.64488933,0.0016950705648555847,12889.599086922677,422.44353113980014,3212331018.04223,5.7177200655752544e+19,3.2029931569609506e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
12999.78267298146,0.0,0.0,0,20403393000.424843,4189071.625399725,0.0016051781828213436,12206.042431870634,408.12723134054625,3103467488.318737,5.717719561051388e+19,3.2029928743331776e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
13729.78267298146,0.0,0.0,0,18871252353.876495,3874503.9989052676,0.0015406624463459512,11715.454019089004,396.6778919545678,3016404803.404526,5.7177190565273846e+19,3.2029925917053273e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
14277.28267298146,0.0,0.0,0,17924888179.45824,3680203.60434502,0.0015017398047080675,11419.479764967597,389.01856916933525,2958162036.3918204,5.71771867813459e+19,3.2029923797345556e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
15554.78267298146,0.0,0.0,0,16105821028.195507,3306726.3798513906,0.0014280888078115732,10859.425309400503,372.8693723802837,2835360852.4750743,5.7177177952183706e+19,3.2029918851362584e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
17379.78267298146,0.0,0.0,0,14048352712.814781,2884302.4163497845,0.0013437910591282674,10218.411178787866,352.3988160932202,2679699330.708862,5.717716533909546e+19,3.202991178567296e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
18474.78267298146,0.0,0.0,0,13002794957.565094,2669636.3397250837,0.001299609414550434,9882.446589810592,341.19977406410834,2594539948.61249,5.717715777124448e+19,3.2029907546260293e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
19204.78267298146,0.0,0.0,0,12364571780.779182,2538601.1437412254,0.0012720553633236843,9672.920991940517,334.124924197165,2540741611.0826087,5.7177152726011355e+19,3.2029904719985655e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
21029.78267298146,0.0,0.0,0,10937960299.061092,2245699.973900981,0.0012086493440396089,9190.771053634526,317.6847560819401,2415727832.7064195,5.717714011292924e+19,3.2029897654299467e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
22854.78267298146,0.0,0.0,0,9711904938.637814,1993975.482714076,0.0011519085351376212,8759.304485942326,302.865075763077,2303036513.6150646,5.717712749985092e+19,3.2029890588615405e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
24679.78267298146,0.0,0.0,0,8650635926.989265,1776083.6887599835,0.0011008655628563157,8371.165217553234,289.4954520872846,2201371666.9137263,5.717711488677551e+19,3.202988352293297e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
26504.78267298146,0.0,0.0,0,7727829418.753912,1586619.9775379125,0.0010548129935590612,8020.973805188694,277.4265872358953,2109598007.106287,5.717710227370328e+19,3.202987645725232e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
28329.78267298146,0.0,0.0,0,6922682003.252494,1421313.1487927774,0.0010131790922858859,7704.3826809239235,266.5248645770438,2026699491.0546036,5.71770896606341e+19,3.2029869391573377e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
31979.78267298146,0.0,0.0,0,5600323999.480383,1149816.5211433163,0.0009413007393062882,7157.807705141567,247.75461355769218,1883967373.9282844,5.717706443450551e+19,3.2029855260220964e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
35629.78267298146,0.0,0.0,0,4578881205.249803,940101.54745285,0.0008820727123801273,6707.427917057218,232.36264670254104,1766924292.633906,5.717703920838603e+19,3.202984112887365e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
39279.78267298146,0.0,0.0,0,3783963426.728542,776894.9910502037,0.0008330345159009404,6334.533297996734,219.68634861348505,1670531609.248376,5.7177013982278885e+19,3.2029826997533254e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
42929.78267298146,0.0,0.0,0,3161477329.641738,649090.8142420693,0.0007922256082462604,6024.215562705938,209.19314341458897,1590739528.0484369,5.717698875618434e+19,3.2029812866199906e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
46579.78267298146,0.0,0.0,0,2671418857.500074,548475.6841804839,0.0007580701322772857,5764.491630858526,200.45596196297666,1524300544.0934684,5.7176963530098614e+19,3.2029798734871502e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
55704.78267298146,0.0,0.0,0,1846221918.9754102,379052.4377396389,0.0006940523090423364,5277.689433342766,184.21705635627688,1400817199.3758554,5.7176900464925155e+19,3.202976340657339e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
64829.78267298146,0.0,0.0,0,1375506342.4906187,282408.64594260516,0.0006503586217142647,4945.435352618887,173.27318400815605,1317598170.06202,5.7176837399821615e+19,3.202972807831443e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
73954.78267298147,0.0,0.0,0,1099938673.5067842,225831.15890436163,0.0006188799599609953,4706.066362203402,165.49207169790122,1258429295.2027905,5.717677433478575e+19,3.20296927500934e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
83079.78267298147,0.0,0.0,0,933720611.7421185,191704.51309830367,0.0005949300129407058,4523.946973403284,159.6502981730643,1214007475.6910098,5.717671126982056e+19,3.202965742191195e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
92204.78267298147,0.0,0.0,0,829728588.5390654,170353.65083442684,0.000575786575198605,4378.377082239392,155.0391027825609,1178943177.4090567,5.7176648204924535e+19,3.202962209376925e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
101329.78267298147,0.0,0.0,0,761731676.9538461,156393.03492458654,0.0005598463298628721,4257.164799998923,151.24151708968512,1150065702.8694806,5.717658514009919e+19,3.2029586765666133e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
119579.78267298147,0.0,0.0,0,681092445.7732251,139836.79277281527,0.0005340845957863065,4061.268280458372,145.18025829831168,1103974880.8100784,5.7176459010664145e+19,3.202951610958072e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
137829.78267298147,0.0,0.0,0,634622826.1098917,130295.99898568711,0.0005134783550682701,3904.57499166497,140.387454014191,1067529598.2329108,5.717633288150524e+19,3.2029445453649997e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
156079.78267298147,0.0,0.0,0,602977004.8436913,123798.71630697038,0.0004962012512690918,3773.197014858719,136.39545152740652,1037173745.9896538,5.7176206752624075e+19,3.202937479787486e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
174329.78267298147,0.0,0.0,0,579008806.6876962,118877.74562306763,0.0004813041079825284,3659.916654450476,132.96542982044994,1011091289.2596714,5.717608062401948e+19,3.2029304142254646e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
192579.78267298147,0.0,0.0,0,559695466.0975871,114912.47538316084,0.0004682161148037917,3560.393372987166,129.9565494297763,988211261.2889237,5.7175954495692005e+19,3.2029233486789675e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
229079.78267298147,0.0,0.0,0,529676274.03304976,108749.16001241053,0.0004460672295773132,3391.9695582441523,124.86305511297769,949479481.5882678,5.717570223987162e+19,3.202909217632725e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
265579.78267298144,0.0,0.0,0,506801751.17397565,104052.73453790686,0.00042784775446682926,3253.4256329248474,120.6597303591313,917516699.6058942,5.717544998516666e+19,3.202895086648967e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
302079.78267298144,0.0,0.0,0,488396282.10087293,100273.86166883547,0.00041249624887860174,3136.6902258477007,117.09915552491789,890441495.1373965,5.717519773157191e+19,3.202880955727401e+25,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
