Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
Ac225,4.826058312409403e-17,4.800948055251153e-17,4.1227351938689914e-17,3.404794940054875e-17,2.194209352063877e-17,8.059048157151654e-18,2.745876936303413e-18,9.301253602544383e-19,3.5828913486812994e-19,2.0976121375116148e-19,2.0716134698422419e-19,2.5917562774559354e-19,3.3967121152349153e-19,4.369776288521103e-19,5.505463231405058e-19,6.771067876072847e-19,8.201596679091138e-19,9.75710793771797e-19,1.1497958888751937e-18,1.3359840755025083e-18,1.5351332003575467e-18,1.7503615345909886e-18,1.985019926311863e-18,2.232880739422569e-18,4.810723685411214e-18,8.531212780413667e-18,1.34660064834132e-17,1.973808249638164e-17,2.734246190542022e-17,3.638650614730334e-17,4.692545590087648e-17,5.903153307072579e-17,7.295811331623809e-17,8.866108295472986e-17,1.2213955064108522e-16,1.625647403757867e-16,2.1040819330715733e-16,2.6622000020739687e-16,3.3130588393383107e-16,4.0627626696791992e-16,4.909081686328385e-16,5.870091137519356e-16,6.949444107953985e-16,8.175432705734399e-16,9.538749555911262e-16,1.1057759071298108e-15,1.2718626701371352e-15,1.4593952145543903e-15,1.6599518987688908e-15,1.8871280813338387e-15,2.1275300581462207e-15,2.3965385409630275e-15,2.6928200139616554e-15,3.0102515214045204e-15,3.2782426639106495e-15,3.2782837477184374e-15,3.278385903182377e-15,3.2421965190731424e-15,2.948775522298972e-15,2.8131806174213754e-15,2.8602284615910175e-15,2.998455611587025e-15,3.1433218975504465e-15,3.294845222368024e-15,3.4530442926091742e-15,3.469232107677297e-15,3.534653277578296e-15,3.576086217023637e-15,3.617938541384429e-15,3.967893743802804e-15,4.3448795623142795e-15,4.6454646593954654e-15,5.40679353485019e-15,6.641787248959557e-15,7.467208131458006e-15,8.053118038878236e-15,9.6442365672395e-15,1.1418737478475178e-14,1.3380320737085182e-14,1.5532761349730523e-14,1.78798856650954e-14,2.3173640331200457e-14,2.9292612368258904e-14,3.6267816168614615e-14,4.413005184961439e-14,5.290978470303797e-14,7.906932823410988e-14,1.1160698350005058e-13,1.5096126618885666e-13,1.9755209901421985e-13,2.517813239316868e-13,3.1403334944539927e-13,4.640602695744416e-13,6.503844865521155e-13,8.755196139289354e-13,1.1417596777467281e-12,1.451196135204085e-12,2.2071042200341454e-12,3.156491430845661e-12,4.310251561822404e-12,5.677276556361392e-12,7.2647563455921865e-12,1.2232658070314146e-11,1.8670685523398713e-11,2.6605986477479173e-11,3.604415864632867e-11,4.697665205774256e-11,5.938572268178934e-11,8.85354260789006e-11,1.6333861224881334e-10,2.584948305698266e-10,3.7208336171202383e-10,5.023286705938824e-10,6.476096259187801e-10,8.064501386538158e-10,9.775070539975014e-10,3.138680586207114e-09,1.0867095738477892e-08,2.2215352532804136e-08,3.813134583499788e-08,5.594404284179401e-08,5.429914550336495e-08
Ac226,2.802598892809456e-17,2.4325573392147053e-17,8.140165986786428e-19,2.4554597102890924e-20,7.039712476187286e-22,4.410478298003655e-22,4.840727174025035e-22,6.65086568134112e-22,9.04472212626934e-22,1.1859950412112321e-21,1.493038470480172e-21,1.83335204875933e-21,2.1444283726047044e-21,2.5218091678808453e-21,2.929265936612693e-21,3.395028599300606e-21,3.8520730291528646e-21,4.28625679296284e-21,4.799224223267069e-21,5.294783304828083e-21,5.728415283776538e-21,6.355953857928871e-21,6.947357687964717e-21,7.574994546700582e-21,1.3208418286066986e-20,2.0551029222842544e-20,2.872481702653346e-20,3.886263771973571e-20,4.936349716733305e-20,6.190036430424611e-20,7.624687562886596e-20,9.03309234485476e-20,1.0855001381515723e-19,1.2621742790853486e-19,1.6187500154883814e-19,2.0284941963725057e-19,2.4802596964317715e-19,2.990005514829497e-19,3.606054639031103e-19,4.2695245829704924e-19,4.918352625098798e-19,5.639652305316443e-19,6.414311452899701e-19,7.428699145705319e-19,8.444244190654548e-19,9.565683030118816e-19,1.0704699002962363e-18,1.225484277319977e-18,1.3408755696948115e-18,1.5312247359950296e-18,1.6866480474732799e-18,1.896129651388531e-18,2.1505448865081687e-18,2.3740357952902954e-18,2.6255049705919182e-18,2.5696217225388444e-18,1.513769157624033e-18,1.28475730170201e-19,3.097156332670787e-20,9.374451822178996e-21,6.050253937424023e-26,2.9313250229990693e-32,1.4202158109424672e-38,6.880891540453684e-45,3.333765772681118e-51,7.788684654628865e-52,2.3204930373441934e-54,6.12213444838696e-56,1.6151968400469912e-57,3.791457624168265e-70,8.899937588095326e-83,3.0013906795468017e-92,2.3759585627759557e-114,6.342942543867549e-146,7.213764014495461e-165,1.6933342854780197e-177,4.5205849304892804e-209,1.2068313070223963e-240,3.22179948162862e-272,8.6010297272336e-304,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,8.776267039677844e-22,8.776227993089556e-22,9.55081859135103e-22,1.2662694793069012e-21,2.631808142352784e-21,8.329989827613296e-21,1.7970093431244277e-20,3.1535151475835035e-20,4.900827192743567e-20,7.037273727201812e-20,9.561209566795221e-20,1.2470979452253077e-19,1.5764955679436882e-19,1.9441496774129777e-19,2.3499016171659763e-19,2.793591916408893e-19,3.2750570485925396e-19,3.794143914150209e-19,4.350702995436048e-19,4.94456645260203e-19,5.575594551954048e-19,6.243620461546923e-19,6.948505284461655e-19,7.690092238076352e-19,1.492663427016274e-18,2.4430742523744767e-18,3.613489949110598e-18,4.997785937401494e-18,6.590360279176248e-18,8.38624636628303e-18,1.0381040327666109e-17,1.257098745172961e-17,1.4952932548428205e-17,1.7524377454752316e-17,2.270055443395647e-17,2.8497109079537735e-17,3.491605593803489e-17,4.1973127249124296e-17,4.968998133830461e-17,5.809821761070361e-17,6.724186565753042e-17,7.717497821173907e-17,8.796300927785289e-17,9.969309010986685e-17,1.1246051598137022e-16,1.2637265593759812e-16,1.415566489226941e-16,1.5814575076607115e-16,1.7630488235921698e-16,1.9621775986897996e-16,2.180879163942804e-16,2.421460218610122e-16,2.686219099629435e-16,2.9778984365929424e-16,3.218674206641101e-16,3.2187101508809127e-16,3.2194878131815803e-16,3.224929896697241e-16,3.2482445254165324e-16,3.271527952582143e-16,3.5026505918312514e-16,3.779748081346606e-16,4.05249516450482e-16,4.321048950492681e-16,4.585561709706287e-16,4.611796450238984e-16,4.716348996318317e-16,4.781383293222383e-16,4.846180998121517e-16,5.356306565601934e-16,5.85251664231134e-16,6.216160454088679e-16,7.038725969091522e-16,8.158539023808598e-16,8.803726063876962e-16,9.224194358300187e-16,1.0246130030323148e-15,1.1233248391025652e-15,1.2193141937072825e-15,1.3132285948015428e-15,1.4056202792523063e-15,1.5876500146180892e-15,1.7683988668935483e-15,1.9500451166467715e-15,2.1341725461403293e-15,2.3219324419084322e-15,2.812167143086577e-15,3.3376857160743465e-15,3.9020630719078305e-15,4.506884463760606e-15,5.152837000865741e-15,5.84020237482818e-15,7.339483909443837e-15,9.004774917226003e-15,1.0835755296769446e-14,1.283203093306798e-14,1.4993193237917376e-14,1.980853397773952e-14,2.5278493442069463e-14,3.13997979921968e-14,3.816918576472599e-14,4.558340686513191e-14,6.691888583641726e-14,9.221410265012606e-14,1.2141925896811173e-13,1.5448502126498493e-13,1.9136251731985195e-13,2.320033320555473e-13,3.2438351466737283e-13,5.522230706314327e-13,8.35061201110085e-13,1.1700644336833851e-12,1.5545051751224593e-12,1.9857582551960586e-12,2.461297621893288e-12,2.9786931242138895e-12,9.982649778640686e-12,3.908137320333569e-11,7.869308237781488e-11,1.0704149562710294e-10,1.1218505188033174e-10,1.121442655884375e-10
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,9.233243475245337e-19,5.102673069081341e-14,5.312627470141577e-11,2.3608187127958144e-10,9.911115344689912e-10,4.078117949311266e-09,9.136184507002823e-09,1.5763359509620697e-08,2.4232822929395088e-08,3.4068233519266536e-08,4.539070404652935e-08,5.764760323987703e-08,7.14141376264274e-08,8.647570863368151e-08,1.0289209315757186e-07,1.1965504351360692e-07,1.374251155469445e-07,1.5616097424260162e-07,1.7586610148346512e-07,1.9589895534211946e-07,2.1690366253235977e-07,2.385713179249624e-07,2.6134746621721335e-07,2.844446436542536e-07,4.893008592955139e-07,7.124632988368177e-07,9.548084294670768e-07,1.1993043390747475e-06,1.4532415888262584e-06,1.7246118708918309e-06,1.9797815371526255e-06,2.237205392312421e-06,2.5094138402789007e-06,2.791839959007924e-06,3.2685828531471524e-06,3.819231895065047e-06,4.367237435143936e-06,4.916973813826197e-06,5.458273985916387e-06,6.076003645554539e-06,6.675178484159244e-06,7.2539835190021815e-06,7.918015399065184e-06,8.547270389229249e-06,9.20384943786895e-06,9.85111067212275e-06,1.0526258866406095e-05,1.1267735340906703e-05,1.1971914961870636e-05,1.2792695019422337e-05,1.3448431161830377e-05,1.4212022467450937e-05,1.503593358344556e-05,1.591495503625763e-05,1.649396915071122e-05,1.6492135042198294e-05,1.6446411053628376e-05,1.612998246407784e-05,1.4841422924525444e-05,1.3655802468401747e-05,5.939284170615536e-06,2.1567904518717346e-06,7.832164402049713e-07,2.844170574824654e-07,1.0328315239128833e-07,9.333335331933878e-08,6.223954492537355e-08,4.831532114318556e-08,3.7506223101433605e-08,4.945964928400712e-09,6.522269455724716e-10,1.4272811090379335e-10,4.118774471901497e-12,2.600981730783799e-14,1.2455434439020666e-15,1.6425046228220778e-16,1.0372319978618837e-18,6.5500590618579604e-21,4.1363238036734255e-23,2.6120641856326302e-25,1.6495031946300767e-27,6.577968581847374e-32,2.623194100703315e-36,1.0460900106893921e-40,4.17164820696588e-45,1.6635899714454438e-49,1.6706781944961434e-60,1.6777964512382915e-71,1.6849448728047633e-82,1.6921235975926838e-93,1.6993327646745064e-104,1.7065725119839913e-115,1.7211443090821e-137,1.7358401060639384e-159,1.7506610154225295e-181,1.7656081459522638e-203,1.7806826119772557e-225,1.807581256990002e-269,1.83488538557e-313,,,,,,,,,,,,,,,,,,,,,,,
Ag111,4.12077922049362e-18,1.1108168138658181e-06,2.35520521436424e-05,3.678198415247953e-05,4.8313062652045156e-05,5.304891434635726e-05,5.352232435724474e-05,5.3575046132777565e-05,5.358049786224945e-05,5.358962350756126e-05,5.35920320556354e-05,5.3592067215806425e-05,5.360820446000072e-05,5.3614906157738484e-05,5.362360368354296e-05,5.363216771553494e-05,5.363602127894457e-05,5.364104637002299e-05,5.3641538051405124e-05,5.366166124037226e-05,5.3663825989095946e-05,5.3667409272956223e-05,5.366466807534652e-05,5.3683298240205746e-05,5.3585844777851475e-05,5.3643816565590584e-05,5.370062618253013e-05,5.3760562535054413e-05,5.384427233027979e-05,5.3897421325522684e-05,5.395197368775727e-05,5.402577893796807e-05,5.410143668881744e-05,5.4183099198766354e-05,5.413849305338534e-05,5.428971510523913e-05,5.4429245884482294e-05,5.457868009750219e-05,5.4747236871131856e-05,5.4900575151939224e-05,5.5060073161782186e-05,5.5237780894498e-05,5.5399861978855524e-05,5.559250781340616e-05,5.578188150078685e-05,5.5969047608380026e-05,5.618704670547373e-05,5.637839118202202e-05,5.660452780254495e-05,5.681741986022398e-05,5.704717068430746e-05,5.727417480042055e-05,5.751432042664114e-05,5.777179652205457e-05,5.8042975714484215e-05,5.7937328197475074e-05,5.282941294505006e-05,2.754461083374631e-05,1.6897998993241477e-06,1.0366543115343103e-07,7.827458444005813e-20,1.3969194688769794e-34,2.4929982016907384e-49,4.449104038945829e-64,7.940048582681537e-79,2.660591624974209e-80,3.3542734106448875e-86,6.894235424289088e-90,1.41701275589366e-93,4.513100078921925e-123,1.4373951437293142e-152,1.0836825555997076e-174,1.106212787094271e-221,2.688399052660151e-269,1.5233293221e-313,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,4.2125375490586724e-17,2.3808947343445103e-10,2.6521316502472333e-09,3.0926780761998845e-09,3.1590143734471148e-09,3.3060773350824745e-09,3.414707144893004e-09,3.572951546183581e-09,3.688738059331299e-09,3.837147761042406e-09,3.963524569052025e-09,4.117696187659644e-09,4.131079602981929e-09,4.2880192940273536e-09,4.439910959177663e-09,4.646543224490352e-09,4.7747358545203674e-09,4.842117975527551e-09,5.002397276795056e-09,5.112562875017382e-09,5.103518402097344e-09,5.340176498041815e-09,5.466411080611355e-09,5.617042913583307e-09,6.601046459549616e-09,7.70397960804629e-09,8.558945282173654e-09,9.60940470891086e-09,1.0357682210311976e-08,1.1281766749457579e-08,1.2327531616974265e-08,1.307867680980923e-08,1.4190983116429116e-08,1.5058306625944543e-08,1.662959655477223e-08,1.8257749319374504e-08,1.967444533106092e-08,2.1283942371383044e-08,2.3265070582311454e-08,2.5023460809181867e-08,2.639782701564816e-08,2.765697697377116e-08,2.891419183070209e-08,3.0973784751139825e-08,3.2507604353555405e-08,3.390087517323368e-08,3.522698584362736e-08,3.7487375715186936e-08,3.780260175378376e-08,4.007668651552398e-08,4.103386119029407e-08,4.258268766723055e-08,4.505859024218615e-08,4.593161758263008e-08,4.8100939822735786e-08,4.7474972465471906e-08,3.4217270380421755e-08,3.457106733153059e-09,1.8713106285676184e-13,1.0129315526134207e-17,7.45143550110716e-24,,2.507093492816841e-24,2.1172795560282323e-24,,,,1.411087324529121e-24,,,,4.9779341838098575e-24,,2.2567523267908474e-24,4.079155132036632e-25,,9.761182005005635e-25,8.940885928921337e-25,5.734707138554797e-25,8.841110977953601e-25,4.916168324703739e-25,,,,,,,,1.1120161003585876e-28,5.891359775612549e-29,4.843989135846782e-29,1.0325044830766031e-29,,,,,,2.3961300687145944e-35,4.975062383706269e-37,5.064113178827805e-39,1.1382059089509448e-40,3.762907840170858e-42,1.954868149322883e-46,2.0282758105058728e-50,1.6183542816409303e-54,4.14644502780937e-59,4.7793587179862285e-63,5.030816758575481e-67,9.086070755564653e-76,,,,,,,,,,1.1352414779219307e-28,7.271114469498303e-34,,
Am241,9.42890339682949e-06,9.43292443349176e-06,9.529264800340934e-06,9.62953602303309e-06,9.829853924488691e-06,1.0229571953074469e-05,1.0628123093211929e-05,1.1025513622706588e-05,1.1421722425810157e-05,1.1816769399779289e-05,1.2210680434563603e-05,1.2603442935177928e-05,1.2995056793381445e-05,1.3385517666101012e-05,1.3774869299189653e-05,1.4163093044031113e-05,1.455018098483844e-05,1.4936181635734687e-05,1.5321087291446943e-05,1.570486267800992e-05,1.6087559941679338e-05,1.6469156538425225e-05,1.6849695190592136e-05,1.7229127864446228e-05,2.022672214426989e-05,2.3159140204746003e-05,2.602908283522647e-05,2.8839463814817827e-05,3.159242918899723e-05,3.429066087209851e-05,3.6936713259870295e-05,3.953259033315686e-05,4.208016793598384e-05,4.458209440593939e-05,4.9037714584532224e-05,5.3357857636463845e-05,5.755364684543629e-05,6.163745086789688e-05,6.561570706527055e-05,6.949658761581889e-05,7.32899801377846e-05,7.699954863706496e-05,8.063344552655316e-05,8.41933074847315e-05,8.768764400422808e-05,9.111991280086245e-05,9.449171708697819e-05,9.780916680954179e-05,0.00010107709139488676,0.00010429271228981159,0.0001074622591739132,0.0001105842517218085,0.00011365787077301732,0.00011668724548326383,0.0001189555766866455,0.00011895625488413399,0.0001189736605679134,0.00011909623799108639,0.00011962054660662855,0.0001201426498560568,0.0001252437315391035,0.00013116482785646645,0.00013678680489617463,0.00014212384785398886,0.00014718946936709385,0.0001476816043220749,0.00014962454402178132,0.0001508183322450524,0.00015199654238749963,0.00016088351763956276,0.00016887608318417072,0.00017433369869218978,0.00018546963511734867,0.00019806968759121928,0.0002040800342574043,0.00020753911926681427,0.00021455506614497771,0.000219648898828037,0.00022323759557817718,0.00022564836301095968,0.00022713795770421428,0.0002281161197755505,0.00022731720940870066,0.00022544611390060124,0.0002229365968694203,0.00022005545127235703,0.0002121531101400712,0.0002040469531346466,0.0001961058760245108,0.00018843082838193543,0.00018104335045782507,0.0001739416791670545,0.00016056058059238273,0.0001482083048002748,0.00013680624400647166,0.0001262813503597273,0.00011656615122386066,9.932047777648262e-05,8.462623234949357e-05,7.210595272318907e-05,6.143801529688887e-05,5.2348376276868687e-05,3.508071482307118e-05,2.350900527266193e-05,1.575437916774352e-05,1.0557725466192766e-05,7.075262982972614e-06,4.7415414779339375e-06,2.1295996400161714e-06,4.2985017699536933e-07,8.703085999332815e-08,1.786755918544464e-08,3.894700576967599e-09,1.0540204687775777e-09,4.6013908632279403e-10,3.210087185896416e-10,1.293698634915262e-10,1.1229222300621389e-11,1.9095875424611123e-13,5.5193334895862355e-17,1.3323815172060705e-27,2.6862280255249527e-45
