Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
Ac225,2.2135940490565097e-14,2.7926921223690077e-15,1.106727899037418e-15,8.025404332536929e-16,4.645813643322201e-16,1.568576509581424e-16,5.160308330621032e-17,1.7128801671670683e-17,6.507758426504801e-18,3.7711206230132385e-18,3.697641589508152e-18,4.5986920325712626e-18,6.0009602892335815e-18,7.692708297545e-18,9.665413993515858e-18,1.1861119699489518e-17,1.4342894774172704e-17,1.703801724418333e-17,2.006055690375072e-17,2.327650920083686e-17,2.6725736740128148e-17,3.044038132583089e-17,3.451317433091954e-17,3.8785800150744135e-17,8.342510871688318e-17,1.4744755753600344e-16,2.318413288126309e-16,3.3862649036374537e-16,4.672059680941138e-16,6.196839610151238e-16,7.964703666118316e-16,9.982092941679216e-16,1.2289002504636761e-15,1.4884749053050715e-15,2.0439302580432952e-15,2.7016036074125884e-15,3.4726843256773533e-15,4.366921930700246e-15,5.397466498268279e-15,6.575664740290016e-15,7.900542389243621e-15,9.383858958319361e-15,1.1039912949510843e-14,1.2899050853912114e-14,1.4954571617937882e-14,1.7220915520228483e-14,1.9665294467088238e-14,2.243362564287172e-14,2.535329241595369e-14,2.86377479508231e-14,3.2083753390801314e-14,3.5910635181386165e-14,4.007208358926829e-14,4.4493740687608175e-14,4.816628209046441e-14,5.767397319308881e-14,8.296375805757515e-14,1.421192290206546e-13,2.606806644741876e-13,3.4613321827512856e-13,1.0472047711126554e-12,1.3962102932551595e-12,1.6103194046714114e-12,1.7933738171938998e-12,1.96573502726353e-12,1.9826986217989274e-12,2.050282467824943e-12,2.092368594273357e-12,2.1343881584615135e-12,2.471933512595237e-12,2.82013725499651e-12,3.093388511665992e-12,3.786034527597517e-12,4.942574371099152e-12,5.74573256230303e-12,6.330792095272239e-12,7.979350350703077e-12,9.912885554850897e-12,1.2154363973715811e-11,1.472560676117687e-11,1.764731013621261e-11,2.4618742303632705e-11,3.3208840900675445e-11,4.353699093655245e-11,5.570389468639435e-11,6.979536912250319e-11,1.139241627813484e-10,1.7160837078759482e-10,2.439265705070996e-10,3.3205939306664133e-10,4.37282379924958e-10,5.609277630208239e-10,8.688890734458059e-10,1.2666249319616257e-09,1.7644445911607295e-09,2.3722209281209266e-09,3.099415183119479e-09,4.947918326404666e-09,7.37760429473139e-09,1.0449189716367376e-08,1.421598384326524e-08,1.8723805574764947e-08,3.347315724609409e-08,5.351991804169567e-08,7.913237436660529e-08,1.104780685736988e-07,1.4767591631200842e-07,1.9082695492084383e-07,2.953861036649013e-07,5.791194482999953e-07,9.705741501724573e-07,1.4761135196487406e-06,2.102378369733532e-06,2.855644835225915e-06,3.7418954688960886e-06,4.766861150745684e-06,2.377083919099054e-05,6.049840497355428e-06,1.262721891925452e-05,2.1802649206489645e-05,0.05273777550356665,3.104356097914969e-05
Ac226,1.2854830649400355e-14,1.4150087941496043e-15,2.1851873517778675e-17,5.787736807728677e-19,1.4905228726772973e-20,8.584354528428968e-21,9.097146500677992e-21,1.2247957540846908e-20,1.642831470574394e-20,2.132200838620647e-20,2.6649378484701294e-20,3.2530147733658085e-20,3.788554658308638e-20,4.439481801744036e-20,5.142631379855744e-20,5.947191984560383e-20,6.736478307988533e-20,7.484729862338612e-20,8.37323489814271e-20,9.224965669213689e-20,9.972823125490397e-20,1.1053582662849776e-19,1.2079242321233487e-19,1.315799001012852e-19,2.2905363175083624e-19,3.5518971824451827e-19,4.945489783874817e-19,6.667273084771162e-19,8.434836834499902e-19,1.0542002242547605e-18,1.2941457002231341e-18,1.5274745995344455e-18,1.828407192865175e-18,2.1189846524876403e-18,2.7088785896939487e-18,3.3710798700058766e-18,4.09354732628413e-18,4.904635506517748e-18,5.874800312626678e-18,6.9103131392750876e-18,7.915462785648455e-18,9.015482139416042e-18,1.0189799208545848e-17,1.1720868057742588e-17,1.3238638226982518e-17,1.4897215456840402e-17,1.6551398434557635e-17,1.8837978386146716e-17,2.0479876818776502e-17,2.3236805428965454e-17,2.5435128309942833e-17,2.841232010408671e-17,3.2002441309787423e-17,3.509000238274489e-17,3.857579380429098e-17,4.5206670851852244e-17,3.8307869133474964e-17,5.6316363342695675e-18,2.737979763721061e-18,1.1534308030851657e-18,2.2151568921138603e-23,1.3649513950354948e-29,7.275745703817456e-36,3.7452474683262365e-42,1.897832635995458e-48,4.451306182767393e-49,1.3460064729280265e-51,3.582061805094127e-53,9.528788202304732e-55,2.362016668768948e-67,5.776695348941392e-80,1.9986089934735804e-89,1.6637330604228416e-111,4.720185106739949e-143,5.55071695674879e-162,1.3311797067177947e-174,3.7401955768083674e-206,1.047679802874465e-237,2.9266057458181453e-269,8.15408018269924e-301,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,4.0254574715784397e-19,5.105096430611851e-20,2.5638700757236475e-20,2.984709723876969e-20,5.572344390405768e-20,1.621311365046426e-19,3.3771077505070516e-19,5.807382299176417e-19,8.901581531954448e-19,1.2651723170291316e-18,1.7065889295881782e-18,2.212792705251245e-18,2.7851896123167717e-18,3.4225496610413086e-18,4.125496987134542e-18,4.893634020291383e-18,5.7273968064204826e-18,6.625394517396703e-18,7.59069725815807e-18,8.614791795691904e-18,9.706771512107902e-18,1.0858224655151597e-17,1.2081237626038007e-17,1.3357918110931033e-17,2.5885005421155004e-17,4.222439888250535e-17,6.22126769718102e-17,8.574200213631666e-17,1.1261076873663517e-16,1.4282279109922458e-16,1.7619841590998798e-16,2.1257243135038452e-16,2.518659230438194e-16,2.94205701117045e-16,3.7987981647539374e-16,4.735829707730163e-16,5.762724267751358e-16,6.885033796915316e-16,8.095238345559852e-16,9.403315725714445e-16,1.0821722755982005e-15,1.2337101651140102e-15,1.3973836613680132e-15,1.5729396661889577e-15,1.7631229655163978e-15,1.968077634841071e-15,2.1887215107420814e-15,2.4309950685840838e-15,2.692794435868092e-15,2.9776647415639407e-15,3.2888272954435003e-15,3.628407097588555e-15,3.997385482183679e-15,4.401553819993735e-15,4.729105978061986e-15,5.662591076426016e-15,8.147326638478701e-15,1.4136235970523281e-14,2.8715462905093e-14,4.0252818887337154e-14,1.282412387878244e-13,1.7600137739889321e-13,2.0760875956817096e-13,2.3519332556256827e-13,2.6104499417344475e-13,2.635684838057126e-13,2.7357273542598596e-13,2.797588098490665e-13,2.8589848107794846e-13,3.3368922048189145e-13,3.798701432745362e-13,4.139305913448221e-13,4.928773288180713e-13,6.071285389486919e-13,6.774132262593975e-13,7.251409509566307e-13,8.477338841783517e-13,9.75185793695295e-13,1.1075959089351827e-12,1.2449871236137865e-12,1.3873364442223278e-12,1.686655442115282e-12,2.004822099214266e-12,2.3408935397325824e-12,2.6938949257960995e-12,3.0629520186123356e-12,4.051808641004086e-12,5.132069606883388e-12,6.305040273324988e-12,7.575486806394803e-12,8.949213515595395e-12,1.0431795411177684e-11,1.3742174867706634e-11,1.7536814995889667e-11,2.1837420339138105e-11,2.666096283045602e-11,3.2021950470885324e-11,4.440705943924596e-11,5.908291717826296e-11,7.612141462512499e-11,9.557620150350727e-11,1.174843046313569e-10,1.831152620681638e-10,2.6433369090482455e-10,3.611290362833695e-10,4.735082580339471e-10,6.015676693657449e-10,7.455072934765458e-10,1.0822603644029524e-09,1.957915006131246e-09,3.135415953281421e-09,4.6418305872997585e-09,6.506015378243265e-09,8.756232270965395e-09,1.1420319716654853e-08,1.4525743293351999e-08,7.560373095333074e-08,2.175706186710361e-08,4.4729192442401984e-08,6.120392890915781e-08,0.0001057554974647089,6.411440391895072e-08
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,4.235061304116103e-16,2.9682043461106508e-12,1.4261486032724076e-09,5.564659563815148e-09,2.0984868579468146e-08,7.937463449595374e-08,1.716957100235027e-07,2.902914706525964e-07,4.401511021951933e-07,6.12484146695235e-07,8.101827754203789e-07,1.022872312578238e-06,1.2616712557531948e-06,1.5223488742201613e-06,1.8063778382069507e-06,2.0960398267129254e-06,2.403280786341685e-06,2.726907797881965e-06,3.0683462781391106e-06,3.413097446344982e-06,3.776161040266272e-06,4.148972510835521e-06,4.544000059111589e-06,4.940887754523124e-06,8.485205148194531e-06,1.2313720915356036e-05,1.643873076415151e-05,2.057526202422863e-05,2.4831821864863102e-05,2.937117158326445e-05,3.360302625590122e-05,3.783061525597259e-05,4.226835312296102e-05,4.6870437176286976e-05,5.4697723705409485e-05,6.347040964357714e-05,7.207911797139993e-05,8.065525040774098e-05,8.892341611185187e-05,9.834136567249048e-05,0.00010742850483979357,0.00011596133115073834,0.00012578588931813422,0.0001348572967097787,0.00014429525041259923,0.00015341729148845697,0.00016275497748696,0.0001732061020619688,0.00018285316642750282,0.00019413307406194956,0.00020280613532919542,0.00021295829184253784,0.00022375100611053927,0.00023523478932012924,0.00024234117249784766,0.00029014174108099144,0.000416197515443242,0.0007070455656916047,0.0013120266227289558,0.0016802073877680722,0.0021745279455763294,0.0010042946834567018,0.00040124068511805677,0.0001548073034173661,5.8796613416256494e-05,5.3340885028883344e-05,3.6102168372600626e-05,2.8269301814085642e-05,2.2126644093208613e-05,3.0812560134024673e-06,4.2334188590069385e-07,9.50418377779759e-08,2.884116484473522e-09,1.9355551691727182e-11,9.583982925615616e-13,1.2912210192883954e-13,8.581744597611698e-16,5.686266627996998e-18,3.7573378105690604e-20,2.4763291707463934e-22,1.628047012802591e-24,6.988168931743483e-29,2.973897802172181e-33,1.2557583037937248e-37,5.265732593775407e-42,2.1945066829739426e-46,2.4071358494597754e-57,2.5798019665147655e-68,2.7225713899525146e-79,2.8442397606209364e-90,2.9513240458730014e-101,3.048287397725722e-112,3.222606161385621e-134,3.380551660903305e-156,3.5281269665181455e-178,3.6683837030876873e-200,3.8031211563990266e-222,4.0522619397592594e-266,4.2886409158708e-310,,,,,,,,,,,,,,,,,,,,,,,
Ag111,1.8900999054456903e-15,6.461576608988797e-05,0.0006322432065420054,0.0008669840626932331,0.0010229355982300883,0.001032519961165026,0.0010058414949459062,0.0009866157605980352,0.0009732054436641319,0.0009634428156418899,0.0009565690196553036,0.0009509127638971938,0.0009470944113829624,0.0009438557176374764,0.0009414182015949816,0.0009394936997530304,0.000937982979912199,0.0009366884930272119,0.0009358870882184261,0.0009349334131276256,0.0009342546207186358,0.000933325127839924,0.0009330576585881488,0.0009324947993039099,0.00092925830261984,0.0009271424747094636,0.0009245520969831335,0.0009223160666474772,0.0009200475607284148,0.0009179053190842336,0.0009157321423427513,0.0009135631730236243,0.0009112799944421675,0.0009096458193523176,0.0009059743833661927,0.0009022208003695829,0.0008983280834770165,0.0008952777209855667,0.0008919140625456234,0.0008885770732868199,0.0008861218243342474,0.000883024697472694,0.0008800842832327592,0.0008771286012526922,0.0008745319677356268,0.0008716397548517126,0.0008687532425022304,0.0008666409958806434,0.0008645498381665504,0.0008622217883712059,0.000860287425256428,0.0008582177842824742,0.0008558754925196952,0.0008539098195722285,0.000852808845547384,0.0010192759902695758,0.0013369160200580083,0.0012073971557051333,0.00014938341601560969,1.2754975306884544e-05,2.865838144862502e-17,6.504659711344746e-32,1.2771594863135079e-46,2.4216332346205307e-61,4.520078601528036e-76,1.5205530170011962e-77,1.945652777250159e-83,4.03381820456092e-87,8.359609241485387e-91,2.8115882256694188e-120,9.329721426899446e-150,7.216180540745349e-172,7.746106411893598e-219,2.000607932608323e-266,1.17214395727995e-310,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,1.932187190122855e-14,1.384956865242719e-08,7.119516416222275e-08,7.289717139757175e-08,6.6886015510813e-08,6.43479868285435e-08,6.417236509566376e-08,6.579798920903106e-08,6.700012323180702e-08,6.898485566727404e-08,7.074530794917165e-08,7.306248976978282e-08,7.298364950614276e-08,7.54878040092097e-08,7.79472602232749e-08,8.139514532011631e-08,8.350024588559046e-08,8.455383510362593e-08,8.7277121267571e-08,8.907487670123476e-08,8.884915604136851e-08,9.287053316423463e-08,9.504347845018528e-08,9.756970000141408e-08,1.1447197023664664e-07,1.331502338239092e-07,1.4735751463493857e-07,1.6485892141041823e-07,1.769837317875424e-07,1.9213523492061668e-07,2.092364035232963e-07,2.211573385927231e-07,2.3903171166878466e-07,2.5280439604546703e-07,2.7828607031011996e-07,3.034188183146981e-07,3.247170979593556e-07,3.4912972218820675e-07,3.7902266496707455e-07,4.0500984748872623e-07,4.2483943973039367e-07,4.421211954896996e-07,4.5933193483930134e-07,4.886988114559866e-07,5.096446809755785e-07,5.279587877216551e-07,5.446728377743699e-07,5.762508638792318e-07,5.773784270847483e-07,6.081760207418024e-07,6.188022012008096e-07,6.380750134927288e-07,6.705207125756244e-07,6.789032303620907e-07,7.067333549843313e-07,8.352145512791108e-07,8.659118923358854e-07,1.5153965549820602e-07,1.654295128278529e-11,1.2463090923748875e-15,2.728166268248753e-21,,1.2843804842114782e-21,1.1524285552727657e-21,,,,8.256274100906091e-22,,,,3.3147780782021353e-21,,1.6793922771407849e-21,3.1387546799572163e-22,,8.076107477443638e-22,7.761801962734092e-22,5.209271079091141e-22,8.381685693994601e-22,4.852220463424801e-22,,,,,,,,1.796820340456124e-25,9.902609798574267e-26,8.412820556255506e-26,1.8442640917722952e-26,,,,,,5.371679221953006e-32,1.1628113813302674e-33,1.227674964946937e-35,2.850084305621003e-37,9.698323170585926e-39,5.349255131757751e-43,5.81409584603553e-47,4.813360969758048e-51,1.2709167180576027e-55,1.5024403552531896e-59,1.6165761726060433e-63,3.0314408107304116e-72,,,,,,,,,,6.452718968456917e-26,4.157460342593003e-31,,
Am241,0.0043248056897037925,0.0005487094101653735,0.00025580840669893565,0.00022697672394427564,0.0002081281324924568,0.00019910373974408346,0.0001997336130096222,0.00020304127189907283,0.000207457617683892,0.00021244376872153132,0.00021794953773144845,0.0002236296410782195,0.00022958324735160513,0.00023564337398105034,0.00024183217449126585,0.00024809992306219954,0.000254452545005947,0.0002608179820253392,0.0002673079164842666,0.0002736218098146717,0.0002800746486964216,0.00028641363240515413,0.0002929625339410314,0.000299275056801663,0.00035076146630268705,0.00040026649735702403,0.00044813710432459007,0.0004947697638498698,0.0005398259862168525,0.0005839904625364299,0.0006269304578237566,0.000668486773769044,0.0007087947668264966,0.0007484606158382399,0.0008206159929239269,0.0008867346039568911,0.0009498947932790303,0.001011065794222019,0.0010689776361343347,0.0011248165298119674,0.0011795089831117896,0.001230905768474684,0.0012809459369756049,0.0013283868804190154,0.001374741148808991,0.0014190653914925894,0.0014610126429890917,0.0015035092692944265,0.0015438019960633974,0.0015826739251065052,0.001620561180300489,0.0016570360344769037,0.0016913524389229595,0.0017247236668320692,0.0017477802744742155,0.00209276572234254,0.0030107810007964577,0.005220493397911688,0.010574817695810987,0.014782329221682513,0.04585501996814115,0.06107600261232829,0.0700756885252403,0.07735756017000656,0.08379142317940043,0.08440141918047445,0.08679000605523023,0.08824382933722388,0.08966974327729496,0.10022782477443444,0.10961264330463863,0.11608781903871797,0.12987262003794106,0.14739619395868686,0.15703182200169002,0.16315258380307174,0.17751638819236099,0.1906825864449343,0.2027837032152799,0.21392262362032155,0.2241834236746404,0.24234137959316338,0.25770801683154076,0.27063238028832154,0.2814054412643037,0.2902837638666729,0.30567308454430925,0.31374528809475033,0.3168722348625901,0.31672772306532726,0.31442787702262437,0.3106953995923478,0.3006276194054938,0.28863593438241325,0.27570717255664695,0.26237330674167314,0.2489580079333841,0.22265809095771788,0.19779520043280854,0.17480389923354175,0.15384169225369293,0.13491998532854155,0.09599404126464636,0.06738906473775912,0.046857177472843944,0.03236022595176141,0.02224181371790002,0.015236219768063415,0.007105112245915614,0.0015240401147403658,0.0003267759853866204,7.088343202287989e-05,1.630035219754607e-05,4.6477198414351164e-06,2.1350264320710365e-06,1.565414779809382e-06,9.797843828809856e-07,6.251440629860626e-09,1.0854106370147286e-10,3.155831227352895e-14,1.2560200116074048e-21,1.535753145675506e-42
