Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
Ac225,5.07755494551473e-05,5.05113613700403e-05,4.337580094888275e-05,3.582226377556581e-05,2.3085544819089376e-05,8.479023082101419e-06,2.88897069101959e-06,9.785962616251026e-07,3.7696037861706186e-07,2.2069233716482915e-07,2.179569855578671e-07,2.7268184618339656e-07,3.573722338756887e-07,4.597495050468237e-07,5.792365166017674e-07,7.123923283762645e-07,8.629000124585245e-07,1.0265572534772587e-06,1.2097143100983493e-06,1.4056051772631848e-06,1.6151324059753874e-06,1.841576767431168e-06,2.0884637298877007e-06,2.349241121278409e-06,5.06142119699535e-06,8.975793254102141e-06,1.4167750033267272e-05,2.0766677878047654e-05,2.8767338412266808e-05,3.828268791597004e-05,4.937084578264752e-05,6.210779756097422e-05,7.676012287952293e-05,9.328140919348482e-05,0.00012850451429605083,0.00017103635058427183,0.0002213730322645437,0.0002800933165627547,0.00034857097045860294,0.00042744822690680046,0.0005164904852114841,0.0006175994643349665,0.0007311595097843602,0.0008601472688381205,0.0010035835012002431,0.0011634003491919904,0.0013381422628410509,0.0015354475452704721,0.0017464556843911471,0.001985470523130202,0.002238400381672632,0.0025214274948759047,0.002833148854441805,0.0031671224237901693,0.003449079180816338,0.003449122405592731,0.0034492298846051173,0.003411154591195072,0.0031024427736321514,0.0029597817166620143,0.003009281328638337,0.003154711802874823,0.0033071273932212004,0.0034665469355234604,0.003632990111191961,0.0036500215093093185,0.0037188519218880538,0.0037624440239658412,0.0038064773660398473,0.004174669512450301,0.004571300900481793,0.004887550155553605,0.005688553572107511,0.006987905555615757,0.007856340956258217,0.008472783932174604,0.010146819186122338,0.012013793286807586,0.014077599012110063,0.016342208092684503,0.018811646276755876,0.024381270273239233,0.03081911555338072,0.03815781273849356,0.04642976700854719,0.05566703126943896,0.08318980679974303,0.11742307165404788,0.1588281935482279,0.20784697830260584,0.2649022087508359,0.3303983257792382,0.4882434824162391,0.6842774687755592,0.9211448884007793,1.2012593141332943,1.5268211936582752,2.3221213301307753,3.3209832201889964,4.534868357862342,5.973132065496312,7.6433389575239605,12.870129091064575,19.643656474625963,27.992483611657242,37.92249992524708,49.42470988512184,62.4804447804828,93.14920405836158,171.85055064190013,271.96557115252523,391.47345330384445,528.5061349319717,681.3580039825875,848.4760491400697,1028.4471208186883,3302.2442128202483,11433.404268740134,23373.04396617987,40118.455080780914,58859.41134880798,57128.79475138135
Ac226,0.00041491766664063164,0.00036013395200649935,1.20513095397647e-05,3.6352459002862346e-07,1.0422115993603792e-08,6.529601395590212e-09,7.166573957634547e-09,9.846438163957163e-09,1.339048199038775e-08,1.7558356153257084e-08,2.2104056344478415e-08,2.7142312663924994e-08,3.17477188377525e-08,3.733474591510917e-08,4.336704016074326e-08,5.0262538396563604e-08,5.702896540372256e-08,6.345694604110484e-08,7.105129890374768e-08,7.838792557306572e-08,8.480773717534929e-08,9.40982867999251e-08,1.02853870691376e-07,1.1214587539431393e-07,1.9554728681757772e-07,3.0425278173350784e-07,4.2526363961347145e-07,5.753515069011066e-07,7.308140709839271e-07,9.164192131531329e-07,1.128815679108969e-06,1.3373264393604783e-06,1.6070554570455798e-06,1.8686170472540736e-06,2.396518392354156e-06,3.0031342726651325e-06,3.6719616515463986e-06,4.426627422991785e-06,5.338672545843811e-06,6.320922991070966e-06,7.281496471570048e-06,8.349362376435682e-06,9.496225621053824e-06,1.0998000904158869e-05,1.2501489617794914e-05,1.4161751411748057e-05,1.584803570641178e-05,1.814298429057989e-05,1.9851323143694122e-05,2.2669394332222406e-05,2.4970397087399766e-05,2.8071719168260323e-05,3.183827227668063e-05,3.5146998567309995e-05,3.886993600640957e-05,3.8042598675121426e-05,2.2410968916222324e-05,1.9020506401732687e-06,4.585261494500948e-07,1.387863845259135e-07,8.957247691562349e-13,4.339752441309342e-19,2.102593531718934e-25,1.018698562144337e-31,4.935555776733462e-38,1.1530950331100473e-38,3.435431159917127e-41,9.063664967192469e-43,2.3912580061209027e-44,5.613156968779564e-57,1.3176132149249466e-69,4.443482870950975e-79,3.517546465286686e-101,9.390565759122515e-133,1.0679794887059883e-151,2.5069385147326865e-164,6.69261147580471e-196,1.7866831790425617e-227,4.7697925191188927e-259,1.2733606633067005e-290,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,6.385075850008648e-08,6.385047442095948e-08,6.948592249955924e-08,9.212603303171949e-08,1.9147428554327273e-07,6.060391808800721e-07,1.3073942380227384e-06,2.2943050069509977e-06,3.5655425264499806e-06,5.119890532308374e-06,6.956152089015831e-06,9.073122931029018e-06,1.1469618840235759e-05,1.414444558025593e-05,1.7096448863540412e-05,2.0324468477997186e-05,2.3827314704335204e-05,2.7603873683619205e-05,3.165305761678227e-05,3.597364540360552e-05,4.056462042707898e-05,4.5424768919869254e-05,5.0553080352830945e-05,5.5948414071368875e-05,0.00010859707386914938,0.00017774316048143875,0.0002628954577612989,0.0003636083786892896,0.0004794743604676047,0.0006101320630228012,0.0007552610875953914,0.0009145882643031666,0.0010878840407901023,0.0012749666659742206,0.0016515536872654544,0.0020732755983402453,0.0025402789653000495,0.0030537083698123336,0.003615139539352891,0.004226871453631929,0.004892107436776258,0.005614780035485419,0.006399651283340189,0.007253060318189828,0.008181940242084034,0.009194102570951728,0.010298797157813296,0.011505718882899833,0.012826866382951068,0.014275605724141797,0.015866744731583973,0.01761706554017036,0.01954328944565192,0.021665370145763103,0.023417107584529737,0.023417369092864123,0.02342302688877326,0.023462620164447844,0.023632243162602345,0.023801639157309942,0.025483146312445363,0.027499138397011038,0.02948347958211898,0.0314373128982511,0.03336174617180375,0.03355261411992936,0.03431327458526152,0.03478642440705601,0.035257852929931305,0.038969214977901456,0.042579336414503136,0.04522498667797758,0.051209470948054406,0.059356546760438625,0.06405053358838535,0.06710960407960709,0.07454458383830835,0.08172625410600456,0.08870985325098907,0.09554249145221906,0.1022643460911117,0.11550771781183124,0.12865790030244034,0.14187337195229255,0.1552693590851845,0.1689296222773704,0.20459610481689536,0.24282962635794436,0.28389027559220464,0.32789338585797356,0.3748889470262355,0.4248974532576142,0.5339760202127708,0.6551324224616338,0.788343371381115,0.9335801935705901,1.0908131626479467,1.4411479431234706,1.839108783630227,2.284457514210795,2.7769568216077425,3.3163702633455427,4.868609397729518,6.708934871735074,8.833723662443326,11.23938656387256,13.92236793173855,16.87914538074254,23.600163216086436,40.176377680456405,60.75395249918173,85.1267415256324,113.09630173641828,144.47164177986414,179.06898154060082,216.71151807503645,726.2766245890413,2843.3220080659007,5725.228022138342,7787.6854200930275,8161.899156607336,8158.9317951288385
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,2.032974009731903e-06,0.11235057060298792,116.97334310680677,519.8046707714581,2182.227724984178,8979.193304929799,20116.03582278382,34707.738699880436,53355.789143843096,75011.37979068162,99941.17652959969,126928.39674835133,157239.529219808,190402.07116465314,226547.63925273757,263456.27541251335,302582.3904030846,343834.97285734327,387221.6891792272,431329.99342203245,477578.1227108063,525285.9302467903,575434.4156020035,626289.7423932438,1077341.8166153529,1568700.5041146912,2102295.6088872403,2640626.2952281507,3199744.908564515,3797247.5433991994,4359079.68935198,4925875.104666149,5525223.211784714,6147068.569361299,7196760.2792224055,8409178.422103783,9615776.107041223,10826184.749531262,12018018.566405155,13378134.701598406,14697396.862760365,15971808.823944345,17433873.110910013,18819365.699649155,20265020.354806557,21690159.061776485,23176699.230868034,24809280.89681108,26359742.412789352,28166934.575741086,29610733.321362253,31292007.385612573,33106093.507826276,35041521.47780758,36316393.79012988,36312355.45306251,36211680.45122471,35514968.510055766,32677820.263152726,30067323.11860308,13077105.989509992,4748817.6228090385,1724484.6528745298,626229.0032061707,227408.67282186492,205501.2218058063,137038.92629936687,106380.59357937229,82581.13952355705,10890.01733729001,1436.0722018764125,314.2585167427685,9.068710768618066,0.057268372405076894,0.0027424354791831004,0.0003616463941424507,2.283775684426514e-06,1.4421909127239105e-08,9.10735085806891e-11,5.751238571125805e-13,3.6318733851687884e-15,1.4483360261842768e-19,5.7757443995813085e-24,2.3032792423089384e-28,9.18512807037289e-33,3.6628896268863545e-37,3.678496464587417e-48,3.6941694304202615e-59,3.709908813113035e-70,3.7257149173882966e-81,3.741588049455542e-92,3.757528513017095e-103,3.789612671584954e-125,3.821969852890172e-147,3.8546025064180343e-169,3.887513073510183e-191,3.920704007683594e-213,3.9799293994481766e-257,4.040047584285505e-301,,,,,,,,,,,,,,,,,,,,,,,
Ag111,6.815509993979502e-05,18372212.368795782,389536148.8075376,608350914.1739228,799067709.5904402,877395721.9043889,885225626.1234922,886097611.174905,886187779.3559989,886338711.797404,886378547.6696795,886379129.1968234,886646029.0795798,886756870.9506541,886900722.5643209,887042366.27418,887106101.7924532,887189213.6425018,887197345.7437245,887530170.6493496,887565974.2335051,887625239.4978015,887579901.8111537,887888033.0358407,886276213.9815214,887235030.9371588,888174626.3177608,889165935.9409515,890550443.3737087,891429494.3707784,892331756.1764,893552448.6559149,894803780.3323889,896154426.9526259,895416669.3262885,897917787.077499,900225538.523318,902697086.5432032,905484909.7042034,908021028.5530481,910659025.4510581,913598199.7273905,916278919.0553758,919465160.1530514,922597281.9918555,925692891.8476118,929298459.9827148,932463177.4364479,936203335.0976831,939724436.0087297,943524370.3266824,947278875.8200827,951250733.636141,955509226.5269367,959994360.0351137,958247016.4636987,873765306.6012306,455570561.71329206,27948228.928143606,1714561.1163603398,1.2946124603635135e-06,2.310417057426125e-21,4.123262433982287e-36,7.358538620775114e-51,1.3132341620929262e-65,4.4004514291201786e-67,5.547757530686504e-73,1.140263234715623e-76,2.3436500920407975e-80,7.464384051140089e-110,2.377361281250887e-139,1.7923428780798207e-161,1.8296064657901749e-208,4.4464431678568386e-256,2.5194910145426746e-300,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,0.0002398844856148691,1355.8091815205523,15102.660315624651,17611.367989998635,17989.12245170789,18826.577845138887,19445.17425514983,20346.302764105327,21005.653282032134,21850.777735894408,22570.435073781176,23448.370973352325,23524.58331954432,24418.28210847027,25283.234730006185,26459.90969369989,27189.907296243255,27573.617239459287,28486.33356047719,29113.675573557226,29062.171492968893,30409.829643218964,31128.67707315507,31986.45553444798,37589.89958018906,43870.59258086829,48739.22576378775,54721.10524397076,58982.19874000137,64244.43181818795,70199.57795983835,74477.00162922645,80811.07042035951,85750.07574716742,94697.84349852864,103969.4187400673,112036.84579747057,121202.1853373544,132483.79211904027,142497.009334808,150323.3877740529,157493.6630890781,164652.9188998575,176381.345828791,185115.7374411265,193049.7688891171,200601.35441995383,213473.2269033052,215268.2930656973,228218.15160017056,233668.8176613458,242488.66646743228,256587.7838927113,261559.26989256687,273912.55443045637,270347.9605067179,194851.492924652,19686.620255371676,1.0656246557609692,5.7681756336163355e-05,4.24324709621851e-11,,1.4276735243514783e-11,1.2056925577178679e-11,,,,8.03548818402747e-12,,,,2.8347027586133665e-11,,1.2851158352127993e-11,2.322889752782194e-12,,5.558540658675278e-12,5.091420069311395e-12,3.265649875077173e-12,5.0346028599419666e-12,2.799529965094784e-12,,,,,,,,6.332416201004101e-16,3.354856290030575e-16,2.75842726300749e-16,5.879634399299867e-17,,,,,,1.364484998189189e-22,2.833067401580663e-24,2.8837777013288473e-26,6.481555020287347e-28,2.1428015801479375e-29,1.11320679040594e-33,1.1550090505353646e-37,9.215777423296944e-42,2.361208229108009e-46,2.721623236068864e-50,2.864816933497045e-54,5.174096097840086e-63,,,,,,,,,,6.464673959780368e-16,4.14056262774962e-21,,
Am241,10456776.706699347,10461236.088743811,10568078.810700435,10679280.902998056,10901436.065451007,11344728.566673262,11786726.973404124,12227438.247811703,12666838.972256048,13104951.21305401,13541803.68249701,13977382.412582407,14411687.283269718,14844713.478034254,15276509.511596933,15707054.702399379,16136340.27173073,16564420.022385497,16991285.40911564,17416897.312634103,17841313.563817836,18264509.161043894,18686531.483948994,19107327.262496505,22431698.371435344,25683788.204002924,28866591.97077634,31983341.090745427,35036415.55630299,38028789.645385176,40963296.21615587,43842157.70947919,46667454.46081802,49442123.511060156,54383464.336874075,59174559.2642267,63827744.159657545,68356736.02430537,72768673.97585627,77072621.06646939,81279542.79359162,85393502.58749765,89423541.58029555,93371474.86974481,97246739.59403156,101053170.4050467,104792545.28616594,108471640.24817543,112095811.18779664,115661976.65333022,119177045.44060934,122639375.84949844,126048059.42035303,129407675.4406658,131923284.2970018,131924036.42685206,131943339.55692442,132079279.51616015,132660744.60148138,133239763.90705079,138896929.9503671,145463502.90627873,151698348.6863497,157617198.8574832,163235039.11035958,163780823.18696055,165935568.62652496,167259495.3187881,168566145.71646655,178421917.05038804,187285776.36638525,193338343.06651327,205688241.6408313,219661863.987653,226327416.74316058,230163587.0835051,237944363.5750416,243593490.38293198,247573401.83232617,250246974.3227248,251898954.24396202,252983748.72455502,252097746.71952596,250022677.4244388,247239590.34290802,244044362.34024218,235280563.0729526,226290729.34704188,217483971.3756649,208972243.54964048,200779434.28784782,192903588.30591363,178063775.65784627,164364940.8791304,151719906.91292155,140047662.74052167,129273380.32937345,110147703.79984994,93851594.18490474,79966440.96531333,68135559.37781377,58055031.284927286,38904969.769825175,26071793.122358672,17471811.74484876,11708655.087900618,7846558.82453921,5258431.27176171,2361753.745170873,476709.4463696788,96518.35756937104,19815.355914957643,4319.273679959177,1168.9224316375735,510.3002414172602,356.0028510127997,143.47286404079054,12.453353825532892,0.2117757462667926,6.121012745747051e-05,1.4776284608284363e-15,2.9790618764465706e-33
