Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
Ac225,386.1057406485159,384.0968104180148,329.8368197154625,272.39846412669834,175.5463303951588,64.47590468681287,21.968214629628132,7.441409072774218,2.8664695457339078,1.678181313857555,1.657381244346281,2.073518205352911,2.717518028429716,3.496011861293555,4.404611011659273,5.4171499970278445,6.561635511403364,7.806112448316655,9.198869233039531,10.6884560354388,12.281736003771176,14.003656669007839,15.88102627935439,17.8640210263879,38.487890352152135,68.25342786973503,107.73393254463653,157.91327969765402,218.75163584327885,291.10793936102215,375.42413980554886,472.2780439532414,583.6967677297056,709.3273824087908,977.1697441262198,1300.5889159012336,1683.357432844968,2129.876261362614,2650.59175452896,3250.387558770462,3927.4797312956603,4696.32926004714,5559.858772318572,6540.7031901232085,7631.416207043515,8846.690155314092,10175.456790353825,11675.799042160881,13280.340100057681,15097.84876963591,17021.169568968973,19173.35490895219,21543.736080651226,24083.326764237743,26227.372937457567,26227.70162586139,26228.518914184748,25938.988037212526,23591.491924494483,22506.673470450733,22883.07676985402,23988.954334360635,25147.94788595288,26360.20065554298,27625.862303855538,27755.371893706277,28278.76982269041,28610.25143224025,28945.088304261335,31744.882750924164,34760.93393074696,37165.7459745222,43256.709454567535,53137.198495828154,59740.92602154685,64428.461150911055,77158.10422780528,91354.88645176601,107048.40915458693,124268.87403812174,143046.89356283113,185399.2427027567,234353.6911871659,290158.3676989614,353059.6866274942,423301.38361135876,632589.1558730459,892904.6073693223,1207756.0551063162,1580503.0641760651,2014360.5457094812,2512403.9356129575,3712684.814206818,5203359.918814148,7004539.255547592,9134576.034555258,11610202.826776467,17657797.614536103,25253309.90352049,34483894.80457822,45420691.74804487,58121223.32283845,97866606.62997021,149373637.7758016,212859510.79697692,288369009.848233,375833731.41811395,475111715.51825464,708322072.5271244,1306780228.8394487,2068071530.6389937,2976829384.497984,4018848734.3785343,5181159821.950926,6451953290.335947,7820483314.558775,25110815368.320637,86941511626.8781,177732521826.15942,305067418843.4382,447576773798.22736,434416876755.2957
Ac226,3155.1030900798028,2738.5185933827556,91.64016629196074,2.7643015700093243,0.07925150703469551,0.04965217727896724,0.054495822802846025,0.07487395687175759,0.10182345680190684,0.13351666658205907,0.16808292845280462,0.20639466921526295,0.24141494532874297,0.28389963039614263,0.32977020122231854,0.3822047190572024,0.4336577577574736,0.4825371938542347,0.540285918747248,0.5960748507118538,0.6448921681042186,0.7155390558744305,0.7821179750490049,0.8527759274775955,1.4869741601753306,2.313588861098549,3.233775592894106,4.375068750393831,5.557231998106946,6.968604433351948,8.583702559891119,10.169253132636971,12.220317537950763,14.209275463494517,18.22352527519306,22.836333531724446,27.922208391967406,33.6608126956667,40.59615581735398,48.0653519112688,55.369712752563906,63.489943070813,72.21088232676345,83.63063187537473,95.06341063531549,107.68831802683418,120.51110485083957,137.96227637628456,150.95276973850739,172.3818527346079,189.87906118543572,213.46203117531286,242.10352877059228,267.2636349389198,295.5734717154061,289.28226075873584,170.41674280044057,14.463510076317563,3.486709261443429,1.0553547989991339,6.8112404321255365e-06,3.300020085578979e-12,1.5988471647446062e-18,7.746353649639228e-25,3.75307887189107e-31,8.768326814274318e-32,2.612359111186982e-34,6.892161902135941e-36,1.8183524421544362e-37,4.2683381116761265e-50,1.001935048849178e-62,3.3788984331189707e-72,2.6748009579784176e-94,7.140742712666079e-126,8.121094028701786e-145,1.9063178289113138e-157,5.089173309726498e-189,1.358623667396948e-220,3.627029728079991e-252,9.682846710561368e-284,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,0.485531809427741,0.48552964924271275,0.5283825356737317,0.7005417095120335,1.4560023796519699,4.6084229379422155,9.941643684964573,17.446277657023213,27.112979628213395,38.93250092276159,52.89573984355788,68.99353895469983,87.21689326429274,107.5567215998628,130.0042465665052,154.5506457181036,181.18687223088227,209.90445613585436,240.6951256276152,273.54959525658364,308.46013449757976,345.4175136615057,384.41404851631864,425.44106533436747,825.7902492133235,1351.5886161609405,1999.1008767265437,2764.938712949806,3646.002949389077,4639.545895902551,5743.131186923288,6954.681593138663,8272.451560174737,9695.059022512301,12558.689496914394,15765.533195712282,19316.704631969125,23220.90739544795,27490.123580495943,32141.835011992793,37200.40030048613,42695.72318650371,48664.014967066025,55153.47950290181,62216.837257514,69913.48829994543,78313.77005420526,87491.40400538415,97537.62978702373,108554.08519399492,120653.3713964198,133963.10254504546,148610.4301596448,164747.08548340693,178067.5889240282,178069.5774769876,178112.60030004664,178413.67416715546,179703.515715622,180991.63109204432,193778.09175088658,209108.03156060475,224197.29265569642,239054.56683045108,253688.27818142434,255139.66987029614,260923.8588254261,264521.7689286551,268106.58998801926,296328.40556112566,323780.37065195094,343898.3361971211,389405.3520008304,451357.0743241687,487050.9324950135,510312.61435534555,566849.4396038031,621460.0572644097,674564.5090960626,726521.0287512491,777635.1317344952,878339.9375274667,978336.1168831402,1078828.7658872246,1180694.0847102571,1284569.0027341708,1555782.880378475,1846516.9504302018,2158748.970649056,2493355.954961674,2850718.034678666,3230991.0508131078,4060442.653701278,4981736.12913534,5994694.386543894,7099099.388609695,8294725.090968761,10958729.150834724,13984889.70885485,17371395.680977922,21116442.497642208,25218232.210856732,37021717.295234874,51015858.92048545,67173107.01649612,85466168.66278093,105868006.14759523,128351834.66606306,179459574.45565727,305507871.94513726,461983180.4625277,647317930.351163,860003127.7873473,1098586442.7010503,1361670380.4649854,1647910502.0289228,5522728499.479167,21621094436.334454,43535588085.01031,59218857881.95739,62064441503.368286,62041877192.125534
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,15.459073199003011,854332.4639602206,889484796.5413431,3952681350.6579623,16594023325.40052,68279282422.90367,152965689069.0853,263923429697.00748,405726313281.3068,570399033824.9749,759969363193.8309,965184683607.2548,1195675586775.6233,1447849082814.55,1722706006817.692,2003365427615.9868,2300886927023.4556,2614578439436.0474,2944498261467.04,3279905158313.3716,3631583641446.7563,3994361761251.6343,4375699201973.568,4762411582781.958,8192286730512.579,11928660083372.13,15986206192580.057,20079762453297.395,24331393575542.664,28874903194598.08,33147168471114.008,37457175275065.51,42014718172946.266,46743333912851.54,54725364623253.71,63944794251414.18,73119964147292.62,82324113199560.62,91387016182039.2,101729565960071.2,111761455310573.61,121452296265410.12,132570076780878.22,143105593341082.12,154098592281341.53,164935584532258.7,176239483734725.66,188653906819500.9,200443874597252.38,214186065003031.16,225164951297858.78,237949639494762.25,251744252715762.28,266461569570828.47,276155911112445.94,276125202924329.5,275359653431187.88,270061739711882.38,248487591584390.5,228636936214377.6,99440493461898.9,36110800673443.73,13113268714566.736,4761949711880.257,1729253449582.9312,1562665540814.9856,1042066835401.4355,808935763676.4768,627960748460.3817,82809506835.64278,10920132368.435219,2389674137.7314687,68959988.13636655,435478.2484969389,20853.93645628816,2750.0194554582185,17.36621093365995,0.10966660065504735,0.0006925381381656567,4.373337663460247e-06,2.7617370533054325e-08,1.1013388532442938e-12,4.3919723038482865e-17,1.7514519238390883e-21,6.984524470179385e-26,2.785322320444832e-30,2.7971900199466816e-41,2.8091080043820736e-52,2.8210764933047033e-63,2.833095718430684e-74,2.845165912606818e-85,2.857287306773416e-96,2.881684635684392e-118,2.906289575635235e-140,2.9311039892553805e-162,2.9561297329817017e-184,2.9813686725093996e-206,3.0264046474970506e-250,3.072119517217103e-294,,,,,,,,,,,,,,,,,,,,,,,
Ag111,518.2627391255246,139705364887717.92,2962097798223983.5,4626001743197538.0,6076244041677306.0,6671863301981290.0,6731403198647388.0,6738033918309173.0,6738719572186241.0,6739867287626093.0,6740170206238188.0,6740174628267511.0,6742204179459305.0,6743047039520599.0,6744140911166190.0,6745217993543245.0,6745702649046779.0,6746334645406524.0,6746396483259571.0,6748927339312762.0,6749199595733945.0,6749650258681199.0,6749305503355648.0,6751648584543372.0,6739392043817819.0,6746683047751312.0,6753827887624640.0,6761365971217651.0,6771893996487577.0,6778578446777794.0,6785439395924708.0,6794721744987686.0,6804237079610874.0,6814507621618926.0,6808897589668651.0,6827916505901816.0,6845465032521065.0,6864259095588941.0,6885458167542380.0,6904743237955470.0,6924803006034088.0,6947152977093699.0,6967537613650253.0,6991766321997162.0,7015583498479735.0,7039123031757881.0,7066540372785227.0,7090605411756322.0,7119046193971964.0,7145821232149715.0,7174716566025814.0,7203266451548546.0,7233469120358155.0,7265851410048580.0,7299957112767010.0,7286670021026043.0,6644257018946857.0,3464234479694825.0,212522990807758.66,13037808488990.082,9.84444891734755,1.7568796374177825e-14,3.135397475840697e-29,5.595555409547742e-44,9.986051440914959e-59,3.346176607560136e-60,4.218607288959529e-66,8.67075168065005e-70,1.7821505908226897e-73,5.676042038887775e-103,1.807785140951195e-132,1.362927396873197e-154,1.3912632500279456e-201,3.381149492224471e-249,1.9158629589751587e-293,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,1824.1216093630671,10309798984.4792,114843146150.06244,133919777423.94795,136792285309.86209,143160435697.41028,147864345898.53516,154716677268.7176,159730488498.786,166156955700.0304,171629350040.21103,178305320943.19995,178884852325.70157,185680686866.49268,192257930759.422,201205563295.84293,206756586731.84973,209674381091.72165,216614828116.1286,221385241340.5914,220993595727.78427,231241412911.97754,236707648577.1167,243230338959.86484,285839861391.021,333599297750.3526,370621195912.136,416108404459.36096,448510469585.42706,488525366950.8042,533809290736.2708,566335533222.2428,614500847988.1504,652057867660.7522,720098184936.7281,790600788335.9283,851946848251.599,921641617669.4658,1007428835905.202,1083571008483.4359,1143084094531.8606,1197608063073.198,1252048237467.6663,1341233150573.0981,1407650920125.2327,1467982617594.3281,1525406132568.3987,1623285996243.8835,1636935978520.4067,1735408861126.2969,1776856634299.817,1843924234596.0996,1951136273350.8254,1988940281474.727,2082876715981.5952,2055770949686.5007,1481683227447.8745,149700341525.2221,8103187.486515703,438.62168880624216,0.00032266358127494923,,0.00010856267424756034,9.168287157646286e-05,,,,6.110319139937556e-05,,,,0.0002155555222695581,,9.772234996930661e-05,1.7663640828447934e-05,,4.2268069592009926e-05,3.87160067770554e-05,2.4832545925066e-05,3.828395924747537e-05,2.1288092442908255e-05,,,,,,,,4.815274819513535e-09,2.5510886372107497e-09,2.097554064578612e-09,4.470971991134274e-10,,,,,,1.0375771340396957e-15,2.1543116699519624e-17,2.192872627052144e-19,4.9286824633435026e-21,1.6294220349041608e-22,8.465009968711835e-27,8.782881321779335e-31,7.007830748965385e-35,1.795502090884215e-39,2.0695676690940322e-43,2.1784545431800447e-47,3.9344689077325655e-56,,,,,,,,,,4.9158458235829876e-09,3.14855283151794e-14,,
Am241,79515072873859.61,79548982758156.06,80361432623034.55,81207031866547.72,82896336747700.36,86267206809077.92,89628236360260.53,92979478342734.83,96320754684863.69,99652233182598.2,102974132168987.67,106286345429012.06,109588872049863.47,112881675405885.47,116165124411101.67,119439061799495.28,122703420816285.77,125958610586889.72,129204566131816.84,132440989981488.48,135668321891531.47,138886371745437.94,142095499825862.16,145295301058567.16,170574373032789.6,195303806134605.56,219506376444445.1,243206656210876.66,266422743292720.62,289177254595116.44,311491731643685.25,333383074249164.6,354867101629137.0,375966147532019.94,413540926728313.25,449973211071723.9,485356804547395.94,519796013518155.4,553345125024740.44,586073056026277.6,618063189992936.2,649346425925763.4,679991514100164.1,710012256822017.8,739480415662948.2,768425149955042.6,796859979780220.1,824836431053834.0,852395230907203.6,879512947468031.9,906242116371300.2,932570253855561.1,958490451842267.8,984037531996729.5,1003166641008451.1,1003172360329187.5,1003319144547446.1,1004352854654134.4,1008774412073764.6,1013177371376532.0,1056195404830916.4,1106128720016494.4,1153539526469117.5,1198547449645445.2,1241266443235026.0,1245416676317512.5,1261801719764200.2,1271869078986617.8,1281805066385631.0,1356749994237325.8,1424152257786054.5,1470176983734944.5,1564087670810488.0,1670345424072778.0,1721031398151117.0,1750202276780819.8,1809368598018545.5,1852325499786878.5,1882589409766647.0,1902919700579053.2,1915481631230128.0,1923730589259637.2,1916993282346395.5,1901214109581670.0,1880051051565863.0,1855754005295591.8,1789112615033910.5,1720752421076464.2,1653784365669118.5,1589059768658724.5,1526760281563842.8,1466871036076218.2,1354026627398206.0,1249858404601720.5,1153703458817007.5,1064945768756050.2,983016329587943.9,837581497644692.2,713663164114379.8,608078144840403.5,518114149435458.9,441460133729134.56,295839874291378.94,198254260201269.06,132858568476454.11,89034564730910.94,59666541061600.234,39985987795688.0,17959169103903.516,3624978081769.432,733941677350.4257,150679268936.65707,32844476941.35624,8888680990.577381,3880408085.777083,2707105012.909831,1090991570.310178,94697378.04832302,1610378.070570402,465.45201087451534,1.1236133087549567e-08,2.2653283018812463e-26
