Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
Ac225,9.266537775564383e-06,9.218323450032355e-06,7.916083673171102e-06,6.53756313904076e-06,4.213111929483812e-06,1.5474217124835088e-06,5.272371511110752e-07,1.785938177465812e-07,6.879526909761378e-08,4.027635153258132e-08,3.977714986431074e-08,4.976443692846987e-08,6.522043268231318e-08,8.390428467104533e-08,1.0571066427982255e-07,1.3001159992866825e-07,1.5747925227368073e-07,1.873466987595997e-07,2.2077286159294875e-07,2.5652294485053126e-07,2.9476166409050815e-07,3.360877600561881e-07,3.811446307045054e-07,4.287365046333096e-07,9.237093684516513e-07,1.6380822688736407e-06,2.585614381071277e-06,3.7899187127436967e-06,5.2500392602386924e-06,6.986590544664532e-06,9.010179355333172e-06,1.1334673054877795e-05,1.4008722425512934e-05,1.702385717781098e-05,2.3452073859029276e-05,3.1214133981629607e-05,4.0400578388279226e-05,5.111703027270274e-05,6.361420210869503e-05,7.800930141049108e-05,9.425951355109586e-05,0.00011271190224113137,0.00013343661053564574,0.00015697687656295698,0.00018315398896904435,0.00021232056372753826,0.00024421096296849175,0.0002802191770118612,0.0003187281624013843,0.0003623483704712618,0.00040850806965525533,0.00046016051781485256,0.0005170496659356295,0.0005779998423417058,0.0006294569504989816,0.0006294648390206734,0.0006294844539404339,0.0006225357128931006,0.0005661958061878676,0.0005401601632908175,0.0005491938424764965,0.0005757349040246552,0.000603550749262869,0.0006326448157330315,0.0006630206952925328,0.0006661289254489506,0.0006786904757445698,0.000686646034373766,0.0006946821193022721,0.0007618771860221799,0.0008342624143379271,0.0008919779033885329,0.0010381610269096207,0.0012752927638998756,0.0014337822245171245,0.001546283067621865,0.0018517945014673266,0.0021925172748423847,0.0025691618197100866,0.002982452976914922,0.003433125445507948,0.004449581824866159,0.005624488588491981,0.006963800824775074,0.008473432479059862,0.01015923320667261,0.0151821397409531,0.02142971057686374,0.028986145322551587,0.03793207354022557,0.048344653097027554,0.060297694454710976,0.08910443554096364,0.12488063805153954,0.16810894213314223,0.2192298248293262,0.2786448678426352,0.4237871427488665,0.6060794376844918,0.8276134753098774,1.090096601953077,1.3949093597481226,2.3487985591192846,3.5849673066192382,5.108628259127447,6.920856236357592,9.020009554034736,11.402681172438111,16.999729740650988,31.362725492146772,49.63371673533586,71.44390522795162,96.45236962508484,124.34783572682221,154.84687896806273,187.69159954941063,602.6595688396953,2086.5962790450744,4265.580523827826,7321.618052242517,10741.842571157456,10426.005042127095
Ac226,3.155103090079803e-05,2.7385185933827552e-05,9.164016629196073e-07,2.7643015700093245e-08,7.92515070346955e-10,4.965217727896724e-10,5.449582280284603e-10,7.48739568717576e-10,1.0182345680190685e-09,1.3351666658205907e-09,1.680829284528046e-09,2.06394669215263e-09,2.4141494532874294e-09,2.8389963039614266e-09,3.297702012223185e-09,3.822047190572024e-09,4.336577577574736e-09,4.825371938542348e-09,5.40285918747248e-09,5.960748507118539e-09,6.448921681042186e-09,7.155390558744304e-09,7.82117975049005e-09,8.527759274775954e-09,1.4869741601753307e-08,2.313588861098549e-08,3.233775592894106e-08,4.375068750393831e-08,5.5572319981069455e-08,6.968604433351948e-08,8.583702559891119e-08,1.016925313263697e-07,1.2220317537950763e-07,1.4209275463494517e-07,1.8223525275193058e-07,2.2836333531724445e-07,2.7922208391967404e-07,3.36608126956667e-07,4.059615581735398e-07,4.80653519112688e-07,5.53697127525639e-07,6.348994307081299e-07,7.221088232676346e-07,8.363063187537473e-07,9.506341063531549e-07,1.0768831802683417e-06,1.2051110485083957e-06,1.379622763762846e-06,1.5095276973850738e-06,1.7238185273460787e-06,1.8987906118543573e-06,2.1346203117531287e-06,2.4210352877059227e-06,2.6726363493891977e-06,2.955734717154061e-06,2.8928226075873585e-06,1.7041674280044058e-06,1.4463510076317564e-07,3.486709261443429e-08,1.0553547989991338e-08,6.811240432125536e-14,3.300020085578979e-20,1.5988471647446063e-26,7.746353649639229e-33,3.75307887189107e-39,8.768326814274318e-40,2.6123591111869824e-42,6.89216190213594e-44,1.8183524421544365e-45,4.268338111676127e-58,1.0019350488491782e-70,3.378898433118971e-80,2.6748009579784172e-102,7.140742712666079e-134,8.121094028701786e-153,1.9063178289113139e-165,5.089173309726498e-197,1.358623667396948e-228,3.627029728079991e-260,9.682846710561368e-292,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,5.34084990370515e-07,5.34082614166984e-07,5.812207892411049e-07,7.70595880463237e-07,1.6016026176171667e-06,5.069265231736437e-06,1.093580805346103e-05,1.9190905422725534e-05,2.9824277591034737e-05,4.2825751015037754e-05,5.818531382791367e-05,7.589289285016981e-05,9.593858259072205e-05,0.00011831239375984908,0.00014300467122315574,0.00017000571028991397,0.0001993055594539705,0.0002308949017494398,0.00026476463819037675,0.000300904554782242,0.00033930614794733775,0.00037995926502765637,0.0004228554533679506,0.00046798517186780425,0.0009083692741346557,0.0014867474777770346,0.0021990109643991985,0.003041432584244787,0.0040106032443279855,0.005103500485492805,0.006317444305615617,0.007650149752452529,0.00909969671619221,0.010664564924763534,0.013814558446605832,0.01734208651528351,0.021248375095166038,0.02554299813499275,0.03023913593854554,0.035356018513192075,0.04092044033053474,0.04696529550515408,0.05353041646377263,0.060668827453192006,0.06843852098326542,0.07690483712993998,0.0861451470596258,0.09624054440592256,0.10729139276572612,0.11940949371339442,0.13271870853606177,0.14735941279955,0.1634714731756093,0.18122179403174762,0.19587434781643104,0.19587653522468637,0.19592386033005132,0.19625504158387103,0.19767386728718422,0.1990907942012488,0.21315590092597528,0.23001883471666526,0.24661702192126608,0.26296002351349623,0.2790571059995668,0.28065363685732575,0.2870162447079687,0.2909739458215206,0.29491724898682126,0.3259612461172382,0.356158407717146,0.37828816981683333,0.42834588720091343,0.49649278175658557,0.5357560257445149,0.5613438757908802,0.6235343835641834,0.6836060629908507,0.742020960005669,0.799173131626374,0.8553986449079448,0.9661739312802133,1.0761697285714542,1.186711642475947,1.2987634931812828,1.413025903007588,1.7113611684163226,2.0311686454732225,2.3746238677139617,2.7426915504578413,3.135789838146532,3.5540901558944187,4.466486919071406,5.479909742048874,6.594163825198285,7.809009327470665,9.124197600065637,12.054602065918198,15.38337867974034,19.108535249075715,23.22808674740643,27.74005543194241,40.723889024758364,56.117444812534,73.89041771814574,94.01278552905902,116.45480676235475,141.18701813266935,197.40553190122301,336.05865913965096,508.1814985087805,712.0497233862793,946.0034405660821,1208.4450869711554,1497.837418511484,1812.7015522318154,6075.001349427085,23783.203879967903,47889.14689351134,65140.74367015313,68270.8856537051,68246.0649113381
Ag111,6.73741560863182e-07,181616.97435403333,3850727.1376911798,6013802.266156799,7899117.2541804975,8673422.292575678,8750824.158241605,8759444.093801925,8760335.443842113,8761827.473913921,8762221.268109644,8762227.016747763,8764865.433297098,8765961.151376778,8767383.184516046,8768783.391606217,8769413.443760812,8770235.03902848,8770315.428237444,8773605.541106591,8773959.47445413,8774545.33628556,8774097.154362341,8777143.159906385,8761209.656963164,8770687.962076705,8779976.253912032,8789775.762582948,8803462.19543385,8812151.980811134,8821071.214702122,8833138.268483993,8845508.203494135,8858859.908104602,8851566.866569249,8876291.457672361,8899104.542277385,8923536.824265623,8951095.617805094,8976166.20934211,9002243.907844314,9031298.870221809,9057798.89774533,9089296.218596311,9120258.548023654,9150859.941285247,9186502.484620795,9217787.03528322,9254760.052163556,9289567.60179463,9327131.53583356,9364246.38701311,9403509.8564656,9445606.833063155,9489944.246597115,9472671.027333856,8637534.124630915,4503504.823603272,276279.8880500863,16949.15103568711,1.2797783592551816e-08,2.2839435286431174e-23,4.0760167185929064e-38,7.274222032412066e-53,1.2981866873189449e-67,4.3500295898281764e-69,5.484189475647388e-75,1.1271977184845065e-78,2.3167957680694964e-82,7.3788546505541095e-112,2.350120683236554e-141,1.771805615935156e-163,1.8086422250363292e-210,4.395494339891812e-258,2.490621846667705e-302,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am240,1.057990533430579e-06,5.979683410997935,66.60902476703622,77.6734709058898,79.33952547972001,83.03305270449796,85.76132062115036,89.73567281585619,92.64368332929587,96.3710343060176,99.54502302332237,103.41708614705597,103.75321434890692,107.69479838256574,111.50959984046476,116.6992267115889,119.91882030447283,121.61114103319855,125.63660030735457,128.403439977543,128.17628552211488,134.12001948894695,137.2904361747277,141.07359659672161,165.78711960679217,193.4875926952045,214.96029362903886,241.3428745864293,260.13607235954765,283.34471283146644,309.60938862703705,328.4746092689008,356.4104918331272,378.1935632432362,417.65694726330236,458.54845723483845,494.1291719859274,534.5521382482901,584.3087248250172,628.4711849203928,662.9887748284792,694.6126765824548,726.1879777312464,777.915227332397,816.4375336726349,851.4299182047102,884.7355568896713,941.5058778214524,949.4228675418358,1006.537139453252,1030.576847893894,1069.4760560657376,1131.6590385434788,1153.5853632553417,1208.0684952693252,1192.3471508181703,859.3762719197672,86.82619808462881,0.004699848742179108,2.544005795076204e-07,1.871448771394705e-13,,6.296635106358499e-14,5.317606551434845e-14,,,,3.543985101163782e-14,,,,1.2502220291634368e-13,,5.667896298219783e-14,1.02449116804998e-14,,2.4515480363365756e-14,2.2455283930692132e-14,1.4402876636538283e-14,2.2204696363535715e-14,1.2347093616886784e-14,,,,,,,,2.7928593953178502e-18,1.4796314095822349e-18,1.216581357455595e-18,2.593163754857879e-19,,,,,,6.017947377430234e-25,1.2495007685721382e-26,1.2718661236902436e-28,2.8586358287392318e-30,9.450647802444132e-32,4.909705781852864e-36,5.094071166632014e-40,4.064541834399923e-44,1.0413912127128449e-48,1.2003492480745385e-52,1.2635036350444257e-56,2.2819919664848877e-65,,,,,,,,,,2.8511905776781325e-18,1.826160642280405e-23,,
Am241,15903014.574771922,15909796.551631212,16072286.524606911,16241406.373309543,16579267.349540072,17253441.361815583,17925647.272052106,18595895.668546963,19264150.936972737,19930446.63651964,20594826.433797535,21257269.08580241,21917774.409972697,22576335.081177093,23233024.882220335,23887812.35989905,24540684.163257148,25191722.11737794,25840913.226363365,26488197.9962977,27133664.378306292,27777274.349087585,28419099.965172425,29059060.211713433,34114874.60655792,39060761.22692111,43901275.28888901,48641331.24217534,53284548.65854413,57835450.91902328,62298346.32873706,66676614.84983294,70973420.3258274,75193229.50640398,82708185.34566264,89994642.21434477,97071360.90947919,103959202.70363109,110669025.00494808,117214611.20525551,123612637.99858725,129869285.18515268,135998302.82003278,142002451.36440355,147896083.13258964,153685029.99100852,159371995.95604402,164967286.2107668,170479046.1814407,175902589.4936064,181248423.27426,186514050.7711122,191698090.36845356,196807506.39934587,200633328.20169023,200634472.06583747,200663828.9094892,200870570.93082687,201754882.4147529,202635474.2753064,211239080.9661833,221225744.00329888,230707905.29382345,239709489.92908904,248253288.64700517,249083335.2635025,252360343.95284003,254373815.79732355,256361013.27712616,271349998.84746516,284830451.55721086,294035396.7469889,312817534.1620976,334069084.8145556,344206279.63022333,350040455.35616404,361873719.60370904,370465099.95737565,376517881.9533294,380583940.11581063,383096326.2460255,384746117.8519274,383398656.469279,380242821.916334,376010210.3131726,371150801.0591183,357822523.00678205,344150484.2152929,330756873.1338237,317811953.7317448,305352056.3127685,293374207.21524364,270805325.47964114,249971680.92034417,230740691.7634015,212989153.75121,196603265.9175888,167516299.52893844,142732632.82287598,121615628.96808068,103622829.88709177,88292026.7458269,59167974.858275786,39650852.04025381,26571713.695290823,17806912.946182188,11933308.212320046,7997197.5591376,3591833.8207807024,724995.6163538864,146788.33547008512,30135.853787331413,6568.895388271247,1777.736198115476,776.0816171554166,541.4210025819661,218.1983140620356,18.939475609664605,0.3220756141140804,9.309040217490306e-05,2.247226617509913e-15,4.530656603762492e-33
Am242,106851896.78425103,82462143.1999352,352800.3608771324,193095.0420309687,196962.52684433508,205863.94049738068,213830.76360533174,221778.62205945837,230278.13404399852,238568.3240803574,246198.98925718165,254472.96268620447,262868.5751056841,271344.06292353116,279248.36373785883,287453.94190267916,296051.9630059756,303759.8610027568,311647.2809639038,320595.3512245478,328383.26991657587,336766.0057782994,344387.99143353273,353381.0591366551,416939.18188341026,481077.39958902425,545531.2198555858,609416.2777868445,674172.0726877613,738117.6801205747,801180.7135023356,865147.0233336451,929827.8009297699,993886.5376935332,1104379.5212742733,1223361.2364393312,1343154.7854626703,1459560.8731875063,1579208.9503231782,1700667.6274893489,1818486.4317612161,1942495.571228333,2063774.4897811003,2192980.120562121,2317784.3911650237,2446491.896332616,2579829.32816901,2710752.70340817,2840934.923086899,2979187.757326585,3113099.2503604824,3254120.9404217047,3398996.3293940886,3542637.6508926074,3656232.8360591335,3508449.9433427867,1257523.1738183035,24834.693716512607,23965.43357439007,23955.759108691615,23859.23054911429,23742.31060343956,23625.963370287252,23510.186353078014,23394.97679597428,23383.486943105574,23337.583942856483,23308.940345168765,23280.33190878489,23052.72503391427,22827.343666286313,22659.754996778207,22273.484238675657,21733.063793389585,21415.12614829082,21205.7560021041,20691.242557195736,20189.212923770996,19699.364130926184,19221.400579218312,18755.03385607967,17855.972118528585,17000.00871669527,16185.07755741591,15409.211642390374,14670.538287610525,12975.08142056609,11475.565363182033,10149.345759345846,8976.395214290022,7939.000816968524,7021.496661206547,5492.338516054756,4296.2029996455185,3360.5642298098196,2628.690935141343,2056.2067741587184,1258.1172677124564,769.7953089800767,471.0090272808513,288.1927559441017,176.33428801952644,51.63814243155381,15.121816953775088,4.428299524264835,1.296790223754958,0.379753907225368,0.11120763263858592,0.009536715816096148,7.013354662656189e-05,5.157642873371005e-07,3.792934125295166e-09,2.7893178411402975e-11,2.0512541408026447e-13,1.5084807734284625e-15,1.1093255214539228e-17,5.131029864162538e-39,107110964.61404695,107145477.10693748,107157098.22689793,1.1339129607519582e-226,107171051.6778268
Am243,31251.301366577038,31251.590381385922,31285.80129231975,31322.66368649974,31395.740987248948,31541.639706226862,31690.384084561083,31838.521055023317,31987.86933686448,32133.991724866934,32279.095200199135,32427.791019379903,32581.51454454204,32729.932979158755,32877.503721087356,33028.24498035071,33188.173746444285,33344.05980657859,33491.41927863356,33648.85308203838,33810.88237591268,33971.95785156464,34131.89257857177,34294.72163985807,35563.36646745275,36860.394010619864,38269.993146555054,39670.82164841978,41142.159208335,42605.271770706495,44124.51000438823,45664.6724166482,47331.74153059685,49012.27415958314,52116.904001435585,55345.34897941671,58823.077324761645,62558.892262678666,66542.2075879991,70656.61566139643,75088.994143012,79861.17935913325,84713.15793476284,89848.3250394539,95272.10520916602,100877.68276086616,106749.92529199897,112878.97584306219,119274.85201638384,126070.24547294929,133352.8779758995,140945.57086684945,148907.2445581369,157096.3599813995,163461.77595185916,163462.83356554908,163469.9463729661,163469.8114728722,163468.57672948585,163467.3567003271,163455.16316827733,163440.30992715684,163425.44489780505,163410.5704899691,163395.6872417667,163394.19843902154,163388.2423678252,163384.51912687087,163380.79535310937,163350.9862933351,163321.14467645658,163298.74298225692,163246.40794952144,163171.5003145474,163126.4829510543,163096.4438216253,163021.25852641644,162945.96243120736,162870.5716191217,162795.10043483356,162719.56165922375,162568.32562658077,162416.94034493275,162265.46656677822,162113.95237693362,161962.4357269412,161583.81477878467,161205.66916010185,160828.17574148558,160451.43201520803,160075.49133619625,159700.38254212833,158952.71545330997,158208.48353449043,157467.69517022264,156730.3443641856,155996.42070253126,154538.8034542634,153094.7353077704,151664.10289773732,150246.79051411792,148842.68161907216,145389.40616847744,142016.09368773559,138720.93542225982,135502.14886736334,132357.98291985618,129286.7204890991,123356.21453094414,112298.44209001238,102231.54745975153,93066.78361454603,84723.35537367339,77127.69471869407,70212.81687920763,63917.73252012032,24981.83159756734,1490.571185800043,13.571997774859314,0.001593047206630471,0.0004624206484112655,0.00045228262320530835
Am244,4.220403343326352e-06,257.6903836524414,764.0020558261186,766.6645587277246,767.7207136744343,776.0278200769368,778.3587362571741,781.8530864682253,785.2315337914265,794.2908832209754,792.0424732410739,798.8737575435619,806.313582913295,811.4801918771095,813.703820786551,817.1823554898135,822.8451512402519,827.8080415375732,830.3390727993803,837.0589380779602,839.487327198945,847.1951863875399,850.9343361969027,858.1024662021836,894.4138116210447,934.6618131773027,979.3395586333534,1021.82691324746,1069.428868727624,1119.2024570078481,1166.8818364628944,1218.1132505098349,1277.549497736169,1329.1600285026564,1427.7395404434417,1546.7003598715107,1671.8615125275269,1803.452544806366,1951.0972259356429,2104.414192692921,2267.3703500483307,2453.177441322956,2641.9899494429274,2851.118124465819,3068.6071415219044,3297.8505595980414,3549.5395011092987,3814.580358726314,4091.195313337464,4385.1655674556405,4714.596587288862,5055.1844468228865,5427.395783113637,5819.829584364107,6126.89066265165,5736.239735215483,1104.861976159975,0.010866162465326991,2.0392190624026634e-09,2.0263513651544325e-09,1.9020568454314668e-09,1.7610665505851448e-09,1.6305271667054422e-09,1.5096640416199713e-09,1.397759923259239e-09,1.3870362504931136e-09,1.3449579967966722e-09,1.3193098055726759e-09,1.294150722621226e-09,1.1094031975591826e-09,9.510294634568406e-10,8.472711000648566e-10,6.47076134288314e-10,4.4026768160246063e-10,3.4944084434121167e-10,2.995561501802547e-10,2.0381666023915987e-10,1.3867594242342998e-10,9.435449057394376e-11,6.419837340014377e-11,4.368028626109999e-11,2.022126774931168e-11,9.361194780779231e-12,4.3336534569089576e-12,2.0062131477535616e-12,9.287524200603282e-13,1.3542758810449127e-13,1.9747598379632976e-14,2.879528530947213e-15,4.198831498234566e-16,6.122594126168531e-17,8.92775904640903e-18,1.8982628543047168e-19,4.036176342211236e-21,8.581907412024574e-23,1.8247250649392856e-24,3.879814677093002e-26,1.7540335290091956e-29,7.929843194836523e-33,3.5850163602464045e-36,1.620755645013211e-39,7.327297468696025e-43,3.1842642043315856e-51,1.3838017950847223e-59,6.013652524089598e-68,2.6133796149300886e-76,1.1357073894986115e-84,4.9354894227844715e-93,9.320888860083784e-110,3.324374991179412e-143,1.1856627340707497e-176,4.228739616756668e-210,1.5082014812041948e-243,5.379061375671942e-277,0.0,,,,,,,
As74,2.8246340058698404e-07,0.0017845213536627038,0.039845532415837784,0.07118351227217011,0.11535296470316841,0.16049486634930327,0.17879945355681692,0.1872306058002393,0.1922280563711666,0.1954541393603052,0.19814395679943095,0.1999612479532813,0.20175606463244675,0.20379246474199156,0.20619528338493176,0.20915820433439594,0.21220400581050505,0.21429053531988515,0.21648795549883956,0.22030604583672897,0.21981789381456984,0.2218712401265767,0.22575281185077475,0.22855829780657555,0.24791213140915574,0.27145583391210554,0.2897743219265518,0.3105145646585902,0.31801583440348735,0.3304947886417709,0.3594277442709722,0.3815906182489794,0.4029465622951785,0.4295304530461569,0.4547286303522904,0.5149240624227788,0.5188335582443591,0.553792331573581,0.5949933062379239,0.6335251067657363,0.7185816864983615,0.705555152213704,0.7746679047434201,0.8096608942059802,0.8338666948515903,0.85664397108985,0.9120608735034684,0.9927808228544086,0.9406260635773525,1.0550113531124197,1.2013542316686467,1.0932813492493951,1.2251920519095454,1.250395088655583,1.400443066021814,1.398259436838745,1.3447666991669156,1.023444274945813,0.3175804100432714,0.09854696385038529,8.157154939775191e-07,5.349479192920841e-13,3.5081995564205553e-19,2.3006845560725153e-25,1.5087937174368667e-31,3.63334925292457e-32,1.2218454125810156e-34,3.4770381883055794e-36,9.894700623510573e-38,4.2554769867661793e-50,1.8301801405354507e-62,9.71970390487253e-72,2.220024837416919e-93,2.692910019382314e-124,7.595218150491207e-143,3.2665240529745625e-155,3.962323090688337e-186,4.806333640337934e-217,5.830126090699536e-248,7.071995607620442e-279,1.39662611399292e-309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
