Days,Keff,Discharge Step,Discharge Time,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/GWe.y),Volume Ueq,Mass U
10076.78267298146,0.0,54,10076.74267298146,0.0,0.0,591799931205.426,121503923.37561403,0.05684164912209101,432233.37353256706,1412.322816073047,10739538080.555462,5.7129695371438326e+19,3.1124396389229658e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
10077.78267298146,0.0,54,10076.74267298146,0.0,0.0,439935849381.64575,90324329.07616913,0.039515879944918175,300485.33708114864,1305.7795316526745,9929365188.60888,5.713206385699625e+19,3.112568674589737e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
10084.78267298146,0.0,54,10076.74267298146,0.0,0.0,226069597105.37628,46414914.15569757,0.022813214942236593,173475.4886232574,994.9285199687174,7565602287.262121,5.7138165366164005e+19,3.1129010862867974e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
10114.78267298146,0.0,54,10076.74267298146,0.0,0.0,124820440948.27516,25627196.782192744,0.01131183061945493,86017.04533543852,732.8462806237344,5572685258.909646,5.71561850978148e+19,3.1138828056309676e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
10144.78267298146,0.0,54,10076.74267298146,0.0,0.0,98033488242.69293,20127500.55482789,0.00812745055629212,61802.488605137994,680.2696275105301,5172883625.861322,5.7165889465782714e+19,3.1144115019479644e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
10444.78267298146,0.0,54,10076.74267298146,0.0,0.0,44417462405.65891,9119460.250161845,0.0027312981572381726,20769.246403998604,551.1903331121156,4191343158.0400453,5.717719002523388e+19,3.115027159163518e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
10809.78267298146,0.0,54,10076.74267298146,0.0,0.0,34077994507.193756,6996638.247258218,0.002147567329987484,16330.459905113159,493.971739552474,3756243436.1802707,5.7177210733764895e+19,3.1150282873693026e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
11174.78267298146,0.0,54,10076.74267298146,0.0,0.0,29044349117.266827,5963167.928138845,0.0019519865987032846,14843.231427639561,463.2631560957942,3522730249.478435,5.7177208223615386e+19,3.11502815061575e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
11539.78267298146,0.0,54,10076.74267298146,0.0,0.0,26008315071.621384,5339832.188142264,0.0018372328126901524,13970.624513164701,444.5815990262173,3380672575.9285274,5.717720570099804e+19,3.115028013182946e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
11904.78267298146,0.0,54,10076.74267298146,0.0,0.0,23982231871.55014,4923851.981127638,0.0017566173694407356,13357.611246788927,431.9191647212708,3284385315.067997,5.7177203178373415e+19,3.1150278757497456e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
11941.28267298146,0.0,54,10076.74267298146,0.0,0.0,23814932974.38842,4889503.426304122,0.0017497526197549982,13305.410546053632,430.8590790448958,3276324246.9038954,5.7177202926110286e+19,3.1150278620063893e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
12087.28267298146,0.0,54,10076.74267298146,0.0,0.0,23193521154.975983,4761919.812131005,0.0017239835647270877,13109.458356778896,426.8924405076378,3246161266.360162,5.717720191706829e+19,3.1150278070335365e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
12178.53267298146,0.0,54,10076.74267298146,0.0,0.0,22839073861.357956,4689147.352160055,0.0017091091057336142,12996.350491516027,424.6056834335203,3228772384.442394,5.717720128640955e+19,3.115027772675096e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
12269.78267298146,0.0,54,10076.74267298146,0.0,0.0,22506913338.882587,4620950.6448893305,0.0016950705648555847,12889.599086922677,422.4435311398002,3212331018.04223,5.7177200655752544e+19,3.1150277383167497e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
12999.78267298146,0.0,54,10076.74267298146,0.0,0.0,20403393000.42482,4189071.625399721,0.001605178182821344,12206.042431870637,408.1272313405463,3103467488.3187375,5.717719561051388e+19,3.1150274634509258e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
13729.78267298146,0.0,54,10076.74267298146,0.0,0.0,18871252353.876495,3874503.9989052676,0.0015406624463459515,11715.454019089006,396.67789195456777,3016404803.4045258,5.7177190565273846e+19,3.1150271885850263e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
14277.28267298146,0.0,54,10076.74267298146,0.0,0.0,17924888179.458233,3680203.604345018,0.0015017398047080677,11419.479764967598,389.01856916933525,2958162036.3918204,5.71771867813459e+19,3.1150269824357156e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
15554.78267298146,0.0,54,10076.74267298146,0.0,0.0,16105821028.195509,3306726.3798513906,0.0014280888078115732,10859.425309400503,372.8693723802837,2835360852.4750743,5.7177177952183706e+19,3.1150265014208206e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
17379.78267298146,0.0,54,10076.74267298146,0.0,0.0,14048352712.814777,2884302.416349784,0.001343791059128267,10218.411178787863,352.39881609322026,2679699330.7088623,5.717716533909546e+19,3.115025814256719e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
18474.78267298146,0.0,54,10076.74267298146,0.0,0.0,13002794957.565092,2669636.339725083,0.001299609414550434,9882.446589810592,341.19977406410834,2594539948.61249,5.717715777124448e+19,3.1150254019583646e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
19204.78267298146,0.0,54,10076.74267298146,0.0,0.0,12364571780.77918,2538601.1437412254,0.0012720553633236843,9672.920991940517,334.12492419716506,2540741611.082609,5.7177152726011355e+19,3.1150251270928422e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
