Days,Keff,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y)
0.0,1.2720737611233934,250000.0,0.0,51826315420.80057,10640590.384833116,0.0021801912209089974,16578.5374089955,170.642231078496,1297591965.49273,999.9999999999999,544802421.698018
0.25,1.2712993961593653,250000.0,0.002977152536435971,199798315433.50403,41021091.63744129,0.01719111110314074,130724.07401346604,201.2331526855137,1530210431.879427,266303321000002.97,1.450826941870263e+20
6.25,1.2704566669916137,250000.0,0.07442881341089928,397382409793.7513,81587576.01077954,0.037251570123557565,283267.1478145523,496.8405426112001,3778058292.772667,2.9798305076363388e+16,1.623418876809912e+22
12.5,1.2719949523955618,250000.0,0.14885762682179857,452488150630.4313,92901473.42631042,0.04242521372102105,322608.3960035976,628.3014138613328,4777708667.903884,6.194948179954793e+16,3.3750227707331007e+22
25.0,1.2699036456416313,250000.0,0.29771525364359713,493063546913.3384,101232109.47564478,0.04722981851021488,359143.4115880923,745.6367947258834,5669946459.894738,1.2796853119700376e+17,6.971756569726603e+22
50.0,1.2701909504191617,250000.0,0.5954305072871943,527340736962.71234,108269645.05765687,0.05137810051294353,390687.63931717473,824.7497021315237,6271534193.291795,2.6513782495841914e+17,1.4444772912109197e+23
75.0,1.2700091923229908,250000.0,0.8931457609307913,544749571737.9818,111843896.44745441,0.053211489709045205,404629.03632919793,855.0672415212082,6502073815.734187,4.0679010798750086e+17,2.2162023595438873e+23
100.0,1.2700285570669665,250000.0,1.1908610145743885,556276713510.7053,114210562.74266668,0.05430183489092365,412920.2028163986,874.1694390234766,6647330109.241019,5.511067301962247e+17,3.002442812249795e+23
125.0,1.268748652734846,250000.0,1.4885762682179855,564662600355.1365,115932290.13541396,0.05505569066744853,418652.6477837232,888.8955560623453,6759309957.557417,6.969983019669105e+17,3.797263628309793e+23
150.0,1.2678897891844307,250000.0,1.7862915218615827,571219416988.335,117278486.5504175,0.055623045434053484,422966.907988115,901.1997881881348,6852873389.347275,8.438243989308229e+17,4.5971757602538684e+23
175.0,1.2670342321672714,250000.0,2.0840067755051797,575953789430.055,118250512.39235818,0.05602526420408964,426025.4465519316,911.596555226623,6931932138.702445,9.911931750457701e+17,5.4000444213548304e+23
200.0,1.2663041022839823,250000.0,2.381722029148777,580117726263.849,119105420.67354648,0.05635855280369381,428559.8286114217,920.9008694608826,7002683694.858795,1.138872027003701e+18,6.20460238315747e+23
225.0,1.264092174372869,250000.0,2.679437282792374,583299201442.9629,119758617.29625833,0.0566028094091709,430417.1965489037,929.1064807387152,7065080530.617313,1.2867377749579576e+18,7.010178558874148e+23
250.0,1.2633142502102501,250000.0,2.977152536435971,586109260309.1284,120335557.50721793,0.05680413346643658,431948.09823436145,936.6117362836542,7122151744.656954,1.4346985285609052e+18,7.816272327665644e+23
275.0,1.2622986396305764,250000.0,3.274867790079568,588447304610.0402,120815587.22774887,0.05696044923785422,433136.7494128498,943.4699452115088,7174302708.379182,1.5827086154862062e+18,8.622634865592025e+23
300.0,1.262610166858933,250000.0,3.5725830437231654,590483325069.2466,121233607.6782797,0.05708624520806633,434093.32293633773,949.8267090432588,7222640600.016447,1.7307380216102692e+18,9.429102654981115e+23
325.0,1.2616558518665284,250000.0,3.8702982973667623,592175929372.6727,121581120.49932684,0.05718229693673678,434823.7162897692,955.6990797834062,7267295085.852985,1.8787657054353856e+18,1.0235561061243834e+24
350.0,1.2627541927320773,250000.0,4.168013551010359,593760918954.9583,121906538.67293987,0.05726668659787268,435465.4293379902,961.2410069613477,7309436823.768581,2.0267816078890312e+18,1.1041955282309472e+24
375.0,1.2601987013227407,250000.0,4.465728804653956,594888759481.5537,122138098.43105648,0.057316249712898865,435842.31552516844,966.3469218787159,7348263051.786068,2.1747761884165821e+18,1.1848233341005393e+24
400.0,1.259093683250612,250000.0,4.763444058297554,596474669672.6996,122463705.61717612,0.05739623858436967,436450.56423531106,971.4154398959699,7386804907.542272,2.3227615106141056e+18,1.2654460960095115e+24
425.0,1.2579587144705164,250000.0,5.061159311941151,597550877883.0848,122684664.61537087,0.057440257504766015,436785.2914424916,976.0582799715633,7422109837.283762,2.470720473084971e+18,1.3460544970755652e+24
