,Years,#packages per GWe.y,Area per package (m2),Total area (m2),Required st (y),n_wf,Decay heat (W/Pkg),Reactor
0,3.0,11.034124162615786,0.0,0.0,17.0,7,1345.2115644963687,SFR
1,5.0,11.034124162615786,0.0,0.0,17.0,7,1210.572860150083,SFR
2,10.0,11.034124162615786,0.0,0.0,17.0,7,1061.7475248993128,SFR
3,20.0,11.034124162615786,240.5331312878825,0.0026540724358532,17.0,7,926.0736083982453,SFR
4,50.0,11.034124162615786,114.53944226270738,0.0012638424274434,17.0,7,698.2323714488181,SFR
5,100.0,11.034124162615786,94.63143451595944,0.0010441749981355,17.0,7,522.4240316588914,SFR
6,3.0,25.746289712770164,44.918325428167826,0.001156480219886,1.0,3,576.5192419270152,SFR
7,5.0,25.746289712770164,42.510494406016406,0.0010944875048103,1.0,3,518.8169400643212,SFR
8,10.0,25.746289712770164,37.7538250339195,0.0009720209170885,1.0,3,455.03465352827686,SFR
9,20.0,25.746289712770164,36.26835003806797,0.0009337754474842,1.0,3,396.8886893135336,SFR
10,50.0,25.746289712770164,33.04054115511752,0.0008506713448463,1.0,3,299.2424449066363,SFR
11,100.0,25.746289712770164,29.47556112837458,0.0007588863362575,1.0,3,223.8960135680963,SFR
12,3.0,77.23886913831049,23.45111111111111,0.001811337302259,1.0,1,192.1730806423384,SFR
13,5.0,77.23886913831049,23.45111111111111,0.001811337302259,1.0,1,172.9389800214404,SFR
14,10.0,77.23886913831049,23.45111111111111,0.001811337302259,1.0,1,151.67821784275895,SFR
15,20.0,77.23886913831049,23.45111111111111,0.001811337302259,1.0,1,132.29622977117788,SFR
16,50.0,77.23886913831049,23.45111111111111,0.001811337302259,1.0,1,99.74748163554544,SFR
17,100.0,77.23886913831049,23.73272727272727,0.0018330890161133,1.0,1,74.63200452269876,SFR
18,3.0,4.065203638858447,0.0,0.0,212.0,19,3651.2885322044294,SFR
19,5.0,4.065203638858447,0.0,0.0,212.0,19,3285.840620407368,SFR
20,10.0,4.065203638858447,0.0,0.0,212.0,19,2881.88613901242,SFR
21,20.0,4.065203638858447,0.0,0.0,212.0,19,2513.6283656523797,SFR
22,50.0,4.065203638858447,0.0,0.0,212.0,19,1895.2021510753632,SFR
23,100.0,4.065203638858447,0.0,0.0,212.0,19,1418.0080859312766,SFR
