Years,Waste
id,snf
n_wf,19
name,uox
pkg_diameter,1.11
pkg_length,5.0
0.0,106325.14676532734
0.0027397260273972603,73916.42923096669
0.021917808219178082,42673.25921020067
0.10410958904109589,21159.34476522142
0.1863013698630137,15202.802638072226
1.0082191780821919,5109.0297680218655
2.0082191780821916,4017.1320691080878
3.0082191780821916,3651.2885322044294
4.008219178082192,3436.6358377775646
5.008219178082192,3285.840620407368
5.108219178082192,3272.999762882712
5.508219178082192,3224.797457000254
5.758219178082192,3196.9740377300122
6.008219178082192,3170.714245090614
8.008219178082191,3002.5660498764646
10.008219178082191,2881.8861390124202
11.508219178082191,2809.0793916966754
15.008219178082191,2671.3115194519382
20.008219178082186,2513.6283656523797
23.008219178082186,2430.9843903873143
25.008219178082186,2379.443159865118
30.008219178082186,2260.839030493291
35.008219178082186,2154.7025104016766
40.008219178082186,2059.2240786008815
45.00821917808219,1973.0804451019017
50.008219178082214,1895.2021510753634
60.008219178082214,1760.7500979093772
70.00821917808219,1649.9611121426472
80.00821917808219,1558.2327137185046
90.00821917808219,1481.8976115050425
100.00821917808219,1418.0080859312766
125.00821917808219,1298.2595466791429
150.0082191780822,1216.5283198476175
175.00821917808221,1157.6459091050397
200.00821917808224,1112.8463357062371
225.00821917808227,1077.037578237751
250.00821917808227,1047.2205523249959
300.0082191780823,999.0319406480756
350.0082191780823,960.4869370729534
400.0082191780823,928.1692505614002
450.0082191780823,900.3033991867185
500.0082191780823,875.8216535462327
600.0082191780823,834.3910562858431
700.0082191780821,800.3106171179277
800.0082191780822,771.5948583398687
900.0082191780822,747.0203806916118
1000.0082191780823,725.7653861009003
1250.0082191780823,683.5865044100718
1500.0082191780823,652.5505285449976
1750.0082191780823,628.9186746107702
2000.0082191780825,610.2785994209638
2250.0082191780825,595.0339005918526
2500.0082191780825,582.1188291166694
3000.008219178082,560.655830444084
4000.008219178082,527.5820766146085
5000.008219178082,498.18708363134687
6000.008219178084,471.5088121515533
7000.008219178084,446.937101478304
8000.008219178084,424.2075803052516
9000.008219178084,403.13934993590965
10000.008219178084,383.5806754239099
20000.00821917808,246.98576787120444
50000.00821917809,3359.9970019863463
100000.00821917808,3290.901024680269
200000.00821917804,3271.464319593999
500000.00821917807,1.9842727217540794
1000000.0082191781,3271.8304027536656
