Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
Ac225,7.404740416107129e-17,7.385046753792329e-17,7.365157186315078e-17,7.345085233422514e-17,7.324839214764646e-17,7.29758885304063e-17,7.270063368396189e-17,7.242282533004541e-17,7.200177496803855e-17,7.15759112103872e-17,7.114572750747288e-17,7.071170654820346e-17,6.983367388098747e-17,6.894457723701466e-17,6.71428472838421e-17,6.166639873882219e-17,4.9370908377383583e-17,3.8622113891481255e-17,2.9758469099079474e-17,1.7348988624983097e-17,1.0472887067746209e-17,7.285465129956487e-18,6.497498820079451e-18,7.356784230586536e-18,9.306296336438029e-18,1.6012000725462614e-17,2.597113446898217e-17,3.928969490314444e-17,5.626867548782365e-17,7.786273861551572e-17,1.0368745049860175e-16,1.355362231601846e-16,1.7320465488369433e-16,2.1969052523314775e-16,2.7849728882345615e-16,3.4729533378220514e-16,4.2949906279759354e-16,5.203327760200879e-16,6.282867048239736e-16,7.496849528233691e-16,7.997970681782202e-16,7.999955591136314e-16,8.039014106355967e-16,7.887394265367052e-16,5.290020023821066e-16,3.9743270210258044e-16,4.097608541011661e-16,4.983985086175047e-16,5.884762743842314e-16,6.799945588137285e-16,7.729540356224007e-16,7.823292807177995e-16,8.199744855056591e-16,8.436199417030652e-16,8.673555743116225e-16,1.060489236726785e-15,1.2594060618273373e-15,1.412396657804617e-15,1.7820909000445864e-15,2.3412715517939218e-15,2.694434191571389e-15,2.9372813617711537e-15,3.5705077710935254e-15,4.241379575963025e-15,4.950356937438756e-15,5.6979235501532625e-15,6.484580505232647e-15,8.177228987228075e-15,1.0032500686447793e-14,1.2054655177022267e-14,1.424796049464196e-14,1.66166610810775e-14,2.3333204304722283e-14,3.123612862902785e-14,4.038697292875813e-14,5.084467442286574e-14,6.266561446565994e-14,7.590370251769559e-14,1.0683515640645479e-13,1.440243716062204e-13,1.878228937999507e-13,2.385510964826796e-13,2.9650059861950244e-13,4.350994223466264e-13,6.054578385429634e-13,8.090803308664258e-13,1.0471873923444085e-12,1.3207581219244201e-12,2.164495713589865e-12,3.242086146137003e-12,4.5567572584284935e-12,6.108690463050026e-12,7.896072018512238e-12,9.915796428424955e-12,1.463605870776457e-11,2.6667868421594795e-11,4.1893058336590924e-11,6.000903957765948e-11,8.073659934141503e-11,1.0382095517331711e-10,1.290301920078156e-10,1.5615333129400177e-10,4.979085491272947e-10,1.7170039196003852e-09,3.5057537342642464e-09,6.014570724877826e-09,8.821926659889552e-09,8.56215929730996e-09
Ac226,4.30009667275707e-17,4.0057371477944276e-17,3.73154695985742e-17,3.47614496477575e-17,3.238245013190039e-17,2.946208615096488e-17,2.6805457271115952e-17,2.4388745250235817e-17,2.11666411997368e-17,1.8370992280887326e-17,1.5945351608952997e-17,1.3840729011899047e-17,1.043023180636512e-17,7.862721396492122e-18,4.474476661081417e-18,8.474225405289233e-19,4.886961209057527e-20,2.7811670588255236e-20,2.2555657389403375e-20,1.70785228479185e-20,1.603384828074057e-20,1.837318035546625e-20,2.3848995454991175e-20,3.022218028798628e-20,3.8413097508981566e-20,6.13317975438636e-20,8.881818578863515e-20,1.2535622736550443e-19,1.6510677728213185e-19,2.1271031119291042e-19,2.7268530668950643e-19,3.3970789567304827e-19,4.230219633957959e-19,5.1550267040028125e-19,6.214297263815602e-19,7.510990396211999e-19,8.988621033719969e-19,1.0499004094655047e-18,1.2333734143075798e-18,1.4742138466887202e-18,1.522788663998107e-18,1.4978081745493177e-18,1.0224745521043933e-18,3.3002546467651846e-19,9.643878885906095e-20,2.9190027164692586e-20,1.8839186502092791e-25,9.127513062306026e-32,4.4222448291480284e-38,2.1425605474074427e-44,1.0380623156569219e-50,2.4252273514552386e-51,7.225511330020431e-54,1.9062996447630457e-55,5.02937186017459e-57,1.180577204247311e-69,2.771245749096168e-82,9.345671802213395e-92,7.398210090543804e-114,1.9750508546903813e-145,2.2462043175882135e-164,5.272661705017903e-177,1.4076073762674592e-208,3.757795664003383e-240,1.0031936819945493e-271,2.6781593689027864e-303,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,1.3465643190458517e-21,1.3466649050008481e-21,1.3470250159665761e-21,1.3478876900265148e-21,1.3494834722590538e-21,1.3531190929901761e-21,1.3588982889587953e-21,1.3672364073740891e-21,1.3853466163823276e-21,1.4111532186372043e-21,1.445601390749776e-21,1.4895024802156195e-21,1.608347432415324e-21,1.772146007228924e-21,2.2470398172720537e-21,4.9703458234495736e-21,1.9577564232531193e-20,4.65429394300179e-20,8.674892847273005e-20,2.1039220382712827e-19,3.97315613153723e-19,6.539600325069308e-19,9.861469478829177e-19,1.399902257230569e-18,1.901310271104744e-18,3.188786881768903e-18,4.889824568202658e-18,7.041534318687131e-18,9.679805636545328e-18,1.283202991724573e-17,1.6531225404976147e-17,2.0801681337226855e-17,2.5673824403020495e-17,3.136413253389901e-17,3.818933459540615e-17,4.580422786760518e-17,5.422811402813336e-17,6.313714110931181e-17,7.314714156400162e-17,8.360618273908112e-17,8.781977077280467e-17,8.783825293359716e-17,8.826554695540092e-17,9.126372635688017e-17,1.0417868213722086e-16,1.1718728857899338e-16,2.5236894599723845e-16,4.29083800021608e-16,6.18842882434771e-16,8.212374192548954e-16,1.0358714371596252e-15,1.057993137519109e-15,1.147657911098598e-15,1.204647911361003e-15,1.2623613625186414e-15,1.749434321732453e-15,2.279621246304074e-15,2.7039483937900727e-15,3.77665518545826e-15,5.489687680832546e-15,6.6077537281388975e-15,7.386916635819932e-15,9.441216992296815e-15,1.1629452892295982e-14,1.3931890998157299e-14,1.6331700094135815e-14,1.8814524280245323e-14,2.3982040217867063e-14,2.9356541135179083e-14,3.488135689198692e-14,4.051526027333235e-14,4.622825871641852e-14,6.072783001285617e-14,7.539304919766401e-14,9.012970383954249e-14,1.0489526604458872e-13,1.1967053905554835e-13,1.3444685812314502e-13,1.6398913882727725e-13,1.935101604744987e-13,2.2300749977724792e-13,2.5248067443207966e-13,2.819295978303534e-13,3.407546837703926e-13,3.994828408153573e-13,4.58114188183873e-13,5.166488476607154e-13,5.750869420917588e-13,7.207605184604198e-13,8.658332814981367e-13,1.010307188526735e-12,1.154184203161354e-12,1.2974662910982421e-12,1.4401554180704778e-12,1.723762644911466e-12,2.2839478606176053e-12,2.834864917825226e-12,3.3766382517982444e-12,3.9093916483665206e-12,4.433248215517137e-12,4.948330346076069e-12,5.45475968094834e-12,1.006930707754876e-11,1.9894152663143816e-11,2.7876005984929044e-11,3.2012153442293244e-11,3.2622932283172066e-11,3.260889153768493e-11
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,1.4166793417540178e-18,4.50689368309169e-15,3.579970596050366e-14,1.183964219778912e-13,2.7479316973211683e-13,6.266363301181993e-13,1.173736063352748e-12,1.961834517223242e-12,3.5998477998944426e-12,5.884153570942872e-12,8.83915948411213e-12,1.2477526990665384e-11,2.2014804700417362e-11,3.4653313038107317e-11,6.998688058946705e-11,2.5273880498929845e-10,1.1821477649002389e-09,2.8586056739832757e-09,5.321068707552438e-09,1.3036596788860422e-08,2.4879068807191177e-08,4.126196277499239e-08,6.263605911777474e-08,8.960806504704416e-08,1.225174365808278e-07,2.0746163559441687e-07,3.1846508367867384e-07,4.600173421551483e-07,6.362111198404612e-07,8.423855424724677e-07,1.0859000621873616e-06,1.3614938655252507e-06,1.683651953768395e-06,2.051196467544609e-06,2.4972055659334004e-06,2.991150158426231e-06,3.534500498487696e-06,4.1152301945149825e-06,4.7555310314011845e-06,5.4373695216360045e-06,5.710485142094999e-06,5.70984855400369e-06,5.694009368003407e-06,5.5844526785545806e-06,5.138332675711621e-06,4.72785216562215e-06,2.05627261636906e-06,7.467143276674183e-07,2.711616569352122e-07,9.846957755017266e-08,3.5758218290626604e-08,3.231344421645117e-08,2.1548287917678633e-08,1.6727506951459746e-08,1.2985230654895452e-08,1.7123686323797143e-09,2.258108784289141e-10,4.9414631168004956e-11,1.425981379794014e-12,9.004982059173681e-15,4.312253180830061e-16,5.686589136570911e-17,3.5910450341047555e-19,2.2677222066961228e-21,1.4320522205048516e-23,9.043319144550749e-26,5.7107988134615455e-28,2.277376669233114e-32,9.081819665978023e-37,3.621686721467621e-41,1.4442716526545753e-45,5.759527990050304e-50,5.784048227963949e-61,5.8086728036349e-72,5.833402160797044e-83,5.858236747313179e-94,5.8831770137510555e-105,5.908223412481739e-116,5.958636425252785e-138,6.009479441228115e-160,6.060756144086647e-182,6.112470246410058e-204,6.164625491317123e-226,6.2576844256980975e-270,6.3521479366e-314,,,,,,,,,,,,,,,,,,,,,,,
Ag111,6.322613293209427e-18,8.658166338542595e-08,1.9324122543088074e-07,2.987835091427609e-07,4.032120220786227e-07,5.406795805966845e-07,6.76121809245503e-07,8.095995002468495e-07,1.0062740173122385e-06,1.1986626780020473e-06,1.386598570317625e-06,1.570440607224684e-06,1.9263857512306115e-06,2.267001587113028e-06,2.905801135532873e-06,4.53121816518599e-06,7.130224598123206e-06,8.744196121786071e-06,9.847021541753342e-06,1.1366914328322511e-05,1.253751020698415e-05,1.3599651990086584e-05,1.4609649851901312e-05,1.559610164923069e-05,1.6547145662431714e-05,1.8416215009868563e-05,2.021590245786303e-05,2.1986003438851708e-05,2.373604339509104e-05,2.538988824399753e-05,2.7052520839991038e-05,2.870281358221774e-05,3.0302252557351797e-05,3.195505515824039e-05,3.370053486429643e-05,3.5394749395227703e-05,3.716839875409489e-05,3.8792792636545365e-05,4.0505643463655866e-05,4.209473354312943e-05,4.279436709874384e-05,4.27168458608279e-05,3.893864222496287e-05,2.030174926422101e-05,1.2454665174822037e-06,7.640657271511956e-08,5.769224732425775e-20,1.0295987376534358e-34,1.837462769656217e-49,3.279208992568301e-64,5.852206539522932e-79,1.960986934141317e-80,2.472264425980524e-86,5.0813903337384785e-90,1.0444080113005323e-93,3.326375662359215e-123,1.0594303142242306e-152,7.987267359701971e-175,8.153387067039948e-222,1.981334444605796e-269,1.1230793007e-313,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,6.463400362087769e-17,6.202482938703828e-17,5.952094860584559e-17,5.711812890310175e-17,5.481231500173959e-17,5.188203403440179e-17,4.910842779073132e-17,4.648316260505878e-17,4.280634638657866e-17,3.94209655775415e-17,3.630431350662346e-17,3.3436005497251106e-17,2.8370907728622216e-17,2.4094301613261812e-17,1.7520218507096813e-17,9.838654824794989e-18,9.418095765004828e-17,6.2965586953908e-16,2.09680626522714e-15,1.3090932738799362e-14,4.250689769586246e-14,1.0684298084551256e-13,2.3461670160170346e-13,4.1229817557023095e-13,6.958148318109358e-13,1.7235686068171261e-12,3.400509961262911e-12,6.2060574762617785e-12,9.841861386983389e-12,1.4927201663062932e-11,2.2052721747453835e-11,3.0708636449733166e-11,4.24831260359348e-11,5.602100890321417e-11,7.250313851699094e-11,9.352432611396662e-11,1.1767522598646996e-10,1.4371955318980565e-10,1.7488312935498635e-10,2.2040305970780888e-10,2.2168831108423467e-10,2.1880328271839866e-10,1.5770076611228964e-10,1.5933123145263588e-11,8.62450083306616e-16,4.669174401187659e-20,,3.120250123742198e-26,1.365367526102687e-25,,5.752047336527126e-25,3.700630384319275e-24,3.9637358380213445e-25,2.1852141787795234e-24,9.885480225335965e-25,,,5.600544560715127e-25,1.0214692051773014e-26,1.2514025275031178e-25,,,8.080841986030847e-26,9.872036312231148e-26,6.98437715187211e-26,8.467934865804969e-26,5.576065764550472e-26,,,1.5593454903499213e-27,,,3.4308530046430734e-28,9.909212696309089e-29,4.07207155214206e-30,1.9938875924542052e-29,3.943405414848955e-30,1.886544778190704e-30,,,,,,2.619388424881205e-36,4.0002757434140794e-38,8.0969923659697e-40,1.406784181720039e-41,1.7171013471700095e-43,3.14875090892815e-47,1.889895458453014e-51,8.941640031439325e-56,9.035514459679185e-60,4.66576499342774e-64,1.1741890991333468e-68,8.702300169390697e-78,,,,,,,,,4.575583081149959e-28,3.7838387782948824e-30,2.3269934370922186e-35,,1.8998070669664634e-37
Am241,4.445893777312267e-21,5.631085962888279e-21,3.3881997278787547e-20,1.8400638807480842e-19,6.386634155662428e-19,2.197823662377572e-18,5.682727116957575e-18,1.230290694015064e-17,3.151440506738006e-17,6.764913169943137e-17,1.2869667544320686e-16,2.242763863507598e-16,5.652873304032414e-16,1.202059777893406e-15,3.943671992124751e-15,3.9620553021973046e-14,6.891442359051269e-13,3.6293908319031783e-12,1.166169932201686e-11,5.938733586280128e-11,1.8647750518972097e-10,4.4841849585222656e-10,9.112659907924996e-10,1.6504787433819522e-09,2.7497022333657048e-09,6.369683176334956e-09,1.2481184004628251e-08,2.1788372655361398e-08,3.495359669159337e-08,5.261973848968995e-08,7.537868485673645e-08,1.0380145217339936e-07,1.3827163322127531e-07,1.8070480047751397e-07,2.3400476457342916e-07,2.9594218193556214e-07,3.6662404808875847e-07,4.4339918406484134e-07,5.314449460116106e-07,6.249913848291189e-07,6.630585988366339e-07,6.632441713022911e-07,6.678892490632733e-07,7.003980671138205e-07,8.393722052301719e-07,9.777752049008647e-07,2.3308832821339965e-06,3.903642184586594e-06,5.3992909085792864e-06,6.821482355528219e-06,8.173696573373558e-06,8.30519827348781e-06,8.824604493035294e-06,9.14393505497675e-06,9.45924893743191e-06,1.1842852630145499e-05,1.39958100190401e-05,1.5472081903284797e-05,1.8504385685003877e-05,2.19826164838204e-05,2.366956180871961e-05,2.4652740252323215e-05,2.6689159076224217e-05,2.8228734946048753e-05,2.9378869490412357e-05,3.0223844718498554e-05,3.082979905275728e-05,3.152107060413118e-05,3.174770787120683e-05,3.1691354976066904e-05,3.146383017759132e-05,3.113394913907098e-05,3.010070556296265e-05,2.8975673420800267e-05,2.785539654865781e-05,2.676735326323688e-05,2.5718513431903076e-05,2.470978988453355e-05,2.2808834339679162e-05,2.105398375105002e-05,1.943413420676932e-05,1.7938911234531767e-05,1.6558727471186832e-05,1.4108755503540399e-05,1.2021272884571247e-05,1.0242647134396632e-05,8.727180962934612e-06,7.4359382410653015e-06,4.982994533054974e-06,3.3392227809903003e-06,2.237695192511977e-06,1.4995373824297467e-06,1.00488162336564e-06,6.734019001783936e-07,3.024144156912327e-07,6.100386954069926e-08,1.232008290654238e-08,2.5012107397610162e-09,5.198495879580582e-10,1.190834523732166e-10,3.715069110518033e-11,1.960031306437865e-11,6.8614621438321594e-12,5.952477410297136e-13,1.0119399737591137e-14,2.924555287093985e-18,7.05943153420017e-29,1.4232490502823729e-46
