Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
Ac225,5.460061114907277e-09,5.445539525523636e-09,5.430873480818189e-09,5.416072949897409e-09,5.401144067452719e-09,5.381050366383495e-09,5.3607537968982e-09,5.340268938478096e-09,5.309221790572539e-09,5.277819715513399e-09,5.246099099035879e-09,5.214095533352376e-09,5.149351710416247e-09,5.08379205889098e-09,4.9509372239600745e-09,4.5471182908424445e-09,3.6404811227767695e-09,2.847893246543567e-09,2.1943113578109107e-09,1.2792688582058243e-09,7.722431878237103e-10,5.372110651382056e-10,4.791084988543434e-10,5.42469948315977e-10,6.862218510706829e-10,1.1806828817765361e-09,1.9150432487229277e-09,2.8971189171005497e-09,4.149104354152653e-09,5.741393857507724e-09,7.645640289290836e-09,9.994085142114621e-09,1.2771656370211805e-08,1.619940236567655e-08,2.0535658670820504e-08,2.560864582434442e-08,3.167013291335791e-08,3.83679723731984e-08,4.632821156782835e-08,5.5279799551622155e-08,5.897493533031321e-08,5.898957153060111e-08,5.927757876403895e-08,5.8159573875938865e-08,3.900721835746846e-08,2.9305643690392296e-08,3.021468924180316e-08,3.6750597100078633e-08,4.339269497984736e-08,5.014101292262847e-08,5.6995600606500255e-08,5.768690655797916e-08,6.046276509284153e-08,6.220631893366037e-08,6.395652214621055e-08,7.819769119298516e-08,9.286529546807639e-08,1.041464202219566e-07,1.3140670273056042e-07,1.7263921543530937e-07,1.98680500994658e-07,2.1658741354474163e-07,2.632798659493206e-07,3.127481909548493e-07,3.6502631962932247e-07,4.201499183446345e-07,4.781559362444275e-07,6.029673899673227e-07,7.397702526370595e-07,8.88878614063258e-07,1.0506071879887505e-06,1.2252689484026843e-06,1.720529206307805e-06,2.303270090827306e-06,2.978029316969034e-06,3.7491527604739384e-06,4.620797834336542e-06,5.596939680597756e-06,7.877743856233534e-06,1.0619978916418271e-05,1.3849566916562022e-05,1.7590131356803648e-05,2.1863175453761292e-05,3.2083088718488615e-05,4.4644870922864976e-05,5.9659458740655643e-05,7.721684812236548e-05,9.738923525301279e-05,0.00015960422938591934,0.0002390629178464659,0.00033600331299523235,0.00045043879171985043,0.0005822356134862559,0.0007311647871464865,0.0010792245309765793,0.001966418580582242,0.003089084099566805,0.004424908978958729,0.005953304799922522,0.0076554845733860085,0.009514347491485392,0.011514336549961746,0.036714468774032845,0.12660735972810921,0.25850507333463635,0.44349864941018313,0.650505703203977,0.6313511401046737
Ac226,3.170778354659253e-09,2.953725371605992e-09,2.751544727975673e-09,2.5632180043295936e-09,2.3877968279078064e-09,2.1724568575964003e-09,1.9765640210014793e-09,1.7983620235022369e-09,1.5607725329098852e-09,1.3546287237421967e-09,1.1757683509632008e-09,1.0205790079481116e-09,7.690979008733877e-10,5.797764262059847e-10,3.299361578373166e-10,6.248671258445596e-11,3.6035168511232266e-12,2.0507595484269014e-12,1.6631949388145925e-12,1.2593254221192428e-12,1.1822938631253148e-12,1.3547900666151882e-12,1.7585622911256118e-12,2.2285042030535336e-12,2.8324809274299543e-12,4.5224456774768105e-12,6.549219760172087e-12,9.243438987557397e-12,1.2174540143025884e-11,1.5684699714224708e-11,2.0107098372054515e-11,2.5049168064780328e-11,3.119252861403344e-11,3.801181306991973e-11,4.5822595985711007e-11,5.538407059833091e-11,6.62797308547028e-11,7.741689887977964e-11,9.094571640853872e-11,1.0870465738209755e-10,1.1228643684026446e-10,1.1044444115363655e-10,7.539458818547546e-11,2.4335211031702878e-11,7.111143016880251e-12,2.152395942447029e-12,1.3891521360129028e-17,6.7303884196802e-24,3.2608471972505664e-30,1.5798678783913464e-36,7.654398893227808e-43,1.7882989561235599e-43,5.327902293853449e-46,1.405655293613155e-47,3.708526725179243e-49,8.705266253540778e-62,2.0434438351921237e-74,6.891252945066443e-84,5.455245824340382e-106,1.4563506302262406e-137,1.6562920725650463e-156,3.8879222673364336e-169,1.037932711793177e-200,2.7708998330529996e-232,7.397286746020414e-264,1.9748043831303373e-295,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,9.929211645489615e-14,9.929953339905244e-14,9.932608703591926e-14,9.938969835549048e-14,9.950736714637467e-14,9.977544827099277e-14,1.0020159100403238e-13,1.0081642195788739e-13,1.0215182120798981e-13,1.0405473228334941e-13,1.0659485002498348e-13,1.0983200106640428e-13,1.185953157235542e-13,1.3067339245223377e-13,1.656908148089494e-13,3.665002475876958e-13,1.443598170681593e-12,3.431954119587178e-12,6.3966381601103974e-12,1.5513768565030672e-11,2.9297009858809877e-11,4.822129532626863e-11,7.271588605601313e-11,1.0322511593720359e-10,1.401976260511579e-10,2.3513277006982824e-10,3.605628216957516e-10,5.192242477415763e-10,7.137634459270798e-10,9.462001858171093e-10,1.2189691460234937e-09,1.5338613511288488e-09,1.8931203852732286e-09,2.312708762600634e-09,2.8159812378430796e-09,3.377483469025432e-09,3.9986387111653895e-09,4.655566970686629e-09,5.393678115325371e-09,6.16490034338679e-09,6.475599259004788e-09,6.4769620850026185e-09,6.508469623984109e-09,6.729547499042679e-09,7.681862420219315e-09,8.641082895218704e-09,1.8609023290705462e-08,3.1639512526845845e-08,4.563184890680634e-08,6.055589051071452e-08,7.638243930570973e-08,7.80136353928232e-08,8.462528031333096e-08,8.882757326197294e-08,9.308321157965739e-08,1.289986924105748e-07,1.6809328381838123e-07,1.9938205327946998e-07,2.784806348873262e-07,4.0479515222300595e-07,4.872384062163025e-07,5.446918327422778e-07,6.961705458966338e-07,8.575253142804108e-07,1.0273010533994775e-06,1.2042566736079944e-06,1.387333608543342e-06,1.7683726625295917e-06,2.164674245321286e-06,2.5720596496111567e-06,2.987488888841678e-06,3.408750390200557e-06,4.4779106979176764e-06,5.559285445888357e-06,6.645927656855154e-06,7.734701435611088e-06,8.82419126369195e-06,9.913758225242007e-06,1.2092128418577008e-05,1.4268931024887276e-05,1.644398735731222e-05,1.8617261852062438e-05,2.078874812284424e-05,2.512635546993804e-05,2.9456815534869783e-05,3.378013710850781e-05,3.809632917094164e-05,4.240540078050343e-05,5.314698772485924e-05,6.384427227208484e-05,7.449739874995118e-05,8.510651195028165e-05,9.567175681835523e-05,0.00010619327830216655,0.00012710573038236063,0.00016841231699503553,0.00020903549394064798,0.00024898443674875945,0.0002882682730613697,0.00032689608053813234,0.00036487688410459903,0.00040221965324164523,0.0007424842592535954,0.0014669425701106047,0.00205550347161598,0.0023604921225125323,0.0024055293501732936,0.0024044940224757574
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,1.0446221408893264e-10,3.3232650390474075e-07,2.6397762980977445e-06,8.730241216551575e-06,2.0262526657014674e-05,4.620651727134196e-05,8.654821477247536e-05,0.00014466052500737036,0.0002654433226184791,0.0004338820309887168,0.0006517764064042277,0.0009200600710288616,0.001623313881949967,0.002555244294729125,0.005160648770738479,0.01863629572143312,0.08716847155324994,0.21078607495028195,0.3923616319710384,0.9612844096836473,1.834517194873693,3.0425487702772167,4.618618500603591,6.607463382256791,9.034114010505485,15.297676159992355,23.482778897518376,33.9204706841675,46.91253711954916,62.11529757625267,80.07141872694687,100.39298200337709,124.14807335867962,151.24984053611763,184.13738011428103,220.55955713647964,260.624784231921,303.4462668682765,350.66036898210757,400.93734856507916,421.07617714437873,421.0292368103731,419.86129683257445,411.78287427725695,378.88715689590737,348.6194021115322,151.6241424191327,55.06075345426418,19.994748440677263,7.260888041578387,2.6367171062785273,2.382708512930238,1.588914159586404,1.2334424317743045,0.9574968058660283,0.12626556582193854,0.016650701136677507,0.0036437051265296584,0.00010514812194440709,6.64003727595635e-07,3.1797422444504487e-08,4.193141484542187e-09,2.6479422978752236e-11,1.672158798876939e-13,1.055957697948022e-15,6.6683060358808556e-18,4.2109930644716443e-20,1.6792777460001752e-24,6.696695309256522e-29,2.6705366734054176e-33,1.0649679863008485e-37,4.246924679532042e-42,4.265005259003719e-53,4.283162774397452e-64,4.3013975529109513e-75,4.319709924786485e-86,4.338100222260879e-97,4.3565687789006764e-108,4.3937420105399326e-130,4.431232315249013e-152,4.469042409276013e-174,4.507175030181154e-196,4.54563293804192e-218,4.6142521522824355e-262,4.6839070643280134e-306,,,,,,,,,,,,,,,,,,,,,,,
Ag111,4.662128993982709e-10,6.384304471854641,14.249100461064943,22.031511280223786,29.73179556741359,39.86829230662421,49.85544654032497,59.69774092729295,74.20000329676103,88.38623787287823,102.2441370032188,115.80016598727467,142.04662610084307,167.16274329217276,214.26614433727246,334.12012733189624,525.7640360232263,644.7740574650335,726.0935076242363,838.1664100682257,924.4830758685283,1002.802621491233,1077.2772113018138,1150.0155761553945,1220.14306399749,1357.9633290105103,1490.6675549737386,1621.1901525617927,1750.2335028703494,1872.1836785977976,1994.781839716511,2116.4700924261565,2234.408521905739,2356.2818450015643,2484.9889344380194,2609.9158644965883,2740.700110150431,2860.4786489573858,2986.779770552402,3103.9550996448975,3155.5442406144452,3149.8280281216535,2871.2332145679693,1496.9976730183168,91.83743007697058,5.634020008286593,4.254074802697794e-12,7.591990691787961e-27,1.3548967897465034e-41,2.418002590479656e-56,4.315263407931051e-71,1.44598026456885e-72,1.8229828595613965e-78,3.7468837814435245e-82,7.70119038635746e-86,2.452782054062856e-115,7.811960902865539e-145,5.889601184426705e-167,6.0120934938779416e-214,1.460983984406294e-261,8.281291813079262e-306,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,4.7659416811354256e-09,4.573548025508883e-09,4.3889184325522505e-09,4.211740818107503e-09,4.041716156693929e-09,3.825644933849829e-09,3.621126493659986e-09,3.4275463335043343e-09,3.1564275618386284e-09,2.9067984718793224e-09,2.6769847333166793e-09,2.4654832336356873e-09,2.0919962264539613e-09,1.776650522998093e-09,1.2918949000182498e-09,7.254765678889234e-10,6.944656473185379e-09,4.642917017813418e-08,1.5461298723392042e-07,9.652909999316701e-07,3.134347001816121e-06,7.878320809820623e-06,1.73000194110347e-05,3.0401784663259453e-05,5.1307558305250815e-05,0.00012709142252287898,0.00025074467391130557,0.00045761837956273717,0.0007257130113634216,0.0011006926478824182,0.001626109785418313,0.0022643742028591123,0.003132594142043677,0.004130842070641044,0.005346191021959938,0.006896238188201579,0.008677062118194249,0.010597502406925065,0.012895422669610105,0.0162519427865354,0.016346713847625385,0.016133979432770812,0.011628440329492064,0.001174866656165901,6.359480412260906e-08,3.4429265786535265e-12,,2.300790495284651e-18,1.0067861556110724e-17,,4.2414086420856585e-17,2.728747657124314e-16,2.9227547088440216e-17,1.6113195459687394e-16,7.289293499490156e-17,,,4.1296944740626696e-17,7.532045654337677e-19,9.227513586639151e-18,,,5.95860065636618e-18,7.279380311039129e-18,5.150096283703677e-18,6.244032779835987e-18,4.111644452648327e-18,,,1.1498204120762047e-19,,,2.5298209024135796e-20,7.306793200308722e-21,3.002638619256266e-22,1.4702403459510804e-21,2.9077635887270073e-22,1.3910885738173876e-22,,,,,,1.9314682324881612e-28,2.9496982754467456e-30,5.970509522381698e-32,1.0373257097531601e-33,1.266145437812229e-35,2.3218062257753027e-39,1.3935592774451516e-43,6.593330528233038e-48,6.662551066228086e-52,3.4404125709113635e-56,8.658162044114578e-61,6.416847599651726e-70,,,,,,,,,3.373914797211586e-20,2.7901033415709737e-22,1.715863847552848e-27,,1.4008678372580994e-29
Am241,3.278285310543389e-13,4.1522149019277205e-13,2.4983694963146374e-12,1.356814780753638e-11,4.7093362965995676e-11,1.6206174480157853e-10,4.1902937327060905e-10,9.071840471020169e-10,2.3237894645643884e-09,4.988269307129788e-09,9.489754855913234e-09,1.65375517208136e-08,4.168280315094608e-08,8.863673109719054e-08,2.90796015580916e-07,2.921515525862659e-06,5.0815686081893196e-05,0.00026762174821104244,0.0008599030813204351,0.004379066179782317,0.013750361493787507,0.033065202219406606,0.06719436093722472,0.12170196794634597,0.20275582124817823,0.4696837089620725,0.9203297296342043,1.6066173776175576,2.57738642271345,3.8800413229771373,5.5582262571128895,7.654046473392073,10.19578709611424,13.324697408948,17.2548967816771,21.8219992740364,27.033894455029664,32.69509135023578,39.187354604896534,46.08522332578351,48.89219971219624,48.905883338451765,49.24839917335248,51.64551403970596,61.89310200182076,72.09857571491224,171.87321171291086,287.84432270183976,398.1295316427151,502.9981938924849,602.7069190467371,612.4035090551617,650.703159587451,674.2497565790936,697.5001741742722,873.2608505056783,1032.0142741312397,1140.870685797768,1364.4648030356395,1620.9404073928172,1745.3313252894259,1817.8283216359544,1967.9884975397656,2081.5127788500595,2166.3206795960627,2228.6269337882773,2273.3084150012946,2324.280963738966,2340.99260060414,2336.837286114024,2320.0602050143093,2295.7356435880624,2219.5469758548215,2136.5900603216355,2053.9837859111312,1973.7543315316084,1896.4156368979034,1822.0350116878274,1681.8635422187663,1552.4654685117691,1433.0220172668287,1322.7682021422413,1220.9970761582208,1040.3425775337869,886.4170914885868,755.2658998090445,643.5194043376026,548.3065571694616,367.43293021516473,246.22551819423424,165.00176672058012,110.57194840138536,74.09733182393103,49.654887588911855,22.299244793393928,4.498265127748531,0.9084505577551453,0.18443271111369108,0.03833234335448308,0.008780901033580618,0.0027393943946244083,0.0014452756097976178,0.0005059461984845935,4.389200514663544e-05,7.461779604486393e-07,2.1564902622006155e-10,5.205439414107195e-21,1.0494664714203355e-38
