Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
Ac225,1.0137960178977362e-09,2.411789782123717e-15,2.066332715638066e-15,1.8471202601507492e-15,1.702568760845916e-15,1.5660595491944716e-15,1.4686307271267034e-15,1.392587810801718e-15,1.310614610257234e-15,1.2457114190684476e-15,1.1937812493814946e-15,1.1486361950626604e-15,1.0733652953459942e-15,1.010940776268403e-15,9.149422057056008e-16,7.338611735468483e-16,5.08308209597729e-16,3.683712663076807e-16,2.7114648997518734e-16,1.4906006502502845e-16,8.682407467289677e-17,5.888769415551707e-17,5.1614734896099105e-17,5.752227502963357e-17,7.19300700523699e-17,1.2126947340593316e-16,1.9383398446197187e-16,2.8957532760669345e-16,4.1085363904458664e-16,5.638408064563513e-16,7.460622531876747e-16,9.697802942222872e-16,1.2326162458080635e-15,1.5526403547337283e-15,1.9586183602741814e-15,2.4287477995969152e-15,2.9955857210549506e-15,3.610455179478198e-15,4.3314552841961165e-15,5.151572645026431e-15,5.478927362431587e-15,6.663318117209111e-15,9.221702205319968e-15,1.615630150481245e-14,2.5036152274908027e-14,2.9531998702364864e-14,3.2286911899747414e-13,7.917647509423291e-13,1.1637118742028178e-12,1.5532380623185583e-12,1.960625231535916e-12,2.0022126462459976e-12,2.1700040726942003e-12,2.2760175600890864e-12,2.382889654526257e-12,3.2675592466451273e-12,4.204299702224229e-12,4.943130440514665e-12,6.8086931066628295e-12,9.902455017409153e-12,1.205139308079444e-11,1.3622056250528985e-11,1.808327992188611e-11,2.33940647013493e-11,2.966251084359503e-11,3.699912521447767e-11,4.5516440617879976e-11,6.654433653867896e-11,9.362310832181495e-11,1.2754363056301464e-10,1.6895352447824826e-10,2.18319727935223e-10,3.7793985379802733e-10,5.889883746639145e-10,8.495210914487423e-10,1.1587496034312718e-09,1.5182715515916597e-09,1.9317021746384143e-09,2.940386798770326e-09,4.229440818927158e-09,5.846119958159627e-09,7.838214844974529e-09,1.0254058160946782e-08,1.655385604606771e-08,2.5144260074264818e-08,3.642404450165835e-08,5.077792398665393e-08,6.856238064416169e-08,1.2998811311941433e-07,2.1825496931596066e-07,3.349763480691324e-07,4.803148286458866e-07,6.536898314553493e-07,8.543499866300147e-07,1.3353927317171163e-06,2.614921181341469e-06,4.333931541771194e-06,6.5178744977646954e-06,9.189235980346242e-06,1.2367259049581035e-05,1.6069242806796646e-05,2.031132288421465e-05,9.561770457859851e-05,0.0008233910877493042,0.005782932369037564,0.033362797605086696,0.07180622512442039,0.09778140679499309
Ac226,5.887337892269135e-10,1.3081834475811464e-15,1.0469046848613035e-15,8.741706307833325e-16,7.526902144567524e-16,6.322551500922693e-16,5.414989692411363e-16,4.689608448917633e-16,3.852864629901426e-16,3.197298431402792e-16,2.675531255698206e-16,2.2482786917727146e-16,1.6031590808820803e-16,1.152918183082924e-16,6.097280218638057e-17,1.0084754628148813e-17,5.03147011912692e-19,2.6526306513190024e-19,2.055175388847139e-19,1.4673626118909545e-19,1.3292648258456828e-19,1.485085998130792e-19,1.8945129688112662e-19,2.363054987113731e-19,2.9690187104090393e-19,4.645062736823449e-19,6.628891342677471e-19,9.239081824481139e-19,1.2055503295428939e-18,1.5403356668049772e-18,1.9620524310479476e-18,2.4306566564577282e-18,3.0104487940316287e-18,3.643262485658216e-18,4.370396842472141e-18,5.252676792091171e-18,6.2692068860869686e-18,7.284988657229373e-18,8.502968074561309e-18,1.0130281656206754e-17,1.0431706754544801e-17,1.2475534685012872e-17,1.1728995256482656e-17,6.760142490900994e-18,4.564172143414976e-18,2.1690209179797123e-18,1.4844247535315007e-22,1.450012987909203e-28,8.744989462313432e-35,4.894019444598148e-41,2.6330817541365566e-47,6.206876046682124e-48,1.912180109332708e-50,5.143040428268382e-52,1.3817214680250331e-53,3.637572005938796e-66,9.251303476187758e-79,3.2708145064848484e-88,2.826575347187325e-110,8.353517228995264e-142,1.0046595777218104e-160,2.4452711704967357e-173,7.129002326008211e-205,2.0726773759263126e-236,6.011130883379353e-268,1.7390467415396505e-299,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,1.843604863611887e-14,4.397903989108562e-20,3.779147937869349e-20,3.3896280050322347e-20,3.136708309603441e-20,2.90378797634193e-20,2.745120201950941e-20,2.6290009354324297e-20,2.521681606470213e-20,2.4559794612247308e-20,2.4256296123693856e-20,2.4195377893262466e-20,2.4720800451592032e-20,2.5985142443474553e-20,3.061996400051324e-20,5.914961621772252e-20,2.0156478684279466e-19,4.439187762661278e-19,7.904192714408465e-19,1.8076601617035952e-18,3.2938921466466607e-18,5.2858942699283974e-18,7.833739519317321e-18,1.0945755663218837e-17,1.4695575559567866e-17,2.4150792432885678e-17,3.649490862660448e-17,5.1897949633210595e-17,7.067846073397542e-17,9.292277956904659e-17,1.1894711668849602e-16,1.4883888732602814e-16,1.8270855983886005e-16,2.2166280412716229e-16,2.6857831263352913e-16,3.203236750524458e-16,3.7821960077004878e-16,4.380923682708012e-16,5.042818356947456e-16,5.74512429963641e-16,6.016002861145421e-16,7.316218390073576e-16,1.012510462407132e-15,1.869418758421654e-15,4.930479162728639e-15,8.707826094681148e-15,1.9885291247546145e-13,6.816501698608103e-13,1.2237618437698197e-12,1.8758638598700716e-12,2.6275245133912248e-12,2.70771820995712e-12,3.0371949190685987e-12,3.2500414753677486e-12,3.4680907347677982e-12,5.3903237264518705e-12,7.610103855712762e-12,9.463325717366159e-12,1.4429166394839197e-11,2.3218744223589466e-11,2.955449341015272e-11,3.4257866897174435e-11,4.7816215681469506e-11,6.414426450900552e-11,8.347981226954454e-11,1.0604891614103429e-10,1.3206254074020834e-10,1.9516011568643236e-10,2.739546915122945e-10,3.69060319987287e-10,4.804333940220593e-10,6.073747798455517e-10,9.836397477514603e-10,1.4216111745237964e-09,1.8958361774917608e-09,2.390562026616557e-09,2.8993950918847703e-09,3.4215891925592764e-09,4.513415950035593e-09,5.6826477523241704e-09,6.941265619385265e-09,8.295907248308943e-09,9.750140495178844e-09,1.2964402369775155e-08,1.6590255844800172e-08,2.062387496107021e-08,2.5052207566761807e-08,2.9853558477256494e-08,4.328504751356301e-08,5.8287290271813724e-08,7.426970392480232e-08,9.075133060358752e-08,1.0741296674581395e-07,1.2408451212719123e-07,1.572759547622656e-07,2.2395279380380828e-07,2.932731810914892e-07,3.667531509330471e-07,4.449570912012246e-07,5.280930908492002e-07,6.162582615898146e-07,7.095166284152996e-07,1.933696521459203e-06,9.540262438637376e-06,4.5982995255530456e-05,0.0001775712756657132,0.0002655349233852623,0.00037239943545338465
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,1.9396005728763558e-11,1.471849873992568e-13,1.0043791566846704e-12,2.9773981215302846e-12,6.387229163155961e-12,1.344758972334943e-11,2.3710726589675598e-11,3.772328437954143e-11,6.552634463995274e-11,1.024081589870446e-10,1.4831562234453673e-10,2.0268410742681565e-10,3.3837439785165333e-10,5.081247661086261e-10,9.536972810563431e-10,3.0077189494366947e-09,1.2171042292016301e-08,2.726490308009275e-08,4.8483310689335176e-08,1.1200860217605365e-07,2.0625660469119933e-07,3.335163645433019e-07,4.975673987518788e-07,7.006403342752948e-07,9.469597224612746e-07,1.5712442018854362e-06,2.37684480649766e-06,3.3904481286434323e-06,4.645384870373373e-06,6.100110939588754e-06,7.813376095529172e-06,9.74167562519763e-06,1.1981760836017699e-05,1.4496621589015629e-05,1.7562370863569034e-05,2.091807363613334e-05,2.4651739995346668e-05,2.855452290393118e-05,3.2784984716320376e-05,3.736370055590549e-05,3.91190897574177e-05,4.755843564752701e-05,6.53170377005736e-05,0.00011439025130295877,0.00024318259426044683,0.00035131211719987876,0.0016202302426424494,0.001186243685420806,0.0005362221957617682,0.0002249234112963748,9.070198457391923e-05,8.269968700977335e-05,5.70260091838274e-05,4.512944476060661e-05,3.567437934983588e-05,5.276117630073525e-06,7.538288386195122e-07,1.7294218743978364e-07,5.4481337571445656e-09,3.808675234840622e-11,1.9287410436170716e-12,2.6372358501368255e-13,1.8187293440318456e-15,1.250801515827316e-17,8.580848826892298e-20,5.872225108648857e-22,4.0085127305279116e-24,1.8532747430637315e-28,8.47513708616654e-33,3.831906151063757e-37,1.7126295802952167e-41,7.567215686038097e-46,9.36871898556606e-57,1.0952832196970885e-67,1.227028868749668e-78,1.3350915478972689e-89,1.425384617883382e-100,1.5036062320517038e-111,1.6399747492134272e-133,1.7647525460986638e-155,1.8864530696253619e-177,2.0084105976161412e-199,2.1319494335841484e-221,2.3808077382874834e-265,2.6380046566297e-309,,,,,,,,,,,,,,,,,,,,,,,
Ag111,8.65640092584479e-11,2.8275619374381754e-06,5.4214819319775695e-06,7.5137191141806825e-06,9.372167397269409e-06,1.1602961434242718e-05,1.3658385271509674e-05,1.5567445629702527e-05,1.831673496378513e-05,2.0861596595107303e-05,2.3266265335335877e-05,2.551013137301075e-05,2.9609148365068404e-05,3.324125603670149e-05,3.959677326531976e-05,5.392377612942636e-05,7.341067480058721e-05,8.340068094862914e-05,8.97218643495027e-05,9.766292580731529e-05,0.0001039405576878485,0.00010992464210977164,0.00011605592011812,0.00012194502656844186,0.0001278959216036574,0.00013947817856551327,0.00015088015995535876,0.00016204259575601436,0.00017331205543488732,0.0001838601533658293,0.00019465098770619704,0.00020537257385336066,0.0002156469109438873,0.00022583908943625284,0.00023700943953574254,0.00024752684919416055,0.0002592348487491673,0.0002691732013737912,0.0002792489194396868,0.0002892602779391178,0.0002931584000292971,0.0003557968912350598,0.000446672388090726,0.0004158549340281964,5.8944369292690927e-05,5.6775368366457505e-06,4.545833229342265e-17,1.6356388993818865e-31,3.633582756912304e-46,7.490342614564386e-61,1.4844328734643356e-75,5.018747138108468e-77,6.5426717147745945e-83,1.3709175254805028e-86,2.869306566926196e-90,1.0249165363436301e-119,3.5367167823199765e-149,2.7953977520480466e-171,3.1150998143764636e-218,8.380093798653561e-266,5.0231956511357e-310,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,8.849154974980511e-10,2.0255910997016868e-15,1.6698908150744415e-15,1.4363897731062908e-15,1.2740448287724812e-15,1.113386304263408e-15,9.920428799544485e-16,8.9380503116694e-16,7.791838883261669e-16,6.860848313380766e-16,6.091638985815728e-16,5.431322196456375e-16,4.3606967900993284e-16,3.532969952490877e-16,2.387445277314723e-16,1.1708494291074789e-16,9.696591684188212e-16,6.005552431746478e-15,1.9105205213392768e-14,1.1247544899958731e-13,3.5239777110028333e-13,8.636012480279196e-13,1.8637446794058884e-12,3.2237358478945266e-12,5.378080364760356e-12,1.3053725197209663e-11,2.5379499527886726e-11,4.574026678661346e-11,7.186173356238928e-11,1.0809490615785792e-10,1.5867593615919907e-10,2.1972451199404457e-10,3.023324711438485e-10,3.9592276018148395e-10,5.099007565811547e-10,6.540456469263378e-10,8.207380579386888e-10,9.972329807384532e-10,1.205657304134163e-09,1.5145326966945126e-09,1.5186529206681267e-09,1.8224549639471746e-09,1.809014741606867e-09,3.26369308782366e-10,4.0817296565873856e-14,3.469519534439285e-18,,4.9568849412398584e-23,2.700014379405876e-22,,1.4590271376102007e-21,9.47101065649486e-21,1.0489744575754747e-21,5.895529014424881e-21,2.7158421824489006e-21,,,1.9600883468926654e-21,3.9026462318981853e-23,5.29283210560382e-22,,,4.092642755771732e-22,5.445092854486328e-22,4.1850348494335595e-22,5.498602774330517e-22,3.913941172428229e-22,,,1.649857106824532e-23,,,5.557128228268685e-24,1.8684809342135688e-24,8.565412108343095e-26,4.544067757868874e-25,9.554139552941867e-26,4.801139509280377e-26,,,,,,9.965763383541234e-32,1.6612878264691786e-33,3.645190706240993e-35,6.821470614259799e-37,8.913710558730903e-39,1.8909725104318988e-42,1.272264389971597e-46,6.573178586461037e-51,7.104454883872708e-55,3.8626333764604086e-59,1.0116872087752503e-63,7.939971154433755e-73,,,,,,,,,2.1942258181636664e-22,6.24164884611136e-24,1.2907822456714023e-28,,2.1696140096974594e-30
Am241,6.086951269258771e-14,1.8389857289095976e-19,9.505768536536374e-19,4.627338098999411e-18,1.4844945372267484e-17,4.716520488103195e-17,1.147971789918685e-16,2.365673827857953e-16,5.736419655377572e-16,1.1773695147288239e-15,2.1594505163461698e-15,3.643130503217716e-15,8.688642149741128e-15,1.7625914809905698e-14,5.373963269386612e-14,4.71504516753553e-13,7.095224378492468e-12,3.461652307354802e-11,1.0625643502638062e-10,5.102476194274978e-10,1.545966907756613e-09,3.624522356005104e-09,7.238901281402744e-09,1.2904998873374787e-08,2.1252952530077668e-08,4.824182422927378e-08,9.315255863426045e-08,1.6058600519160676e-07,2.552185967403052e-07,3.8104433921923356e-07,5.42372207978041e-07,7.427136486638603e-07,9.840143243113434e-07,1.277112725811634e-06,1.6457109159712354e-06,2.069618717177061e-06,2.5570574154375123e-06,3.0766327905154107e-06,3.6638209944395365e-06,4.294722082038983e-06,4.542214574925234e-06,5.524289294391154e-06,7.66148146963279e-06,1.4346743632895026e-05,3.972508657970773e-05,7.26554607347934e-05,0.0018366084125809195,0.006201395527086496,0.010677098153470432,0.015581574732781487,0.020732870258929045,0.021255465470371448,0.02335368725283339,0.02466958843033906,0.02598743479625891,0.036489972060185186,0.046722484255839955,0.05414946191754798,0.07069823613002235,0.09297591760733477,0.10586682513878057,0.11433055709866691,0.1351705598745406,0.15570048375478424,0.17603802025693846,0.19625672499108535,0.21639992235637368,0.2565109444307973,0.29626901466455247,0.33530867633721,0.37310076793715213,0.40905662530070025,0.487556535789694,0.5463652360891397,0.58592524179754,0.6100277036041313,0.6231118552948064,0.628848834398874,0.627759603145766,0.6182743745703255,0.6049011255079314,0.5894294447369953,0.5726604106412375,0.5367837684893774,0.49923544232373207,0.4611144540351449,0.4231793992110253,0.38600983758294233,0.2992521782184074,0.22479413956121244,0.1644974531599309,0.11790580080075451,0.08319084444397344,0.05802064499476843,0.027592265154437287,0.005981742075665548,0.0012745404137578455,0.000271668698732061,5.916796814579127e-05,1.4185343426666151e-05,4.626696019899613e-06,2.549470344201218e-06,1.3176661886929132e-06,2.854516983751806e-07,1.6692502877709287e-08,1.6222495435064457e-11,5.746036546642025e-22,1.625376140805644e-39
