Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
Ac225,5744.59704424273,5729.318702536406,5713.888377620147,5698.316558112743,5682.60969839803,5661.468869872317,5640.114601006138,5618.562231049954,5585.89714720987,5552.858640172777,5519.4849918154705,5485.813649139703,5417.6958815827775,5348.719770794313,5208.941574910437,4784.078738986635,3830.1946914892783,2996.303298097944,2308.661803402337,1345.9344038433442,812.4864980167912,565.2063286437834,504.075908395207,570.7392639211125,721.9823980710817,1242.2108929007218,2014.840411982742,3048.09422783872,4365.32341076639,6040.590661819422,8044.071610716602,10514.89914839109,13437.215791246417,17043.589254759565,21605.817520959452,26943.16931873502,33320.53398232701,40367.41275420783,48742.477718972965,58160.55286333038,62048.25038642021,62063.64931165994,62366.665242637435,61190.39863307625,41039.97126857241,30832.825966695636,31789.243903751187,38665.752458130206,45653.984832217524,52753.97263306265,59965.768127579046,60693.09956983902,63613.61426720558,65448.028576799996,67289.43877167667,82272.74681365116,97704.71257219599,109573.72182924242,138254.59829353573,181635.82894747585,209034.18382011267,227874.2654129486,276999.96536884434,329046.1948212092,384048.65306146274,442044.86511547025,503073.70562893414,634389.361819416,778321.3259490627,935200.0557460942,1105356.6653864887,1289120.4386301069,1810189.8101660626,2423298.618349609,3133221.0486107403,3944529.449941661,4861597.887375238,5888608.656445913,8288270.610793153,11173409.639429018,14571298.653728567,18506792.22696789,23002514.156212,33755009.83298734,46971414.448800296,62768445.83423891,81240789.82896392,102464404.92177862,167921560.78175345,251521018.23537415,353513192.99673367,473912159.0528319,612577206.3528997,769267410.5109172,1135465321.7700455,2068893026.657737,3250063142.945249,4655500828.034431,6263544754.790122,8054428902.3523,10010161301.722607,12114374238.54725,38627741404.6551,133205150852.20314,271976347690.59192,466610350490.6733,684405002296.7673,664252252309.4832
Ac226,46942.570330890536,43729.15589984549,40735.922686551115,37947.79324919967,35350.72716931839,32162.67345798247,29262.52963504314,26624.294203537447,23106.84198060827,20054.935105467564,17406.952594722312,15109.413683374029,11386.299597396212,8583.443123160712,4884.621238574859,925.0999509100632,53.34915415132503,30.360975623640066,24.623179754762592,18.643993866819443,17.50356114926382,20.05732374583143,26.035069247622445,32.992440209769164,41.93416261701319,66.95366264583993,96.9595395252327,136.8467726970272,180.24098280803963,232.20800607900452,297.6804979425114,370.8465878365101,461.7974845548407,562.7552634883328,678.3919259579973,819.9471355204673,981.2546255677152,1146.1375769527854,1346.4282933960687,1609.3449158803953,1662.3722534354376,1635.1019739024432,1116.197779407874,360.27663481875203,105.27867099647703,31.865676690952807,0.00020566045478792326,9.964169563627589e-11,4.827601672954901e-17,2.3389543733299044e-23,1.1332143663023425e-29,2.6475313040135125e-30,7.887824381600652e-33,2.081037054654524e-34,5.490379873601164e-36,1.2887926169783672e-48,3.0252668342388584e-61,1.020232541850129e-70,8.076353252667359e-93,2.1560902163146897e-124,2.4520984568546606e-143,5.755970429383393e-156,1.536633087282418e-187,4.1022470114257345e-219,1.095149564215265e-250,2.923647864210584e-282,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,7.223887924172323,7.224427535726977,7.226359416157706,7.230987387236358,7.239548249748604,7.259052194955644,7.2900557373625245,7.334787082221892,7.431942575137042,7.570386762136606,7.755190214161939,7.990705551650631,8.628270800410982,9.506997891168176,12.054651657952661,26.664319457402108,105.0273855052849,249.68801961292837,465.3803223251044,1128.687043812158,2131.4714933038194,3508.2869157453856,5290.363726048076,7510.02894402784,10199.922954494,17106.824176279926,26232.34861487335,37775.58488142063,51929.06871000638,68839.74619756205,88684.74968904293,111594.38319363123,137731.87618970708,168258.56370850297,204873.59505516276,245725.06778086076,290916.5292275454,338710.61691988225,392411.07547416165,448520.4942181654,471125.0495919633,471224.20048752264,473516.49657804007,489600.77243958594,558885.3894335446,628672.412345022,1353878.8720596347,2301897.6795927715,3319894.6104172776,4405676.722547906,5557119.745453202,5675795.6095235245,6156818.510489358,6462551.678130305,6772165.928993116,9385156.945084138,12229440.628971487,14505820.385413125,20260550.054769225,29450422.81615175,35448490.4192548,39628450.81189933,50649116.759955645,62388304.164271586,74740149.96460533,87614360.0588116,100933919.62399322,128655993.83297323,157488476.41541225,187127350.15087628,217351444.18545836,247999857.98946342,325785431.624914,404459653.3282937,483517103.46598667,562729633.4565549,641994258.8224272,721264495.9483927,879749405.8874205,1038120267.7692368,1196364081.429272,1354478259.4634302,1512462337.243989,1828040154.0257056,2143097978.2123945,2457636449.3739424,2771656220.846814,3085157951.659928,3866650208.8929305,4644919294.306586,5419975708.307964,6191829985.065761,6960492669.913152,7725974308.380898,9247436589.98681,12252651534.273224,15208145765.401123,18114586838.857937,20972638826.124584,23782962162.27178,26546213445.759052,29263045241.229973,54018619662.98733,106725781421.83174,149545877727.8261,171734989118.37668,175011622718.83542,174936298599.26956
Ag107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag110_m1,230.0047289029243,731715.9425014014,5812255.054171431,19222230.56234091,44613997.42750327,101737432.72850338,190561715.06022364,318513302.8958078,584452665.4008869,955320732.8005784,1435080205.486561,2025786731.1833932,3574209800.1521583,5626132630.02036,11362707863.59552,41033364863.52612,191927395406.52383,464108428567.0673,863901187433.9429,2116554411336.3723,4039236902593.86,6699078812227.454,10169266518063.463,14548301864233.451,19891297173688.457,33682397876693.535,51704343444346.516,74686035826595.75,103291946053759.22,136765358693120.95,176301116320251.75,221045100478004.22,273349021038112.53,333021646846426.0,405433376685120.56,485627665357895.75,573843215611079.6,668127484721164.6,772083416076799.2,882783185939942.4,927124825146065.8,927021471996874.5,924449903700037.9,906662846379797.6,834233110667675.2,767589618622277.8,333845784108703.8,121232675201171.27,44024403797002.96,15987011190246.793,5805519330721.782,5246243633172.919,3498468548776.5044,2715791490845.581,2108214871562.484,278011312415.08093,36661486015.64888,8022703875.644158,231514959.67609635,1462002.3009099304,70011.51175039912,9232.45193312354,58.30234938873486,0.3681756456845741,0.0023250058996712617,1.4682265117593405e-05,9.271757512063961e-08,3.697430942758515e-12,1.474477257240345e-16,5.8799831972641126e-21,2.3448447375515764e-25,9.350871682226726e-30,9.3906814719776e-41,9.430660659113441e-52,9.470809964057638e-63,9.511130113937057e-74,9.551621840270189e-85,9.592285877503292e-96,9.674133836980332e-118,9.756679927414133e-140,9.839930129435225e-162,9.923890470599144e-184,1.0008567028039885e-205,1.0159652699606116e-249,1.0313018768544115e-293,,,,,,,,,,,,,,,,,,,,,,,
Ag111,7710.868515762053,105592385819012.86,235671171400376.22,364387358017327.7,491745223381293.7,659396512454128.2,824577770291689.6,987363137254477.8,1227221447602351.0,1461852856753366.8,1691053803867156.2,1915262008373781.8,2349361972577110.0,2764766774844004.5,3543827441275062.0,5526137036643913.0,8695806909941793.0,1.0664157911340966e+16,1.2009130538140842e+16,1.3862745948698556e+16,1.529036938332285e+16,1.6585725473406066e+16,1.7817488409472162e+16,1.902053527531692e+16,2.0180399875350564e+16,2.2459860490220936e+16,2.4654705032723156e+16,2.6813466812236756e+16,2.8947762770900644e+16,3.096474207739797e+16,3.299243865525056e+16,3.500508591955399e+16,3.695571346299238e+16,3.897142167523576e+16,4.1100156090289176e+16,4.316636904364745e+16,4.532945831782134e+16,4.731052011371458e+16,4.939946133192074e+16,5.1337467674279624e+16,5.21907196614527e+16,5.209617709732166e+16,4.7488393873695e+16,2.4759401209070904e+16,1518933408026672.0,93183152064521.55,70.35972514307645,1.2556675731800547e-13,2.2409141856966263e-28,3.9992244037059385e-43,7.137174623950143e-58,2.391560531866009e-59,3.0150991434832838e-65,6.197110423122605e-69,1.273728516750547e-72,4.056747451885198e-102,1.2920492644029447e-131,9.741030418078394e-154,9.94362500385446e-201,2.4163757420549986e-248,1.3696736489837898e-292,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am240,27139.828555477456,26044.235873440706,24992.85592916979,23983.91154805572,23015.699918603266,21785.274467328298,20620.63675781615,19518.287482506803,17974.391758750084,16552.869810470307,15244.187102712636,14039.784106492805,11912.948735692473,10117.201137400465,7356.742579745114,4131.252749368695,39546.59932264125,264392.6012765331,880449.2892953615,5496884.770534924,17848653.205172777,44863384.906682916,98515590.88109882,173124070.48691294,292172760.2157588,723726736.2702905,1427874681.7419493,2605924536.241759,4132599185.3492994,6267934388.296288,9259941422.137438,12894561403.110043,17838671481.331245,23523230682.97441,30444079568.816414,39270879634.62831,49411846390.22201,60347863587.72344,73433454250.7993,92547280355.07957,93086957615.54283,91875533738.94444,66218577151.122055,6690320981.0769825,362142.92922182695,19.605870848904782,,1.3101935307194369e-05,5.733180446472261e-05,,0.00024152856052678658,0.0015538952958373455,0.0001664373318324858,0.0009175717864693433,0.0004150914742615748,,,0.0002351669565244492,4.289150841687461e-06,5.254641233357747e-05,,,3.393146854575169e-05,4.145269641332533e-05,2.9327410936891766e-05,3.555687217287935e-05,2.3413909147828856e-05,,,6.54769423152115e-07,,,1.4406157305561216e-07,4.1608800110089376e-08,1.7098635021747987e-09,8.372337219819283e-09,1.655836570352453e-09,7.921604569423343e-10,,,,,,1.0998816225042738e-15,1.6797164304985845e-17,3.3999284017189497e-19,5.907089050276142e-21,7.210111329003359e-23,1.3221610150204305e-26,7.93567408125441e-31,3.7545960928168487e-35,3.794013980390662e-39,1.9591554740216437e-43,4.930421922973063e-48,3.6540972461015386e-57,,,,,,,,,1.9212880744964583e-07,1.5888345139015835e-09,9.771049199249103e-15,,7.97729294140454e-17
Am241,0.363566111884566,0.46048604212328087,2.770724320134162,15.047252684188882,52.22715306093263,179.72858632298977,464.70903406564713,1006.078927016624,2577.1127904970376,5532.055648706455,10524.261767595137,18340.360309364045,46226.77173734856,98299.28954481965,322496.56976547046,3239998.779643198,56355257.89083403,296796005.3382646,953643719.9891198,4856441443.788683,15249330036.11862,36669740034.292465,74519421686.53297,134969067983.95474,224858847264.1012,520885352271.42395,1020657660206.5792,1781759602765.5513,2858355120941.807,4303016376303.2095,6164145331628.517,8488437255797.234,11307260720155.744,14777263020486.143,19135905327422.617,24200881491593.504,29980941147809.168,36259282258583.03,43459286789112.46,51109113065908.86,54222086447687.84,54237261767475.305,54617116290671.484,57275547907034.88,68640256462446.164,79958259767026.78,190609630951304.66,319223103907963.2,441530837417481.8,557831550079873.4,668409825279751.0,679163469926126.5,721638281333722.0,747751764162174.6,773536780181327.6,968457660040375.6,1144517275078402.5,1265240453796320.2,1513209242794006.5,1797644029386536.5,1935595177896932.2,2015995291335040.0,2182524882696940.0,2308424789662732.0,2402477856466139.0,2471576304090272.5,2521128648865192.5,2577657869484888.0,2596191292487326.5,2591582994582412.5,2572976993071261.5,2546000737549523.0,2461506512448511.0,2369506212360727.0,2277894777846143.0,2188919267711095.0,2103149647794934.8,2020660565407263.5,1865208579614222.8,1721704430076952.2,1589240086538778.8,1466967169180521.8,1354101664591503.5,1153753472052842.2,983048102689736.2,837599722481318.4,713671403171781.9,608079115230734.1,407487906519454.5,273067307499852.8,182989108933725.1,122625731306861.7,82174906331693.95,55067917239251.95,24730152990108.637,4988634630005.364,1007483503831.0258,204538279411.7443,42511068173.32988,9738133643.691044,3038024072.4285455,1602829480.295048,561100925.5790825,48676805.53201931,827521.079333088,239.15757955040542,5.7729001266333755e-09,1.1638719892389809e-26
