Isotope,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
Ac225,0.0001378703290618255,0.00013750364886087372,0.00013713332106288356,0.00013675959739470583,0.0001363826327615527,0.00013587525287693557,0.00013536275042414734,0.0001348454935451989,0.00013406153153303687,0.00013326860736414663,0.0001324676398035713,0.00013165952757935288,0.00013002470115798664,0.0001283692744990635,0.00012501459779785048,0.00011481788973567923,9.192467259574269e-05,7.191127915435065e-05,5.540788328165608e-05,3.230242569224026e-05,1.949967595240299e-05,1.35649518874508e-05,1.2097821801484967e-05,1.36977423341067e-05,1.7327577553705963e-05,2.981306142961732e-05,4.83561698875858e-05,7.315426146812928e-05,0.00010476776185839337,0.00014497417588366614,0.00019305771865719843,0.00025235757956138617,0.000322493178989914,0.00040904614211422955,0.0005185396205030269,0.0006466360636496405,0.0007996928155758482,0.0009688179061009877,0.001169819465255351,0.001395853268719929,0.001489158009274085,0.0014895275834798387,0.0014967999658232983,0.00146856956719383,0.0009849593104457378,0.0007399878232006953,0.0007629418536900283,0.000927978058995125,0.0010956956359732205,0.0012660953431935034,0.001439178435061897,0.0014566343896761362,0.0015267267424129338,0.0015707526858432,0.0016149465305202399,0.001974545923527628,0.002344913101732704,0.002629769323901818,0.0033181103590448576,0.00435925989473942,0.0050168204116827035,0.005468982369910766,0.006647999168852264,0.007897108675709022,0.009217167673475106,0.010609076762771287,0.012073768935094419,0.015225344683665985,0.018679711822777504,0.022444801337906262,0.026528559969275733,0.030938890527122558,0.043444555443985504,0.05815916684039061,0.07519730516665778,0.09466870679859986,0.11667834929700573,0.14132660775470193,0.19891849465903566,0.26816183134629645,0.34971116768948557,0.44416301344722936,0.552060339749088,0.8101202359916961,1.127313946771207,1.506442700021734,1.949778955895134,2.4591457181226866,4.030117458762083,6.03650443764898,8.484316631921606,11.373891817267964,14.701852952469592,18.46241785226201,27.251167722481092,49.653432639785684,78.00151543068598,111.73201987282637,150.3250741149629,193.30629365645518,240.24387124134256,290.744981725134,927.0657937117222,3196.9236204528756,6527.432344574206,11198.648411776161,16425.720055122416,15942.054055427596
Ac226,0.00046942570330890535,0.0004372915589984549,0.0004073592268655112,0.0003794779324919967,0.0003535072716931839,0.00032162673457982463,0.0002926252963504314,0.00026624294203537454,0.0002310684198060827,0.00020054935105467565,0.00017406952594722314,0.0001510941368337403,0.0001138629959739621,8.583443123160712e-05,4.884621238574859e-05,9.250999509100632e-06,5.334915415132503e-07,3.036097562364006e-07,2.4623179754762597e-07,1.8643993866819441e-07,1.7503561149263817e-07,2.0057323745831427e-07,2.603506924762245e-07,3.299244020976916e-07,4.1934162617013193e-07,6.695366264583993e-07,9.69595395252327e-07,1.368467726970272e-06,1.8024098280803965e-06,2.3220800607900453e-06,2.976804979425115e-06,3.7084658783651015e-06,4.617974845548407e-06,5.627552634883329e-06,6.783919259579973e-06,8.199471355204673e-06,9.812546255677153e-06,1.1461375769527854e-05,1.3464282933960688e-05,1.609344915880395e-05,1.6623722534354375e-05,1.635101973902443e-05,1.1161977794078739e-05,3.602766348187521e-06,1.0527867099647704e-06,3.186567669095281e-07,2.0566045478792322e-12,9.96416956362759e-19,4.827601672954902e-25,2.3389543733299046e-31,1.1332143663023428e-37,2.6475313040135126e-38,7.887824381600651e-41,2.081037054654524e-42,5.490379873601164e-44,1.2887926169783673e-56,3.025266834238858e-69,1.0202325418501292e-78,8.07635325266736e-101,2.1560902163146898e-132,2.45209845685466e-151,5.755970429383394e-164,1.5366330872824181e-195,4.1022470114257346e-227,1.0951495642152651e-258,2.9236478642105846e-290,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac227,7.946276716589556e-06,7.946870289299675e-06,7.948995357773477e-06,7.954086125959995e-06,7.963503074723465e-06,7.984957414451208e-06,8.019061311098778e-06,8.068265790444082e-06,8.175136832650747e-06,8.327425438350266e-06,8.530709235578132e-06,8.789776106815696e-06,9.491097880452083e-06,1.0457697680284994e-05,1.3260116823747926e-05,2.933075140314232e-05,0.00011553012405581339,0.0002746568215742212,0.0005119183545576149,0.0012415557481933737,0.0023446186426342016,0.003859115607319925,0.005819400098652884,0.008261031838430626,0.0112199152499434,0.01881750659390792,0.028855583476360688,0.0415531433695627,0.05712197558100701,0.07572372081731828,0.09755322465794723,0.12275382151299435,0.1515050638086778,0.1850844200793533,0.225360954560679,0.2702975745589468,0.32000818215029997,0.37258167861187047,0.4316521830215778,0.493372543639982,0.5182375545511596,0.5183466205362749,0.5208681462358441,0.5385608496835446,0.614773928376899,0.6915396535795242,1.4892667592655982,2.5320874475520485,3.6518840714590057,4.846244394802698,6.112831719998524,6.243375170475878,6.772500361538294,7.108806845943335,7.44938252189243,10.323672639592553,13.452384691868636,15.956402423954438,22.286605060246146,32.39546509776692,38.99333946118028,43.59129589308926,55.714028435951214,68.62713458069875,82.21416496106586,96.37579606469276,111.02731158639256,141.52159321627056,173.2373240569535,205.84008516596393,239.08658860400422,272.79984378840976,358.3639747874054,444.905618661123,531.8688138125855,619.0025968022105,706.1936847046699,793.3909455432321,967.7243464761626,1141.9322945461606,1316.000489572199,1489.9260854097733,1663.7085709683881,2010.844169428276,2357.4077760336345,2703.400094311337,3048.8218429314957,3393.6737468259207,4253.3152297822235,5109.411223737246,5961.9732791387605,6811.0129835723355,7656.541936904467,8498.571739218989,10172.180248985493,13477.916687700548,16728.960341941234,19926.045522743734,23069.90270873704,26161.258378498955,29200.83479033496,32189.34976535297,59420.48162928606,117398.35956401491,164500.46550060873,188908.48803021436,192512.78499071894,192429.92845919653
Ag111,1.002412907049067e-05,137270.1015647167,306372.5228204891,473703.56542252604,639268.7903956817,857215.4661903668,1071951.1013791966,1283572.0784308212,1595387.8818830564,1900408.713779377,2198369.945027303,2489840.6108859167,3054170.564350243,3594196.8072972056,4606975.673657581,7183978.147637088,11304548.982924331,13863405.284743257,15611869.699583095,18021569.73330812,19877480.198319707,21561443.115427885,23162734.932313815,24726695.857911997,26234519.837955736,29197818.637287214,32051116.5425401,34857506.85590778,37632091.60217084,40254164.70061736,42890170.25182573,45506611.6954202,48042427.50189009,50662848.17780649,53430202.91737592,56116279.75674169,58928295.81316776,61503676.147828944,64219299.73149697,66738707.97656352,67847935.55988851,67725030.22651817,61734912.035803504,32187221.57179217,1974613.4304346738,121138.09768387803,9.14676426859994e-08,1.632367845134071e-22,2.913188441405614e-37,5.1989917248177205e-52,9.278327011135187e-67,3.1090286914258125e-68,3.9196288865282695e-74,8.056243550059387e-78,1.6558470717757108e-81,5.273771687450758e-111,1.6796640437238278e-140,1.2663339543501913e-162,1.2926712505010797e-209,3.1412884646714983e-257,1.7805757436789273e-301,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am240,1.5741100562176923e-05,1.5105656806595608e-05,1.4495856438918478e-05,1.3910668697872317e-05,1.3349105952789892e-05,1.2635459191050411e-05,1.1959969319533368e-05,1.1320606739853946e-05,1.0425147220075048e-05,9.60066449007278e-06,8.841628519573329e-06,8.143074781765825e-06,6.909510266701633e-06,5.86797665969227e-06,4.2669106962521655e-06,2.3961265946338427e-06,2.2937027607131924e-05,0.00015334770874038923,0.0005106605877913096,0.0031881931669102558,0.01035221885900021,0.026020763245876086,0.057139042711037306,0.10041196088240949,0.1694602009251401,0.41976150703676846,0.8281673154103305,1.5114362310202198,2.3969075275025937,3.635401945211847,5.370766024839713,7.478845613803823,10.346429459172123,13.643473796125155,17.65756614991352,22.777110188084418,28.658870906328755,35.0017608808796,42.59140346546359,53.677422605946155,53.99043541701484,53.28780956858777,38.406774747650786,3.8803861690246495,0.00021004289894865962,1.1371405092364772e-08,,7.599122478172732e-15,3.325244658953911e-14,,1.400865651055362e-13,9.012592715856604e-13,9.653365246284175e-14,5.32191636152219e-13,2.407530550717134e-13,,,1.3639683478418056e-13,2.487707488178727e-15,3.047691915347493e-14,,,1.968025175653598e-14,2.4042563919728692e-14,1.7009898343397224e-14,2.062298586027002e-14,1.3580067305740738e-14,,,3.7976626542822667e-16,,,8.355571237225505e-17,2.4133104063851836e-17,9.91720831261383e-19,4.8559555874951834e-18,9.603852108044225e-19,4.594530650265539e-19,,,,,,6.379313410524787e-25,9.74235529689179e-27,1.9719584729969903e-28,3.4261116491601625e-30,4.1818645708219484e-32,7.668533887118496e-36,4.602690967127558e-40,2.177665733833772e-44,2.200528108626584e-48,1.1363101749325535e-52,2.859644715324376e-57,2.1193764027388924e-66,,,,,,,,,1.1143470832079457e-16,9.215240180629184e-19,5.66720853556448e-24,,4.626829906014632e-26
Am241,7.27132223769132e-08,9.209720842465618e-08,5.541448640268324e-07,3.009450536837776e-06,1.0445430612186527e-05,3.594571726459796e-05,9.294180681312943e-05,0.0002012157854033248,0.0005154225580994075,0.0011064111297412911,0.0021048523535190274,0.0036680720618728086,0.00924535434746971,0.01965985790896393,0.06449931395309409,0.6479997559286396,11.271051578166805,59.35920106765292,190.7287439978239,971.2882887577365,3049.866007223724,7333.948006858493,14903.884337306596,26993.81359679094,44971.769452820234,104177.07045428478,204131.53204131586,356351.92055311025,571671.0241883612,860603.2752606418,1232829.0663257032,1697687.451159447,2261452.1440311493,2955452.604097228,3827181.0654845233,4840176.298318701,5996188.229561833,7251856.451716606,8691857.357822493,10221822.61318177,10844417.289537568,10847452.353495063,10923423.258134296,11455109.581406975,13728051.29248923,15991651.953405354,38121926.190260924,63844620.78159263,88306167.48349635,111566310.01597467,133681965.0559502,135832693.9852253,144327656.26674438,149550352.8324349,154707356.03626552,193691532.00807512,228903455.0156805,253048090.75926402,302641848.55880123,359528805.8773073,387119035.5793865,403199058.26700807,436504976.539388,461684957.9325463,480495571.29322773,494315260.8180545,504225729.7730385,515531573.89697754,519238258.4974653,518316598.91648245,514595398.61425227,509200147.5099046,492301302.4897022,473901242.4721453,455578955.5692286,437783853.542219,420629929.55898684,404132113.0814527,373041715.9228445,344340886.01539046,317848017.30775577,293393433.83610433,270820332.9183007,230750694.41056842,196609620.53794727,167519944.49626365,142734280.63435635,121615823.04614682,81497581.3038909,54613461.49997057,36597821.78674501,24525146.261372343,16434981.266338792,11013583.44785039,4946030.598021728,997726.9260010727,201496.70076620515,40907.65588234885,8502.213634665977,1947.6267287382088,607.6048144857091,320.5658960590096,112.2201851158165,9.735361106403861,0.16550421586661762,4.783151591008107e-05,1.1545800253266751e-15,2.3277439784779617e-33
Am242,2.5818413681989796e-05,2.2672150562899556e-05,1.9921904134387006e-05,1.759807994030532e-05,1.588596302975544e-05,1.5341786488368522e-05,1.8584187926450585e-05,2.8866281880308748e-05,6.823239909472983e-05,0.00015828669780957019,0.0003327084241524004,0.0006364074803379778,0.0018784243318411792,0.0045165237967023306,0.017620153355497138,0.23243827808046444,5.040424978760726,28.89331853987394,97.00758059043176,516.0746788797139,1656.7940788302715,4042.8419713203957,8274.061857256991,15063.867351388242,25215.65338408125,58739.99160372363,115442.47998250613,202651.39330689964,326385.0032880525,492223.19323832775,709769.3148746475,978447.7868242924,1310980.4900531878,1715833.0482982558,2235591.660962491,2831941.9905534694,3531246.0425668354,4289464.655821139,5167052.856134928,6113663.280834373,6498361.500880549,6233985.306514847,2207214.3251346685,2018.6213930170572,480.69615085045615,480.50208416390285,478.56584172466586,476.2206141777976,473.8868817230247,471.56458709924283,469.25367380165926,469.0232062838997,468.1024676233727,467.5279240999542,466.9540857946438,462.38866336554486,457.86787838292287,454.5063200569212,446.75834924978255,435.91838032917263,429.54105987655896,425.34142997151287,415.02111578734423,404.95121046663445,395.12563791199256,385.5384695275048,376.1839206183337,358.15024101482066,340.9810685669683,324.6349598044468,309.0724581481614,294.25599860645633,260.2482808336887,230.17089669706525,203.56961065093242,180.04268398857243,159.23480762508083,140.83173612372573,110.16041796223374,86.16891125719974,67.4024412215393,52.72306360488913,41.24066330709312,25.23339161704496,15.439228317001694,9.446600099030316,5.779968273307175,3.5365138508798926,1.0356191759648554,0.3032667158245087,0.08880744480382617,0.026006024902084382,0.007615502311147012,0.002230093748649332,0.00019123713231517222,1.4062753119477027e-06,1.0341139962386933e-08,7.604425808134416e-11,5.591964308634352e-13,4.112087154920576e-15,3.023849626423804e-17,2.2236069953006963e-19,1.0280986817798436e-40,,,,2.2696915372242923e-228,
Am243,4.2680641897202844e-09,5.7309830373401626e-09,6.692854414504856e-09,7.328618735287983e-09,7.764512395329524e-09,8.227404636642887e-09,8.840585955325732e-09,1.0058255147370973e-08,1.4685310810556724e-08,2.6570921678078218e-08,5.255529652612425e-08,1.0296829979413128e-07,3.353799035255817e-07,9.048055333108815e-07,4.3553888927756185e-06,8.842887308009368e-05,0.0034155181100031127,0.027960904727943534,0.1249146305326893,0.9785943300161825,4.17833560826178,12.901605105788237,31.73266927274616,68.02887180315027,130.09133349668673,384.60144510835437,929.3533145289504,1942.3902385717035,3633.2195214662916,6276.1645964188765,10171.006863637813,15691.88132159049,23284.911293530844,33730.50598695403,48735.1619295454,67948.96873147447,91688.2146287485,120060.16021180624,157009.49026116225,199882.7709373274,217841.29290842256,217910.36583213817,218374.37895722088,218390.45230979688,218388.73047607872,218387.04176466525,218370.2098561156,218349.73892380923,218329.26968811353,218308.8017581879,218288.33495766207,218286.2883357228,218278.10195053232,218272.98554214733,218267.86919635732,218226.94064719256,218186.0160094801,218155.32512174384,218083.7219328895,217981.45433401086,217920.1073390169,217879.21526811074,217777.00674056917,217674.83059475018,217572.68849411787,217470.5819296532,217368.5122338086,217164.48807599247,216960.624052637,216756.92651794766,216553.4004772208,216350.0498666997,215842.4594022963,215336.01494668372,214830.7331639336,214326.622085353,213823.6849660748,213321.92240844696,212321.91672508125,211326.59049063886,210335.92444864105,209349.8979108742,208368.48979908534,206419.44402708704,204488.61782364477,202575.84278548812,200680.95165429648,198803.7784813214,194187.2845662559,189677.96775513273,185273.34761264556,180970.99844576258,176768.54898421804,172663.68180646456,164737.6886811748,149960.48476616555,136508.79613787003,124263.72982606644,113117.054045415,102970.24439725044,93733.6136224176,85325.51908773732,33335.96900112093,1987.9522467179127,18.09463434999914,0.0015252518311768691,2.5819504716952725e-05,2.5253262144274272e-05
Am244,6.279242709746509e-05,5.1088311053488186e-05,4.156624734755975e-05,3.381941417943422e-05,2.7516854801634758e-05,2.0902105310117703e-05,1.5878251921740294e-05,1.2062745453368038e-05,7.989331266286013e-06,5.294640977811873e-06,3.5145742908074336e-06,2.3434176554860314e-06,1.0989391012849485e-06,6.811811205398601e-07,1.3707676405248955e-06,3.283371714629407e-05,0.0015407242518430803,0.013556086737787075,0.06292937335189827,0.5111880294909638,2.254115146525104,7.033806187058038,17.420247953276125,37.67142387755679,73.1376683360291,217.58946942197946,529.5587243738393,1125.403806542861,2102.2573097822137,3665.1058484356663,5995.316148027659,9221.959182189152,13862.930717595345,20392.521835359727,29457.447388382345,41479.11159767276,56596.64686044745,74002.10666030018,98101.72053875391,126081.43777255744,138474.56389690423,129645.38105443082,24971.067708571296,0.2455867230327832,2.4000796471834998e-09,2.4045987347695342e-09,2.4079541043846075e-09,2.341609680580298e-09,2.2336286371638223e-09,2.106423149647369e-09,1.9727214640662587e-09,1.9593011438794342e-09,1.905798466716774e-09,1.8725871339234784e-09,1.8396161018654045e-09,1.5885955172189753e-09,1.3657806121328083e-09,1.217940630033826e-09,9.308821833371087e-10,6.334779279992712e-10,5.027991029270788e-10,4.3102278562515175e-10,2.9326627982046457e-10,1.9953695636326892e-10,1.3576395723359142e-10,9.23731229817622e-11,6.285021456689928e-11,2.9095715481053483e-11,1.3469495144496666e-11,6.235533184474845e-12,2.886661574680992e-12,1.3363436278788365e-12,1.9486050977292106e-13,2.8413812981711434e-14,4.1431933115542764e-15,6.041445643890705e-16,8.809404346426575e-17,1.2845535474549511e-17,2.731263120211494e-19,5.807307958451645e-21,1.2347702680056847e-22,2.6254119709709906e-24,5.582243165780573e-26,2.5236626980293827e-29,1.1409164500054856e-32,5.1579408188472054e-36,2.3318405496755242e-39,1.0541959191620634e-42,4.5811813074393455e-51,1.9908272378094787e-59,8.651464491171626e-68,3.7596347779902585e-76,1.6338104433192545e-84,7.099988789732232e-93,1.3408173585190275e-109,4.781822904832095e-143,1.7053647722790893e-176,6.081923678873373e-210,2.1690252997098024e-243,7.735498149733058e-277,0.0,,,,,,,
As74,4.202575215259172e-06,6.204603130764145e-05,0.00012020073891051209,0.0001787826011691762,0.0002383678402897063,0.0003192126003275829,0.0004011379911499236,0.00048456531089312554,0.0006128923644641747,0.0007451998249969376,0.0008805839256102934,0.0010226187176173888,0.0013224729767398584,0.0016412949278445596,0.002362337487033107,0.005165063499547029,0.015519691243405756,0.03092472038020923,0.04824107168910354,0.09451476751160838,0.14284979835675357,0.19668671329596385,0.2522163873324411,0.3063302015355747,0.35942158542572294,0.4777059587724375,0.6094652134971564,0.7200550410159459,0.8031016790106698,0.9245880458506255,1.0009245494064232,1.1235556624497287,1.2042195224041425,1.2944332654495032,1.4625231199709738,1.5269455597401063,1.6377412833423823,1.8035381167605793,1.8801537364244978,2.023388158750146,2.020606976605635,2.01745580044307,1.9402716824075685,1.476656506984689,0.45821462380481237,0.14218653580923454,1.1769387477526025e-06,7.718387838835271e-13,5.061734200229819e-19,3.3194954334925054e-25,2.1769317623863526e-31,5.242302648729305e-32,1.7629142423430228e-34,5.0167720900169926e-36,1.427636217366105e-37,6.13992463067682e-50,2.6406359063928416e-62,1.4023862278656798e-71,3.203112838978241e-93,3.8854019603769386e-124,1.0958577565463367e-142,4.7130242414715885e-155,5.716936830290742e-186,6.934691000715933e-217,8.411836754612712e-248,1.0203626615965798e-278,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
