Days,Keff,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y)
0.0,1.3325358736821287,161.220472440945,0.0,95343.03351507435,189.81931218001162,7.303974651095998e-08,5.385759086161695,0.004622721519227215,340867.3443470572,1000.0,8123414335.238756
0.125,1.3299347786042501,161.220472440945,0.00334515732160686,368741236822.61993,734130280.5832161,0.030620607187784744,2257883.156270996,41.27779725751908,3043716363.433225,31698261801968.645,2.5749811432426317e+20
0.25,1.3240900740599126,161.220472440945,0.00669031464321372,402873980899.14197,802085471.0628371,0.0356436169769532,2628266.706381398,73.62975421337197,5429264704.622377,171236607588576.8,1.3910259128026986e+21
0.375,1.3174984010099189,161.220472440945,0.010035471964820582,434143631433.1002,864340502.5804449,0.039765062361576065,2932171.265045508,102.97164026371455,7592858322.475922,405125445476507.6,3.2910018513538494e+21
0.5,1.3144413049947172,161.220472440945,0.01338062928642744,460464397395.6899,916742754.8150554,0.0430222812917425,3172350.034643639,129.85550568679113,9575203954.682579,702426240474399.9,5.706099391317607e+21
0.6666666666666666,1.3083807715512925,161.220472440945,0.01784083904856992,492549492457.4326,980621262.2561612,0.04659841228128435,3436044.54195329,162.8677392745651,12009439360.64975,1158887658054511.2,9.414124614371287e+21
0.8333333333333334,1.305528046973719,161.220472440945,0.022301048810712404,521228261029.3918,1037718083.3221529,0.049502323723130015,3650171.3452409003,193.39414249760767,14260376163.96501,1654564465672811.0,1.3440712699023167e+22
1.0,1.3038697547759799,161.220472440945,0.02676125857285488,548188955785.3978,1091394375.6091104,0.052005930806152414,3834780.7564132586,222.06841956641244,16374742048.836473,2171357384692245.2,1.7638835705735524e+22
1.25,1.300392941297923,161.220472440945,0.033451573216068606,581666495228.6597,1158045113.227968,0.054937412115302744,4050940.489310202,262.1665621031907,19331473771.245373,2966347652175311.5,2.4096871040982752e+22
1.5,1.300195543708744,161.220472440945,0.04014188785928233,612424416461.5206,1219281338.2279363,0.05745785911147238,4236791.6314520035,299.61396629966384,22092747009.975212,3772414307984461.5,3.064488446794077e+22
1.75,1.2974498502536465,161.220472440945,0.04683220250249604,639477772979.8635,1273142111.6599102,0.05959695509067002,4394522.951130214,334.80609119918824,24687721876.30378,4583299979546063.0,3.723204475654399e+22
2.0,1.2980223447968693,161.220472440945,0.05352251714570976,664873122868.8125,1323701944.6206357,0.06156144726428893,4539379.444740497,368.1226416158612,27144396806.018047,5396514894695358.0,4.383812645589774e+22
2.5,1.2956602115368303,161.220472440945,0.06690314643213721,710620506181.0381,1414780825.9422486,0.06506049169260397,4797389.791474839,429.89610820743167,31699409999.13385,7027091626483919.0,5.708397685361569e+22
3.0,1.2953924659138794,161.220472440945,0.08028377571856465,751640631811.8252,1496448166.9708154,0.06819843343494733,5028773.374496116,486.15558731642636,35847836236.46376,8661655854497563.0,7.036221933533021e+22
4.0,1.293841989554107,161.220472440945,0.10704503429141952,818194981447.2606,1628951826.699546,0.07338479618181099,5411202.142699194,584.5838519459293,43105677971.770546,1.1941492552731794e+16,9.70056917870083e+22
7.0,1.293041366678325,161.220472440945,0.18732881000998416,945725301072.5941,1882853099.4081647,0.08403006040063452,6196155.968935676,800.5274586592343,59028792406.18597,2.186577921366387e+16,1.7762478431544273e+23
