,Years,#packages per GWe.y,Area per package (m2),Total area (m2),Required st (y),n_wf,Decay heat (W/Pkg),Reactor
0,3.0,13.35821987995901,0.0,0.0,23.0,12,2791.403187173126,SPWR
1,5.0,13.35821987995901,0.0,0.0,23.0,12,2176.196760098408,SPWR
2,10.0,13.35821987995901,0.0,0.0,23.0,12,1653.5266164800478,SPWR
3,20.0,13.35821987995901,0.0,0.0,23.0,12,1305.1126153243356,SPWR
4,50.0,13.35821987995901,75.32477063999593,0.0010062048486165,23.0,12,786.416598112092,SPWR
5,100.0,13.35821987995901,40.35921619567872,0.0005391272841246,23.0,12,420.1359631355117,SPWR
6,3.0,7.633268502833719,0.0,0.0,49.0,21,4884.955577552971,SPWR
7,5.0,7.633268502833719,0.0,0.0,49.0,21,3808.344330172214,SPWR
8,10.0,7.633268502833719,0.0,0.0,49.0,21,2893.6715788400834,SPWR
9,20.0,7.633268502833719,0.0,0.0,49.0,21,2283.947076817587,SPWR
10,50.0,7.633268502833719,306.1553547607539,0.0023369660264691,49.0,21,1376.2290466961608,SPWR
11,100.0,7.633268502833719,71.8877036603405,0.0005487381440915,49.0,21,735.2379354871455,SPWR
12,3.0,160.2986385595081,23.42888888888889,0.0037556189918508,1.0,1,232.61693226442716,SPWR
13,5.0,160.2986385595081,23.42888888888889,0.0037556189918508,1.0,1,181.34973000820068,SPWR
14,10.0,160.2986385595081,23.42888888888889,0.0037556189918508,1.0,1,137.79388470667064,SPWR
15,20.0,160.2986385595081,23.42888888888889,0.0037556189918508,1.0,1,108.7593846103613,SPWR
16,50.0,160.2986385595081,23.42888888888889,0.0037556189918508,1.0,1,65.534716509341,SPWR
17,100.0,160.2986385595081,23.42888888888889,0.0037556189918508,1.0,1,35.01133026129264,SPWR
18,3.0,80.14931927975405,23.656666666666663,0.0018960657297613,1.0,2,465.2338645288543,SPWR
19,5.0,80.14931927975405,23.900909090909092,0.0019156415938036,1.0,2,362.69946001640136,SPWR
20,10.0,80.14931927975405,23.900909090909092,0.0019156415938036,1.0,2,275.5877694133413,SPWR
21,20.0,80.14931927975405,23.900909090909092,0.0019156415938036,1.0,2,217.5187692207226,SPWR
22,50.0,80.14931927975405,23.900909090909092,0.0019156415938036,1.0,2,131.069433018682,SPWR
23,100.0,80.14931927975405,23.900909090909092,0.0019156415938036,1.0,2,70.02266052258528,SPWR
24,3.0,53.43287951983604,30.507425538112404,0.0016300995932383,2.0,3,697.8507967932815,SPWR
25,5.0,53.43287951983604,30.822758400382032,0.0016469487360766,2.0,3,544.049190024602,SPWR
26,10.0,53.43287951983604,25.79776918941618,0.0013784490929786,2.0,3,413.38165412001194,SPWR
27,20.0,53.43287951983604,23.900909090909092,0.001277094395869,2.0,3,326.2781538310839,SPWR
28,50.0,53.43287951983604,23.900909090909092,0.001277094395869,2.0,3,196.604149528023,SPWR
29,100.0,53.43287951983604,23.900909090909092,0.001277094395869,2.0,3,105.03399078387793,SPWR
30,3.0,40.07465963987703,51.92770711271089,0.0020809851884211,3.0,4,930.4677290577088,SPWR
31,5.0,40.07465963987703,45.67066794758249,0.0018302364735252,3.0,4,725.3989200328027,SPWR
32,10.0,40.07465963987703,37.258131575831534,0.0014931069417192,3.0,4,551.1755388266826,SPWR
33,20.0,40.07465963987703,30.94557529232353,0.0012401333972,3.0,4,435.0375384414452,SPWR
34,50.0,40.07465963987703,23.900909090909092,0.0009578207969018,3.0,4,262.138866037364,SPWR
35,100.0,40.07465963987703,23.900909090909092,0.0009578207969018,3.0,4,140.04532104517057,SPWR
