Isotope;Conversion factors (Sv/Bq)
Hydrogen;
H3;4.2E-11
Beryllium;
Be7;2.8E-11
Be10;1.1E-09
Carbon;
C11;2.4E-11
C14;5.8E-10
Fluorine;
F18;4.9E-11
Sodium;
Na22;3.2E-09
Na24;4.3E-10
Magnesium;
Mg28;2.2E-09
Aluminum;
Al26;3.5E-09
Silicon;
Si31;1.6E-10
Si32;5.6E-10
Phosphorus;
P32;2.4E-09
P33;2.4E-10
Sulphur;
S35;7.7E-10
;1.3E-10
Chlorine;
Cl36;9.3E-10
Cl38;1.2E-10
Cl39;8.5E-11
Potassium;
K40;6.2E-09
K42;4.3E-10
K43;2.5E-10
K44;8.4E-11
K45;5.4E-11
Calcium;
Ca41;1.9E-10
Ca45;7.1E-10
Ca47;1.6E-09
Scandium;
Sc43;1.9E-10
Sc44;3.5E-10
Sc44m;2.4E-09
Sc46;1.5E-09
Sc47;5.4E-10
Sc48;1.7E-09
Sc49;8.2E-11
Titanium;
Ti44;5.8E-09
Ti45;1.5E-10
Vanadium;
V47;6.3E-11
V48;2.0E-09
V49;1.8E-11
Chromium;
Cr48;2.0E-10
Cr49;6.1E-11
Cr51;3.8E-11
Manganese;
Mn51;9.3E-11
Mn52;1.8E-09
Mn52m;6.9E-11
Mn53;3.0E-11
Mn54;7.1E-10
Mn56;2.5E-10
Iron;
Fe52;1.4E-09
Fe55;3.3E-10
Fe59;1.8E-09
Fe60;1.1E-07
Cobalt;
Co55;1.0E-09
Co56;2.5E-09
Co57;2.1E-10
Co58;7.4E-10
Co58m;2.4E-11
Co60;3.4E-09
Co60m;1.7E-12
Co61;7.4E-11
Co62m;4.7E-11
Nickel;
Ni56;8.6E-10
Ni57;8.7E-10
Ni59;6.3E-11
Ni63;1.5E-10
Ni65;1.8E-10
Ni66;3.0E-09
Copper;
Cu60;7.0E-11
Cu61;1.2E-10
Cu64;1.2E-10
Cu67;3.4E-10
Zinc;
Zn62;9.4E-10
Zn63;7.9E-11
Zn65;3.9E-09
Zn69;3.1E-11
Zn69m;3.3E-10
Zn71m;2.4E-10
Zn72;1.4E-09
Gallium;
Ga65;3.7E-11
Ga66;1.2E-09
Ga67;1.9E-10
Ga68;1.0E-10
Ga70;3.1E-11
Ga72;1.1E-09
Ga73;2.6E-10
Germanium;
Ge66;1.0E-10
Ge67;6.5E-11
Ge68;1.3E-09
Ge69;2.4E-10
Ge71;1.2E-11
Ge75;4.6E-11
Ge77;3.3E-10
Ge78;1.2E-10
Arsenic;
As69;5.7E-11
As70;1.3E-10
As71;4.6E-10
As72;1.8E-09
As73;2.6E-10
As74;1.3E-09
As76;1.6E-09
As77;4.0E-10
As78;2.1E-10
Selenium;
Se70;1.2E-10
Se73;2.1E-10
Se73m;2.8E-11
Se75;2.6E-09
Se79;2.9E-09
Se81;2.7E-11
Se81m;5.3E-11
Se83;4.7E-11
Bromine;
Br74;8.4E-11
Br74m;1.4E-10
Br75;7.9E-11
Br76;4.6E-10
Br77;9.6E-11
Br80;3.1E-11
Br80m;1.1E-10
Br82;5.4E-10
Br83;4.3E-11
Br84;8.8E-11
Rubidium;
Rb79;5.0E-11
Rb81;5.4E-11
Rb81m;9.7E-12
Rb82m;1.3E-10
Rb83;1.9E-09
Rb84;2.8E-09
Rb86;2.8E-09
Rb87;1.5E-09
Rb88;9.0E-11
Rb89;4.7E-11
Strontium;
Sr80;3.4E-10
Sr81;7.7E-11
Sr82;6.1E-09
Sr83;4.9E-10
Sr85;5.6E-10
Sr85m;6.1E-12
Sr87m;3.0E-11
Sr89;2.6E-09
Sr90;2.8E-08
Sr91;6.5E-10
Sr92;4.3E-10
Yttrium;
Y86;9.6E-10
Y86m;5.6E-11
Y87;5.5E-10
Y88;1.3E-09
Y90;2.7E-09
Y90m;1.7E-10
Y91;2.4E-09
Y91m;1.1E-11
Y92;4.9E-10
Y93;1.2E-09
Y94;8.1E-11
Y95;4.6E-11
Zirconium;
Zr86;8.6E-10
Zr88;4.5E-10
Zr89;7.9E-10
Zr93;1.1E-09
Zr95;9.5E-10
Zr97;2.1E-09
Niobium;
Nb88;6.3E-11
Nb89;2.7E-10
Nb89m;1.4E-10
Nb90;1.2E-09
Nb93m;1.2E-10
Nb94;1.7E-09
Nb95;5.8E-10
Nb95m;5.6E-10
Nb96;1.1E-09
Nb97;6.8E-11
Nb98;1.1E-10
Molybdenum;
Mo90;2.2E-10
Mo93;3.1E-09
Mo93m;1.1E-10
Mo99;6.0E-10
Mo101;4.1E-11
Technetium;
Tc93;5.5E-11
Tc93m;2.5E-11
Tc94;2.0E-10
Tc94m;1.0E-10
Tc95;1.8E-10
Tc95m;5.6E-10
Tc96;1.1E-09
Tc96m;1.2E-11
Tc97;6.8E-11
Tc97m;5.5E-10
Tc98;2.0E-09
Tc99;6.4E-10
Tc99m;2.2E-11
Tc101;1.9E-11
Tc104;8.0E-11
Ruthenium;
Ru94;9.4E-11
Ru97;1.5E-10
Ru103;7.3E-10
Ru105;2.6E-10
Ru106;7.0E-09
Rhodium;
Rh99;5.1E-10
Rh99m;6.6E-11
Rh100;7.1E-10
Rh101;5.5E-10
Rh101m;2.2E-10
Rh102;2.6E-09
Rh102m;1.2E-09
Rh103m;3.8E-12
Rh105;3.7E-10
Rh106m;1.6E-10
Rh107;2.4E-11
Palladium;
Pd100;9.4E-10
Pd101;9.4E-11
Pd103;1.9E-10
Pd107;3.7E-11
Pd109;5.5E-10
Silver;
Ag102;4.0E-11
Ag103;4.3E-11
Ag104;6.0E-11
Ag104m;5.4E-11
Ag105;4.7E-10
Ag106;3.2E-11
Ag106m;1.5E-09
Ag108m;2.3E-09
Ag110m;2.8E-09
Ag111;1.3E-09
Ag112;4.3E-10
Ag115;6.0E-11
Cadmium;
Cd104;5.4E-11
Cd107;6.2E-11
Cd109;2.0E-09
Cd113;2.5E-08
Cd113m;2.3E-08
Cd115;1.4E-09
Cd115m;3.3E-09
Cd117;2.8E-10
Cd117m;2.8E-10
Indium;
In109;6.6E-11
In110;2.4E-10
In110m;1.0E-10
In111;2.9E-10
In112;1.0E-11
In113m;2.8E-11
In114m;4.1E-09
In115;3.2E-08
In115m;8.6E-11
In116m;6.4E-11
In117;3.1E-11
In117m;1.2E-10
In119m;4.7E-11
Tin;
Sn110;3.5E-10
Sn111;2.3E-11
Sn113;7.3E-10
Sn117m;7.1E-10
Sn119m;3.4E-10
Sn121;2.3E-10
Sn121m;3.8E-10
Sn123;2.1E-09
Sn123m;3.8E-11
Sn125;3.1E-09
Sn126;4.7E-09
Sn127;2.0E-10
Sn128;1.5E-10
Antimony;
Sb115;2.4E-11
Sb116;2.6E-11
Sb116m;6.7E-11
Sb117;1.8E-11
Sb118m;2.1E-10
Sb119;8.0E-11
Sb120m;1.2E-09
Sb120;1.4E-11
Sb122;1.7E-09
Sb124;2.5E-09
Sb124n;8.0E-12
Sb125;1.1E-09
Sb126;2.4E-09
Sb126m;3.6E-11
Sb127;1.7E-09
Sb128;7.6E-10
Sb128m;3.3E-11
Sb129;4.2E-10
Sb130;9.1E-11
Sb131;1.0E-10
Tellurium;
Te116;1.7E-10
Te121;4.3E-10
Te121m;2.3E-09
Te123;4.4E-09
Te123m;1.4E-09
Te125m;8.7E-10
Te127;1.7E-10
Te127m;2.3E-09
Te129;6.3E-11
Te129m;3.0E-09
Te131;8.7E-11
Te131m;1.9E-09
Te132;3.8E-09
Te133;7.2E-11
Te133m;2.8E-10
Te134;1.1E-10
Iodine;
I120;3.4E-10
I120m;2.1E-10
I121;8.2E-11
I123;2.1E-10
I124;1.3E-08
I125;1.5E-08
I126;2.9E-08
I128;4.6E-11
I129;1.1E-07
I130;2.0E-09
I131;2.2E-08
I132;2.9E-10
I132m;2.2E-10
I133;4.3E-09
I134;1.1E-10
I135;9.3E-10
Cesium;
Cs125;3.5E-11
Cs127;2.4E-11
Cs129;6.0E-11
Cs130;2.8E-11
Cs131;5.8E-11
