isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
H3,0.000E+00,8.548E-02,0.000E+00,0.000E+00
HE4,0.000E+00,9.177E-01,9.734E-01,2.861E+01
LI6,0.000E+00,2.420E-04,0.000E+00,0.000E+00
LI7,0.000E+00,1.550E-05,0.000E+00,0.000E+00
BE9,0.000E+00,2.979E-05,0.000E+00,0.000E+00
BE10,0.000E+00,1.990E-04,0.000E+00,0.000E+00
C14,0.000E+00,4.019E-05,0.000E+00,0.000E+00
CO72,0.000E+00,1.180E-12,0.000E+00,0.000E+00
CO73,0.000E+00,3.659E-13,0.000E+00,0.000E+00
CO74,0.000E+00,6.600E-14,0.000E+00,0.000E+00
CO75,0.000E+00,6.590E-15,0.000E+00,0.000E+00
NI72,0.000E+00,4.479E-10,0.000E+00,0.000E+00
NI73,0.000E+00,6.146E-11,0.000E+00,0.000E+00
NI74,0.000E+00,6.016E-11,0.000E+00,0.000E+00
NI75,0.000E+00,6.820E-12,0.000E+00,0.000E+00
NI76,0.000E+00,2.629E-12,0.000E+00,0.000E+00
NI77,0.000E+00,1.749E-13,0.000E+00,0.000E+00
NI78,0.000E+00,2.760E-14,0.000E+00,0.000E+00
CU66,0.000E+00,1.150E-13,0.000E+00,0.000E+00
CU67,0.000E+00,1.210E-16,0.000E+00,0.000E+00
CU72,0.000E+00,2.199E-09,0.000E+00,0.000E+00
CU73,0.000E+00,1.890E-09,0.000E+00,0.000E+00
CU74,0.000E+00,3.599E-10,0.000E+00,0.000E+00
CU75,0.000E+00,4.759E-10,0.000E+00,0.000E+00
CU76,0.000E+00,1.020E-10,0.000E+00,0.000E+00
CU77,0.000E+00,6.341E-11,0.000E+00,0.000E+00
CU78,0.000E+00,9.356E-12,0.000E+00,0.000E+00
CU79,0.000E+00,3.549E-12,0.000E+00,0.000E+00
CU80,0.000E+00,2.320E-13,0.000E+00,0.000E+00
CU81,0.000E+00,1.429E-14,0.000E+00,0.000E+00
ZN66,0.000E+00,5.347E-08,0.000E+00,0.000E+00
ZN67,0.000E+00,2.229E-09,0.000E+00,0.000E+00
ZN68,0.000E+00,2.129E-03,0.000E+00,0.000E+00
ZN69,0.000E+00,5.128E-10,0.000E+00,0.000E+00
ZN69M,0.000E+00,4.989E-10,0.000E+00,0.000E+00
ZN70,0.000E+00,7.579E-03,8.364E-11,5.151E-03
ZN71,0.000E+00,3.159E-12,0.000E+00,0.000E+00
ZN71M,0.000E+00,3.249E-11,0.000E+00,0.000E+00
ZN72,0.000E+00,7.269E-05,0.000E+00,7.102E-05
ZN73,0.000E+00,1.879E-08,0.000E+00,0.000E+00
ZN74,0.000E+00,1.419E-07,0.000E+00,0.000E+00
ZN75,0.000E+00,2.459E-08,0.000E+00,0.000E+00
ZN76,0.000E+00,2.439E-08,0.000E+00,0.000E+00
ZN77,0.000E+00,6.960E-09,0.000E+00,0.000E+00
ZN78,0.000E+00,1.160E-08,0.000E+00,0.000E+00
ZN79,0.000E+00,1.280E-09,0.000E+00,0.000E+00
ZN80,0.000E+00,8.418E-10,0.000E+00,0.000E+00
ZN81,0.000E+00,3.629E-11,0.000E+00,0.000E+00
ZN82,0.000E+00,5.108E-12,0.000E+00,0.000E+00
ZN83,0.000E+00,3.019E-13,0.000E+00,0.000E+00
GA69,0.000E+00,5.657E-06,0.000E+00,0.000E+00
GA70,0.000E+00,1.670E-12,0.000E+00,0.000E+00
GA71,0.000E+00,2.259E-06,1.541E-11,1.250E-02
GA72,0.000E+00,2.209E-05,0.000E+00,0.000E+00
GA73,0.000E+00,1.490E-05,0.000E+00,0.000E+00
GA74,0.000E+00,7.809E-07,0.000E+00,0.000E+00
GA75,0.000E+00,3.789E-07,0.000E+00,0.000E+00
GA76,0.000E+00,1.890E-07,0.000E+00,0.000E+00
GA77,0.000E+00,1.620E-07,0.000E+00,0.000E+00
GA78,0.000E+00,1.050E-07,0.000E+00,0.000E+00
GA79,0.000E+00,7.190E-08,0.000E+00,0.000E+00
GA80,0.000E+00,4.079E-08,0.000E+00,0.000E+00
GA81,0.000E+00,1.010E-08,0.000E+00,0.000E+00
GA82,0.000E+00,8.408E-10,0.000E+00,0.000E+00
GA83,0.000E+00,2.279E-10,0.000E+00,0.000E+00
GA84,0.000E+00,2.119E-11,0.000E+00,0.000E+00
GE70,0.000E+00,3.309E-08,0.000E+00,0.000E+00
GE72,0.000E+00,3.289E-02,8.326E-13,2.761E-02
GE73,0.000E+00,6.660E-02,7.653E-12,6.010E-02
GE73M,0.000E+00,4.489E-10,0.000E+00,0.000E+00
GE74,0.000E+00,1.470E-01,4.173E-10,1.460E-01
GE75,0.000E+00,1.670E-05,0.000E+00,0.000E+00
GE75M,0.000E+00,7.589E-09,0.000E+00,0.000E+00
GE76,0.000E+00,7.479E-01,2.151E-08,7.002E-01
GE77,0.000E+00,2.360E-04,0.000E+00,8.882E-04
GE77M,0.000E+00,6.810E-07,0.000E+00,0.000E+00
