isotope,ST1-charged (g),ST1-discharged (g)
H3,0.000E+00,8.069E-02
HE4,0.000E+00,0.000E+00
LI6,0.000E+00,3.209E-04
LI7,0.000E+00,1.329E-05
BE9,0.000E+00,2.555E-05
BE10,0.000E+00,1.708E-04
C14,0.000E+00,3.451E-05
CO72,0.000E+00,1.331E-12
CO73,0.000E+00,4.034E-13
CO74,0.000E+00,7.063E-14
CO75,0.000E+00,6.985E-15
NI72,0.000E+00,5.312E-10
NI73,0.000E+00,7.145E-11
NI74,0.000E+00,6.697E-11
NI75,0.000E+00,7.457E-12
NI76,0.000E+00,2.876E-12
NI77,0.000E+00,1.865E-13
NI78,0.000E+00,2.904E-14
CU66,0.000E+00,2.097E-13
CU67,0.000E+00,1.345E-16
CU72,0.000E+00,2.644E-09
CU73,0.000E+00,2.294E-09
CU74,0.000E+00,4.117E-10
CU75,0.000E+00,5.349E-10
CU76,0.000E+00,1.147E-10
CU77,0.000E+00,6.985E-11
CU78,0.000E+00,1.016E-11
CU79,0.000E+00,3.727E-12
CU80,0.000E+00,2.426E-13
CU81,0.000E+00,1.479E-14
ZN66,0.000E+00,6.812E-08
ZN67,0.000E+00,2.738E-09
ZN68,0.000E+00,3.616E-11
ZN69,0.000E+00,6.903E-18
ZN69M,0.000E+00,6.722E-18
ZN72,0.000E+00,8.673E-05
ZN73,0.000E+00,2.248E-08
ZN74,0.000E+00,1.618E-07
ZN75,0.000E+00,2.756E-08
ZN76,0.000E+00,2.750E-08
ZN77,0.000E+00,7.761E-09
ZN78,0.000E+00,1.285E-08
ZN79,0.000E+00,1.374E-09
ZN80,0.000E+00,8.961E-10
ZN81,0.000E+00,3.791E-11
ZN82,0.000E+00,5.333E-12
ZN83,0.000E+00,3.130E-13
GA69,0.000E+00,4.885E-14
GA70,0.000E+00,1.297E-20
GA71,0.000E+00,1.750E-06
GA72,0.000E+00,2.637E-05
GA73,0.000E+00,1.763E-05
GA74,0.000E+00,8.854E-07
GA75,0.000E+00,4.203E-07
GA76,0.000E+00,2.096E-07
GA77,0.000E+00,1.752E-07
GA78,0.000E+00,1.132E-07
GA79,0.000E+00,7.741E-08
GA80,0.000E+00,4.331E-08
GA81,0.000E+00,1.057E-08
GA82,0.000E+00,8.838E-10
GA83,0.000E+00,2.383E-10
GA84,0.000E+00,2.254E-11
GE70,0.000E+00,1.836E-16
GE72,0.000E+00,3.708E-02
GE73,0.000E+00,7.137E-02
GE73M,0.000E+00,5.321E-10
GE74,0.000E+00,1.445E-01
GE75,0.000E+00,1.854E-05
GE75M,0.000E+00,8.295E-09
GE76,0.000E+00,6.570E-01
GE77,0.000E+00,2.494E-04
GE77M,0.000E+00,7.301E-07
GE78,0.000E+00,2.005E-04
GE79,0.000E+00,3.402E-06
GE80,0.000E+00,3.542E-06
GE81,0.000E+00,1.745E-06
GE82,0.000E+00,6.903E-07
GE83,0.000E+00,2.058E-07
GE84,0.000E+00,4.754E-08
GE85,0.000E+00,2.128E-09
GE86,0.000E+00,4.454E-10
GE87,0.000E+00,2.810E-11
GE88,0.000E+00,1.489E-12
AS75,0.000E+00,2.796E-01
AS76,0.000E+00,2.881E-05
AS77,0.000E+00,2.350E-03
AS78,0.000E+00,2.152E-04
AS79,0.000E+00,4.922E-05
AS80,0.000E+00,3.199E-06
AS81,0.000E+00,9.635E-06
AS82,0.000E+00,5.423E-06
AS82M,0.000E+00,1.406E-06
AS83,0.000E+00,6.155E-06
AS84,0.000E+00,2.247E-06
AS85,0.000E+00,4.413E-07
AS86,0.000E+00,1.021E-07
AS87,0.000E+00,1.522E-08
AS88,0.000E+00,6.759E-10
AS89,0.000E+00,7.334E-11
SE76,0.000E+00,1.042E-02
SE77,0.000E+00,1.313E+00
SE77M,0.000E+00,8.164E-10
SE78,0.000E+00,3.181E+00
SE79,0.000E+00,7.285E+00
SE79M,0.000E+00,2.134E-05
SE80,0.000E+00,1.602E+01
