isotope,ST1-DF-charge (g),ST1-DF-discharge (g),ST1-BB-charge (g),ST1-BB-discharge (g),ST2-charge (g),ST2-discharge (g),ST3-charge (g),ST3-discharge (g)
H3,0.000E+00,7.282E-03,0.000E+00,6.046E-03,0.000E+00,5.683E-03,0.000E+00,4.119E-01
HE4,1.590E-23,8.331E+00,8.301E-24,4.032E+00,2.162E-23,4.330E+00,0.000E+00,2.181E+02
LI6,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.340E-03
LI7,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.779E-05
BE9,0.000E+00,1.493E-06,0.000E+00,9.366E-07,0.000E+00,7.906E-07,0.000E+00,1.107E-04
BE10,0.000E+00,1.960E-04,0.000E+00,1.225E-04,0.000E+00,1.155E-04,0.000E+00,7.446E-04
C14,1.228E-25,3.777E-02,6.601E-26,3.016E-02,1.528E-25,2.848E-02,0.000E+00,1.502E-04
NI66,0.000E+00,1.948E-07,0.000E+00,1.601E-06,5.783E-27,6.937E-06,0.000E+00,0.000E+00
CU66,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.091E-08,0.000E+00,0.000E+00
CU67,0.000E+00,6.183E-07,0.000E+00,2.534E-06,8.675E-28,1.069E-05,0.000E+00,0.000E+00
CU72,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.027E-08
CU73,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.964E-08
ZN66,0.000E+00,1.948E-04,0.000E+00,7.509E-04,0.000E+00,2.979E-03,0.000E+00,3.500E-07
ZN67,0.000E+00,5.659E-04,0.000E+00,1.075E-03,0.000E+00,3.958E-03,0.000E+00,0.000E+00
ZN68,0.000E+00,1.074E-03,0.000E+00,2.027E-03,0.000E+00,6.511E-03,0.000E+00,0.000E+00
ZN69,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.985E-07,0.000E+00,0.000E+00
ZN69M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.511E-28,8.114E-08,0.000E+00,0.000E+00
ZN70,0.000E+00,4.024E-03,0.000E+00,8.102E-03,8.466E-27,1.838E-02,0.000E+00,0.000E+00
ZN71M,0.000E+00,0.000E+00,0.000E+00,3.110E-07,4.081E-26,9.920E-07,0.000E+00,0.000E+00
ZN72,1.065E-26,1.540E-05,3.993E-28,6.561E-05,2.681E-25,1.699E-04,0.000E+00,1.562E-03
ZN73,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.991E-07
ZN74,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.977E-06
ZN75,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.570E-07
ZN76,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.096E-07
ZN77,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.408E-08
ZN78,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.664E-08
GA69,0.000E+00,1.907E-03,0.000E+00,3.534E-03,0.000E+00,9.901E-03,0.000E+00,0.000E+00
GA71,0.000E+00,7.493E-03,0.000E+00,2.446E-02,7.976E-28,4.374E-02,0.000E+00,4.137E-05
GA72,0.000E+00,4.847E-06,0.000E+00,2.051E-05,7.183E-27,5.397E-05,0.000E+00,4.770E-04
GA73,2.215E-27,4.003E-06,0.000E+00,1.767E-05,7.183E-26,4.351E-05,0.000E+00,2.432E-04
GA74,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.147E-05
GA75,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.468E-06
GA76,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.049E-06
GA77,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.542E-06
GA78,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.854E-07
GA79,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.511E-07
GA80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.397E-07
GA81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.931E-08
GE70,0.000E+00,2.829E-05,0.000E+00,4.467E-05,0.000E+00,1.386E-04,0.000E+00,0.000E+00
GE71,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.962E-08,0.000E+00,0.000E+00
GE72,1.307E-13,1.891E-02,1.424E-13,5.928E-02,1.420E-13,1.017E-01,0.000E+00,3.987E-01
GE73,1.322E-13,4.830E-02,1.443E-13,1.450E-01,1.439E-13,2.199E-01,0.000E+00,5.746E-01
GE74,1.343E-13,1.409E-01,1.463E-13,3.672E-01,1.457E-13,5.386E-01,0.000E+00,1.034E+00
GE75,9.603E-28,7.021E-06,0.000E+00,3.268E-05,2.915E-26,7.739E-05,0.000E+00,1.997E-04
GE75M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.752E-08
GE76,1.380E-13,1.032E+00,1.502E-13,1.811E+00,1.497E-13,2.615E+00,0.000E+00,3.597E+00
GE77,9.130E-25,3.525E-04,7.115E-27,8.576E-04,8.208E-24,2.065E-03,0.000E+00,2.748E-03
GE77M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.052E-06
GE78,1.007E-23,1.216E-04,6.917E-26,2.359E-04,4.152E-23,5.661E-04,0.000E+00,1.621E-03
GE79,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.372E-05
GE80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.773E-05
GE81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.419E-06
GE82,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.234E-06
GE83,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.721E-07
GE84,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.291E-08
AS75,1.359E-13,3.531E-01,1.483E-13,9.801E-01,1.479E-13,1.413E+00,0.000E+00,1.667E+00
AS76,2.567E-28,1.787E-05,0.000E+00,5.533E-05,1.010E-26,1.581E-04,0.000E+00,2.984E-04
AS77,6.664E-27,1.242E-03,0.000E+00,3.056E-03,1.763E-25,6.987E-03,0.000E+00,2.399E-02
AS78,1.863E-25,1.284E-04,1.119E-27,2.486E-04,1.567E-24,5.968E-04,0.000E+00,1.753E-03
AS79,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.401E-04
AS80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.693E-05
AS81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.164E-05
AS82,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.313E-05
