isotope,ST1-discharged (g),ST2-discharged (g)
H1,0.000E+00,0.000E+00
H2,0.000E+00,0.000E+00
H3,6.485E-02,2.066E-01
HE3,0.000E+00,0.000E+00
HE4,1.907E+00,0.000E+00
LI6,2.440E-04,0.000E+00
LI7,1.562E-05,0.000E+00
BE9,3.006E-05,0.000E+00
BE10,2.007E-04,0.000E+00
B10,0.000E+00,0.000E+00
B11,0.000E+00,0.000E+00
C12,1.545E+02,1.585E+02
C13,1.340E+01,0.000E+00
C14,4.055E-05,0.000E+00
SI28,0.000E+00,0.000E+00
SI29,0.000E+00,0.000E+00
SI30,0.000E+00,0.000E+00
SI32,0.000E+00,0.000E+00
P31,0.000E+00,0.000E+00
P32,0.000E+00,0.000E+00
S32,0.000E+00,0.000E+00
S33,0.000E+00,0.000E+00
S34,0.000E+00,0.000E+00
S35,0.000E+00,0.000E+00
S36,0.000E+00,0.000E+00
CL35,0.000E+00,0.000E+00
CL36,0.000E+00,0.000E+00
CL37,0.000E+00,0.000E+00
AR36,0.000E+00,0.000E+00
AR37,0.000E+00,0.000E+00
AR38,0.000E+00,0.000E+00
AR39,0.000E+00,0.000E+00
AR40,0.000E+00,0.000E+00
K39,0.000E+00,0.000E+00
K40,0.000E+00,0.000E+00
K41,0.000E+00,0.000E+00
CA40,0.000E+00,0.000E+00
CA41,0.000E+00,0.000E+00
CA42,0.000E+00,0.000E+00
CA43,0.000E+00,0.000E+00
CA44,0.000E+00,0.000E+00
CA45,0.000E+00,0.000E+00
CA46,0.000E+00,0.000E+00
CA48,0.000E+00,0.000E+00
SC45,0.000E+00,0.000E+00
SC46,0.000E+00,0.000E+00
V50,0.000E+00,0.000E+00
V51,0.000E+00,0.000E+00
CR50,0.000E+00,0.000E+00
CR51,0.000E+00,0.000E+00
CR52,0.000E+00,0.000E+00
CR53,0.000E+00,0.000E+00
CR54,0.000E+00,0.000E+00
MN54,0.000E+00,0.000E+00
MN55,0.000E+00,0.000E+00
FE54,0.000E+00,0.000E+00
FE55,0.000E+00,0.000E+00
FE56,0.000E+00,0.000E+00
FE57,0.000E+00,0.000E+00
FE58,0.000E+00,0.000E+00
FE59,0.000E+00,0.000E+00
CO58,0.000E+00,0.000E+00
CO59,0.000E+00,0.000E+00
CO60,0.000E+00,0.000E+00
NI58,0.000E+00,0.000E+00
NI59,0.000E+00,0.000E+00
NI60,0.000E+00,0.000E+00
NI61,0.000E+00,0.000E+00
NI62,0.000E+00,0.000E+00
NI63,0.000E+00,0.000E+00
NI64,0.000E+00,0.000E+00
ZN64,0.000E+00,0.000E+00
ZN65,0.000E+00,0.000E+00
ZN66,5.435E-08,0.000E+00
ZN67,2.263E-09,0.000E+00
ZN68,2.163E-03,0.000E+00
ZN70,7.693E-03,0.000E+00
SE76,1.235E-02,3.484E-02
SE77,1.532E+00,2.879E+00
SE78,3.721E+00,6.184E+00
SE79,8.963E+00,1.088E+01
SE80,2.038E+01,1.791E+01
SE82,5.105E+01,4.898E+01
KR80,3.588E-04,8.372E-04
KR81,4.217E-05,3.675E-05
KR82,2.039E+00,1.847E+00
KR83,5.860E+01,1.045E+02
KR84,1.750E+02,1.894E+02
KR85,2.494E+01,3.508E+01
KR86,2.862E+02,2.927E+02
RB85,1.582E+02,1.710E+02
RB87,3.669E+02,3.846E+02
SR86,9.355E-01,6.511E+00
SR87,7.694E-03,1.284E-01
SR88,5.265E+02,5.009E+02
SR89,3.217E-10,1.215E-03
SR90,6.997E+02,7.008E+02
Y89,6.857E+02,6.570E+02
Y90,1.755E-01,1.761E-01
Y91,1.578E-08,7.718E-03
ZR90,1.344E+02,8.497E+01
ZR91,8.889E+02,1.019E+05
ZR92,9.686E+02,1.108E+03
ZR93,1.086E+03,1.355E+03
ZR94,1.138E+03,1.563E+03
ZR95,1.714E-07,3.354E-02
ZR96,1.223E+03,1.806E+03
NB93,7.604E-04,5.073E-04
NB93M,2.820E-03,2.428E-03
NB94,1.175E-03,7.212E-03
NB95,2.166E-07,4.035E-02
NB95M,7.171E-11,2.406E-05
MO92,0.000E+00,0.000E+00
MO93,0.000E+00,0.000E+00
MO94,0.000E+00,0.000E+00
MO95,1.127E+03,1.697E+03
MO96,8.251E+01,5.180E+01
MO97,1.213E+03,1.897E+03
MO98,1.249E+03,2.129E+03
MO100,1.435E+03,2.436E+03
TC98,1.085E-02,0.000E+00
TC99,1.145E+03,2.160E+03
RU99,2.633E-02,2.971E-02
RU100,2.200E+02,9.542E+01
RU101,1.175E+03,2.292E+03
RU102,1.225E+03,2.782E+03
RU103,4.902E-13,2.484E-04
RU104,8.644E+02,2.505E+03
RU106,6.786E+00,1.297E+02
RH102,4.603E-04,0.000E+00
RH103,6.110E+02,2.680E+03
RH103M,4.384E-16,2.442E-07
RH106,6.378E-06,1.216E-04
PD104,4.681E+02,1.569E-02
PD105,6.129E+02,1.838E+03
PD106,5.822E+02,1.757E+03
PD107,3.596E+02,1.084E+03
PD108,2.475E+02,9.163E+02
