isotope,ST1-charged (g),ST1-discharged (g)
H3,0.000E+00,2.400E-08
HE4,0.000E+00,3.233E+00
BE9,0.000E+00,2.190E-09
GA69,0.000E+00,1.362E-03
GA71,0.000E+00,7.656E-03
GE70,0.000E+00,1.422E-05
GE72,0.000E+00,2.083E-02
GE73,0.000E+00,5.542E-02
GE74,0.000E+00,1.641E-01
GE76,0.000E+00,1.211E+00
AS75,0.000E+00,4.325E-01
SE76,0.000E+00,1.480E-02
SE77,0.000E+00,2.937E+00
SE78,0.000E+00,8.369E+00
SE79,0.000E+00,1.680E+01
SE80,0.000E+00,4.923E+01
SE82,0.000E+00,1.259E+02
BR79,0.000E+00,8.931E-03
BR81,0.000E+00,7.929E+01
KR80,0.000E+00,7.546E-04
KR82,0.000E+00,2.204E+00
KR83,0.000E+00,1.600E+02
KR84,0.000E+00,3.409E+02
KR85,0.000E+00,7.080E+01
KR86,0.000E+00,6.426E+02
RB85,0.000E+00,2.400E+02
RB86,0.000E+00,3.579E-02
RB87,0.000E+00,9.345E+02
SR86,0.000E+00,1.102E+00
SR87,0.000E+00,6.066E-03
SR88,0.000E+00,1.317E+03
SR89,0.000E+00,5.835E+01
SR90,0.000E+00,2.101E+03
Y89,0.000E+00,1.720E+03
Y90,0.000E+00,5.437E-01
Y91,0.000E+00,8.976E+01
ZR90,0.000E+00,1.367E+02
ZR91,0.000E+00,2.203E+03
ZR92,0.000E+00,2.446E+03
ZR93,0.000E+00,2.636E+03
ZR94,0.000E+00,2.924E+03
ZR95,0.000E+00,1.400E+02
ZR96,0.000E+00,2.972E+03
NB93,0.000E+00,3.310E-04
NB94,0.000E+00,2.246E-03
NB95,0.000E+00,7.773E+01
MO95,0.000E+00,2.620E+03
MO96,0.000E+00,1.561E+02
MO97,0.000E+00,2.162E+03
MO98,0.000E+00,2.972E+03
MO99,0.000E+00,6.771E+00
MO100,0.000E+00,3.376E+03
TC99,0.000E+00,2.817E+03
RU99,0.000E+00,1.197E-01
RU100,0.000E+00,4.031E+02
RU101,0.000E+00,2.765E+03
RU102,0.000E+00,2.768E+03
RU103,0.000E+00,8.346E+01
RU104,0.000E+00,1.768E+03
RU105,0.000E+00,2.719E-01
RU106,0.000E+00,3.547E+02
RH103,0.000E+00,1.448E+03
RH105,0.000E+00,2.071E+00
PD102,0.000E+00,1.856E-04
PD104,0.000E+00,7.722E+02
PD105,0.000E+00,1.240E+03
PD106,0.000E+00,7.101E+02
PD107,0.000E+00,6.535E+02
PD108,0.000E+00,4.373E+02
PD110,0.000E+00,1.466E+02
AG107,0.000E+00,1.256E-04
AG109,0.000E+00,1.738E+02
AG110M,0.000E+00,7.630E+01
AG111,0.000E+00,7.124E-01
CD108,0.000E+00,1.247E-04
CD110,0.000E+00,4.493E+01
CD111,0.000E+00,7.029E+01
CD112,0.000E+00,3.359E+01
CD113,0.000E+00,3.052E-01
CD114,0.000E+00,4.041E+01
CD115M,0.000E+00,9.639E-02
CD116,0.000E+00,1.492E+01
IN113,0.000E+00,2.269E-02
IN115,0.000E+00,5.069E+00
SN114,0.000E+00,1.988E-03
SN115,0.000E+00,6.290E-01
SN116,0.000E+00,8.286E+00
SN117,0.000E+00,1.367E+01
SN118,0.000E+00,1.161E+01
SN119,0.000E+00,1.215E+01
SN120,0.000E+00,1.179E+01
SN122,0.000E+00,1.416E+01
SN123,0.000E+00,8.305E-01
SN124,0.000E+00,2.704E+01
SN125,0.000E+00,2.066E-01
SN126,0.000E+00,6.273E+01
SB121,0.000E+00,1.182E+01
SB123,0.000E+00,1.452E+01
SB124,0.000E+00,7.528E-02
SB125,0.000E+00,2.163E+01
SB126,0.000E+00,2.558E-02
TE122,0.000E+00,8.581E-01
TE123,0.000E+00,9.787E-03
TE124,0.000E+00,6.227E-01
TE125,0.000E+00,1.390E+01
TE126,0.000E+00,2.510E+00
TE127M,0.000E+00,1.354E+00
TE128,0.000E+00,3.052E+02
TE129M,0.000E+00,1.154E-02
TE130,0.000E+00,1.328E+03
TE132,0.000E+00,7.888E+00
I127,0.000E+00,1.528E+02
I129,0.000E+00,5.061E+02
I130,0.000E+00,1.748E-02
I131,0.000E+00,1.385E+01
I135,0.000E+00,9.596E-01
XE126,0.000E+00,7.109E-05
XE128,0.000E+00,1.018E+01
XE129,0.000E+00,6.048E-02
XE130,0.000E+00,1.804E+01
XE131,0.000E+00,1.491E+03
XE132,0.000E+00,3.855E+03
XE133,0.000E+00,1.919E+01
XE134,0.000E+00,5.518E+03
