isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
H3,0.000E+00,0.000E+00,6.910E-08,6.651E-02
LI6,0.000E+00,0.000E+00,0.000E+00,2.350E-10
LI7,0.000E+00,0.000E+00,0.000E+00,3.561E-11
BE9,0.000E+00,0.000E+00,0.000E+00,2.401E-06
BE10,0.000E+00,0.000E+00,0.000E+00,1.310E-04
C14,0.000E+00,0.000E+00,1.970E-10,3.770E-04
CO72,0.000E+00,9.275E-14,0.000E+00,0.000E+00
CO73,0.000E+00,2.232E-15,0.000E+00,0.000E+00
CO74,0.000E+00,3.943E-15,0.000E+00,0.000E+00
CO75,0.000E+00,7.906E-16,0.000E+00,0.000E+00
NI72,0.000E+00,1.702E-10,0.000E+00,0.000E+00
NI73,0.000E+00,2.372E-12,0.000E+00,0.000E+00
NI74,0.000E+00,6.535E-12,0.000E+00,0.000E+00
NI75,0.000E+00,7.497E-13,0.000E+00,0.000E+00
NI76,0.000E+00,3.392E-13,0.000E+00,0.000E+00
NI77,0.000E+00,4.664E-14,0.000E+00,0.000E+00
NI78,0.000E+00,1.091E-14,0.000E+00,0.000E+00
CU72,0.000E+00,2.061E-09,0.000E+00,0.000E+00
CU73,0.000E+00,5.354E-10,0.000E+00,0.000E+00
CU74,0.000E+00,1.371E-10,0.000E+00,0.000E+00
CU75,0.000E+00,1.101E-10,0.000E+00,0.000E+00
CU76,0.000E+00,1.771E-11,0.000E+00,0.000E+00
CU77,0.000E+00,1.421E-11,0.000E+00,0.000E+00
CU78,0.000E+00,2.682E-12,0.000E+00,0.000E+00
CU79,0.000E+00,7.626E-13,0.000E+00,0.000E+00
CU80,0.000E+00,1.361E-13,0.000E+00,0.000E+00
CU81,0.000E+00,1.221E-14,0.000E+00,0.000E+00
ZN66,0.000E+00,0.000E+00,0.000E+00,1.550E-04
ZN67,0.000E+00,0.000E+00,0.000E+00,4.290E-04
ZN68,0.000E+00,0.000E+00,0.000E+00,8.590E-04
ZN70,0.000E+00,0.000E+00,0.000E+00,4.161E-03
ZN72,0.000E+00,8.859E-05,0.000E+00,0.000E+00
ZN73,0.000E+00,1.491E-08,0.000E+00,0.000E+00
ZN74,0.000E+00,1.241E-07,0.000E+00,0.000E+00
ZN75,0.000E+00,1.471E-08,0.000E+00,0.000E+00
ZN76,0.000E+00,1.111E-08,0.000E+00,0.000E+00
ZN77,0.000E+00,2.772E-09,0.000E+00,0.000E+00
ZN78,0.000E+00,3.112E-09,0.000E+00,0.000E+00
ZN79,0.000E+00,2.462E-10,0.000E+00,0.000E+00
ZN80,0.000E+00,3.152E-10,0.000E+00,0.000E+00
ZN81,0.000E+00,2.091E-11,0.000E+00,0.000E+00
ZN82,0.000E+00,3.933E-12,0.000E+00,0.000E+00
ZN83,0.000E+00,2.262E-13,0.000E+00,0.000E+00
GA69,0.000E+00,0.000E+00,0.000E+00,1.720E-03
GA71,0.000E+00,0.000E+00,0.000E+00,7.791E-03
GA72,0.000E+00,2.712E-05,0.000E+00,0.000E+00
GA73,0.000E+00,1.261E-05,0.000E+00,0.000E+00
GA74,0.000E+00,7.225E-07,0.000E+00,0.000E+00
GA75,0.000E+00,2.692E-07,0.000E+00,0.000E+00
GA76,0.000E+00,1.211E-07,0.000E+00,0.000E+00
GA77,0.000E+00,1.021E-07,0.000E+00,0.000E+00
GA78,0.000E+00,4.233E-08,0.000E+00,0.000E+00
GA79,0.000E+00,2.162E-08,0.000E+00,0.000E+00
GA80,0.000E+00,1.121E-08,0.000E+00,0.000E+00
GA81,0.000E+00,3.632E-09,0.000E+00,0.000E+00
GA82,0.000E+00,4.243E-10,0.000E+00,0.000E+00
GA83,0.000E+00,1.211E-10,0.000E+00,0.000E+00
GA84,0.000E+00,1.712E-11,0.000E+00,0.000E+00
GE70,0.000E+00,0.000E+00,0.000E+00,2.180E-05
GE72,0.000E+00,7.433E-02,0.000E+00,1.940E-02
GE73,0.000E+00,9.798E-02,0.000E+00,3.990E-02
GE73M,0.000E+00,3.793E-10,0.000E+00,0.000E+00
GE74,0.000E+00,2.122E-01,0.000E+00,9.752E-02
GE75,0.000E+00,1.211E-05,0.000E+00,0.000E+00
GE75M,0.000E+00,6.135E-09,0.000E+00,0.000E+00
GE76,0.000E+00,7.217E-01,0.000E+00,4.510E-01
GE77,0.000E+00,1.891E-04,0.000E+00,0.000E+00
GE77M,0.000E+00,4.753E-07,0.000E+00,0.000E+00
GE78,0.000E+00,1.031E-04,0.000E+00,0.000E+00
GE79,0.000E+00,1.481E-06,0.000E+00,0.000E+00
GE80,0.000E+00,1.091E-06,0.000E+00,0.000E+00
GE81,0.000E+00,5.304E-07,0.000E+00,0.000E+00
GE82,0.000E+00,2.522E-07,0.000E+00,0.000E+00
GE83,0.000E+00,7.812E-08,0.000E+00,0.000E+00
GE84,0.000E+00,2.622E-08,0.000E+00,0.000E+00
GE85,0.000E+00,9.540E-10,0.000E+00,0.000E+00
GE86,0.000E+00,2.352E-10,0.000E+00,0.000E+00
GE87,0.000E+00,1.391E-11,0.000E+00,0.000E+00
GE88,0.000E+00,1.251E-12,0.000E+00,0.000E+00
AS75,0.000E+00,3.283E-01,0.000E+00,1.960E-01
AS76,0.000E+00,2.582E-05,0.000E+00,0.000E+00
AS77,0.000E+00,1.631E-03,0.000E+00,0.000E+00
AS78,0.000E+00,1.121E-04,0.000E+00,0.000E+00
AS79,0.000E+00,2.132E-05,0.000E+00,0.000E+00
AS80,0.000E+00,1.031E-06,0.000E+00,0.000E+00
AS81,0.000E+00,2.982E-06,0.000E+00,0.000E+00
AS82,0.000E+00,1.861E-06,0.000E+00,0.000E+00
AS82M,0.000E+00,5.764E-07,0.000E+00,0.000E+00
AS83,0.000E+00,2.712E-06,0.000E+00,0.000E+00
AS84,0.000E+00,9.877E-07,0.000E+00,0.000E+00
AS85,0.000E+00,1.501E-07,0.000E+00,0.000E+00
AS86,0.000E+00,3.493E-08,0.000E+00,0.000E+00
AS87,0.000E+00,3.893E-09,0.000E+00,0.000E+00
AS88,0.000E+00,4.394E-10,0.000E+00,0.000E+00
AS89,0.000E+00,5.004E-11,0.000E+00,0.000E+00
SE76,0.000E+00,1.551E-02,0.000E+00,9.401E-03
SE77,0.000E+00,1.471E+00,0.000E+00,1.050E+00
SE77M,0.000E+00,6.135E-10,0.000E+00,0.000E+00
SE78,0.000E+00,3.132E+00,0.000E+00,3.030E+00
SE79,0.000E+00,5.524E+00,4.641E-08,6.660E+00
SE79M,0.000E+00,9.246E-06,0.000E+00,0.000E+00
SE80,0.000E+00,9.368E+00,0.000E+00,1.480E+01
SE81,0.000E+00,1.141E-04,0.000E+00,0.000E+00
SE81M,0.000E+00,1.461E-05,0.000E+00,0.000E+00
SE82,0.000E+00,2.682E+01,0.000E+00,3.930E+01
SE83,0.000E+00,2.321E-04,0.000E+00,0.000E+00
SE83M,0.000E+00,1.591E-05,0.000E+00,0.000E+00
SE84,0.000E+00,1.161E-04,0.000E+00,0.000E+00
SE85,0.000E+00,1.161E-05,0.000E+00,0.000E+00
SE85M,0.000E+00,4.213E-06,0.000E+00,0.000E+00
SE86,0.000E+00,8.056E-06,0.000E+00,0.000E+00
SE87,0.000E+00,1.641E-06,0.000E+00,0.000E+00
SE88,0.000E+00,2.692E-07,0.000E+00,0.000E+00
SE89,0.000E+00,2.602E-08,0.000E+00,0.000E+00
SE90,0.000E+00,7.999E-09,0.000E+00,0.000E+00
SE91,0.000E+00,4.243E-10,0.000E+00,0.000E+00
SE92,0.000E+00,7.066E-11,0.000E+00,0.000E+00
BR79,0.000E+00,1.982E-04,0.000E+00,3.470E-03
BR79M,0.000E+00,2.342E-13,0.000E+00,0.000E+00
BR80,0.000E+00,3.593E-09,0.000E+00,0.000E+00
BR80M,0.000E+00,2.492E-08,0.000E+00,0.000E+00
BR81,0.000E+00,1.431E+01,0.000E+00,2.730E+01
BR82,0.000E+00,1.501E-03,0.000E+00,0.000E+00
BR82M,0.000E+00,1.411E-07,0.000E+00,0.000E+00
BR83,0.000E+00,3.553E-03,0.000E+00,0.000E+00
BR84,0.000E+00,1.191E-03,0.000E+00,0.000E+00
BR84M,0.000E+00,1.341E-05,0.000E+00,0.000E+00
BR85,0.000E+00,1.261E-04,0.000E+00,0.000E+00
BR86,0.000E+00,2.632E-05,0.000E+00,0.000E+00
BR86M,0.000E+00,2.162E-06,0.000E+00,0.000E+00
BR87,0.000E+00,4.824E-05,0.000E+00,0.000E+00
BR88,0.000E+00,1.311E-05,0.000E+00,0.000E+00
BR89,0.000E+00,2.442E-06,0.000E+00,0.000E+00
BR90,0.000E+00,4.373E-07,0.000E+00,0.000E+00
BR91,0.000E+00,6.395E-08,0.000E+00,0.000E+00
BR92,0.000E+00,1.081E-08,0.000E+00,0.000E+00
BR93,0.000E+00,1.411E-09,0.000E+00,0.000E+00
BR94,0.000E+00,8.257E-11,0.000E+00,0.000E+00
BR95,0.000E+00,6.465E-12,0.000E+00,0.000E+00
BR96,0.000E+00,3.242E-13,0.000E+00,0.000E+00
KR80,0.000E+00,4.083E-04,0.000E+00,5.371E-04
KR81,0.000E+00,1.641E-05,2.581E-11,5.080E-05
KR81M,0.000E+00,2.662E-13,0.000E+00,0.000E+00
KR82,0.000E+00,8.586E-01,0.000E+00,1.150E+00
KR83,0.000E+00,5.554E+01,0.000E+00,4.490E+01
KR83M,0.000E+00,2.752E-03,0.000E+00,1.270E-16
KR84,0.000E+00,1.011E+02,0.000E+00,1.060E+02
KR85,0.000E+00,1.992E+01,1.810E-06,1.880E+01
KR85M,0.000E+00,1.201E-02,0.000E+00,0.000E+00
KR86,0.000E+00,1.571E+02,0.000E+00,1.570E+02
KR87,0.000E+00,5.654E-03,0.000E+00,0.000E+00
KR88,0.000E+00,1.791E-02,0.000E+00,0.000E+00
KR89,0.000E+00,3.723E-04,0.000E+00,0.000E+00
KR90,0.000E+00,6.165E-05,0.000E+00,0.000E+00
KR91,0.000E+00,1.201E-05,0.000E+00,0.000E+00
KR92,0.000E+00,1.571E-06,0.000E+00,0.000E+00
KR93,0.000E+00,4.794E-07,0.000E+00,0.000E+00
KR94,0.000E+00,2.272E-08,0.000E+00,0.000E+00
KR95,0.000E+00,1.311E-08,0.000E+00,0.000E+00
KR96,0.000E+00,2.202E-09,0.000E+00,0.000E+00
KR97,0.000E+00,2.552E-11,0.000E+00,0.000E+00
KR98,0.000E+00,1.221E-11,0.000E+00,0.000E+00
RB85,0.000E+00,8.995E+01,0.000E+00,9.532E+01
RB86,0.000E+00,7.105E-02,0.000E+00,0.000E+00
RB86M,0.000E+00,2.982E-08,0.000E+00,0.000E+00
RB87,0.000E+00,2.061E+02,0.000E+00,2.110E+02
RB88,0.000E+00,1.972E-03,0.000E+00,0.000E+00
RB89,0.000E+00,2.232E-03,0.000E+00,0.000E+00
RB90,0.000E+00,3.372E-04,0.000E+00,0.000E+00
RB90M,0.000E+00,1.922E-04,0.000E+00,0.000E+00
RB91,0.000E+00,1.702E-04,0.000E+00,0.000E+00
RB92,0.000E+00,1.181E-05,0.000E+00,0.000E+00
RB93,0.000E+00,1.181E-05,0.000E+00,0.000E+00
RB94,0.000E+00,3.043E-06,0.000E+00,0.000E+00
RB95,0.000E+00,1.781E-07,0.000E+00,0.000E+00
RB96,0.000E+00,4.273E-08,0.000E+00,0.000E+00
RB97,0.000E+00,3.763E-09,0.000E+00,0.000E+00
RB98,0.000E+00,2.132E-09,0.000E+00,0.000E+00
RB99,0.000E+00,1.301E-10,0.000E+00,0.000E+00
RB100,0.000E+00,2.132E-11,0.000E+00,0.000E+00
SR86,0.000E+00,2.962E+00,0.000E+00,4.891E-01
SR87,0.000E+00,5.584E-02,0.000E+00,5.791E-03
SR87M,0.000E+00,1.952E-07,0.000E+00,0.000E+00
SR88,0.000E+00,2.732E+02,0.000E+00,2.810E+02
SR89,0.000E+00,1.081E+01,0.000E+00,2.421E-10
SR90,0.000E+00,3.893E+02,4.520E-05,3.861E+02
SR91,0.000E+00,1.171E-01,0.000E+00,0.000E+00
SR92,0.000E+00,3.913E-02,0.000E+00,0.000E+00
SR93,0.000E+00,2.162E-03,0.000E+00,0.000E+00
SR94,0.000E+00,3.612E-04,0.000E+00,0.000E+00
SR95,0.000E+00,1.121E-04,0.000E+00,0.000E+00
SR96,0.000E+00,1.121E-05,0.000E+00,0.000E+00
SR97,0.000E+00,2.852E-07,0.000E+00,0.000E+00
SR98,0.000E+00,5.824E-07,0.000E+00,0.000E+00
SR99,0.000E+00,1.461E-07,0.000E+00,0.000E+00
SR100,0.000E+00,6.845E-08,0.000E+00,0.000E+00
SR101,0.000E+00,2.762E-09,0.000E+00,0.000E+00
SR102,0.000E+00,4.533E-10,0.000E+00,0.000E+00
SR103,0.000E+00,5.084E-12,0.000E+00,0.000E+00
SR104,0.000E+00,3.073E-13,0.000E+00,0.000E+00
Y89,0.000E+00,3.473E+02,0.000E+00,3.710E+02
Y89M,0.000E+00,7.497E-11,0.000E+00,8.390E-20
Y90,0.000E+00,1.121E-01,0.000E+00,9.801E-02
Y90M,0.000E+00,1.561E-06,0.000E+00,0.000E+00
Y91,0.000E+00,1.732E+01,0.000E+00,1.250E-08
Y91M,0.000E+00,5.864E-03,0.000E+00,0.000E+00
Y92,0.000E+00,5.144E-02,0.000E+00,0.000E+00
Y93,0.000E+00,1.851E-01,0.000E+00,0.000E+00
Y94,0.000E+00,6.294E-03,0.000E+00,0.000E+00
Y95,0.000E+00,3.873E-03,0.000E+00,0.000E+00
Y96,0.000E+00,3.583E-05,0.000E+00,0.000E+00
Y97,0.000E+00,1.831E-05,0.000E+00,0.000E+00
Y98,0.000E+00,2.172E-06,0.000E+00,0.000E+00
Y99,0.000E+00,1.641E-06,0.000E+00,0.000E+00
Y100,0.000E+00,7.533E-07,0.000E+00,0.000E+00
Y101,0.000E+00,3.503E-07,0.000E+00,0.000E+00
Y102,0.000E+00,2.872E-08,0.000E+00,0.000E+00
Y103,0.000E+00,6.715E-09,0.000E+00,0.000E+00
Y104,0.000E+00,2.422E-10,0.000E+00,0.000E+00
Y105,0.000E+00,1.481E-11,0.000E+00,0.000E+00
Y107,0.000E+00,3.733E-15,0.000E+00,0.000E+00
ZR90,0.000E+00,3.703E+01,0.000E+00,7.082E+01
ZR90M,0.000E+00,5.094E-13,0.000E+00,0.000E+00
ZR91,0.000E+00,4.763E+02,0.000E+00,5.340E+02
ZR92,0.000E+00,5.935E+02,0.000E+00,6.380E+02
ZR93,0.000E+00,7.225E+02,2.630E-07,7.761E+02
ZR94,0.000E+00,8.185E+02,0.000E+00,8.890E+02
ZR95,0.000E+00,3.533E+01,4.331E-05,1.630E-07
ZR96,0.000E+00,9.468E+02,0.000E+00,1.030E+03
ZR97,0.000E+00,4.273E-01,0.000E+00,0.000E+00
ZR98,0.000E+00,2.242E-04,0.000E+00,0.000E+00
ZR99,0.000E+00,1.732E-05,0.000E+00,0.000E+00
ZR100,0.000E+00,4.624E-05,0.000E+00,0.000E+00
ZR101,0.000E+00,1.311E-05,0.000E+00,0.000E+00
ZR102,0.000E+00,7.246E-05,0.000E+00,0.000E+00
ZR103,0.000E+00,1.741E-06,0.000E+00,0.000E+00
ZR104,0.000E+00,9.167E-07,0.000E+00,0.000E+00
ZR105,0.000E+00,1.821E-08,0.000E+00,0.000E+00
ZR106,0.000E+00,2.432E-09,0.000E+00,0.000E+00
ZR107,0.000E+00,2.882E-11,0.000E+00,0.000E+00
ZR108,0.000E+00,2.152E-11,0.000E+00,0.000E+00
ZR109,0.000E+00,7.105E-13,0.000E+00,0.000E+00
NB91,0.000E+00,0.000E+00,0.000E+00,1.130E-08
NB92,0.000E+00,0.000E+00,0.000E+00,9.861E-07
NB93,0.000E+00,2.212E-04,0.000E+00,4.561E-04
NB93M,0.000E+00,1.021E-03,0.000E+00,2.070E-03
NB94,0.000E+00,3.513E-03,0.000E+00,3.370E-03
NB94M,0.000E+00,4.824E-09,0.000E+00,0.000E+00
NB95,0.000E+00,1.932E+01,0.000E+00,1.960E-07
NB95M,0.000E+00,2.412E-02,0.000E+00,1.050E-10
NB96,0.000E+00,1.881E-03,0.000E+00,0.000E+00
NB97,0.000E+00,3.152E-02,0.000E+00,0.000E+00
NB97M,0.000E+00,3.303E-04,0.000E+00,0.000E+00
NB98,0.000E+00,2.061E-05,0.000E+00,0.000E+00
NB98M,0.000E+00,3.943E-04,0.000E+00,0.000E+00
NB99,0.000E+00,1.071E-04,0.000E+00,0.000E+00
NB99M,0.000E+00,6.395E-05,0.000E+00,0.000E+00
NB100,0.000E+00,1.041E-05,0.000E+00,0.000E+00
NB100M,0.000E+00,1.051E-05,0.000E+00,0.000E+00
NB101,0.000E+00,5.314E-05,0.000E+00,0.000E+00
NB102,0.000E+00,2.152E-05,0.000E+00,0.000E+00
NB103,0.000E+00,7.626E-05,0.000E+00,0.000E+00
NB104,0.000E+00,2.442E-06,0.000E+00,0.000E+00
NB105,0.000E+00,1.281E-06,0.000E+00,0.000E+00
NB106,0.000E+00,8.665E-08,0.000E+00,0.000E+00
NB107,0.000E+00,1.151E-08,0.000E+00,0.000E+00
NB108,0.000E+00,1.421E-09,0.000E+00,0.000E+00
NB109,0.000E+00,4.273E-10,0.000E+00,0.000E+00
NB110,0.000E+00,6.094E-12,0.000E+00,0.000E+00
NB111,0.000E+00,7.115E-13,0.000E+00,0.000E+00
MO95,0.000E+00,8.543E+02,0.000E+00,9.272E+02
MO96,0.000E+00,2.392E+01,0.000E+00,5.760E+01
