isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g)
H3,0.00E+00,8.51E-02,0.00E+00,4.28E-02
HE4,0.00E+00,1.26E+01,0.00E+00,1.91E-01
LI6,0.00E+00,2.98E-04,0.00E+00,1.56E-04
LI7,0.00E+00,1.57E-05,0.00E+00,8.38E-06
BE9,0.00E+00,3.03E-05,0.00E+00,1.61E-05
BE10,0.00E+00,2.02E-04,0.00E+00,1.08E-04
C14,0.00E+00,4.08E-05,0.00E+00,2.18E-05
ZN66,0.00E+00,0.00E+00,0.00E+00,1.75E-07
ZN68,0.00E+00,1.78E-03,0.00E+00,0.00E+00
ZN70,0.00E+00,6.34E-03,0.00E+00,0.00E+00
ZN72,0.00E+00,5.27E-05,0.00E+00,1.27E-04
ZN74,0.00E+00,1.11E-07,0.00E+00,2.57E-07
ZN75,0.00E+00,0.00E+00,0.00E+00,6.07E-08
ZN76,0.00E+00,0.00E+00,0.00E+00,4.60E-08
GA69,0.00E+00,3.58E-06,0.00E+00,0.00E+00
GA71,0.00E+00,1.79E-06,0.00E+00,3.09E-05
GA72,0.00E+00,1.61E-05,0.00E+00,3.89E-05
GA73,0.00E+00,1.13E-05,0.00E+00,2.21E-05
GA74,0.00E+00,6.05E-07,0.00E+00,1.43E-06
GA75,0.00E+00,3.03E-07,0.00E+00,9.74E-07
GA76,0.00E+00,1.62E-07,0.00E+00,4.07E-07
GA77,0.00E+00,1.41E-07,0.00E+00,2.41E-07
GA78,0.00E+00,9.72E-08,0.00E+00,1.48E-07
GA79,0.00E+00,6.39E-08,0.00E+00,9.20E-08
GA80,0.00E+00,0.00E+00,0.00E+00,3.71E-08
GE72,0.00E+00,2.78E-02,0.00E+00,7.85E-02
GE73,0.00E+00,5.91E-02,0.00E+00,1.24E-01
GE74,0.00E+00,1.29E-01,0.00E+00,3.08E-01
GE75,0.00E+00,1.34E-05,0.00E+00,4.28E-05
GE76,0.00E+00,7.04E-01,0.00E+00,1.62E+00
GE77,0.00E+00,1.96E-04,0.00E+00,3.56E-04
GE77M,0.00E+00,5.80E-07,0.00E+00,9.99E-07
GE78,0.00E+00,1.57E-04,0.00E+00,2.89E-04
GE79,0.00E+00,2.75E-06,0.00E+00,5.14E-06
GE80,0.00E+00,3.10E-06,0.00E+00,4.21E-06
GE81,0.00E+00,1.59E-06,0.00E+00,1.59E-06
GE82,0.00E+00,6.46E-07,0.00E+00,6.85E-07
GE83,0.00E+00,1.95E-07,0.00E+00,1.64E-07
GE84,0.00E+00,0.00E+00,0.00E+00,3.54E-08
AS75,0.00E+00,2.72E-01,0.00E+00,8.60E-01
AS76,0.00E+00,2.01E-05,0.00E+00,4.89E-05
AS77,0.00E+00,1.86E-03,0.00E+00,3.26E-03
AS78,0.00E+00,1.69E-04,0.00E+00,3.07E-04
AS79,0.00E+00,4.04E-05,0.00E+00,6.99E-05
