isotope,Charged (g),DF1 (g),FP1 (g),DF2 (g),FP2 (g),Losses (g)
CO72,0.00E+00,5.81E-14,0.00E+00,5.81E-14,0.00E+00,0.00E+00
CO73,0.00E+00,1.28E-14,0.00E+00,1.28E-14,0.00E+00,0.00E+00
CO74,0.00E+00,2.05E-15,0.00E+00,2.05E-15,0.00E+00,0.00E+00
CO75,0.00E+00,3.08E-16,0.00E+00,3.08E-16,0.00E+00,0.00E+00
NI66,0.00E+00,5.74E-08,0.00E+00,5.74E-08,0.00E+00,0.00E+00
NI72,0.00E+00,1.70E-10,0.00E+00,1.70E-10,0.00E+00,0.00E+00
NI73,0.00E+00,5.43E-11,0.00E+00,5.43E-11,0.00E+00,0.00E+00
NI74,0.00E+00,1.91E-11,0.00E+00,1.91E-11,0.00E+00,0.00E+00
NI75,0.00E+00,5.45E-12,0.00E+00,5.45E-12,0.00E+00,0.00E+00
NI76,0.00E+00,3.93E-13,0.00E+00,3.93E-13,0.00E+00,0.00E+00
NI77,0.00E+00,1.92E-14,0.00E+00,1.92E-14,0.00E+00,0.00E+00
NI78,0.00E+00,1.64E-15,0.00E+00,1.65E-15,0.00E+00,0.00E+00
CU66,0.00E+00,9.00E-11,0.00E+00,9.00E-11,0.00E+00,0.00E+00
CU67,0.00E+00,2.33E-07,0.00E+00,2.33E-07,0.00E+00,0.00E+00
CU72,0.00E+00,2.64E-09,0.00E+00,2.64E-09,0.00E+00,0.00E+00
CU73,0.00E+00,2.96E-09,0.00E+00,2.96E-09,0.00E+00,0.00E+00
CU74,0.00E+00,9.54E-10,0.00E+00,9.54E-10,0.00E+00,0.00E+00
CU75,0.00E+00,8.97E-10,0.00E+00,8.97E-10,0.00E+00,0.00E+00
CU76,0.00E+00,1.76E-10,0.00E+00,1.76E-10,0.00E+00,0.00E+00
CU77,0.00E+00,4.24E-11,0.00E+00,4.24E-11,0.00E+00,0.00E+00
CU78,0.00E+00,5.19E-12,0.00E+00,5.19E-12,0.00E+00,0.00E+00
CU79,0.00E+00,3.56E-13,0.00E+00,3.56E-13,0.00E+00,0.00E+00
CU80,0.00E+00,3.59E-15,0.00E+00,3.59E-15,0.00E+00,0.00E+00
ZN66,0.00E+00,3.03E-08,0.00E+00,3.03E-08,0.00E+00,0.00E+00
ZN67,0.00E+00,1.07E-07,0.00E+00,1.07E-07,0.00E+00,0.00E+00
ZN68,0.00E+00,1.05E-06,0.00E+00,1.05E-06,0.00E+00,0.00E+00
ZN69,0.00E+00,5.35E-08,0.00E+00,5.35E-08,0.00E+00,0.00E+00
ZN69M,0.00E+00,2.87E-09,0.00E+00,2.87E-09,0.00E+00,0.00E+00
ZN70,0.00E+00,1.07E-05,0.00E+00,1.07E-05,0.00E+00,0.00E+00
ZN71,0.00E+00,3.41E-08,0.00E+00,3.41E-08,0.00E+00,0.00E+00
ZN71M,0.00E+00,3.86E-07,0.00E+00,3.86E-07,0.00E+00,0.00E+00
ZN72,0.00E+00,7.37E-05,0.00E+00,7.37E-05,0.00E+00,0.00E+00
ZN73,0.00E+00,4.27E-08,0.00E+00,4.27E-08,0.00E+00,0.00E+00
ZN74,0.00E+00,3.89E-07,0.00E+00,3.89E-07,0.00E+00,0.00E+00
ZN75,0.00E+00,9.51E-08,0.00E+00,9.51E-08,0.00E+00,0.00E+00
ZN76,0.00E+00,6.78E-08,0.00E+00,6.78E-08,0.00E+00,0.00E+00
ZN77,0.00E+00,1.75E-08,0.00E+00,1.75E-08,0.00E+00,0.00E+00
ZN78,0.00E+00,7.80E-09,0.00E+00,7.80E-09,0.00E+00,0.00E+00
ZN79,0.00E+00,1.53E-09,0.00E+00,1.53E-09,0.00E+00,0.00E+00
ZN80,0.00E+00,1.55E-10,0.00E+00,1.55E-10,0.00E+00,0.00E+00
ZN81,0.00E+00,1.06E-11,0.00E+00,1.06E-11,0.00E+00,0.00E+00
ZN82,0.00E+00,3.65E-13,0.00E+00,3.65E-13,0.00E+00,0.00E+00
ZN83,0.00E+00,7.81E-15,0.00E+00,7.82E-15,0.00E+00,0.00E+00
GA69,0.00E+00,2.78E-06,0.00E+00,2.78E-06,0.00E+00,0.00E+00
GA70,0.00E+00,5.46E-12,0.00E+00,5.46E-12,0.00E+00,0.00E+00
GA71,0.00E+00,4.62E-05,0.00E+00,4.62E-05,0.00E+00,0.00E+00
GA72,0.00E+00,1.79E-05,0.00E+00,1.79E-05,0.00E+00,0.00E+00
GA73,0.00E+00,3.29E-05,0.00E+00,3.29E-05,0.00E+00,0.00E+00
GA74,0.00E+00,2.15E-06,0.00E+00,2.15E-06,0.00E+00,0.00E+00
GA75,0.00E+00,1.65E-06,0.00E+00,1.65E-06,0.00E+00,0.00E+00
GA76,0.00E+00,6.90E-07,0.00E+00,6.90E-07,0.00E+00,0.00E+00
GA77,0.00E+00,4.26E-07,0.00E+00,4.26E-07,0.00E+00,0.00E+00
GA78,0.00E+00,1.82E-07,0.00E+00,1.82E-07,0.00E+00,0.00E+00
GA79,0.00E+00,1.03E-07,0.00E+00,1.03E-07,0.00E+00,0.00E+00
GA80,0.00E+00,2.55E-08,0.00E+00,2.55E-08,0.00E+00,0.00E+00
GA81,0.00E+00,1.00E-08,0.00E+00,1.00E-08,0.00E+00,0.00E+00
GA82,0.00E+00,1.74E-09,0.00E+00,1.74E-09,0.00E+00,0.00E+00
GA83,0.00E+00,7.97E-11,0.00E+00,7.97E-11,0.00E+00,0.00E+00
GA84,0.00E+00,8.82E-11,0.00E+00,8.82E-11,0.00E+00,0.00E+00
GA85,0.00E+00,1.08E-13,0.00E+00,1.08E-13,0.00E+00,0.00E+00
