isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g),ST2-charged (g),ST2-discharged (g)
H3,0.000E+00,1.652E-01,0.000E+00,2.586E-02,0.000E+00,1.023E-01
HE4,0.000E+00,3.755E+01,0.000E+00,3.710E-02,0.000E+00,1.108E+01
LI6,0.000E+00,9.105E-04,0.000E+00,1.376E-04,0.000E+00,2.276E-04
LI7,0.000E+00,2.290E-05,0.000E+00,3.324E-06,0.000E+00,1.491E-05
BE9,0.000E+00,4.376E-05,0.000E+00,6.383E-06,0.000E+00,2.867E-05
BE10,0.000E+00,2.948E-04,0.000E+00,4.276E-05,0.000E+00,1.915E-04
C14,0.000E+00,5.959E-05,0.000E+00,8.647E-06,0.000E+00,3.872E-05
CO72,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.093E-12
CO73,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.451E-13
CO74,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.811E-14
CO75,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.813E-15
NI72,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.278E-10
NI73,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.832E-11
NI74,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.112E-11
NI75,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.788E-12
NI76,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.164E-12
NI77,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.445E-13
NI78,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.312E-14
CU66,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.375E-14
CU67,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.560E-17
CU72,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.223E-09
CU73,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.769E-09
CU74,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.022E-10
CU75,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.879E-10
CU76,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.673E-11
CU77,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.701E-11
CU78,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.898E-12
CU79,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.031E-12
CU80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.915E-13
CU81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.212E-14
ZN66,0.000E+00,9.562E-08,0.000E+00,1.389E-08,0.000E+00,1.854E-08
ZN67,0.000E+00,4.185E-09,0.000E+00,5.897E-10,0.000E+00,5.546E-10
ZN68,0.000E+00,1.911E-11,0.000E+00,1.206E-12,0.000E+00,1.009E-11
ZN69,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.337E-18
ZN69M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.273E-18
ZN72,0.000E+00,3.455E-09,0.000E+00,8.468E-10,0.000E+00,7.561E-05
ZN73,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.814E-08
ZN74,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.289E-07
ZN75,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.134E-08
ZN76,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.869E-08
ZN77,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.996E-09
ZN78,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.561E-09
ZN79,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.902E-10
ZN80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.937E-10
ZN81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.709E-11
ZN82,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.086E-12
ZN83,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.458E-13
GA69,0.000E+00,1.031E-14,0.000E+00,3.180E-16,0.000E+00,1.916E-14
GA70,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.354E-21
GA71,0.000E+00,1.520E-05,0.000E+00,1.804E-06,0.000E+00,1.899E-06
GA72,0.000E+00,1.504E-09,0.000E+00,3.686E-10,0.000E+00,2.303E-05
GA73,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.448E-05
GA74,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.214E-07
GA75,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.422E-07
GA76,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.566E-07
GA77,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.255E-07
GA78,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.524E-08
GA79,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.562E-08
GA80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.586E-08
GA81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.435E-09
GA82,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.708E-10
GA83,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.584E-10
GA84,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.822E-11
GE70,0.000E+00,2.100E-17,0.000E+00,3.286E-19,0.000E+00,8.870E-17
GE72,0.000E+00,1.723E-01,0.000E+00,3.027E-02,0.000E+00,4.036E-02
GE73,0.000E+00,2.502E-01,0.000E+00,4.735E-02,0.000E+00,6.946E-02
GE73M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.374E-10
GE74,0.000E+00,4.720E-01,0.000E+00,8.465E-02,0.000E+00,1.402E-01
GE75,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.519E-05
GE75M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.172E-09
GE76,0.000E+00,1.535E+00,0.000E+00,2.627E-01,0.000E+00,5.736E-01
GE77,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.030E-04
GE77M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.530E-07
GE78,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.724E-04
GE79,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.899E-06
GE80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.675E-06
GE81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.173E-06
GE82,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.130E-07
GE83,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.155E-07
GE84,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.467E-08
GE85,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.306E-09
GE86,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.780E-10
GE87,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.541E-11
GE88,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.201E-12
AS75,0.000E+00,7.528E-01,0.000E+00,1.420E-01,0.000E+00,2.684E-01
AS76,0.000E+00,9.291E-14,0.000E+00,1.017E-14,0.000E+00,2.508E-05
AS77,0.000E+00,5.687E-09,0.000E+00,1.383E-09,0.000E+00,1.832E-03
AS78,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.870E-04
AS79,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.187E-05
AS80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.679E-06
AS81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.808E-06
AS82,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.650E-06
AS82M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.092E-06
AS83,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.742E-06
AS84,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.424E-06
AS85,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.387E-07
AS86,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.087E-08
AS87,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.592E-09
AS88,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.637E-10
AS89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.418E-11
SE76,0.000E+00,3.765E-02,0.000E+00,3.531E-03,0.000E+00,1.047E-02
SE77,0.000E+00,2.986E+00,0.000E+00,4.893E-01,0.000E+00,1.146E+00
SE77M,0.000E+00,1.768E-15,0.000E+00,4.300E-16,0.000E+00,7.054E-10
SE78,0.000E+00,5.665E+00,0.000E+00,8.562E-01,0.000E+00,3.317E+00
SE79,0.000E+00,1.191E+01,0.000E+00,2.009E+00,0.000E+00,7.294E+00
SE79M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.818E-05
SE80,0.000E+00,1.837E+01,0.000E+00,2.971E+00,0.000E+00,1.598E+01
SE81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.985E-04
SE81M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.193E-05
SE82,0.000E+00,4.659E+01,0.000E+00,8.354E+00,0.000E+00,3.378E+01
