isotope,ST1-charged (g),ST1-discharged (g), ST2-charged (g),ST2-discharged (g)
H3,0.000E+00,4.799E-02,0.000E+00,9.799E-02
HE4,0.000E+00,5.222E+00,0.000E+00,2.314E-01
LI6,0.000E+00,8.427E-04,0.000E+00,2.324E-04
LI7,0.000E+00,2.547E-03,0.000E+00,1.904E-05
BE9,0.000E+00,5.419E-04,0.000E+00,3.668E-05
BE10,0.000E+00,6.672E-07,0.000E+00,2.437E-04
C14,0.000E+00,1.892E-03,0.000E+00,4.945E-05
CO72,0.000E+00,3.603E-11,0.000E+00,0.000E+00
CO73,0.000E+00,3.928E-12,0.000E+00,0.000E+00
CO74,0.000E+00,9.589E-13,0.000E+00,0.000E+00
CO75,0.000E+00,2.614E-12,0.000E+00,0.000E+00
NI66,0.000E+00,3.517E-04,0.000E+00,0.000E+00
NI72,0.000E+00,9.930E-09,0.000E+00,0.000E+00
NI73,0.000E+00,2.819E-09,0.000E+00,0.000E+00
NI74,0.000E+00,1.044E-09,0.000E+00,0.000E+00
NI75,0.000E+00,3.800E-10,0.000E+00,0.000E+00
NI76,0.000E+00,1.292E-10,0.000E+00,0.000E+00
NI77,0.000E+00,5.419E-12,0.000E+00,0.000E+00
NI78,0.000E+00,2.320E-11,0.000E+00,0.000E+00
CU66,0.000E+00,5.611E-07,0.000E+00,0.000E+00
CU67,0.000E+00,9.248E-04,0.000E+00,0.000E+00
CU72,0.000E+00,1.734E-07,0.000E+00,0.000E+00
CU73,0.000E+00,1.114E-07,0.000E+00,0.000E+00
CU74,0.000E+00,3.597E-08,0.000E+00,0.000E+00
CU75,0.000E+00,1.888E-08,0.000E+00,0.000E+00
CU76,0.000E+00,2.076E-09,0.000E+00,0.000E+00
CU77,0.000E+00,1.499E-09,0.000E+00,0.000E+00
CU78,0.000E+00,3.069E-10,0.000E+00,0.000E+00
CU79,0.000E+00,9.641E-11,0.000E+00,0.000E+00
CU80,0.000E+00,4.825E-12,0.000E+00,0.000E+00
CU81,0.000E+00,9.694E-12,0.000E+00,0.000E+00
ZN66,0.000E+00,2.695E-01,0.000E+00,3.880E-07
ZN67,0.000E+00,5.681E-01,0.000E+00,0.000E+00
ZN68,0.000E+00,7.331E-01,0.000E+00,0.000E+00
ZN69,0.000E+00,2.727E-05,0.000E+00,0.000E+00
ZN69M,0.000E+00,4.655E-06,0.000E+00,0.000E+00
ZN70,0.000E+00,1.807E+00,0.000E+00,0.000E+00
ZN71,0.000E+00,2.737E-06,0.000E+00,0.000E+00
ZN71M,0.000E+00,3.019E-05,0.000E+00,0.000E+00
ZN72,0.000E+00,5.978E-03,0.000E+00,3.218E-04
ZN73,0.000E+00,1.173E-06,0.000E+00,6.861E-08
ZN74,0.000E+00,6.463E-06,0.000E+00,6.531E-07
ZN75,0.000E+00,8.296E-07,0.000E+00,1.538E-07
ZN76,0.000E+00,4.681E-07,0.000E+00,1.186E-07
ZN77,0.000E+00,1.303E-07,0.000E+00,0.000E+00
ZN78,0.000E+00,5.415E-08,0.000E+00,0.000E+00
ZN79,0.000E+00,1.460E-08,0.000E+00,0.000E+00
ZN80,0.000E+00,2.303E-09,0.000E+00,0.000E+00
ZN81,0.000E+00,2.733E-10,0.000E+00,0.000E+00
ZN82,0.000E+00,4.965E-11,0.000E+00,0.000E+00
ZN83,0.000E+00,1.553E-11,0.000E+00,0.000E+00
GA69,0.000E+00,1.120E+00,0.000E+00,0.000E+00
GA70,0.000E+00,4.843E-07,0.000E+00,0.000E+00
GA71,0.000E+00,2.855E+00,0.000E+00,6.696E-05
GA72,0.000E+00,1.921E-03,0.000E+00,9.799E-05
GA73,0.000E+00,9.327E-04,0.000E+00,5.607E-05
GA74,0.000E+00,3.940E-05,0.000E+00,3.643E-06
GA75,0.000E+00,1.548E-05,0.000E+00,2.461E-06
GA76,0.000E+00,5.860E-06,0.000E+00,1.037E-06
GA77,0.000E+00,3.081E-06,0.000E+00,6.223E-07
GA78,0.000E+00,1.316E-06,0.000E+00,3.856E-07
GA79,0.000E+00,6.192E-07,0.000E+00,2.390E-07
GA80,0.000E+00,2.239E-07,0.000E+00,9.820E-08
GA81,0.000E+00,7.401E-08,0.000E+00,0.000E+00
GA82,0.000E+00,1.053E-08,0.000E+00,0.000E+00
GA83,0.000E+00,1.160E-09,0.000E+00,0.000E+00
GA84,0.000E+00,5.458E-11,0.000E+00,0.000E+00
GA85,0.000E+00,9.139E-11,0.000E+00,0.000E+00
GE70,0.000E+00,4.746E-02,0.000E+00,0.000E+00
GE71,0.000E+00,1.149E-04,0.000E+00,0.000E+00
GE71M,0.000E+00,5.711E-13,0.000E+00,0.000E+00
GE72,0.000E+00,5.227E+00,0.000E+00,1.713E-01
GE73,0.000E+00,6.938E+00,0.000E+00,2.650E-01
GE73M,0.000E+00,2.616E-08,0.000E+00,0.000E+00
GE74,0.000E+00,1.210E+01,0.000E+00,6.838E-01
GE75,0.000E+00,6.314E-04,0.000E+00,1.088E-04
GE75M,0.000E+00,4.454E-07,0.000E+00,0.000E+00
GE76,0.000E+00,2.788E+01,0.000E+00,3.573E+00
GE77,0.000E+00,4.642E-03,0.000E+00,9.203E-04
GE77M,0.000E+00,1.262E-05,0.000E+00,2.579E-06
GE78,0.000E+00,2.373E-03,0.000E+00,7.429E-04
GE79,0.000E+00,7.772E-06,0.000E+00,1.313E-05
GE80,0.000E+00,2.043E-05,0.000E+00,1.096E-05
GE81,0.000E+00,5.148E-06,0.000E+00,4.212E-06
GE82,0.000E+00,2.069E-06,0.000E+00,1.801E-06
GE83,0.000E+00,4.029E-07,0.000E+00,4.306E-07
GE84,0.000E+00,6.070E-08,0.000E+00,8.706E-08
GE85,0.000E+00,8.152E-09,0.000E+00,0.000E+00
GE86,0.000E+00,1.632E-09,0.000E+00,0.000E+00
GE87,0.000E+00,1.511E-10,0.000E+00,0.000E+00
GE88,0.000E+00,6.497E-11,0.000E+00,0.000E+00
AS75,0.000E+00,1.650E+01,0.000E+00,1.855E+00
AS76,0.000E+00,1.903E-03,0.000E+00,2.366E-04
AS77,0.000E+00,4.283E-02,0.000E+00,8.422E-03
AS78,0.000E+00,2.567E-03,0.000E+00,7.876E-04
AS79,0.000E+00,3.839E-04,0.000E+00,1.803E-04
AS80,0.000E+00,1.567E-05,0.000E+00,9.536E-06
AS81,0.000E+00,5.118E-05,0.000E+00,2.285E-05
AS82,0.000E+00,2.281E-05,0.000E+00,1.613E-05
AS82M,0.000E+00,1.005E-05,0.000E+00,4.898E-06
AS83,0.000E+00,2.630E-05,0.000E+00,1.886E-05
AS84,0.000E+00,3.905E-06,0.000E+00,6.199E-06
