name,mox
id,snf
pkg_diameter,1.19
pkg_length,5
n_wf,12
5,41352
5.1,41004
5.5,39792
5.75,39144
6,38568
8,35556
10,33864
11.5,32928
15,31224
20,29292
23,28284
25,27660
30,26208
35,24912
40,23760
45,22716
50,21768
60,20148
70,18792
80,17652
90,16680
100,15828
125,14148
150,12852
175,11818.8
200,10960.8
225,10232.4
250,9602.4
300,8565.6
350,7742.4
400,7070.4
450,6507.6
500,6026.4
600,5239.2
700,4616.4
800,4105.2
900,3678
1000,3318
1250,2634
1500,2170.8
1750,1851.6
2000,1630.8
2250,1474.8
2500,1363.2
3000,1218
4000,1066.56
5000,974.4
6000,899.76
7000,833.64
8000,774
9000,719.76
10000,670.32
20000,358.56
50000,114.852
100000,46.2
200000,30.66
500000,24.576
1000000,16.032
